index,n
845f28bffffffff-2021-03,1
845f291ffffffff-2021-07,4
845f291ffffffff-2022-11,1
845f291ffffffff-2023-02,2
845f291ffffffff-2023-03,2
845f299ffffffff-2012-01,1
845f299ffffffff-2012-10,1
845f299ffffffff-2014-01,2
845f299ffffffff-2015-02,1
845f299ffffffff-2015-11,3
845f299ffffffff-2016-01,1
845f299ffffffff-2016-03,1
845f299ffffffff-2017-02,3
845f299ffffffff-2017-03,1
845f299ffffffff-2017-11,10
845f299ffffffff-2018-01,9
845f299ffffffff-2018-02,1
845f299ffffffff-2018-03,2
845f299ffffffff-2018-12,2
845f299ffffffff-2019-01,4
845f299ffffffff-2019-02,5
845f299ffffffff-2019-03,2
845f299ffffffff-2019-10,12
845f299ffffffff-2020-01,1
845f299ffffffff-2020-03,1
845f299ffffffff-2021-07,13
845f299ffffffff-2021-08,10
845f299ffffffff-2021-10,3
845f299ffffffff-2021-11,2
845f299ffffffff-2021-12,2
845f299ffffffff-2022-01,1
845f299ffffffff-2022-02,13
845f299ffffffff-2022-09,6
845f299ffffffff-2022-10,7
845f299ffffffff-2022-11,6
845f299ffffffff-2022-12,10
845f299ffffffff-2023-01,3
845f299ffffffff-2023-02,10
845f299ffffffff-2023-03,8
845f299ffffffff-2023-04,3
845f299ffffffff-2023-09,1
845f299ffffffff-2023-10,7
845f299ffffffff-2023-11,9
845f2bbffffffff-2023-04,7
848ac21ffffffff-2022-03,2
848ac27ffffffff-2012-09,1
848ac27ffffffff-2017-01,1
848ac63ffffffff-2012-10,5
848ac69ffffffff-2012-10,4
848ac6bffffffff-2012-09,1
848ada3ffffffff-2015-05,2
848ada3ffffffff-2015-07,1
848ada3ffffffff-2015-10,2
848ada3ffffffff-2017-01,5
848ada3ffffffff-2018-01,2
848ada3ffffffff-2018-03,1
848ada3ffffffff-2019-10,10
848ada3ffffffff-2019-11,2
848ada3ffffffff-2020-10,2
848ada3ffffffff-2021-10,1
848ada3ffffffff-2021-11,1
848ada3ffffffff-2021-12,1
848ada3ffffffff-2022-01,6
848ada3ffffffff-2022-05,1
848ada3ffffffff-2022-08,1
848ada3ffffffff-2022-09,2
848ada3ffffffff-2023-01,1
848ada3ffffffff-2023-02,5
848ada3ffffffff-2023-09,3
848ada9ffffffff-2014-10,1
848ada9ffffffff-2014-12,1
848ada9ffffffff-2015-06,1
848ada9ffffffff-2015-07,3
848ada9ffffffff-2017-01,10
848ada9ffffffff-2017-03,2
848ada9ffffffff-2017-09,1
848ada9ffffffff-2017-12,1
848ada9ffffffff-2018-02,4
848ada9ffffffff-2018-03,1
848ada9ffffffff-2018-11,4
848ada9ffffffff-2019-02,2
848ada9ffffffff-2019-03,1
848ada9ffffffff-2019-04,1
848ada9ffffffff-2019-10,14
848ada9ffffffff-2019-11,1
848ada9ffffffff-2019-12,1
848ada9ffffffff-2020-02,1
848ada9ffffffff-2020-04,6
848ada9ffffffff-2020-06,1
848ada9ffffffff-2020-07,1
848ada9ffffffff-2020-10,3
848ada9ffffffff-2021-02,1
848ada9ffffffff-2021-03,3
848ada9ffffffff-2021-04,2
848ada9ffffffff-2021-07,1
848ada9ffffffff-2021-08,1
848ada9ffffffff-2021-09,1
848ada9ffffffff-2022-01,5
848ada9ffffffff-2022-03,4
848ada9ffffffff-2022-05,1
848ada9ffffffff-2022-08,1
848ada9ffffffff-2022-09,5
848ada9ffffffff-2022-11,2
848ada9ffffffff-2023-01,1
848ada9ffffffff-2023-03,2
848ada9ffffffff-2023-04,1
848ada9ffffffff-2023-07,1
848ada9ffffffff-2023-10,3
848adb1ffffffff-2022-01,2
848adbdffffffff-2012-12,1
848adbdffffffff-2019-12,1
848adbdffffffff-2022-10,1
848adc5ffffffff-2015-07,3
848adc5ffffffff-2015-10,2
848adc5ffffffff-2019-03,1
848adc5ffffffff-2019-10,6
848adc5ffffffff-2019-12,1
848adc5ffffffff-2021-02,3
848adc5ffffffff-2021-11,1
848adc5ffffffff-2021-12,1
848adc5ffffffff-2022-01,6
848adc5ffffffff-2022-09,2
848adc5ffffffff-2023-10,3
848adcdffffffff-2022-03,2
848ade3ffffffff-2019-11,1
848af13ffffffff-2012-10,2
