index,n
8476801ffffffff-2015-12,1
8476805ffffffff-2015-12,1
8476807ffffffff-2014-11,2
8476809ffffffff-2023-09,2
847680dffffffff-2014-10,1
847680dffffffff-2022-11,2
8476815ffffffff-2014-10,2
8476815ffffffff-2016-10,2
847682bffffffff-2019-03,2
847683bffffffff-2014-10,4
847683bffffffff-2015-10,1
847683dffffffff-2016-04,1
8476845ffffffff-2022-11,3
8476847ffffffff-2022-11,2
847684dffffffff-2022-11,4
847686bffffffff-2022-11,4
84768abffffffff-2016-04,1
84768abffffffff-2017-04,1
84768abffffffff-2022-11,1
84768e5ffffffff-2014-10,1
84768edffffffff-2014-10,5
847699dffffffff-2015-10,1
847699dffffffff-2018-09,1
847699dffffffff-2019-03,1
847699dffffffff-2019-06,41
847699dffffffff-2019-10,4
847699dffffffff-2022-11,2
847699dffffffff-2023-04,7
847699dffffffff-2023-09,14
84769d1ffffffff-2012-04,1
84769d1ffffffff-2014-10,1
84769d1ffffffff-2015-05,3
84769d1ffffffff-2016-04,1
84769d1ffffffff-2016-10,2
84769d1ffffffff-2017-01,5
84769d1ffffffff-2017-04,1
84769d1ffffffff-2017-06,1
84769d1ffffffff-2017-07,10
84769d1ffffffff-2017-10,1
84769d1ffffffff-2017-11,2
84769d1ffffffff-2018-08,1
84769d1ffffffff-2019-03,2
84769d1ffffffff-2019-04,2
84769d1ffffffff-2019-06,6
84769d1ffffffff-2019-07,17
84769d1ffffffff-2019-10,3
84769d1ffffffff-2022-11,2
84769d1ffffffff-2023-04,25
84769d1ffffffff-2023-07,7
84769d1ffffffff-2023-09,2
84769d1ffffffff-2023-10,2
84769d7ffffffff-2016-03,2
84769d7ffffffff-2018-08,1
84769d7ffffffff-2019-04,1
84769d7ffffffff-2019-06,7
84769d7ffffffff-2019-07,2
84769d9ffffffff-2017-06,6
84769d9ffffffff-2017-07,3
84769ddffffffff-2016-03,1
84769ddffffffff-2017-06,7
84769ddffffffff-2017-11,1
84769ddffffffff-2018-09,2
84769ddffffffff-2019-08,1
84769ddffffffff-2019-10,2
84769ddffffffff-2023-07,1
8476a27ffffffff-2022-11,1
8476b49ffffffff-2015-10,1
8476d27ffffffff-2017-07,1
8477913ffffffff-2014-10,1
8477913ffffffff-2016-07,1
8477913ffffffff-2019-03,1
8477913ffffffff-2022-07,2
847791bffffffff-2023-10,2
8477981ffffffff-2012-12,2
8477981ffffffff-2016-07,3
8477981ffffffff-2018-11,1
8477981ffffffff-2022-08,2
8477981ffffffff-2022-11,1
8477981ffffffff-2023-02,1
847798dffffffff-2022-07,1
847799dffffffff-2019-08,14
847799dffffffff-2019-09,11
847799dffffffff-2019-10,6
847799dffffffff-2019-11,10
847799dffffffff-2019-12,5
847799dffffffff-2020-03,2
847799dffffffff-2020-06,1
847799dffffffff-2021-02,2
847799dffffffff-2021-03,1
84779a1ffffffff-2019-09,1
84779a3ffffffff-2017-07,1
84779a3ffffffff-2022-10,2
84779a3ffffffff-2023-02,2
84779b1ffffffff-2023-02,1
84779b3ffffffff-2022-06,1
84779b5ffffffff-2014-10,1
84779b5ffffffff-2017-06,2
84779b5ffffffff-2017-08,1
84779b7ffffffff-2019-08,1
84779bdffffffff-2017-10,1
84779bdffffffff-2023-10,2
84779c5ffffffff-2013-01,2
84779c5ffffffff-2015-10,1
849c901ffffffff-2013-08,1
849c901ffffffff-2014-07,1
849c901ffffffff-2014-08,3
849c901ffffffff-2014-09,4
849c901ffffffff-2015-06,1
849c901ffffffff-2015-12,5
849c901ffffffff-2016-05,3
849c901ffffffff-2016-08,6
849c901ffffffff-2017-07,29
849c901ffffffff-2017-08,3
849c901ffffffff-2017-09,1
849c901ffffffff-2018-06,4
849c901ffffffff-2018-07,54
849c901ffffffff-2018-09,8
849c901ffffffff-2019-05,1
849c901ffffffff-2019-07,64
849c901ffffffff-2019-08,2
849c901ffffffff-2019-09,16
849c901ffffffff-2021-11,2
849c901ffffffff-2022-07,43
849c901ffffffff-2022-08,19
849c901ffffffff-2022-09,63
849c901ffffffff-2023-05,6
849c901ffffffff-2023-06,10
849c901ffffffff-2023-07,45
849c901ffffffff-2023-08,62
849c901ffffffff-2023-09,2
849c901ffffffff-2023-10,5
849c907ffffffff-2015-06,1
849c907ffffffff-2015-07,1
849c907ffffffff-2015-12,1
849c907ffffffff-2016-08,2
849c907ffffffff-2022-10,1
849c907ffffffff-2023-07,6
849c907ffffffff-2023-08,5
849c90dffffffff-2019-09,1
849c92bffffffff-2019-09,1
849c961ffffffff-2018-05,1
849c961ffffffff-2023-10,6
849c963ffffffff-2019-09,1
849c965ffffffff-2019-09,1
849c969ffffffff-2022-09,3
