index,n
8401227ffffffff-2015-05,1
8401227ffffffff-2019-06,1
840122bffffffff-2017-10,1
840123dffffffff-2019-08,1
840123dffffffff-2020-07,1
840123dffffffff-2022-07,1
840123dffffffff-2023-06,1
840123dffffffff-2023-08,1
840130bffffffff-2012-04,3
840130bffffffff-2012-06,4
840130bffffffff-2012-07,1
840130bffffffff-2013-05,1
840130bffffffff-2013-06,2
840130bffffffff-2014-03,1
840130bffffffff-2014-06,1
840130bffffffff-2014-07,2
840130bffffffff-2015-04,3
840130bffffffff-2015-05,3
840130bffffffff-2015-06,9
840130bffffffff-2015-07,1
840130bffffffff-2016-05,5
840130bffffffff-2016-06,4
840130bffffffff-2016-07,1
840130bffffffff-2016-08,1
840130bffffffff-2017-04,3
840130bffffffff-2017-05,5
840130bffffffff-2017-06,11
840130bffffffff-2017-07,3
840130bffffffff-2018-05,3
840130bffffffff-2018-06,3
840130bffffffff-2018-07,4
840130bffffffff-2018-08,1
840130bffffffff-2019-03,1
840130bffffffff-2019-04,2
840130bffffffff-2019-05,9
840130bffffffff-2019-06,10
840130bffffffff-2019-07,1
840130bffffffff-2021-08,1
840130bffffffff-2022-03,1
840130bffffffff-2022-04,13
840130bffffffff-2022-05,11
840130bffffffff-2022-06,31
840130bffffffff-2022-07,17
840130bffffffff-2023-05,6
840130bffffffff-2023-06,42
840130bffffffff-2023-07,12
8401319ffffffff-2012-04,1
8401319ffffffff-2014-06,2
8401319ffffffff-2015-05,2
8401319ffffffff-2015-06,1
8401319ffffffff-2017-06,3
8401319ffffffff-2017-07,2
8401319ffffffff-2018-06,1
8401319ffffffff-2022-05,1
8401319ffffffff-2022-06,4
8401319ffffffff-2022-07,3
8401319ffffffff-2023-05,1
8401319ffffffff-2023-06,2
840131dffffffff-2013-06,1
840131dffffffff-2015-05,1
840131dffffffff-2018-06,1
840131dffffffff-2019-05,1
840131dffffffff-2019-06,1
840131dffffffff-2021-07,1
840131dffffffff-2022-05,2
840131dffffffff-2022-06,4
840131dffffffff-2022-07,1
840131dffffffff-2023-05,3
840131dffffffff-2023-06,4
840131dffffffff-2023-07,4
8401347ffffffff-2017-07,1
8401351ffffffff-2013-06,1
8401351ffffffff-2016-04,1
8401351ffffffff-2016-05,2
8401351ffffffff-2017-06,2
8401351ffffffff-2017-08,1
8401351ffffffff-2018-06,3
8401351ffffffff-2019-06,2
8401351ffffffff-2022-05,6
8401351ffffffff-2022-06,3
8401351ffffffff-2023-06,3
8401351ffffffff-2023-08,2
8401353ffffffff-2015-06,1
8401353ffffffff-2017-06,2
8401353ffffffff-2019-05,3
8401353ffffffff-2022-06,2
8401355ffffffff-2012-07,1
8401355ffffffff-2013-05,1
8401355ffffffff-2013-06,3
8401355ffffffff-2015-05,1
8401355ffffffff-2017-06,4
8401355ffffffff-2018-06,1
8401355ffffffff-2019-05,1
8401355ffffffff-2019-06,1
8401355ffffffff-2020-06,1
8401355ffffffff-2022-05,4
8401355ffffffff-2022-06,10
8401355ffffffff-2022-07,1
8401355ffffffff-2022-08,2
8401355ffffffff-2023-04,1
8401355ffffffff-2023-05,2
8401355ffffffff-2023-06,3
8401355ffffffff-2023-07,1
8401355ffffffff-2023-08,2
8401357ffffffff-2015-05,1
8401357ffffffff-2017-06,2
8401357ffffffff-2022-05,1
840135dffffffff-2019-09,1
84074e9ffffffff-2014-01,2
84074e9ffffffff-2014-10,5
84074e9ffffffff-2014-11,2
84074e9ffffffff-2014-12,4
84074e9ffffffff-2015-01,3
84074e9ffffffff-2015-02,1
84074edffffffff-2013-09,1
84074edffffffff-2013-11,5
84074edffffffff-2013-12,4
84074edffffffff-2014-01,2
840755dffffffff-2022-10,1
84075d1ffffffff-2020-01,1
84075d1ffffffff-2020-02,1
84075d1ffffffff-2020-03,2
8407739ffffffff-2014-10,2
8408001ffffffff-2021-07,1
8408053ffffffff-2021-06,1
8408057ffffffff-2021-05,4
8408061ffffffff-2021-09,1
8408061ffffffff-2023-02,1
8408065ffffffff-2014-05,1
8408065ffffffff-2017-06,2
8408065ffffffff-2018-09,1
8408065ffffffff-2019-05,2
8408065ffffffff-2020-01,2
8408065ffffffff-2021-04,2
8408065ffffffff-2021-05,2
