index,n
8409993ffffffff-2023-02,1
84182c1ffffffff-2021-04,3
84182c1ffffffff-2021-05,1
84182c1ffffffff-2023-06,1
84182c9ffffffff-2021-09,1
8418443ffffffff-2020-10,1
8418443ffffffff-2020-11,3
8418443ffffffff-2021-09,2
8418443ffffffff-2021-10,3
8418443ffffffff-2021-11,3
8418443ffffffff-2022-09,2
8418443ffffffff-2022-10,1
8418443ffffffff-2023-09,1
8418443ffffffff-2023-10,2
8418443ffffffff-2023-11,1
841844bffffffff-2021-09,1
841849dffffffff-2023-06,1
84185bbffffffff-2013-11,1
841862bffffffff-2021-08,1
841865dffffffff-2020-12,1
841865dffffffff-2021-04,2
841865dffffffff-2021-07,1
841865dffffffff-2021-10,1
841865dffffffff-2022-02,1
841865dffffffff-2022-07,1
841865dffffffff-2023-10,1
84186abffffffff-2022-12,1
841874bffffffff-2019-10,1
841874bffffffff-2020-01,2
841874bffffffff-2020-02,2
841874bffffffff-2020-03,3
841874bffffffff-2020-04,3
841874bffffffff-2020-05,9
841874bffffffff-2020-06,11
841874bffffffff-2020-07,6
841874bffffffff-2020-08,8
841874bffffffff-2020-09,9
841874bffffffff-2020-10,11
841874bffffffff-2020-11,17
841874bffffffff-2020-12,14
841874bffffffff-2021-01,22
841874bffffffff-2021-02,20
841874bffffffff-2021-03,23
841874bffffffff-2021-04,10
841874bffffffff-2021-05,6
841874bffffffff-2021-06,1
841874bffffffff-2021-07,5
841874bffffffff-2021-08,3
841874bffffffff-2021-09,7
841874bffffffff-2021-10,10
841874bffffffff-2021-11,12
841874bffffffff-2021-12,10
841874bffffffff-2022-01,18
841874bffffffff-2022-02,13
841874bffffffff-2022-03,9
841874bffffffff-2022-04,7
841874bffffffff-2022-05,4
841874bffffffff-2022-06,3
841874bffffffff-2022-07,9
841874bffffffff-2022-08,7
841874bffffffff-2022-09,4
841874bffffffff-2022-10,12
841874bffffffff-2022-11,6
841874bffffffff-2022-12,1
841874bffffffff-2023-01,10
841874bffffffff-2023-02,7
841874bffffffff-2023-03,1
841874bffffffff-2023-04,5
841874bffffffff-2023-07,4
841874bffffffff-2023-08,6
841874bffffffff-2023-09,1
841874bffffffff-2023-10,5
8419093ffffffff-2019-02,1
8419093ffffffff-2021-03,3
8419093ffffffff-2021-05,1
8419093ffffffff-2021-11,1
8419093ffffffff-2021-12,1
8419093ffffffff-2022-01,2
8419093ffffffff-2023-04,2
841909bffffffff-2014-10,1
841909bffffffff-2019-03,2
841909bffffffff-2020-03,1
841909bffffffff-2020-04,4
841909bffffffff-2020-05,3
841909bffffffff-2020-06,1
841909bffffffff-2020-11,1
841909bffffffff-2021-03,1
841909bffffffff-2021-04,2
841909bffffffff-2021-05,4
841909bffffffff-2021-10,2
841909bffffffff-2021-11,1
841909bffffffff-2022-01,14
841909bffffffff-2022-02,4
841909bffffffff-2022-03,2
841909bffffffff-2022-04,1
841909bffffffff-2022-05,1
841909bffffffff-2022-06,1
841909bffffffff-2022-07,1
841909bffffffff-2022-08,1
841909bffffffff-2022-11,1
841909bffffffff-2023-01,3
841909bffffffff-2023-04,1
841909bffffffff-2023-05,3
841909bffffffff-2023-06,2
841909bffffffff-2023-07,3
