index,n
8458d33ffffffff-2017-12,1
846a91bffffffff-2012-06,1
846a9e7ffffffff-2022-12,2
846ac03ffffffff-2013-06,4
846ac03ffffffff-2015-07,2
846ac03ffffffff-2015-09,1
846ac03ffffffff-2015-10,2
846ac03ffffffff-2016-08,1
846ac03ffffffff-2016-12,1
846ac03ffffffff-2017-05,4
846ac03ffffffff-2017-07,1
846ac03ffffffff-2018-07,1
846ac03ffffffff-2020-12,1
846ac03ffffffff-2021-01,1
846ac03ffffffff-2021-03,3
846ac03ffffffff-2021-06,1
846ac03ffffffff-2021-07,5
846ac03ffffffff-2021-08,1
846ac03ffffffff-2021-09,1
846ac03ffffffff-2021-10,3
846ac03ffffffff-2021-11,1
846ac03ffffffff-2022-02,7
846ac03ffffffff-2022-03,1
846ac03ffffffff-2022-06,4
846ac03ffffffff-2022-07,5
846ac03ffffffff-2022-08,3
846ac03ffffffff-2022-09,9
846ac03ffffffff-2022-10,1
846ac03ffffffff-2022-11,3
846ac03ffffffff-2023-02,7
846ac03ffffffff-2023-03,10
846ac03ffffffff-2023-04,1
846ac03ffffffff-2023-05,4
846ac03ffffffff-2023-06,12
846ac03ffffffff-2023-07,3
846ac03ffffffff-2023-08,38
846ac03ffffffff-2023-09,4
846ac03ffffffff-2023-11,1
846ac0bffffffff-2012-01,2
846ac0bffffffff-2012-12,1
846ac0bffffffff-2014-01,1
846ac0bffffffff-2014-02,1
846ac0bffffffff-2014-09,1
846ac0bffffffff-2014-11,1
846ac0bffffffff-2015-07,2
846ac0bffffffff-2015-11,2
846ac0bffffffff-2016-02,2
846ac0bffffffff-2017-01,1
846ac0bffffffff-2017-07,1
846ac0bffffffff-2018-01,3
846ac0bffffffff-2018-05,1
846ac0bffffffff-2018-07,3
846ac0bffffffff-2018-08,1
846ac0bffffffff-2018-11,1
846ac0bffffffff-2018-12,2
846ac0bffffffff-2019-07,2
846ac0bffffffff-2020-03,2
846ac0bffffffff-2020-12,1
846ac0bffffffff-2021-03,1
846ac0bffffffff-2021-04,1
846ac0bffffffff-2021-07,6
846ac0bffffffff-2021-08,3
846ac0bffffffff-2021-09,4
846ac0bffffffff-2022-06,1
846ac0bffffffff-2022-07,3
846ac0bffffffff-2022-08,2
846ac0bffffffff-2022-09,1
846ac0bffffffff-2023-01,3
846ac0bffffffff-2023-02,1
846ac0bffffffff-2023-04,1
846ac0bffffffff-2023-06,2
846ac0bffffffff-2023-07,3
846ac0bffffffff-2023-08,1
846ac15ffffffff-2013-09,1
846ac15ffffffff-2015-05,1
846ac15ffffffff-2015-07,1
846ac15ffffffff-2016-11,2
846ac15ffffffff-2017-07,3
846ac15ffffffff-2017-12,4
846ac15ffffffff-2018-07,2
846ac15ffffffff-2018-08,2
846ac15ffffffff-2018-09,2
846ac15ffffffff-2019-02,1
846ac15ffffffff-2019-06,2
846ac15ffffffff-2020-02,1
846ac15ffffffff-2020-08,1
846ac15ffffffff-2020-10,1
846ac15ffffffff-2020-11,2
846ac15ffffffff-2021-01,2
846ac15ffffffff-2021-02,1
846ac15ffffffff-2021-06,1
846ac15ffffffff-2021-07,5
846ac15ffffffff-2021-08,5
846ac15ffffffff-2021-09,2
846ac15ffffffff-2021-11,2
846ac15ffffffff-2022-02,2
846ac15ffffffff-2022-03,1
846ac15ffffffff-2022-05,2
846ac15ffffffff-2022-06,8
846ac15ffffffff-2022-07,12
846ac15ffffffff-2022-08,12
846ac15ffffffff-2022-09,11
846ac15ffffffff-2022-12,1
846ac15ffffffff-2023-01,2
846ac15ffffffff-2023-02,1
846ac15ffffffff-2023-03,1
846ac15ffffffff-2023-06,2
846ac15ffffffff-2023-08,4
846ac15ffffffff-2023-09,8
846ac15ffffffff-2023-10,3
846ac15ffffffff-2023-11,2
846ac1dffffffff-2019-01,1
846ac1dffffffff-2022-07,1
846acd5ffffffff-2014-06,1
846adc1ffffffff-2015-06,1
846adc1ffffffff-2015-08,1
846adc1ffffffff-2016-07,2
846adc1ffffffff-2018-05,1
846adc1ffffffff-2018-06,1
846adc1ffffffff-2018-08,1
846adc1ffffffff-2018-12,1
846adc1ffffffff-2019-12,4
846adc1ffffffff-2021-02,1
846adc1ffffffff-2021-07,2
846adc1ffffffff-2022-02,1
846adc1ffffffff-2022-05,1
846adc1ffffffff-2022-07,1
846adc1ffffffff-2022-08,9
846adc1ffffffff-2023-03,1
846aea1ffffffff-2012-07,1
846aea1ffffffff-2012-09,1
846aea1ffffffff-2012-11,1
846aea1ffffffff-2014-02,2
846aea1ffffffff-2014-06,1
846aea1ffffffff-2015-06,1
846aea1ffffffff-2015-07,2
846aea1ffffffff-2015-10,2
846aea1ffffffff-2016-08,1
846aea1ffffffff-2016-12,1
846aea1ffffffff-2017-11,1
846aea1ffffffff-2018-07,1
846aea1ffffffff-2018-08,2
846aea1ffffffff-2018-12,10
846aea1ffffffff-2019-02,1
846aea1ffffffff-2019-11,1
846aea1ffffffff-2019-12,5
846aea1ffffffff-2021-07,9
846aea1ffffffff-2021-08,2
846aea1ffffffff-2021-09,2
846aea1ffffffff-2021-11,4
846aea1ffffffff-2021-12,2
846aea1ffffffff-2022-02,3
846aea1ffffffff-2022-05,1
846aea1ffffffff-2022-06,2
846aea1ffffffff-2022-07,2
846aea1ffffffff-2022-08,7
846aea1ffffffff-2022-09,1
846aea1ffffffff-2023-03,1
846aea1ffffffff-2023-06,4
846aea1ffffffff-2023-08,1
846aea1ffffffff-2023-11,5
846aeabffffffff-2013-09,1
846aeabffffffff-2014-02,1
846aeabffffffff-2014-06,1
846aeabffffffff-2015-08,1
846aeabffffffff-2015-10,2
846aeabffffffff-2017-07,1
846aeabffffffff-2018-05,1
846aeabffffffff-2018-06,1
846aeabffffffff-2018-07,1
846aeabffffffff-2018-11,2
846aeabffffffff-2018-12,2
846aeabffffffff-2019-06,1
846aeabffffffff-2021-06,3
846aeabffffffff-2021-08,2
846aeabffffffff-2021-11,1
846aeabffffffff-2022-06,4
846aeabffffffff-2022-07,1
846aeabffffffff-2023-01,1
846aeabffffffff-2023-09,1
847a75dffffffff-2023-10,1
847b487ffffffff-2013-01,1
847b487ffffffff-2013-12,1
847b487ffffffff-2014-10,6
847b487ffffffff-2015-04,1
847b487ffffffff-2015-07,1
847b487ffffffff-2015-08,6
847b487ffffffff-2015-11,5
847b487ffffffff-2016-10,4
847b487ffffffff-2016-11,2
847b487ffffffff-2018-09,5
847b487ffffffff-2018-10,4
847b487ffffffff-2019-02,1
847b487ffffffff-2019-04,1
847b487ffffffff-2019-07,6
847b487ffffffff-2019-08,7
847b487ffffffff-2019-09,1
847b487ffffffff-2019-10,1
847b487ffffffff-2019-11,4
847b487ffffffff-2020-03,3
847b487ffffffff-2020-07,2
847b487ffffffff-2020-12,1
847b487ffffffff-2021-03,1
847b487ffffffff-2021-07,1
847b487ffffffff-2021-08,3
847b487ffffffff-2021-09,1
847b487ffffffff-2021-10,4
847b487ffffffff-2021-11,4
847b487ffffffff-2021-12,1
847b487ffffffff-2022-01,4
847b487ffffffff-2022-05,6
847b487ffffffff-2022-07,2
847b487ffffffff-2022-10,12
847b487ffffffff-2022-11,12
847b487ffffffff-2023-03,3
847b487ffffffff-2023-04,2
847b487ffffffff-2023-06,2
847b487ffffffff-2023-07,3
847b487ffffffff-2023-09,2
847b487ffffffff-2023-10,1
847b487ffffffff-2023-11,1
847b4a1ffffffff-2012-02,2
847b4a1ffffffff-2019-12,2
847b4a5ffffffff-2016-01,1
847b4a5ffffffff-2016-10,1
847b4a5ffffffff-2022-05,1
847b4a7ffffffff-2018-09,1
847b4a7ffffffff-2019-12,4
847b4a7ffffffff-2021-01,2
847b4a7ffffffff-2021-03,2
847b4a7ffffffff-2021-05,2
847b4a7ffffffff-2021-08,3
847b4a7ffffffff-2022-11,2
847b4a7ffffffff-2023-02,1
847b4a7ffffffff-2023-03,1
847b4a7ffffffff-2023-10,1
847b4b9ffffffff-2018-10,1
847b4cbffffffff-2022-05,1
847b4cbffffffff-2022-12,3
847b4d5ffffffff-2023-08,2
847b4dbffffffff-2015-06,1
847b591ffffffff-2017-08,2
847b591ffffffff-2020-10,2
847b591ffffffff-2021-08,1
847b591ffffffff-2021-10,1
847b591ffffffff-2023-06,1
847b591ffffffff-2023-10,3
847b595ffffffff-2023-10,1
847b597ffffffff-2012-08,1
847b597ffffffff-2012-10,1
847b597ffffffff-2013-02,1
847b597ffffffff-2013-08,1
847b597ffffffff-2016-04,1
847b597ffffffff-2016-06,1
847b597ffffffff-2016-09,2
847b597ffffffff-2016-11,9
847b597ffffffff-2017-04,1
847b597ffffffff-2017-05,1
847b597ffffffff-2017-06,6
847b597ffffffff-2017-07,3
847b597ffffffff-2017-08,2
847b597ffffffff-2017-12,2
847b597ffffffff-2018-03,7
847b597ffffffff-2018-04,2
847b597ffffffff-2018-06,5
847b597ffffffff-2018-07,2
847b597ffffffff-2019-01,4
847b597ffffffff-2019-09,1
847b597ffffffff-2019-12,3
847b597ffffffff-2020-01,1
847b597ffffffff-2020-05,3
847b597ffffffff-2020-09,1
847b597ffffffff-2020-10,1
847b597ffffffff-2020-11,3
847b597ffffffff-2020-12,1
847b597ffffffff-2021-01,2
847b597ffffffff-2021-02,2
847b597ffffffff-2021-04,1
847b597ffffffff-2021-05,9
847b597ffffffff-2021-06,2
847b597ffffffff-2021-07,1
847b597ffffffff-2021-08,2
847b597ffffffff-2021-10,4
847b597ffffffff-2021-11,6
847b597ffffffff-2021-12,11
847b597ffffffff-2022-01,3
847b597ffffffff-2022-02,4
847b597ffffffff-2022-03,1
847b597ffffffff-2022-04,12
847b597ffffffff-2022-05,6
847b597ffffffff-2022-06,3
847b597ffffffff-2022-07,1
847b597ffffffff-2022-08,10
847b597ffffffff-2022-09,5
847b597ffffffff-2022-10,3
847b597ffffffff-2022-11,2
847b597ffffffff-2022-12,2
847b597ffffffff-2023-01,2
847b597ffffffff-2023-02,8
847b597ffffffff-2023-03,4
847b597ffffffff-2023-04,1
847b597ffffffff-2023-05,5
847b597ffffffff-2023-06,3
847b597ffffffff-2023-07,7
847b597ffffffff-2023-08,3
847b597ffffffff-2023-09,2
847b597ffffffff-2023-10,12
847b597ffffffff-2023-11,21
8482183ffffffff-2023-04,1
848218dffffffff-2017-08,1
8482801ffffffff-2021-10,1
8482805ffffffff-2018-02,1
848282dffffffff-2019-08,1
8482841ffffffff-2016-08,2
8482841ffffffff-2019-08,1
8482845ffffffff-2016-08,1
848284dffffffff-2016-08,1
848284dffffffff-2018-09,2
848284dffffffff-2019-08,1
848284dffffffff-2019-11,1
848284dffffffff-2020-05,2
848284dffffffff-2020-06,2
848284dffffffff-2020-07,2
848284dffffffff-2020-08,1
84828d1ffffffff-2016-01,5
84828d1ffffffff-2018-01,3
84828d1ffffffff-2019-01,1
84828d1ffffffff-2020-02,4
84828d1ffffffff-2022-07,4
84828d1ffffffff-2022-08,33
84828d1ffffffff-2023-01,9
84828d1ffffffff-2023-02,15
848290bffffffff-2019-05,1
848290bffffffff-2021-03,1
848290bffffffff-2021-12,1
848290bffffffff-2023-04,1
8482aadffffffff-2017-08,4
8482ab7ffffffff-2014-12,3
8482b0bffffffff-2022-12,1
8482b0bffffffff-2023-10,1
