index,n
84200a5ffffffff-2023-11,1
84200adffffffff-2022-10,2
842010dffffffff-2022-03,3
8420121ffffffff-2019-03,1
8420121ffffffff-2021-11,1
8420123ffffffff-2023-05,1
8420125ffffffff-2022-01,1
8420127ffffffff-2021-10,1
8420127ffffffff-2023-10,1
8420129ffffffff-2022-02,1
8420129ffffffff-2022-03,1
8420129ffffffff-2023-01,3
8420129ffffffff-2023-03,1
842012bffffffff-2023-01,1
842013dffffffff-2020-01,1
842013dffffffff-2022-01,1
842013dffffffff-2022-03,2
842013dffffffff-2022-11,3
842013dffffffff-2023-01,2
842016dffffffff-2021-03,1
8420187ffffffff-2016-10,2
8420187ffffffff-2020-11,1
8420187ffffffff-2021-01,1
8420187ffffffff-2021-10,1
8420187ffffffff-2021-11,1
8420187ffffffff-2022-01,5
8420187ffffffff-2022-02,5
8420187ffffffff-2022-03,2
8420187ffffffff-2022-11,7
8420187ffffffff-2022-12,2
8420187ffffffff-2023-01,1
8420187ffffffff-2023-02,2
8420187ffffffff-2023-03,7
8420187ffffffff-2023-10,2
84201a1ffffffff-2022-04,1
84201a1ffffffff-2022-11,2
84201a1ffffffff-2023-07,1
84201a3ffffffff-2019-06,1
84201a3ffffffff-2022-04,4
84201a3ffffffff-2022-05,8
84201a3ffffffff-2022-06,1
84201a3ffffffff-2022-08,1
84201a3ffffffff-2022-09,3
84201a3ffffffff-2022-10,1
84201a3ffffffff-2023-03,4
84201a3ffffffff-2023-05,5
84201a3ffffffff-2023-06,1
84201a3ffffffff-2023-07,2
84201a3ffffffff-2023-10,1
84201a7ffffffff-2019-08,2
84201abffffffff-2012-09,1
84201abffffffff-2015-09,1
84201abffffffff-2016-10,2
84201abffffffff-2018-08,1
84201abffffffff-2018-09,1
84201abffffffff-2019-08,1
84201abffffffff-2020-06,2
84201abffffffff-2020-11,2
84201abffffffff-2020-12,1
84201abffffffff-2021-10,2
84201abffffffff-2022-03,2
84201abffffffff-2022-05,1
84201abffffffff-2022-10,1
84201abffffffff-2022-12,4
84201abffffffff-2023-02,4
84201abffffffff-2023-03,2
84201abffffffff-2023-09,1
84201b3ffffffff-2022-05,1
84201b3ffffffff-2023-08,1
