index,n
843c0a5ffffffff-2017-04,1
843c0a5ffffffff-2019-04,4
843c0a5ffffffff-2022-04,1
843c0a5ffffffff-2023-04,2
843c0a5ffffffff-2023-05,1
843c0adffffffff-2014-07,3
843c0adffffffff-2019-04,6
843c1d1ffffffff-2017-04,1
843c1d3ffffffff-2012-03,1
843c1d3ffffffff-2017-05,1
843c1d3ffffffff-2021-04,1
843c1d3ffffffff-2023-09,2
843c437ffffffff-2023-10,3
843c581ffffffff-2013-04,2
843c581ffffffff-2015-04,2
843c581ffffffff-2015-06,9
843c581ffffffff-2016-05,7
843c581ffffffff-2017-04,1
843c581ffffffff-2018-04,10
843c581ffffffff-2018-05,5
843c581ffffffff-2018-06,1
843c581ffffffff-2018-10,1
843c581ffffffff-2019-04,1
843c581ffffffff-2019-05,3
843c581ffffffff-2021-04,4
843c581ffffffff-2021-06,1
843c581ffffffff-2022-04,4
843c581ffffffff-2022-05,14
843c581ffffffff-2022-07,1
843c581ffffffff-2023-03,1
843c581ffffffff-2023-04,16
843c581ffffffff-2023-05,14
843c581ffffffff-2023-06,1
843c585ffffffff-2021-02,2
843c585ffffffff-2022-11,2
843c587ffffffff-2015-04,5
843c587ffffffff-2018-05,2
843c5a1ffffffff-2015-11,1
843c5a1ffffffff-2015-12,1
843c5a1ffffffff-2016-02,1
843c5a1ffffffff-2016-12,1
843c5a1ffffffff-2018-11,1
843c5a1ffffffff-2020-01,1
843c5a1ffffffff-2020-11,5
843c5a1ffffffff-2021-02,1
843c5a1ffffffff-2021-12,10
843c5a1ffffffff-2022-11,2
843c5a1ffffffff-2022-12,5
843c5a1ffffffff-2023-01,1
843c5a9ffffffff-2013-12,3
843c5a9ffffffff-2015-10,1
843c5a9ffffffff-2015-12,3
843c5a9ffffffff-2016-02,2
843c5a9ffffffff-2016-11,6
843c5a9ffffffff-2017-11,5
843c5a9ffffffff-2018-10,2
843c5a9ffffffff-2018-11,5
843c5a9ffffffff-2018-12,1
843c5a9ffffffff-2019-01,2
843c5a9ffffffff-2019-12,1
843c5a9ffffffff-2020-01,3
843c5a9ffffffff-2020-02,2
843c5a9ffffffff-2020-11,1
843c5a9ffffffff-2021-01,5
843c5a9ffffffff-2021-02,2
843c5a9ffffffff-2021-11,6
843c5a9ffffffff-2021-12,13
843c5a9ffffffff-2022-01,2
843c5a9ffffffff-2022-02,2
843c5a9ffffffff-2022-03,2
843c5a9ffffffff-2022-11,6
843c5a9ffffffff-2022-12,30
843c5a9ffffffff-2023-01,19
843c5a9ffffffff-2023-02,8
843c5a9ffffffff-2023-10,6
843c5a9ffffffff-2023-11,12
843c5adffffffff-2014-01,3
843c5adffffffff-2015-11,1
843c5adffffffff-2016-11,2
843c5adffffffff-2016-12,2
843c5adffffffff-2017-02,3
843c5adffffffff-2018-11,2
843c5adffffffff-2018-12,2
843c5adffffffff-2019-11,1
843c5adffffffff-2021-12,5
843c5b7ffffffff-2022-03,12
843c5bdffffffff-2014-12,3
843c5bdffffffff-2016-12,8
843c5bdffffffff-2021-02,3
843c5bdffffffff-2022-11,3
843c5bdffffffff-2022-12,24
843c5bdffffffff-2023-01,5
843c5bdffffffff-2023-02,1
843c5cbffffffff-2021-10,1
843c5e3ffffffff-2018-10,3
843ce49ffffffff-2020-05,2
843ce49ffffffff-2021-04,1
843ce49ffffffff-2021-06,1
843ce4dffffffff-2020-10,1
843ce4dffffffff-2021-04,1
843ce4dffffffff-2021-05,10
843ce4dffffffff-2021-10,1
843ce4dffffffff-2022-02,4
843ce4dffffffff-2022-05,2
