index,n
848d84bffffffff-2018-03,2
848d84bffffffff-2021-03,1
848d855ffffffff-2018-03,1
848d855ffffffff-2019-01,1
848d855ffffffff-2019-09,1
848d85bffffffff-2012-05,1
848d85dffffffff-2021-01,1
848d85dffffffff-2021-10,1
848d85dffffffff-2022-01,1
848d85dffffffff-2022-07,2
848da25ffffffff-2013-10,2
848da25ffffffff-2017-06,2
848da25ffffffff-2017-08,2
848da25ffffffff-2017-09,1
848da25ffffffff-2017-10,1
848da25ffffffff-2018-09,1
848da25ffffffff-2019-08,3
848da25ffffffff-2019-09,1
848da25ffffffff-2019-10,1
848da25ffffffff-2020-01,2
848da25ffffffff-2022-03,4
848da25ffffffff-2022-08,4
848da25ffffffff-2022-10,1
848da25ffffffff-2022-11,1
848da25ffffffff-2022-12,3
848da25ffffffff-2023-01,1
848da25ffffffff-2023-04,4
848da25ffffffff-2023-06,1
848da25ffffffff-2023-09,6
848da25ffffffff-2023-10,3
848da2dffffffff-2013-10,2
848da2dffffffff-2015-09,1
848da2dffffffff-2022-09,1
848da35ffffffff-2017-10,1
848da67ffffffff-2019-05,1
848db53ffffffff-2012-10,4
848db53ffffffff-2017-06,2
848db53ffffffff-2018-04,2
848db53ffffffff-2018-06,1
848db53ffffffff-2022-02,1
848db53ffffffff-2022-05,1
848db53ffffffff-2022-06,3
848db53ffffffff-2022-12,2
848db53ffffffff-2023-10,1
848db59ffffffff-2012-07,1
848db59ffffffff-2012-10,2
848db59ffffffff-2012-11,2
848db59ffffffff-2013-05,1
848db59ffffffff-2013-08,1
848db59ffffffff-2014-07,1
848db59ffffffff-2014-08,1
848db59ffffffff-2014-09,3
848db59ffffffff-2014-10,1
848db59ffffffff-2015-08,1
848db59ffffffff-2015-09,1
848db59ffffffff-2016-09,3
848db59ffffffff-2016-10,4
848db59ffffffff-2016-11,2
848db59ffffffff-2017-02,1
848db59ffffffff-2017-03,5
848db59ffffffff-2017-04,5
848db59ffffffff-2017-06,5
848db59ffffffff-2017-07,1
848db59ffffffff-2017-08,4
848db59ffffffff-2017-09,8
848db59ffffffff-2017-11,5
848db59ffffffff-2018-03,4
848db59ffffffff-2018-05,4
848db59ffffffff-2018-06,7
848db59ffffffff-2018-07,4
848db59ffffffff-2018-08,3
848db59ffffffff-2018-09,6
848db59ffffffff-2018-10,4
848db59ffffffff-2018-12,3
848db59ffffffff-2019-01,2
848db59ffffffff-2019-02,3
848db59ffffffff-2019-06,3
848db59ffffffff-2019-07,3
848db59ffffffff-2019-08,3
848db59ffffffff-2019-10,6
848db59ffffffff-2019-11,2
848db59ffffffff-2019-12,1
848db59ffffffff-2020-01,1
848db59ffffffff-2020-02,1
848db59ffffffff-2021-03,7
848db59ffffffff-2022-01,11
848db59ffffffff-2022-02,8
848db59ffffffff-2022-03,4
848db59ffffffff-2022-04,7
848db59ffffffff-2022-05,3
848db59ffffffff-2022-06,13
848db59ffffffff-2022-07,8
848db59ffffffff-2022-08,17
848db59ffffffff-2022-09,3
848db59ffffffff-2022-10,12
848db59ffffffff-2022-11,8
848db59ffffffff-2022-12,4
848db59ffffffff-2023-01,7
848db59ffffffff-2023-02,6
848db59ffffffff-2023-03,4
848db59ffffffff-2023-04,4
848db59ffffffff-2023-05,3
848db59ffffffff-2023-06,4
848db59ffffffff-2023-07,4
848db59ffffffff-2023-08,26
848db59ffffffff-2023-09,12
848db59ffffffff-2023-10,7
848db59ffffffff-2023-11,4
848db5bffffffff-2023-10,1
8494219ffffffff-2017-07,2
849421bffffffff-2012-08,1
849421bffffffff-2017-06,6
849421bffffffff-2017-07,2
849421bffffffff-2019-01,3
849421bffffffff-2022-04,1
849421bffffffff-2022-10,2
849421bffffffff-2023-08,8
849421bffffffff-2023-11,2
849421dffffffff-2023-08,8
849426bffffffff-2017-08,1
849426bffffffff-2023-10,1
849426dffffffff-2012-07,1
849426dffffffff-2013-08,1
849426dffffffff-2017-07,1
849426dffffffff-2018-03,2
849426dffffffff-2018-06,2
849426dffffffff-2018-11,1
849426dffffffff-2023-04,1
8495031ffffffff-2020-01,1
84950a5ffffffff-2016-10,1
84950a5ffffffff-2022-10,4
84950a5ffffffff-2022-11,2
84950a5ffffffff-2023-08,8
84950a5ffffffff-2023-11,2
849512bffffffff-2019-05,5
8495131ffffffff-2019-01,1
