index,n
8464161ffffffff-2017-12,1
8464161ffffffff-2018-03,2
8464161ffffffff-2018-05,2
8464161ffffffff-2022-04,2
8464161ffffffff-2023-07,1
8464165ffffffff-2018-08,1
8464165ffffffff-2022-03,1
8464169ffffffff-2019-05,1
8464169ffffffff-2019-07,1
8464169ffffffff-2021-03,1
846416dffffffff-2012-01,1
846416dffffffff-2012-04,1
846416dffffffff-2012-05,1
846416dffffffff-2012-12,3
846416dffffffff-2013-01,1
846416dffffffff-2013-02,1
846416dffffffff-2013-03,3
846416dffffffff-2013-12,1
846416dffffffff-2014-01,7
846416dffffffff-2014-02,1
846416dffffffff-2014-03,8
846416dffffffff-2014-05,4
846416dffffffff-2014-12,3
846416dffffffff-2015-01,1
846416dffffffff-2015-03,1
846416dffffffff-2015-04,1
846416dffffffff-2015-05,2
846416dffffffff-2015-11,1
846416dffffffff-2015-12,2
846416dffffffff-2016-01,9
846416dffffffff-2016-02,3
846416dffffffff-2016-03,3
846416dffffffff-2016-04,2
846416dffffffff-2016-05,1
846416dffffffff-2016-06,2
846416dffffffff-2016-11,1
846416dffffffff-2017-01,6
846416dffffffff-2017-02,9
846416dffffffff-2017-03,4
846416dffffffff-2017-04,1
846416dffffffff-2017-05,3
846416dffffffff-2017-11,4
846416dffffffff-2017-12,4
846416dffffffff-2018-01,9
846416dffffffff-2018-02,13
846416dffffffff-2018-03,9
846416dffffffff-2018-04,9
846416dffffffff-2018-05,3
846416dffffffff-2018-06,4
846416dffffffff-2018-11,1
846416dffffffff-2018-12,1
846416dffffffff-2019-01,18
846416dffffffff-2019-02,6
846416dffffffff-2019-03,12
846416dffffffff-2019-04,1
846416dffffffff-2019-05,7
846416dffffffff-2019-07,7
846416dffffffff-2019-11,27
846416dffffffff-2019-12,1
846416dffffffff-2020-01,27
846416dffffffff-2020-02,19
846416dffffffff-2020-03,11
846416dffffffff-2020-07,1
846416dffffffff-2020-11,1
846416dffffffff-2021-01,1
846416dffffffff-2021-02,3
846416dffffffff-2021-03,2
846416dffffffff-2021-04,6
846416dffffffff-2021-05,5
846416dffffffff-2021-06,6
846416dffffffff-2021-10,1
846416dffffffff-2021-12,10
846416dffffffff-2022-01,5
846416dffffffff-2022-02,1
846416dffffffff-2022-03,14
846416dffffffff-2022-04,15
846416dffffffff-2022-05,11
846416dffffffff-2022-06,14
846416dffffffff-2022-07,8
846416dffffffff-2022-10,1
846416dffffffff-2022-11,13
846416dffffffff-2022-12,10
846416dffffffff-2023-01,31
846416dffffffff-2023-02,57
846416dffffffff-2023-03,21
846416dffffffff-2023-04,26
846416dffffffff-2023-05,8
846416dffffffff-2023-06,3
846416dffffffff-2023-07,2
846416dffffffff-2023-08,6
846416dffffffff-2023-10,2
846416dffffffff-2023-11,2
8464323ffffffff-2018-10,1
8464323ffffffff-2021-10,1
8464a15ffffffff-2013-02,1
8464a15ffffffff-2018-01,2
8464a15ffffffff-2023-03,2
8464a15ffffffff-2023-11,3
8464a17ffffffff-2021-06,1
8464a31ffffffff-2022-12,1
8464a31ffffffff-2023-03,1
8464a39ffffffff-2014-04,1
8464a39ffffffff-2022-05,1
8464a39ffffffff-2023-07,1
8464a3dffffffff-2023-07,1
8464a5bffffffff-2021-11,1
8464a5bffffffff-2023-03,1
8465893ffffffff-2016-08,1
8465893ffffffff-2017-09,1
8465897ffffffff-2016-09,4
8465897ffffffff-2016-10,1
8465897ffffffff-2023-11,2
