index,n
846601bffffffff-2021-06,3
8466083ffffffff-2016-06,2
8466083ffffffff-2019-05,6
8466083ffffffff-2023-02,1
8466089ffffffff-2017-09,1
8466089ffffffff-2018-09,21
8466089ffffffff-2020-11,2
8466089ffffffff-2021-12,1
8466089ffffffff-2022-09,1
8466089ffffffff-2023-08,3
8466089ffffffff-2023-10,2
8466089ffffffff-2023-11,8
846608bffffffff-2022-01,6
846608dffffffff-2020-12,2
846608dffffffff-2021-05,1
846608dffffffff-2021-06,3
8466095ffffffff-2012-07,1
8466095ffffffff-2019-05,9
8466095ffffffff-2021-02,3
846609dffffffff-2019-06,6
846609dffffffff-2019-09,3
846609dffffffff-2020-01,3
846609dffffffff-2023-01,1
84660b1ffffffff-2017-10,2
84660b1ffffffff-2018-08,2
84660b1ffffffff-2018-11,1
84660b1ffffffff-2019-03,8
84660b1ffffffff-2020-02,1
84660b1ffffffff-2020-07,1
84660b1ffffffff-2020-08,1
84660b1ffffffff-2020-09,1
84660b1ffffffff-2021-10,4
84660b1ffffffff-2021-12,1
84660b1ffffffff-2022-04,2
84660b1ffffffff-2022-08,2
84660b1ffffffff-2022-11,9
84660b3ffffffff-2016-02,1
84660b3ffffffff-2019-05,1
84660b5ffffffff-2019-03,3
84660b5ffffffff-2019-05,1
84660b5ffffffff-2019-08,1
84660b5ffffffff-2019-12,1
84660b5ffffffff-2022-01,3
84660b5ffffffff-2022-08,3
84660b5ffffffff-2023-05,1
84660b7ffffffff-2015-10,2
84660b7ffffffff-2022-04,4
84660b7ffffffff-2022-05,11
84660b7ffffffff-2022-10,7
84660b7ffffffff-2022-12,1
84660b7ffffffff-2023-01,1
84660b7ffffffff-2023-03,2
84660b7ffffffff-2023-04,3
84660b7ffffffff-2023-05,6
84660b7ffffffff-2023-11,4
84660b9ffffffff-2013-04,1
84660b9ffffffff-2016-06,1
84660b9ffffffff-2018-09,8
84660b9ffffffff-2019-05,3
84660b9ffffffff-2021-01,1
84660b9ffffffff-2021-03,1
84660b9ffffffff-2021-10,9
84660b9ffffffff-2021-11,1
84660b9ffffffff-2021-12,4
84660b9ffffffff-2022-04,3
84660b9ffffffff-2022-10,3
84660b9ffffffff-2023-01,1
84660b9ffffffff-2023-07,1
84660b9ffffffff-2023-08,1
84660b9ffffffff-2023-11,1
84660bbffffffff-2016-06,1
84660bbffffffff-2017-01,2
84660bbffffffff-2017-08,1
84660bbffffffff-2018-03,1
84660bbffffffff-2019-01,14
84660bbffffffff-2019-02,4
84660bbffffffff-2019-03,8
84660bbffffffff-2019-04,12
84660bbffffffff-2019-12,8
84660bbffffffff-2021-02,1
84660bbffffffff-2021-09,1
84660bbffffffff-2021-12,1
84660bbffffffff-2022-10,1
84660bbffffffff-2023-04,1
84660bbffffffff-2023-10,2
84660bbffffffff-2023-11,2
84660c1ffffffff-2021-02,9
84660c3ffffffff-2020-03,7
84660c3ffffffff-2020-07,9
84660c3ffffffff-2020-08,7
84660c3ffffffff-2021-04,4
84660c3ffffffff-2021-09,3
84660c3ffffffff-2021-10,3
84660c3ffffffff-2021-12,4
84660c3ffffffff-2022-01,3
84660c3ffffffff-2022-02,6
84660c3ffffffff-2022-03,4
84660c3ffffffff-2022-04,3
84660c3ffffffff-2022-07,2
84660c3ffffffff-2022-09,4
84660c3ffffffff-2022-11,5
84660d5ffffffff-2020-12,7
84660d5ffffffff-2022-03,3
84660ddffffffff-2016-07,2
84660ddffffffff-2019-04,16
84660ddffffffff-2019-05,8
84660ddffffffff-2019-09,2
84660ddffffffff-2020-01,8
84660ddffffffff-2020-09,1
84660ddffffffff-2021-05,2
84660ddffffffff-2022-01,3
84660ddffffffff-2023-09,22
84660ddffffffff-2023-10,4
846656dffffffff-2022-12,4
8466e01ffffffff-2017-04,1
8466e01ffffffff-2018-06,2
8466e01ffffffff-2022-04,4
8466e07ffffffff-2022-12,1
8466e09ffffffff-2013-02,1
8466e09ffffffff-2013-06,1
8466e09ffffffff-2013-08,2
