index,n
8466001ffffffff-2019-10,1
8466001ffffffff-2023-04,1
8466001ffffffff-2023-05,1
8466003ffffffff-2021-08,1
8466005ffffffff-2017-12,1
8466005ffffffff-2018-01,1
8466005ffffffff-2018-06,1
8466005ffffffff-2019-01,3
8466005ffffffff-2019-03,3
8466005ffffffff-2019-04,1
8466005ffffffff-2019-05,1
8466005ffffffff-2019-06,2
8466005ffffffff-2019-09,4
8466005ffffffff-2019-10,6
8466005ffffffff-2019-12,3
8466005ffffffff-2020-01,4
8466005ffffffff-2020-02,6
8466005ffffffff-2020-06,2
8466005ffffffff-2020-09,2
8466005ffffffff-2020-10,2
8466005ffffffff-2020-11,1
8466005ffffffff-2021-01,1
8466005ffffffff-2021-05,5
8466005ffffffff-2021-07,1
8466005ffffffff-2021-08,1
8466005ffffffff-2021-10,3
8466005ffffffff-2021-12,1
8466005ffffffff-2022-01,2
8466005ffffffff-2022-03,4
8466005ffffffff-2022-04,1
8466005ffffffff-2022-07,1
8466005ffffffff-2022-08,1
8466005ffffffff-2022-10,3
8466005ffffffff-2023-05,1
8466005ffffffff-2023-06,1
8466005ffffffff-2023-08,1
8466005ffffffff-2023-09,3
8466007ffffffff-2017-08,1
8466007ffffffff-2018-01,1
8466007ffffffff-2018-05,3
8466007ffffffff-2018-06,1
8466007ffffffff-2019-01,3
8466007ffffffff-2019-08,4
8466007ffffffff-2019-09,2
8466007ffffffff-2019-10,2
8466007ffffffff-2019-12,1
8466007ffffffff-2020-01,1
8466007ffffffff-2020-05,1
8466007ffffffff-2020-08,3
8466007ffffffff-2020-10,2
8466007ffffffff-2020-11,1
8466007ffffffff-2021-01,1
8466007ffffffff-2022-01,2
8466007ffffffff-2022-04,1
8466007ffffffff-2022-05,2
8466007ffffffff-2022-11,1
8466007ffffffff-2023-02,2
8466007ffffffff-2023-04,1
8466007ffffffff-2023-05,1
8466007ffffffff-2023-08,1
8466009ffffffff-2016-11,1
8466009ffffffff-2017-03,1
8466009ffffffff-2017-04,2
8466009ffffffff-2018-08,2
8466009ffffffff-2021-04,1
8466009ffffffff-2021-07,1
8466009ffffffff-2022-08,1
8466009ffffffff-2023-08,6
846600dffffffff-2016-02,1
846600dffffffff-2018-05,2
846600dffffffff-2019-04,1
846600dffffffff-2020-10,3
846600dffffffff-2020-12,2
846600dffffffff-2021-10,2
846600dffffffff-2022-07,1
846600dffffffff-2022-08,1
846600dffffffff-2022-09,4
846600dffffffff-2023-03,1
846600dffffffff-2023-05,4
8466011ffffffff-2021-05,1
8466013ffffffff-2020-11,1
8466013ffffffff-2021-03,9
