index,n
843cc89ffffffff-2018-08,1
843ccbbffffffff-2013-09,1
843ccc9ffffffff-2022-03,1
843cd8bffffffff-2019-12,1
843cdb1ffffffff-2020-02,1
843cdb7ffffffff-2013-04,1
8440499ffffffff-2019-01,1
8441491ffffffff-2020-12,1
84414d9ffffffff-2021-01,4
84414d9ffffffff-2023-01,1
84414d9ffffffff-2023-06,1
8441681ffffffff-2020-01,1
844168bffffffff-2022-07,1
84416abffffffff-2020-01,1
84416bdffffffff-2012-03,1
84416c1ffffffff-2017-12,5
84416c1ffffffff-2018-06,1
84416c1ffffffff-2018-08,1
84416c1ffffffff-2019-02,2
84416c1ffffffff-2020-03,1
84416c1ffffffff-2020-05,2
84416c1ffffffff-2020-06,5
84416c1ffffffff-2020-08,2
84416c1ffffffff-2021-03,1
84416c1ffffffff-2022-07,1
84416c1ffffffff-2022-08,1
84416c3ffffffff-2018-01,3
84416c3ffffffff-2018-04,1
84416c3ffffffff-2019-12,1
84416c3ffffffff-2021-11,1
84416cdffffffff-2018-01,3
84416cdffffffff-2019-12,2
84416d1ffffffff-2021-11,1
84416d3ffffffff-2019-10,1
84416d5ffffffff-2021-09,1
84416d5ffffffff-2022-02,1
84416d5ffffffff-2022-12,1
84416d5ffffffff-2023-01,2
84416d5ffffffff-2023-03,1
84416d5ffffffff-2023-08,1
84416d5ffffffff-2023-09,1
84416d7ffffffff-2022-08,1
84416d7ffffffff-2022-09,2
84416d7ffffffff-2023-06,3
84416d7ffffffff-2023-10,8
84416dbffffffff-2023-10,1
84416ddffffffff-2021-10,1
84416ddffffffff-2022-01,1
84416ddffffffff-2022-02,1
84416ddffffffff-2022-09,1
84416ddffffffff-2023-02,1
84416ddffffffff-2023-03,1
84416e1ffffffff-2015-02,1
84416ebffffffff-2023-11,1
846416dffffffff-2018-03,2
846416dffffffff-2020-01,1
846416dffffffff-2022-10,1
846416dffffffff-2023-02,4
846416dffffffff-2023-04,2
846416dffffffff-2023-06,1
8464323ffffffff-2015-10,1
8464323ffffffff-2015-11,2
8464323ffffffff-2017-10,3
8464323ffffffff-2017-11,1
8464323ffffffff-2018-10,5
8464323ffffffff-2018-11,21
8464323ffffffff-2019-10,13
8464323ffffffff-2022-10,2
8464323ffffffff-2023-10,72
8464323ffffffff-2023-11,1
8464327ffffffff-2023-10,6
8464803ffffffff-2021-02,1
8464803ffffffff-2022-09,1
8464805ffffffff-2019-10,1
8464805ffffffff-2023-02,1
8464805ffffffff-2023-04,1
8464805ffffffff-2023-11,1
8464807ffffffff-2021-11,1
846480bffffffff-2015-05,1
846480bffffffff-2018-03,1
846480bffffffff-2022-09,1
846480dffffffff-2012-12,1
846480dffffffff-2016-02,3
846480dffffffff-2016-07,3
846480dffffffff-2017-03,4
846480dffffffff-2017-11,5
846480dffffffff-2018-01,1
846480dffffffff-2018-04,1
846480dffffffff-2018-08,1
846480dffffffff-2018-11,2
846480dffffffff-2019-02,1
846480dffffffff-2019-04,1
846480dffffffff-2020-01,8
846480dffffffff-2020-02,2
846480dffffffff-2022-01,1
846480dffffffff-2022-03,1
846480dffffffff-2022-11,11
846480dffffffff-2023-02,6
846480dffffffff-2023-03,2
846480dffffffff-2023-06,1
846480dffffffff-2023-07,2
8464821ffffffff-2012-03,1
8464821ffffffff-2012-11,1
8464821ffffffff-2013-12,1
8464821ffffffff-2015-02,2
8464821ffffffff-2015-11,1
8464821ffffffff-2015-12,1
8464821ffffffff-2016-02,2
8464821ffffffff-2016-03,2
8464821ffffffff-2016-05,1
8464821ffffffff-2016-06,1
8464821ffffffff-2016-10,1
8464821ffffffff-2016-12,1
8464821ffffffff-2017-01,1
8464821ffffffff-2017-02,1
8464821ffffffff-2017-03,1
8464821ffffffff-2017-04,2
8464821ffffffff-2018-01,1
8464821ffffffff-2018-02,1
8464821ffffffff-2018-06,1
8464821ffffffff-2018-10,1
8464821ffffffff-2019-01,1
8464821ffffffff-2019-02,4
8464821ffffffff-2019-03,1
8464821ffffffff-2019-10,1
8464821ffffffff-2019-11,1
8464821ffffffff-2020-01,1
8464821ffffffff-2020-02,1
8464821ffffffff-2020-05,1
8464821ffffffff-2020-10,1
8464821ffffffff-2021-08,1
8464821ffffffff-2022-01,1
8464821ffffffff-2022-02,1
8464821ffffffff-2022-11,2
8464821ffffffff-2022-12,2
8464821ffffffff-2023-02,1
8464821ffffffff-2023-05,1
8464821ffffffff-2023-08,1
8464821ffffffff-2023-10,3
8464821ffffffff-2023-11,5
8464823ffffffff-2019-01,1
8464823ffffffff-2023-04,1
8464825ffffffff-2013-02,2
8464825ffffffff-2013-12,2
8464825ffffffff-2014-02,6
8464825ffffffff-2014-11,1
8464825ffffffff-2014-12,1
8464825ffffffff-2015-02,3
8464825ffffffff-2016-01,2
