index,n
8466081ffffffff-2023-02,1
8466083ffffffff-2016-07,1
8466085ffffffff-2018-02,2
8466087ffffffff-2021-06,3
8466089ffffffff-2016-11,1
8466089ffffffff-2017-06,2
8466089ffffffff-2017-10,6
8466089ffffffff-2017-12,5
8466089ffffffff-2018-05,7
8466089ffffffff-2018-07,1
8466089ffffffff-2018-09,7
8466089ffffffff-2019-05,2
8466089ffffffff-2019-11,4
8466089ffffffff-2020-02,6
8466089ffffffff-2020-11,1
8466089ffffffff-2021-11,7
8466089ffffffff-2021-12,4
8466089ffffffff-2022-01,1
8466089ffffffff-2022-02,2
8466089ffffffff-2022-06,1
8466089ffffffff-2022-07,3
8466089ffffffff-2022-08,1
8466089ffffffff-2022-11,1
8466089ffffffff-2023-01,1
8466089ffffffff-2023-05,2
8466089ffffffff-2023-08,2
8466089ffffffff-2023-09,4
846608dffffffff-2013-12,1
846608dffffffff-2015-03,8
846608dffffffff-2016-12,2
846608dffffffff-2017-01,1
846608dffffffff-2017-02,1
846608dffffffff-2017-03,3
846608dffffffff-2017-10,1
846608dffffffff-2019-01,3
846608dffffffff-2019-02,3
846608dffffffff-2019-03,3
846608dffffffff-2019-06,3
846608dffffffff-2019-11,4
846608dffffffff-2020-02,1
846608dffffffff-2020-05,2
846608dffffffff-2022-03,2
846608dffffffff-2022-06,1
846608dffffffff-2023-02,4
84660b1ffffffff-2021-10,1
84660b3ffffffff-2012-12,1
84660b3ffffffff-2015-08,1
84660b3ffffffff-2016-02,1
84660b3ffffffff-2020-04,1
84660b3ffffffff-2021-01,1
84660b3ffffffff-2021-02,2
84660b3ffffffff-2021-07,1
84660b3ffffffff-2021-08,1
84660b3ffffffff-2021-10,1
84660b3ffffffff-2021-11,1
84660b3ffffffff-2022-01,1
84660b3ffffffff-2022-05,2
84660b3ffffffff-2022-08,4
84660b3ffffffff-2022-10,5
84660b3ffffffff-2022-12,2
84660b3ffffffff-2023-01,6
84660b3ffffffff-2023-04,4
84660b3ffffffff-2023-08,10
84660b7ffffffff-2017-03,2
84660b7ffffffff-2017-05,1
84660b7ffffffff-2017-06,3
84660b7ffffffff-2019-04,1
84660b7ffffffff-2019-11,6
84660b7ffffffff-2020-01,10
84660b7ffffffff-2021-01,1
84660b7ffffffff-2021-10,2
84660b7ffffffff-2022-01,4
84660b7ffffffff-2022-06,1
84660b7ffffffff-2022-12,1
84660b7ffffffff-2023-02,4
84660b7ffffffff-2023-05,2
84660b7ffffffff-2023-09,9
84660b7ffffffff-2023-10,1
84660b9ffffffff-2015-05,2
84660b9ffffffff-2021-06,1
84660b9ffffffff-2021-07,1
84660b9ffffffff-2021-10,1
84660b9ffffffff-2021-11,1
84660b9ffffffff-2022-01,1
84660b9ffffffff-2022-07,1
84660b9ffffffff-2022-10,1
84660bbffffffff-2015-03,1
84660bbffffffff-2016-10,2
84660bbffffffff-2022-11,2
84660bdffffffff-2017-05,2
84660bdffffffff-2019-05,4
84660bdffffffff-2019-06,3
84660bdffffffff-2019-08,1
84660bdffffffff-2019-09,4
84660bdffffffff-2019-10,4
84660bdffffffff-2020-08,3
84660bdffffffff-2021-02,2
84660bdffffffff-2021-03,4
84660bdffffffff-2021-04,2
84660bdffffffff-2021-10,1
84660bdffffffff-2023-05,3
84660c1ffffffff-2021-06,7
84660c1ffffffff-2021-08,1
84660c1ffffffff-2022-10,1
84660c1ffffffff-2022-12,2
84660c1ffffffff-2023-10,2
84660c7ffffffff-2023-08,2
84660cbffffffff-2016-05,3
84660cbffffffff-2023-03,6
84660cbffffffff-2023-05,24
84660cbffffffff-2023-06,14
84660cbffffffff-2023-09,4
84660cdffffffff-2022-05,1
84660ddffffffff-2016-06,2
84660ddffffffff-2016-07,1
84660ddffffffff-2020-03,10
84660ddffffffff-2021-04,1
84660ddffffffff-2022-03,2
84660ddffffffff-2022-09,2
84660ddffffffff-2023-10,1
8466181ffffffff-2015-03,1
8466181ffffffff-2016-09,2
8466181ffffffff-2017-07,1
8466181ffffffff-2018-05,7
8466181ffffffff-2018-06,3
8466181ffffffff-2018-10,1
8466181ffffffff-2019-02,1
8466181ffffffff-2019-05,1
8466181ffffffff-2020-01,1
8466181ffffffff-2020-10,3
8466181ffffffff-2020-11,2
