index,n
8412c1bffffffff-2021-06,9
8412d17ffffffff-2012-04,1
8412da5ffffffff-2019-06,4
8412da7ffffffff-2018-05,2
8412dcbffffffff-2014-03,1
8426801ffffffff-2013-03,1
8426801ffffffff-2015-06,2
8426801ffffffff-2015-07,1
8426801ffffffff-2016-08,1
8426801ffffffff-2019-04,1
8426801ffffffff-2019-05,1
8426801ffffffff-2021-04,1
8426801ffffffff-2022-08,1
8426801ffffffff-2023-03,1
8426801ffffffff-2023-04,3
8426803ffffffff-2018-07,1
8426805ffffffff-2015-06,2
8426805ffffffff-2017-07,1
8426805ffffffff-2018-08,2
8426805ffffffff-2019-06,1
8426809ffffffff-2021-06,1
8426809ffffffff-2021-07,1
8426809ffffffff-2023-07,1
842680bffffffff-2012-07,1
842680bffffffff-2013-05,1
842680bffffffff-2014-07,3
842680bffffffff-2014-08,1
842680bffffffff-2015-06,1
842680bffffffff-2015-08,1
842680bffffffff-2016-05,1
842680bffffffff-2016-07,1
842680bffffffff-2017-08,2
842680bffffffff-2018-03,1
842680bffffffff-2018-07,4
842680bffffffff-2019-04,2
842680bffffffff-2019-06,2
842680bffffffff-2020-06,4
842680bffffffff-2020-08,2
842680bffffffff-2021-06,4
842680bffffffff-2021-09,2
842680bffffffff-2022-05,1
842680bffffffff-2022-06,3
842680bffffffff-2022-07,2
842680bffffffff-2023-06,1
842680bffffffff-2023-07,4
842680bffffffff-2023-08,1
842680bffffffff-2023-09,1
842680dffffffff-2017-08,1
842680dffffffff-2018-04,1
842680dffffffff-2018-05,2
842680dffffffff-2023-07,1
8426811ffffffff-2021-05,3
8426813ffffffff-2017-03,1
8426815ffffffff-2015-06,1
8426819ffffffff-2020-03,6
8426819ffffffff-2020-04,7
8426819ffffffff-2023-04,21
842681bffffffff-2012-03,3
842681bffffffff-2012-04,3
842681bffffffff-2013-03,1
842681bffffffff-2018-03,17
842681bffffffff-2018-04,8
842681bffffffff-2019-05,7
842681bffffffff-2019-10,5
842681bffffffff-2020-04,25
842681bffffffff-2020-10,39
842681bffffffff-2021-03,1
842681bffffffff-2023-03,7
842681bffffffff-2023-04,4
842681bffffffff-2023-09,1
842681bffffffff-2023-10,1
8426821ffffffff-2018-07,1
8426821ffffffff-2018-09,1
8426821ffffffff-2018-10,1
8426823ffffffff-2020-03,2
8426823ffffffff-2020-09,1
8426825ffffffff-2012-05,2
8426825ffffffff-2013-06,1
8426825ffffffff-2014-05,1
8426825ffffffff-2014-06,18
8426825ffffffff-2014-07,17
8426825ffffffff-2015-05,2
8426825ffffffff-2015-07,1
8426825ffffffff-2015-09,2
8426825ffffffff-2016-03,1
8426825ffffffff-2016-04,3
8426825ffffffff-2016-05,3
8426825ffffffff-2016-06,1
8426825ffffffff-2017-03,1
8426825ffffffff-2018-04,1
8426825ffffffff-2019-04,2
8426825ffffffff-2019-06,1
8426825ffffffff-2020-03,2
8426825ffffffff-2020-04,1
8426825ffffffff-2020-05,2
8426825ffffffff-2020-08,4
8426825ffffffff-2021-05,2
8426825ffffffff-2021-06,3
8426825ffffffff-2021-07,2
8426825ffffffff-2022-04,1
8426825ffffffff-2022-05,1
8426825ffffffff-2022-06,6
8426825ffffffff-2022-09,3
8426825ffffffff-2023-04,1
8426825ffffffff-2023-05,1
8426825ffffffff-2023-09,1
8426827ffffffff-2015-06,1
8426827ffffffff-2023-09,2
8426829ffffffff-2015-03,1
8426829ffffffff-2016-04,5
8426829ffffffff-2016-06,1
8426829ffffffff-2019-04,4
8426829ffffffff-2020-05,4
8426829ffffffff-2021-05,1
8426829ffffffff-2022-04,1
8426829ffffffff-2023-04,3
842682dffffffff-2014-05,1
842682dffffffff-2016-06,1
842682dffffffff-2017-06,1
842682dffffffff-2020-05,3
842682dffffffff-2020-08,2
842682dffffffff-2021-04,1
842682dffffffff-2021-06,1
842682dffffffff-2022-06,1
8426831ffffffff-2020-04,2
8426831ffffffff-2021-06,1
8426839ffffffff-2018-09,1
842683dffffffff-2020-07,1
8426841ffffffff-2018-07,2
8426841ffffffff-2018-09,1
8426841ffffffff-2019-05,1
8426841ffffffff-2019-06,2
8426841ffffffff-2019-07,1
8426841ffffffff-2020-05,6
8426841ffffffff-2020-06,3
8426841ffffffff-2020-07,1
8426841ffffffff-2021-05,2
8426841ffffffff-2021-06,2
8426841ffffffff-2021-08,2
8426841ffffffff-2022-07,1
8426841ffffffff-2023-06,1
8426841ffffffff-2023-07,1
8426843ffffffff-2012-08,1
8426843ffffffff-2020-05,2
8426843ffffffff-2020-08,1
8426845ffffffff-2018-04,2
8426845ffffffff-2018-05,1
8426845ffffffff-2018-06,2
8426845ffffffff-2018-07,2
8426845ffffffff-2018-08,5
8426845ffffffff-2018-09,1
8426845ffffffff-2019-04,1
8426845ffffffff-2019-06,1
8426845ffffffff-2020-04,1
8426845ffffffff-2020-05,3
8426845ffffffff-2020-06,4
8426845ffffffff-2020-07,2
8426845ffffffff-2022-05,3
8426845ffffffff-2022-06,4
8426845ffffffff-2023-06,4
8426847ffffffff-2018-04,2
8426847ffffffff-2019-07,2
8426847ffffffff-2023-06,1
8426849ffffffff-2018-09,4
8426849ffffffff-2019-06,1
8426849ffffffff-2019-08,2
8426849ffffffff-2020-05,2
8426849ffffffff-2022-05,1
8426849ffffffff-2022-07,1
8426849ffffffff-2023-06,2
842684bffffffff-2019-07,1
842684dffffffff-2015-08,1
842684dffffffff-2016-06,1
842684dffffffff-2017-05,1
842684dffffffff-2019-05,1
842684dffffffff-2019-06,2
842684dffffffff-2019-08,1
842684dffffffff-2020-04,1
842684dffffffff-2020-06,2
842684dffffffff-2021-04,1
842684dffffffff-2022-03,1
842684dffffffff-2022-07,1
842684dffffffff-2023-06,1
8426851ffffffff-2012-04,1
8426851ffffffff-2012-09,4
8426851ffffffff-2013-08,2
8426851ffffffff-2016-08,1
8426851ffffffff-2018-05,1
8426851ffffffff-2018-08,2
8426851ffffffff-2023-07,1
8426853ffffffff-2018-04,2
8426853ffffffff-2021-03,13
