index,n
8466203ffffffff-2019-05,1
8466205ffffffff-2021-06,1
8466205ffffffff-2022-06,1
8466205ffffffff-2023-05,2
8466207ffffffff-2016-11,1
8466207ffffffff-2019-07,4
8466207ffffffff-2020-02,2
846622bffffffff-2012-01,4
846622bffffffff-2012-02,1
846622bffffffff-2012-03,1
846622bffffffff-2012-06,1
846622bffffffff-2012-08,1
846622bffffffff-2012-12,2
846622bffffffff-2013-01,3
846622bffffffff-2013-02,6
846622bffffffff-2013-05,6
846622bffffffff-2013-06,2
846622bffffffff-2013-07,3
846622bffffffff-2013-09,2
846622bffffffff-2013-12,2
846622bffffffff-2014-01,19
846622bffffffff-2014-02,3
846622bffffffff-2014-03,14
846622bffffffff-2014-04,9
846622bffffffff-2014-07,2
846622bffffffff-2014-08,2
846622bffffffff-2014-09,2
846622bffffffff-2014-10,1
846622bffffffff-2014-11,2
846622bffffffff-2015-01,13
846622bffffffff-2015-02,5
846622bffffffff-2015-03,24
846622bffffffff-2015-04,2
846622bffffffff-2015-05,3
846622bffffffff-2015-07,4
846622bffffffff-2015-08,3
846622bffffffff-2015-10,1
846622bffffffff-2015-11,6
846622bffffffff-2015-12,2
846622bffffffff-2016-01,10
846622bffffffff-2016-02,10
846622bffffffff-2016-03,10
846622bffffffff-2016-04,8
846622bffffffff-2016-05,5
846622bffffffff-2016-06,2
846622bffffffff-2016-07,9
846622bffffffff-2016-08,2
846622bffffffff-2016-09,4
846622bffffffff-2016-10,2
846622bffffffff-2016-11,15
846622bffffffff-2016-12,10
846622bffffffff-2017-01,13
846622bffffffff-2017-02,33
846622bffffffff-2017-03,17
846622bffffffff-2017-05,7
846622bffffffff-2017-07,20
846622bffffffff-2017-08,5
846622bffffffff-2017-09,1
846622bffffffff-2017-10,6
846622bffffffff-2017-11,17
846622bffffffff-2017-12,15
846622bffffffff-2018-01,22
846622bffffffff-2018-02,50
846622bffffffff-2018-03,25
846622bffffffff-2018-04,9
846622bffffffff-2018-05,29
846622bffffffff-2018-06,34
846622bffffffff-2018-07,11
846622bffffffff-2018-08,8
846622bffffffff-2018-09,19
846622bffffffff-2018-10,3
846622bffffffff-2018-11,6
846622bffffffff-2018-12,25
846622bffffffff-2019-01,35
846622bffffffff-2019-02,39
846622bffffffff-2019-03,39
846622bffffffff-2019-04,11
846622bffffffff-2019-05,6
846622bffffffff-2019-06,7
846622bffffffff-2019-07,33
846622bffffffff-2019-08,55
846622bffffffff-2019-09,7
846622bffffffff-2019-10,36
846622bffffffff-2019-11,44
846622bffffffff-2019-12,20
846622bffffffff-2020-01,42
846622bffffffff-2020-02,53
846622bffffffff-2020-03,29
846622bffffffff-2020-05,3
846622bffffffff-2020-06,4
846622bffffffff-2020-07,2
846622bffffffff-2020-08,3
846622bffffffff-2020-09,2
846622bffffffff-2020-10,5
846622bffffffff-2020-11,3
846622bffffffff-2020-12,8
846622bffffffff-2021-01,1
846622bffffffff-2021-02,8
846622bffffffff-2021-03,14
846622bffffffff-2021-04,11
846622bffffffff-2021-05,7
846622bffffffff-2021-06,7
846622bffffffff-2021-07,9
846622bffffffff-2021-08,6
846622bffffffff-2021-09,18
846622bffffffff-2021-10,4
846622bffffffff-2021-11,12
846622bffffffff-2021-12,47
846622bffffffff-2022-01,56
846622bffffffff-2022-02,71
846622bffffffff-2022-03,41
846622bffffffff-2022-04,16
846622bffffffff-2022-05,51
846622bffffffff-2022-06,23
846622bffffffff-2022-07,59
846622bffffffff-2022-08,15
846622bffffffff-2022-09,27
846622bffffffff-2022-10,26
846622bffffffff-2022-11,50
846622bffffffff-2022-12,97
846622bffffffff-2023-01,69
846622bffffffff-2023-02,119
846622bffffffff-2023-03,54
846622bffffffff-2023-04,44
846622bffffffff-2023-05,32
846622bffffffff-2023-06,24
846622bffffffff-2023-07,70
846622bffffffff-2023-08,30
846622bffffffff-2023-09,21
846622bffffffff-2023-10,43
846622bffffffff-2023-11,32
8466231ffffffff-2015-04,1
846623dffffffff-2013-11,1
846623dffffffff-2015-04,1
846623dffffffff-2016-11,1
846623dffffffff-2016-12,3
846623dffffffff-2017-02,2
846623dffffffff-2017-03,2
846623dffffffff-2017-12,2
846623dffffffff-2018-01,6
846623dffffffff-2018-03,2
846623dffffffff-2018-06,4
846623dffffffff-2019-01,5
846623dffffffff-2019-03,1
846623dffffffff-2019-05,5
846623dffffffff-2020-01,3
846623dffffffff-2020-10,3
846623dffffffff-2021-02,2
846623dffffffff-2021-05,2
846623dffffffff-2021-07,1
846623dffffffff-2021-12,4
846623dffffffff-2022-02,7
846623dffffffff-2022-07,2
846623dffffffff-2023-01,12
