index,n
8466207ffffffff-2014-03,1
8466207ffffffff-2017-12,2
8466207ffffffff-2018-03,1
8466207ffffffff-2019-03,1
8466207ffffffff-2019-05,1
8466207ffffffff-2019-07,1
8466207ffffffff-2020-02,4
846622bffffffff-2012-01,3
846622bffffffff-2012-02,2
846622bffffffff-2012-03,1
846622bffffffff-2012-04,3
846622bffffffff-2012-05,2
846622bffffffff-2012-06,4
846622bffffffff-2012-07,1
846622bffffffff-2012-08,1
846622bffffffff-2012-11,3
846622bffffffff-2012-12,3
846622bffffffff-2013-01,12
846622bffffffff-2013-02,17
846622bffffffff-2013-03,4
846622bffffffff-2013-04,2
846622bffffffff-2013-05,9
846622bffffffff-2013-06,1
846622bffffffff-2013-07,1
846622bffffffff-2013-09,3
846622bffffffff-2013-10,1
846622bffffffff-2013-11,3
846622bffffffff-2013-12,7
846622bffffffff-2014-01,24
846622bffffffff-2014-02,9
846622bffffffff-2014-03,16
846622bffffffff-2014-04,10
846622bffffffff-2014-05,2
846622bffffffff-2014-06,1
846622bffffffff-2014-07,2
846622bffffffff-2014-08,4
846622bffffffff-2014-09,1
846622bffffffff-2014-10,3
846622bffffffff-2014-11,8
846622bffffffff-2014-12,5
846622bffffffff-2015-01,18
846622bffffffff-2015-02,16
846622bffffffff-2015-03,18
846622bffffffff-2015-04,9
846622bffffffff-2015-05,1
846622bffffffff-2015-06,3
846622bffffffff-2015-07,2
846622bffffffff-2015-08,2
846622bffffffff-2015-09,3
846622bffffffff-2015-10,10
846622bffffffff-2015-11,8
846622bffffffff-2015-12,4
846622bffffffff-2016-01,13
846622bffffffff-2016-02,16
846622bffffffff-2016-03,11
846622bffffffff-2016-04,4
846622bffffffff-2016-06,1
846622bffffffff-2016-07,7
846622bffffffff-2016-09,1
846622bffffffff-2016-10,2
846622bffffffff-2016-11,6
846622bffffffff-2016-12,5
846622bffffffff-2017-01,2
846622bffffffff-2017-02,17
846622bffffffff-2017-03,11
846622bffffffff-2017-04,8
846622bffffffff-2017-05,7
846622bffffffff-2017-07,13
846622bffffffff-2017-08,1
846622bffffffff-2017-10,6
846622bffffffff-2017-11,10
846622bffffffff-2017-12,10
846622bffffffff-2018-01,24
846622bffffffff-2018-02,30
846622bffffffff-2018-03,19
846622bffffffff-2018-04,11
846622bffffffff-2018-05,3
846622bffffffff-2018-06,20
846622bffffffff-2018-07,9
846622bffffffff-2018-08,5
846622bffffffff-2018-09,14
846622bffffffff-2018-11,8
846622bffffffff-2018-12,27
846622bffffffff-2019-01,24
846622bffffffff-2019-02,37
846622bffffffff-2019-03,42
846622bffffffff-2019-04,7
846622bffffffff-2019-05,10
846622bffffffff-2019-06,10
846622bffffffff-2019-07,23
846622bffffffff-2019-08,32
846622bffffffff-2019-09,2
846622bffffffff-2019-10,13
846622bffffffff-2019-11,26
846622bffffffff-2019-12,20
846622bffffffff-2020-01,38
846622bffffffff-2020-02,52
846622bffffffff-2020-03,30
846622bffffffff-2020-04,2
846622bffffffff-2020-05,4
846622bffffffff-2020-06,2
846622bffffffff-2020-07,6
846622bffffffff-2020-08,2
846622bffffffff-2020-09,12
846622bffffffff-2020-10,10
846622bffffffff-2020-11,4
846622bffffffff-2020-12,7
846622bffffffff-2021-01,6
846622bffffffff-2021-02,4
846622bffffffff-2021-03,13
846622bffffffff-2021-04,6
846622bffffffff-2021-05,2
846622bffffffff-2021-06,10
846622bffffffff-2021-07,6
846622bffffffff-2021-08,7
846622bffffffff-2021-09,18
846622bffffffff-2021-10,4
846622bffffffff-2021-11,3
846622bffffffff-2021-12,52
846622bffffffff-2022-01,34
846622bffffffff-2022-02,53
846622bffffffff-2022-03,39
846622bffffffff-2022-04,24
846622bffffffff-2022-05,48
846622bffffffff-2022-06,41
846622bffffffff-2022-07,48
846622bffffffff-2022-08,12
846622bffffffff-2022-09,22
846622bffffffff-2022-10,15
846622bffffffff-2022-11,17
846622bffffffff-2022-12,42
846622bffffffff-2023-01,24
846622bffffffff-2023-02,89
846622bffffffff-2023-03,75
846622bffffffff-2023-04,43
846622bffffffff-2023-05,18
846622bffffffff-2023-06,5
846622bffffffff-2023-07,36
846622bffffffff-2023-08,13
846622bffffffff-2023-09,4
846622bffffffff-2023-10,11
846622bffffffff-2023-11,24
8466239ffffffff-2020-01,1
846623dffffffff-2018-01,4
846623dffffffff-2019-01,3
846623dffffffff-2019-05,1
846623dffffffff-2021-01,5
846623dffffffff-2021-04,6
846623dffffffff-2021-05,3
846623dffffffff-2021-07,2
846623dffffffff-2021-12,3
846623dffffffff-2022-02,1
846623dffffffff-2022-04,6
846623dffffffff-2022-07,2
846623dffffffff-2023-01,1
846623dffffffff-2023-07,1
