index,n
8466201ffffffff-2019-02,4
8466201ffffffff-2020-02,3
8466203ffffffff-2020-03,8
8466205ffffffff-2021-06,1
8466205ffffffff-2021-12,1
8466205ffffffff-2022-04,1
8466215ffffffff-2023-04,1
846622bffffffff-2012-01,8
846622bffffffff-2012-02,1
846622bffffffff-2012-05,2
846622bffffffff-2012-06,2
846622bffffffff-2012-10,5
846622bffffffff-2012-12,5
846622bffffffff-2013-01,1
846622bffffffff-2013-02,6
846622bffffffff-2013-04,1
846622bffffffff-2013-05,6
846622bffffffff-2013-06,1
846622bffffffff-2013-07,3
846622bffffffff-2013-09,17
846622bffffffff-2013-10,1
846622bffffffff-2013-11,6
846622bffffffff-2013-12,6
846622bffffffff-2014-01,9
846622bffffffff-2014-02,2
846622bffffffff-2014-03,4
846622bffffffff-2014-06,2
846622bffffffff-2014-07,3
846622bffffffff-2014-08,4
846622bffffffff-2014-09,3
846622bffffffff-2014-10,1
846622bffffffff-2014-11,8
846622bffffffff-2014-12,5
846622bffffffff-2015-01,31
846622bffffffff-2015-02,14
846622bffffffff-2015-03,23
846622bffffffff-2015-04,3
846622bffffffff-2015-05,3
846622bffffffff-2015-07,3
846622bffffffff-2015-08,4
846622bffffffff-2015-09,5
846622bffffffff-2015-10,5
846622bffffffff-2015-11,17
846622bffffffff-2015-12,3
846622bffffffff-2016-01,9
846622bffffffff-2016-02,10
846622bffffffff-2016-03,6
846622bffffffff-2016-04,3
846622bffffffff-2016-06,2
846622bffffffff-2016-07,12
846622bffffffff-2016-08,3
846622bffffffff-2016-09,2
846622bffffffff-2016-11,9
846622bffffffff-2016-12,6
846622bffffffff-2017-01,2
846622bffffffff-2017-02,7
846622bffffffff-2017-03,6
846622bffffffff-2017-05,3
846622bffffffff-2017-07,32
846622bffffffff-2017-08,7
846622bffffffff-2017-09,1
846622bffffffff-2017-10,7
846622bffffffff-2017-11,24
846622bffffffff-2017-12,16
846622bffffffff-2018-01,24
846622bffffffff-2018-02,26
846622bffffffff-2018-03,17
846622bffffffff-2018-04,5
846622bffffffff-2018-05,10
846622bffffffff-2018-06,14
846622bffffffff-2018-07,11
846622bffffffff-2018-08,7
846622bffffffff-2018-09,7
846622bffffffff-2018-10,2
846622bffffffff-2018-11,14
846622bffffffff-2018-12,27
846622bffffffff-2019-01,31
846622bffffffff-2019-02,31
846622bffffffff-2019-03,31
846622bffffffff-2019-04,3
846622bffffffff-2019-05,3
846622bffffffff-2019-06,3
846622bffffffff-2019-07,17
846622bffffffff-2019-08,60
846622bffffffff-2019-09,7
846622bffffffff-2019-10,38
846622bffffffff-2019-11,46
846622bffffffff-2019-12,35
846622bffffffff-2020-01,53
846622bffffffff-2020-02,43
846622bffffffff-2020-03,27
846622bffffffff-2020-05,1
846622bffffffff-2020-07,2
846622bffffffff-2020-08,3
846622bffffffff-2020-09,12
846622bffffffff-2020-10,20
846622bffffffff-2020-11,12
846622bffffffff-2020-12,9
846622bffffffff-2021-01,7
846622bffffffff-2021-02,2
846622bffffffff-2021-03,16
846622bffffffff-2021-04,10
846622bffffffff-2021-05,4
846622bffffffff-2021-06,1
846622bffffffff-2021-07,10
846622bffffffff-2021-08,8
846622bffffffff-2021-09,34
846622bffffffff-2021-10,11
846622bffffffff-2021-11,26
846622bffffffff-2021-12,107
846622bffffffff-2022-01,91
846622bffffffff-2022-02,63
846622bffffffff-2022-03,14
846622bffffffff-2022-05,20
846622bffffffff-2022-06,24
846622bffffffff-2022-07,50
846622bffffffff-2022-08,24
846622bffffffff-2022-09,42
846622bffffffff-2022-10,19
846622bffffffff-2022-11,64
846622bffffffff-2022-12,134
846622bffffffff-2023-01,108
846622bffffffff-2023-02,121
846622bffffffff-2023-03,59
846622bffffffff-2023-04,9
846622bffffffff-2023-05,12
846622bffffffff-2023-06,16
846622bffffffff-2023-07,117
846622bffffffff-2023-08,56
846622bffffffff-2023-09,50
846622bffffffff-2023-10,55
846622bffffffff-2023-11,58
8466231ffffffff-2018-06,2
8466239ffffffff-2012-04,1
8466239ffffffff-2022-03,1
846623dffffffff-2019-01,3
846623dffffffff-2019-05,2
846623dffffffff-2021-01,5
846623dffffffff-2021-04,2
846623dffffffff-2021-05,1
846623dffffffff-2021-07,1
846623dffffffff-2022-04,6
846623dffffffff-2022-07,1
846623dffffffff-2023-01,5
