index,n
840888dffffffff-2013-09,1
840888dffffffff-2013-10,1
840888dffffffff-2013-12,1
8409a47ffffffff-2019-06,1
8409a69ffffffff-2021-05,1
8418493ffffffff-2014-04,1
8418493ffffffff-2015-09,1
8418493ffffffff-2015-10,2
8418493ffffffff-2016-04,1
8418493ffffffff-2020-05,1
8418493ffffffff-2020-10,4
8418493ffffffff-2022-10,1
8418493ffffffff-2023-03,1
8418493ffffffff-2023-04,2
8418495ffffffff-2012-05,1
8418495ffffffff-2012-07,1
8418495ffffffff-2014-07,2
8418495ffffffff-2014-11,1
8418495ffffffff-2014-12,1
8418495ffffffff-2015-01,2
8418495ffffffff-2015-04,2
8418495ffffffff-2015-12,2
8418495ffffffff-2016-04,2
8418495ffffffff-2016-10,1
8418495ffffffff-2016-11,1
8418495ffffffff-2017-02,1
8418495ffffffff-2017-03,1
8418495ffffffff-2017-04,3
8418495ffffffff-2017-07,5
8418495ffffffff-2017-08,2
8418495ffffffff-2017-09,9
8418495ffffffff-2017-11,9
8418495ffffffff-2017-12,1
8418495ffffffff-2018-01,2
8418495ffffffff-2018-03,1
8418495ffffffff-2018-04,4
8418495ffffffff-2018-05,3
8418495ffffffff-2018-07,2
8418495ffffffff-2018-08,5
8418495ffffffff-2018-09,8
8418495ffffffff-2018-10,9
8418495ffffffff-2018-11,11
8418495ffffffff-2018-12,15
8418495ffffffff-2019-01,3
8418495ffffffff-2019-02,1
8418495ffffffff-2019-03,7
8418495ffffffff-2019-04,4
8418495ffffffff-2019-05,3
8418495ffffffff-2019-06,2
8418495ffffffff-2019-07,2
8418495ffffffff-2019-08,4
8418495ffffffff-2019-09,8
8418495ffffffff-2019-10,12
8418495ffffffff-2019-11,8
8418495ffffffff-2019-12,16
8418495ffffffff-2020-01,5
8418495ffffffff-2020-03,3
8418495ffffffff-2020-05,5
8418495ffffffff-2020-06,1
8418495ffffffff-2020-07,1
8418495ffffffff-2020-08,2
8418495ffffffff-2020-09,7
8418495ffffffff-2020-10,4
8418495ffffffff-2020-11,2
8418495ffffffff-2020-12,3
8418495ffffffff-2021-03,3
8418495ffffffff-2021-04,3
8418495ffffffff-2021-05,4
8418495ffffffff-2021-07,4
8418495ffffffff-2021-09,2
8418495ffffffff-2021-10,8
8418495ffffffff-2021-11,2
8418495ffffffff-2021-12,3
8418495ffffffff-2022-01,1
8418495ffffffff-2022-02,11
8418495ffffffff-2022-03,10
8418495ffffffff-2022-04,13
8418495ffffffff-2022-05,8
8418495ffffffff-2022-06,4
8418495ffffffff-2022-07,2
8418495ffffffff-2022-08,4
8418495ffffffff-2022-09,13
8418495ffffffff-2022-10,15
8418495ffffffff-2022-11,15
8418495ffffffff-2022-12,6
8418495ffffffff-2023-01,16
8418495ffffffff-2023-02,3
8418495ffffffff-2023-03,2
8418495ffffffff-2023-04,5
8418495ffffffff-2023-05,11
8418495ffffffff-2023-06,9
8418495ffffffff-2023-07,3
8418495ffffffff-2023-08,5
8418495ffffffff-2023-09,22
8418495ffffffff-2023-10,23
8418495ffffffff-2023-11,7
8418497ffffffff-2016-06,2
8418497ffffffff-2016-07,1
8418497ffffffff-2017-04,1
8418497ffffffff-2017-05,1
8418497ffffffff-2017-06,1
8418497ffffffff-2017-07,3
8418497ffffffff-2017-08,2
8418497ffffffff-2017-10,5
8418497ffffffff-2017-12,2
8418497ffffffff-2018-04,2
8418497ffffffff-2018-05,1
8418497ffffffff-2018-06,2
8418497ffffffff-2018-07,5
8418497ffffffff-2018-08,10
8418497ffffffff-2018-09,5
8418497ffffffff-2018-10,1
8418497ffffffff-2018-11,7
8418497ffffffff-2018-12,3
8418497ffffffff-2019-02,1
8418497ffffffff-2019-03,1
8418497ffffffff-2019-05,1
8418497ffffffff-2019-06,4
8418497ffffffff-2019-07,5
8418497ffffffff-2019-08,1
8418497ffffffff-2019-09,1
8418497ffffffff-2019-10,1
8418497ffffffff-2019-12,2
8418497ffffffff-2020-01,4
8418497ffffffff-2020-02,1
8418497ffffffff-2020-03,3
8418497ffffffff-2020-04,1
8418497ffffffff-2020-05,4
8418497ffffffff-2020-06,2
8418497ffffffff-2020-07,1
8418497ffffffff-2020-08,1
8418497ffffffff-2020-09,8
8418497ffffffff-2020-10,1
8418497ffffffff-2020-11,5
8418497ffffffff-2020-12,2
8418497ffffffff-2021-01,2
8418497ffffffff-2021-02,2
8418497ffffffff-2021-03,5
8418497ffffffff-2021-04,6
8418497ffffffff-2021-05,11
8418497ffffffff-2021-06,6
8418497ffffffff-2021-08,5
8418497ffffffff-2021-09,11
8418497ffffffff-2021-10,17
8418497ffffffff-2021-11,8
8418497ffffffff-2021-12,8
8418497ffffffff-2022-01,3
8418497ffffffff-2022-02,2
8418497ffffffff-2022-04,2
8418497ffffffff-2022-05,3
8418497ffffffff-2022-06,1
8418497ffffffff-2022-07,8
8418497ffffffff-2022-08,4
8418497ffffffff-2022-09,11
8418497ffffffff-2022-10,11
8418497ffffffff-2022-11,7
8418497ffffffff-2022-12,6
8418497ffffffff-2023-01,4
8418497ffffffff-2023-03,3
8418497ffffffff-2023-04,3
8418497ffffffff-2023-05,4
8418497ffffffff-2023-06,6
8418497ffffffff-2023-07,5
8418497ffffffff-2023-09,7
8418497ffffffff-2023-10,8
8418497ffffffff-2023-11,7
8418499ffffffff-2019-08,1
841849dffffffff-2019-11,1
841849dffffffff-2021-10,1
84184a3ffffffff-2016-05,1
84184a3ffffffff-2017-05,1
84184a3ffffffff-2018-04,1
84184a3ffffffff-2018-06,3
84184a3ffffffff-2018-09,2
84184a3ffffffff-2020-05,2
84184a3ffffffff-2020-09,2
84184a3ffffffff-2020-11,1
84184a3ffffffff-2020-12,1
84184a3ffffffff-2021-02,1
84184a3ffffffff-2021-06,1
84184a3ffffffff-2021-10,1
84184a3ffffffff-2021-11,1
84184a3ffffffff-2022-01,1
84184a3ffffffff-2022-05,1
84184a3ffffffff-2022-08,6
84184a3ffffffff-2022-09,3
84184a3ffffffff-2022-10,8
84184a3ffffffff-2022-11,2
84184a3ffffffff-2022-12,1
84184a3ffffffff-2023-03,1
84184a3ffffffff-2023-04,4
84184a3ffffffff-2023-05,2
84184a3ffffffff-2023-07,2
84184a3ffffffff-2023-08,3
84184a3ffffffff-2023-09,10
84184a3ffffffff-2023-10,1
84184a3ffffffff-2023-11,3
84184b1ffffffff-2014-09,1
84184b1ffffffff-2014-11,1
84184b1ffffffff-2014-12,1
84184b1ffffffff-2017-01,1
84184b1ffffffff-2017-02,1
84184b1ffffffff-2017-03,1
84184b1ffffffff-2017-05,3
84184b1ffffffff-2017-11,1
84184b1ffffffff-2018-05,1
84184b1ffffffff-2018-06,4
84184b1ffffffff-2018-12,1
84184b1ffffffff-2019-04,1
84184b1ffffffff-2019-10,1
84184b1ffffffff-2019-11,1
84184b1ffffffff-2019-12,5
84184b1ffffffff-2020-02,3
84184b1ffffffff-2020-03,2
84184b1ffffffff-2020-06,1
84184b1ffffffff-2020-08,1
84184b1ffffffff-2020-09,1
84184b1ffffffff-2020-10,1
84184b1ffffffff-2021-02,1
84184b1ffffffff-2021-03,4
84184b1ffffffff-2021-05,2
84184b1ffffffff-2022-03,2
84184b1ffffffff-2022-05,1
84184b1ffffffff-2022-08,1
84184b1ffffffff-2022-11,1
84184b1ffffffff-2022-12,1
84184b1ffffffff-2023-01,1
84184b1ffffffff-2023-02,4
84184b1ffffffff-2023-03,3
84184b1ffffffff-2023-04,1
84184b1ffffffff-2023-06,2
84184b1ffffffff-2023-07,5
84184b1ffffffff-2023-08,1
84184b1ffffffff-2023-09,16
84184b1ffffffff-2023-10,10
84184b1ffffffff-2023-11,3
84184b3ffffffff-2017-04,1
84184b3ffffffff-2017-05,1
84184b3ffffffff-2017-10,1
84184b3ffffffff-2017-11,1
84184b3ffffffff-2018-05,3
84184b3ffffffff-2018-06,1
84184b3ffffffff-2018-07,3
84184b3ffffffff-2018-11,4
84184b3ffffffff-2018-12,1
84184b3ffffffff-2019-01,1
84184b3ffffffff-2019-02,1
84184b3ffffffff-2019-03,1
84184b3ffffffff-2019-04,1
84184b3ffffffff-2019-05,2
84184b3ffffffff-2019-07,3
84184b3ffffffff-2019-08,3
84184b3ffffffff-2019-09,1
84184b3ffffffff-2019-11,1
84184b3ffffffff-2020-01,2
84184b3ffffffff-2020-02,1
84184b3ffffffff-2020-03,1
84184b3ffffffff-2020-04,2
84184b3ffffffff-2020-05,2
84184b3ffffffff-2020-06,2
84184b3ffffffff-2020-07,2
84184b3ffffffff-2020-08,1
84184b3ffffffff-2020-09,1
84184b3ffffffff-2020-10,2
84184b3ffffffff-2020-11,4
84184b3ffffffff-2021-01,1
84184b3ffffffff-2021-07,2
84184b3ffffffff-2021-08,2
84184b3ffffffff-2021-09,1
84184b3ffffffff-2021-10,2
84184b3ffffffff-2021-11,2
84184b3ffffffff-2021-12,5
84184b3ffffffff-2022-01,1
84184b3ffffffff-2022-02,2
84184b3ffffffff-2022-04,1
84184b3ffffffff-2022-05,7
84184b3ffffffff-2022-06,2
84184b3ffffffff-2022-07,1
84184b3ffffffff-2022-08,1
84184b3ffffffff-2022-10,4
84184b3ffffffff-2022-12,1
84184b3ffffffff-2023-01,1
84184b3ffffffff-2023-02,1
84184b3ffffffff-2023-03,3
84184b3ffffffff-2023-04,3
84184b3ffffffff-2023-06,1
84184b3ffffffff-2023-07,2
84184b3ffffffff-2023-08,2
84184b3ffffffff-2023-09,1
84184b3ffffffff-2023-10,2
84184b3ffffffff-2023-11,1
84184b5ffffffff-2012-03,2
84184b5ffffffff-2012-04,2
84184b5ffffffff-2012-05,1
84184b5ffffffff-2012-08,3
84184b5ffffffff-2012-09,1
84184b5ffffffff-2012-10,2
84184b5ffffffff-2013-01,1
84184b5ffffffff-2013-08,2
84184b5ffffffff-2014-04,4
84184b5ffffffff-2014-05,3
84184b5ffffffff-2014-08,2
84184b5ffffffff-2014-09,1
84184b5ffffffff-2014-10,5
84184b5ffffffff-2014-11,5
84184b5ffffffff-2015-01,2
84184b5ffffffff-2015-04,2
84184b5ffffffff-2015-08,1
84184b5ffffffff-2015-09,1
84184b5ffffffff-2015-11,3
84184b5ffffffff-2016-01,1
84184b5ffffffff-2016-02,1
84184b5ffffffff-2016-03,3
84184b5ffffffff-2016-06,2
84184b5ffffffff-2016-07,1
84184b5ffffffff-2016-08,1
84184b5ffffffff-2016-09,3
84184b5ffffffff-2016-10,5
84184b5ffffffff-2016-11,7
84184b5ffffffff-2016-12,3
84184b5ffffffff-2017-01,11
84184b5ffffffff-2017-02,8
84184b5ffffffff-2017-03,4
84184b5ffffffff-2017-04,5
84184b5ffffffff-2017-05,4
84184b5ffffffff-2017-06,1
84184b5ffffffff-2017-07,1
84184b5ffffffff-2017-08,4
84184b5ffffffff-2017-09,3
84184b5ffffffff-2017-10,10
84184b5ffffffff-2017-11,7
84184b5ffffffff-2017-12,3
84184b5ffffffff-2018-01,6
84184b5ffffffff-2018-02,2
84184b5ffffffff-2018-03,1
84184b5ffffffff-2018-04,6
84184b5ffffffff-2018-05,4
84184b5ffffffff-2018-06,2
84184b5ffffffff-2018-07,2
84184b5ffffffff-2018-08,2
84184b5ffffffff-2018-09,4
84184b5ffffffff-2018-10,6
84184b5ffffffff-2018-11,3
84184b5ffffffff-2018-12,2
84184b5ffffffff-2019-01,5
84184b5ffffffff-2019-02,5
84184b5ffffffff-2019-03,7
84184b5ffffffff-2019-04,10
84184b5ffffffff-2019-05,6
84184b5ffffffff-2019-06,3
84184b5ffffffff-2019-07,2
84184b5ffffffff-2019-08,7
84184b5ffffffff-2019-09,7
84184b5ffffffff-2019-10,20
84184b5ffffffff-2019-11,7
84184b5ffffffff-2019-12,8
84184b5ffffffff-2020-01,9
84184b5ffffffff-2020-02,4
84184b5ffffffff-2020-03,11
84184b5ffffffff-2020-04,7
84184b5ffffffff-2020-05,13
84184b5ffffffff-2020-06,10
84184b5ffffffff-2020-07,3
84184b5ffffffff-2020-08,6
84184b5ffffffff-2020-09,16
84184b5ffffffff-2020-10,10
84184b5ffffffff-2020-11,21
84184b5ffffffff-2020-12,6
84184b5ffffffff-2021-01,6
84184b5ffffffff-2021-02,10
84184b5ffffffff-2021-03,27
84184b5ffffffff-2021-04,22
84184b5ffffffff-2021-05,15
84184b5ffffffff-2021-06,5
84184b5ffffffff-2021-07,6
84184b5ffffffff-2021-08,5
84184b5ffffffff-2021-09,12
84184b5ffffffff-2021-10,23
84184b5ffffffff-2021-11,23
84184b5ffffffff-2021-12,6
84184b5ffffffff-2022-01,15
84184b5ffffffff-2022-02,13
84184b5ffffffff-2022-03,27
84184b5ffffffff-2022-04,29
84184b5ffffffff-2022-05,16
84184b5ffffffff-2022-06,10
84184b5ffffffff-2022-07,6
84184b5ffffffff-2022-08,19
84184b5ffffffff-2022-09,27
84184b5ffffffff-2022-10,46
84184b5ffffffff-2022-11,32
84184b5ffffffff-2022-12,19
84184b5ffffffff-2023-01,19
84184b5ffffffff-2023-02,11
84184b5ffffffff-2023-03,31
84184b5ffffffff-2023-04,44
84184b5ffffffff-2023-05,38
84184b5ffffffff-2023-06,32
84184b5ffffffff-2023-07,19
84184b5ffffffff-2023-08,23
84184b5ffffffff-2023-09,34
84184b5ffffffff-2023-10,32
84184b5ffffffff-2023-11,40
84184b7ffffffff-2017-08,2
84184b7ffffffff-2017-12,2
84184b7ffffffff-2018-04,2
84184b7ffffffff-2018-05,3
84184b7ffffffff-2018-12,1
84184b7ffffffff-2019-04,1
84184b7ffffffff-2019-05,2
84184b7ffffffff-2019-07,1
84184b7ffffffff-2019-09,1
84184b7ffffffff-2019-12,3
84184b7ffffffff-2020-02,1
84184b7ffffffff-2020-05,3
84184b7ffffffff-2020-07,1
84184b7ffffffff-2020-08,2
84184b7ffffffff-2021-02,1
84184b7ffffffff-2021-03,1
84184b7ffffffff-2021-04,3
84184b7ffffffff-2022-02,1
84184b7ffffffff-2022-03,1
84184b7ffffffff-2022-04,4
84184b7ffffffff-2022-05,3
84184b7ffffffff-2022-09,1
84184b7ffffffff-2022-10,5
84184b7ffffffff-2023-01,1
84184b7ffffffff-2023-03,8
84184b7ffffffff-2023-04,5
84184b7ffffffff-2023-05,3
84184b7ffffffff-2023-06,2
84184b7ffffffff-2023-07,3
84184b7ffffffff-2023-08,4
84184b7ffffffff-2023-09,1
84184b7ffffffff-2023-10,1
84184b7ffffffff-2023-11,1
84184b9ffffffff-2016-09,1
84184b9ffffffff-2016-12,8
84184b9ffffffff-2017-01,7
84184b9ffffffff-2017-02,6
84184b9ffffffff-2017-03,13
84184b9ffffffff-2017-04,21
84184b9ffffffff-2017-05,14
84184b9ffffffff-2017-06,13
84184b9ffffffff-2017-07,22
84184b9ffffffff-2017-08,29
84184b9ffffffff-2017-09,19
84184b9ffffffff-2017-10,15
84184b9ffffffff-2017-11,19
84184b9ffffffff-2017-12,22
84184b9ffffffff-2018-01,8
84184b9ffffffff-2018-02,4
84184b9ffffffff-2018-03,3
84184b9ffffffff-2018-04,7
84184b9ffffffff-2018-05,3
84184b9ffffffff-2018-06,4
84184b9ffffffff-2018-07,10
84184b9ffffffff-2018-08,9
84184b9ffffffff-2018-09,9
84184b9ffffffff-2018-10,9
84184b9ffffffff-2018-11,7
84184b9ffffffff-2018-12,9
84184b9ffffffff-2019-01,5
84184b9ffffffff-2019-02,4
84184b9ffffffff-2019-03,8
84184b9ffffffff-2019-04,4
84184b9ffffffff-2019-05,6
84184b9ffffffff-2019-06,13
84184b9ffffffff-2019-07,15
84184b9ffffffff-2019-08,18
84184b9ffffffff-2019-09,16
84184b9ffffffff-2019-10,4
84184b9ffffffff-2019-11,14
84184b9ffffffff-2019-12,15
84184b9ffffffff-2020-01,16
84184b9ffffffff-2020-02,13
84184b9ffffffff-2020-03,6
84184b9ffffffff-2020-05,8
84184b9ffffffff-2020-06,20
84184b9ffffffff-2020-07,7
84184b9ffffffff-2020-08,20
84184b9ffffffff-2020-09,22
84184b9ffffffff-2020-10,24
84184b9ffffffff-2020-11,9
84184b9ffffffff-2020-12,8
84184b9ffffffff-2021-01,15
84184b9ffffffff-2021-02,15
84184b9ffffffff-2021-03,16
84184b9ffffffff-2021-04,22
84184b9ffffffff-2021-05,6
84184b9ffffffff-2021-06,2
84184b9ffffffff-2021-07,3
84184b9ffffffff-2021-08,15
84184b9ffffffff-2021-09,9
84184b9ffffffff-2021-10,15
84184b9ffffffff-2021-11,11
84184b9ffffffff-2021-12,8
84184b9ffffffff-2022-01,9
84184b9ffffffff-2022-02,6
84184b9ffffffff-2022-03,8
84184b9ffffffff-2022-04,7
84184b9ffffffff-2022-05,7
84184b9ffffffff-2022-06,15
84184b9ffffffff-2022-07,6
84184b9ffffffff-2022-08,9
84184b9ffffffff-2022-09,4
84184b9ffffffff-2022-11,2
84184b9ffffffff-2023-02,1
84184b9ffffffff-2023-04,1
84184b9ffffffff-2023-05,3
84184b9ffffffff-2023-06,7
84184b9ffffffff-2023-07,2
84184b9ffffffff-2023-08,13
84184b9ffffffff-2023-09,1
84184b9ffffffff-2023-10,2
84184bbffffffff-2016-09,1
84184bbffffffff-2017-04,3
84184bbffffffff-2017-07,1
84184bbffffffff-2019-01,1
84184bbffffffff-2019-05,1
84184bbffffffff-2019-06,2
84184bbffffffff-2019-11,2
84184bbffffffff-2020-02,1
84184bbffffffff-2020-05,3
84184bbffffffff-2020-06,1
84184bbffffffff-2020-08,1
84184bbffffffff-2020-09,1
84184bbffffffff-2020-10,5
84184bbffffffff-2020-11,3
84184bbffffffff-2020-12,6
84184bbffffffff-2021-01,2
84184bbffffffff-2021-02,4
84184bbffffffff-2021-03,1
84184bbffffffff-2021-04,4
84184bbffffffff-2021-05,1
84184bbffffffff-2021-06,1
84184bbffffffff-2021-11,1
84184bbffffffff-2021-12,3
84184bbffffffff-2022-01,2
84184bbffffffff-2022-02,1
84184bbffffffff-2022-04,6
84184bbffffffff-2022-05,1
84184bbffffffff-2022-06,2
84184bbffffffff-2022-08,1
84184bbffffffff-2022-09,2
84184bbffffffff-2022-10,4
84184bbffffffff-2022-11,2
84184bbffffffff-2022-12,1
84184bbffffffff-2023-01,3
84184bbffffffff-2023-02,1
84184bbffffffff-2023-03,2
84184bbffffffff-2023-04,2
84184bbffffffff-2023-05,2
84184bbffffffff-2023-06,3
84184bbffffffff-2023-07,1
84184bbffffffff-2023-08,5
84184bbffffffff-2023-10,3
84184bbffffffff-2023-11,4
84184bdffffffff-2014-04,1
84184bdffffffff-2014-07,1
84184bdffffffff-2014-09,1
84184bdffffffff-2014-10,1
84184bdffffffff-2015-09,1
84184bdffffffff-2016-09,1
84184bdffffffff-2016-11,1
84184bdffffffff-2016-12,2
84184bdffffffff-2017-04,2
84184bdffffffff-2017-07,1
84184bdffffffff-2017-09,3
84184bdffffffff-2017-11,2
84184bdffffffff-2018-04,2
84184bdffffffff-2018-06,3
84184bdffffffff-2018-08,1
84184bdffffffff-2018-09,1
84184bdffffffff-2018-11,1
84184bdffffffff-2019-03,1
84184bdffffffff-2019-04,2
84184bdffffffff-2019-09,3
84184bdffffffff-2019-10,8
84184bdffffffff-2019-11,1
84184bdffffffff-2020-01,3
84184bdffffffff-2020-02,2
84184bdffffffff-2020-05,1
84184bdffffffff-2020-06,2
84184bdffffffff-2020-09,2
84184bdffffffff-2020-10,3
84184bdffffffff-2020-11,1
84184bdffffffff-2020-12,2
84184bdffffffff-2021-03,3
84184bdffffffff-2021-04,1
84184bdffffffff-2021-05,1
84184bdffffffff-2021-07,1
84184bdffffffff-2021-10,8
84184bdffffffff-2021-11,16
84184bdffffffff-2021-12,6
84184bdffffffff-2022-01,5
84184bdffffffff-2022-02,5
84184bdffffffff-2022-03,6
84184bdffffffff-2022-04,3
84184bdffffffff-2022-05,4
84184bdffffffff-2022-06,6
84184bdffffffff-2022-08,1
84184bdffffffff-2022-09,8
84184bdffffffff-2022-10,23
84184bdffffffff-2022-11,16
84184bdffffffff-2022-12,8
84184bdffffffff-2023-01,2
84184bdffffffff-2023-02,2
84184bdffffffff-2023-03,3
84184bdffffffff-2023-04,8
84184bdffffffff-2023-05,3
84184bdffffffff-2023-06,5
84184bdffffffff-2023-07,13
84184bdffffffff-2023-08,20
84184bdffffffff-2023-09,32
84184bdffffffff-2023-10,22
84184bdffffffff-2023-11,18
84184ddffffffff-2019-08,3
84184ddffffffff-2019-12,5
84184ddffffffff-2023-05,1
8418593ffffffff-2013-07,1
8418593ffffffff-2015-05,1
8418593ffffffff-2017-07,1
8418593ffffffff-2018-09,1
8418593ffffffff-2019-05,3
8418593ffffffff-2019-09,4
8418593ffffffff-2019-11,1
8418593ffffffff-2020-01,2
8418593ffffffff-2020-03,2
8418593ffffffff-2020-04,1
8418593ffffffff-2020-05,2
8418593ffffffff-2020-07,4
8418593ffffffff-2020-08,7
8418593ffffffff-2020-09,6
8418593ffffffff-2020-10,4
8418593ffffffff-2020-11,1
8418593ffffffff-2021-03,5
8418593ffffffff-2021-04,7
8418593ffffffff-2021-05,6
8418593ffffffff-2021-06,1
8418593ffffffff-2021-07,3
8418593ffffffff-2021-09,2
8418593ffffffff-2021-10,4
8418593ffffffff-2021-12,1
8418593ffffffff-2022-01,2
8418593ffffffff-2022-02,1
8418593ffffffff-2022-03,2
8418593ffffffff-2022-04,8
8418593ffffffff-2022-05,9
8418593ffffffff-2022-06,2
8418593ffffffff-2022-07,4
8418593ffffffff-2022-08,13
8418593ffffffff-2022-09,12
8418593ffffffff-2022-10,10
8418593ffffffff-2022-11,7
8418593ffffffff-2022-12,2
8418593ffffffff-2023-02,1
8418593ffffffff-2023-03,8
8418593ffffffff-2023-04,8
8418593ffffffff-2023-05,4
8418593ffffffff-2023-06,1
8418593ffffffff-2023-07,4
8418593ffffffff-2023-08,7
8418593ffffffff-2023-09,8
8418593ffffffff-2023-10,5
8418593ffffffff-2023-11,6
8418597ffffffff-2016-09,1
8418597ffffffff-2017-11,2
8418597ffffffff-2017-12,1
8418597ffffffff-2019-08,2
8418597ffffffff-2020-05,1
8418597ffffffff-2020-07,1
8418597ffffffff-2020-08,1
8418597ffffffff-2020-10,4
8418597ffffffff-2020-11,1
8418597ffffffff-2020-12,2
8418597ffffffff-2021-01,1
8418597ffffffff-2021-02,1
8418597ffffffff-2021-03,1
8418597ffffffff-2021-04,1
8418597ffffffff-2021-08,7
8418597ffffffff-2021-11,1
8418597ffffffff-2021-12,3
8418597ffffffff-2022-01,1
8418597ffffffff-2022-02,2
8418597ffffffff-2022-04,1
8418597ffffffff-2022-05,1
8418597ffffffff-2022-08,1
8418597ffffffff-2022-10,6
8418597ffffffff-2022-11,4
8418597ffffffff-2022-12,13
8418597ffffffff-2023-01,19
8418597ffffffff-2023-02,2
8418597ffffffff-2023-03,7
8418597ffffffff-2023-04,5
8418597ffffffff-2023-05,11
8418597ffffffff-2023-06,3
8418597ffffffff-2023-07,6
8418597ffffffff-2023-08,15
8418597ffffffff-2023-09,11
8418597ffffffff-2023-10,5
8418597ffffffff-2023-11,8
84185b1ffffffff-2018-12,2
84185b1ffffffff-2019-04,3
84185b1ffffffff-2019-05,1
84185b1ffffffff-2019-10,1
84185b1ffffffff-2020-07,1
84185b1ffffffff-2020-09,1
84185b1ffffffff-2020-10,2
84185b1ffffffff-2021-03,1
84185b1ffffffff-2021-07,2
84185b1ffffffff-2021-08,2
84185b1ffffffff-2021-09,2
84185b1ffffffff-2021-10,4
84185b1ffffffff-2021-11,1
84185b1ffffffff-2021-12,1
84185b1ffffffff-2022-04,3
84185b1ffffffff-2022-08,2
84185b1ffffffff-2022-10,6
84185b1ffffffff-2022-11,4
84185b1ffffffff-2022-12,1
84185b1ffffffff-2023-04,3
84185b1ffffffff-2023-07,3
84185b1ffffffff-2023-08,2
84185b1ffffffff-2023-09,1
84185b1ffffffff-2023-10,4
84185b1ffffffff-2023-11,1
84185b3ffffffff-2016-07,1
84185b3ffffffff-2016-11,1
84185b3ffffffff-2018-01,1
84185b3ffffffff-2019-07,1
84185b3ffffffff-2019-10,1
