index,n
84660b5ffffffff-2018-01,4
84660b5ffffffff-2018-05,5
84660b5ffffffff-2018-07,4
84660b5ffffffff-2019-01,1
84660b5ffffffff-2019-12,1
84660b5ffffffff-2020-02,2
84660b5ffffffff-2020-03,3
84660b5ffffffff-2021-02,4
84660b5ffffffff-2021-03,4
84660b5ffffffff-2021-04,1
84660b5ffffffff-2021-07,2
84660b5ffffffff-2021-09,1
84660b5ffffffff-2021-11,4
84660b5ffffffff-2021-12,3
84660b5ffffffff-2022-01,2
84660b5ffffffff-2022-02,2
84660b5ffffffff-2022-04,5
84660b5ffffffff-2022-05,6
84660b5ffffffff-2022-10,4
84660b5ffffffff-2023-01,1
84660b5ffffffff-2023-02,1
84660b5ffffffff-2023-06,2
84660b5ffffffff-2023-08,3
84660b5ffffffff-2023-09,2
84660b9ffffffff-2021-12,1
84660c7ffffffff-2023-01,1
8466d31ffffffff-2012-07,2
8466d31ffffffff-2014-08,1
8466d31ffffffff-2014-09,1
8466d31ffffffff-2014-10,2
8466d31ffffffff-2015-01,1
8466d31ffffffff-2015-05,2
8466d31ffffffff-2015-06,1
8466d31ffffffff-2015-09,1
8466d31ffffffff-2016-03,1
8466d31ffffffff-2016-05,3
8466d31ffffffff-2016-06,1
8466d31ffffffff-2016-11,4
8466d31ffffffff-2017-01,1
8466d31ffffffff-2017-05,3
8466d31ffffffff-2017-06,3
8466d31ffffffff-2017-09,1
8466d31ffffffff-2017-12,2
8466d31ffffffff-2018-01,3
8466d31ffffffff-2018-02,4
8466d31ffffffff-2018-03,2
8466d31ffffffff-2018-09,1
8466d31ffffffff-2018-10,2
8466d31ffffffff-2018-11,5
8466d31ffffffff-2019-01,1
8466d31ffffffff-2019-03,4
8466d31ffffffff-2019-09,3
8466d31ffffffff-2019-11,4
8466d31ffffffff-2020-01,1
8466d31ffffffff-2020-02,2
8466d31ffffffff-2020-08,6
8466d31ffffffff-2021-01,4
8466d33ffffffff-2015-11,1
8466d33ffffffff-2016-01,1
8466d33ffffffff-2017-02,1
8466d33ffffffff-2017-08,3
