index,n
845f407ffffffff-2021-05,1
845f483ffffffff-2018-07,4
845f487ffffffff-2022-05,5
845f487ffffffff-2023-05,3
845f491ffffffff-2023-04,1
845f4a3ffffffff-2019-05,1
845f4a3ffffffff-2020-05,2
845f4a3ffffffff-2020-06,1
845f4a3ffffffff-2021-05,1
845f4a3ffffffff-2022-05,1
845f4a3ffffffff-2023-05,2
845f4abffffffff-2018-07,2
845f4abffffffff-2021-05,9
845f4abffffffff-2023-02,6
845f4abffffffff-2023-07,2
845f4b9ffffffff-2018-07,2
845f4bdffffffff-2019-10,4
845f4bdffffffff-2023-07,8
845f4c3ffffffff-2022-02,1
8466061ffffffff-2023-11,1
8466091ffffffff-2013-12,2
8466091ffffffff-2015-03,1
8466091ffffffff-2015-08,2
8466091ffffffff-2019-11,2
8466091ffffffff-2020-03,2
8466091ffffffff-2022-09,1
8466091ffffffff-2023-05,4
8466091ffffffff-2023-11,1
8466093ffffffff-2012-02,1
8466093ffffffff-2017-03,3
8466093ffffffff-2018-09,1
8466093ffffffff-2019-04,2
8466093ffffffff-2021-03,1
8466093ffffffff-2021-04,2
8466093ffffffff-2021-06,1
8466097ffffffff-2016-03,3
8466097ffffffff-2016-04,4
8466097ffffffff-2017-09,2
8466097ffffffff-2017-12,1
8466097ffffffff-2018-05,4
8466097ffffffff-2018-09,2
8466097ffffffff-2019-04,2
8466097ffffffff-2019-05,6
8466097ffffffff-2019-11,2
8466097ffffffff-2020-02,1
8466097ffffffff-2020-03,2
8466097ffffffff-2020-09,2
8466097ffffffff-2020-10,8
8466097ffffffff-2021-01,1
8466097ffffffff-2021-08,1
8466097ffffffff-2021-09,2
8466097ffffffff-2022-03,10
8466097ffffffff-2022-04,1
8466097ffffffff-2022-07,2
8466097ffffffff-2022-10,2
8466099ffffffff-2015-08,1
8466099ffffffff-2018-05,1
8466099ffffffff-2019-01,1
8466099ffffffff-2019-02,1
8466099ffffffff-2019-03,1
8466099ffffffff-2019-05,1
8466099ffffffff-2019-06,6
8466099ffffffff-2020-10,1
846609bffffffff-2019-11,6
846609bffffffff-2020-03,1
846609bffffffff-2022-11,1
846609bffffffff-2023-07,1
84660b3ffffffff-2017-10,1
84660b3ffffffff-2018-05,2
84660b3ffffffff-2018-12,4
84660b3ffffffff-2019-01,3
84660b3ffffffff-2019-05,3
84660b3ffffffff-2019-08,1
84660b3ffffffff-2021-01,1
84660b3ffffffff-2021-03,2
84660b3ffffffff-2021-06,1
84660b3ffffffff-2022-01,1
84660b3ffffffff-2022-02,1
84660b3ffffffff-2022-03,7
84660b3ffffffff-2022-04,3
84660b3ffffffff-2022-05,3
84660b3ffffffff-2022-06,3
84660b3ffffffff-2022-08,1
84660b3ffffffff-2022-10,4
84660b3ffffffff-2022-11,1
84660b3ffffffff-2023-01,2
84660b3ffffffff-2023-05,5
84660b3ffffffff-2023-07,1
84660b7ffffffff-2019-06,3
84660b7ffffffff-2019-10,1
84660b7ffffffff-2020-05,1
84660b7ffffffff-2021-11,1
84660b7ffffffff-2022-01,1
84660b7ffffffff-2022-03,1
84660b7ffffffff-2022-05,5
84660b7ffffffff-2022-11,1
84660b7ffffffff-2023-01,1
84660b7ffffffff-2023-10,2
84660b7ffffffff-2023-11,2
84660bbffffffff-2021-04,2
84660bbffffffff-2021-11,4
84660bbffffffff-2022-12,3
84660bbffffffff-2023-03,2
84660c1ffffffff-2021-07,5
84660c1ffffffff-2022-12,1
84660c1ffffffff-2023-10,2
84660c3ffffffff-2017-11,1
84660c9ffffffff-2020-10,1
84660cbffffffff-2015-02,2
84660cbffffffff-2016-02,1
84660cbffffffff-2018-05,1
84660cbffffffff-2019-01,1
84660cbffffffff-2019-02,1
84660cbffffffff-2019-05,10
84660cbffffffff-2019-07,1
84660cbffffffff-2019-08,1
