index,n
8461021ffffffff-2020-06,1
8461021ffffffff-2021-07,1
8461021ffffffff-2021-08,2
8461021ffffffff-2021-11,2
8461021ffffffff-2022-01,2
8461021ffffffff-2022-03,1
8461021ffffffff-2022-10,1
8461021ffffffff-2022-12,2
8461021ffffffff-2023-01,3
8461021ffffffff-2023-02,1
8461023ffffffff-2012-03,3
8461023ffffffff-2012-04,1
8461023ffffffff-2012-08,2
8461023ffffffff-2012-09,1
8461023ffffffff-2012-11,2
8461023ffffffff-2012-12,1
8461023ffffffff-2013-01,2
8461023ffffffff-2013-03,2
8461023ffffffff-2013-04,2
8461023ffffffff-2013-07,1
8461023ffffffff-2013-09,2
8461023ffffffff-2013-11,3
8461023ffffffff-2014-02,2
8461023ffffffff-2014-03,2
8461023ffffffff-2014-04,1
8461023ffffffff-2015-01,3
8461023ffffffff-2015-02,3
8461023ffffffff-2015-03,2
8461023ffffffff-2015-04,1
8461023ffffffff-2015-05,1
8461023ffffffff-2015-11,3
8461023ffffffff-2015-12,3
8461023ffffffff-2016-01,3
8461023ffffffff-2016-03,2
8461023ffffffff-2016-05,2
8461023ffffffff-2016-08,1
8461023ffffffff-2016-12,7
8461023ffffffff-2017-01,8
8461023ffffffff-2017-02,11
8461023ffffffff-2017-03,1
8461023ffffffff-2017-10,2
8461023ffffffff-2017-11,1
8461023ffffffff-2017-12,17
8461023ffffffff-2018-01,10
8461023ffffffff-2018-02,8
8461023ffffffff-2018-03,9
8461023ffffffff-2018-04,3
8461023ffffffff-2018-05,1
8461023ffffffff-2018-06,3
8461023ffffffff-2018-10,1
8461023ffffffff-2018-11,6
8461023ffffffff-2018-12,2
8461023ffffffff-2019-01,7
8461023ffffffff-2019-02,3
8461023ffffffff-2019-03,7
8461023ffffffff-2019-04,3
8461023ffffffff-2019-06,1
8461023ffffffff-2019-09,3
8461023ffffffff-2019-11,6
8461023ffffffff-2019-12,6
8461023ffffffff-2020-01,18
8461023ffffffff-2020-02,14
8461023ffffffff-2020-03,4
8461023ffffffff-2020-08,1
8461023ffffffff-2020-10,1
8461023ffffffff-2020-12,2
8461023ffffffff-2021-03,3
8461023ffffffff-2021-04,1
8461023ffffffff-2021-05,2
8461023ffffffff-2021-10,1
8461023ffffffff-2021-12,3
8461023ffffffff-2022-01,5
8461023ffffffff-2022-02,9
8461023ffffffff-2022-03,4
8461023ffffffff-2022-04,1
8461023ffffffff-2022-07,5
8461023ffffffff-2022-08,2
8461023ffffffff-2022-11,1
8461023ffffffff-2023-01,5
8461023ffffffff-2023-02,8
8461023ffffffff-2023-03,5
8461023ffffffff-2023-04,2
8461023ffffffff-2023-06,3
8461023ffffffff-2023-07,1
8461023ffffffff-2023-08,5
8461023ffffffff-2023-09,4
8461023ffffffff-2023-10,1
8461023ffffffff-2023-11,18
8461025ffffffff-2014-02,1
8461025ffffffff-2015-02,2
8461025ffffffff-2015-03,1
8461025ffffffff-2016-05,1
8461025ffffffff-2017-01,2
8461025ffffffff-2017-02,4
8461025ffffffff-2017-12,1
8461025ffffffff-2018-01,3
8461025ffffffff-2018-03,4
8461025ffffffff-2019-02,1
8461025ffffffff-2019-05,2
8461025ffffffff-2019-06,2
8461025ffffffff-2019-11,1
8461025ffffffff-2019-12,2
8461025ffffffff-2020-01,6
8461025ffffffff-2020-02,2
8461025ffffffff-2020-06,2
8461025ffffffff-2021-03,3
8461025ffffffff-2021-04,1
8461025ffffffff-2021-11,1
8461025ffffffff-2021-12,3
8461025ffffffff-2022-01,3
8461025ffffffff-2022-02,2
8461025ffffffff-2022-03,4
8461025ffffffff-2022-06,4
8461025ffffffff-2022-07,1
8461025ffffffff-2022-08,1
8461025ffffffff-2022-11,4
8461025ffffffff-2023-01,3
8461025ffffffff-2023-02,9
8461025ffffffff-2023-03,2
8461025ffffffff-2023-05,3
8461025ffffffff-2023-10,1
8461025ffffffff-2023-11,5
8461027ffffffff-2017-01,2
8461027ffffffff-2019-01,1
8461027ffffffff-2020-01,3
8461027ffffffff-2020-02,1
8461027ffffffff-2021-03,2
8461027ffffffff-2021-11,1
8461027ffffffff-2021-12,5
8461027ffffffff-2022-01,2
8461027ffffffff-2022-02,3
8461027ffffffff-2022-03,2
8461027ffffffff-2022-08,4
8461027ffffffff-2022-10,2
8461027ffffffff-2023-01,3
8461027ffffffff-2023-02,4
8461027ffffffff-2023-05,1
8461027ffffffff-2023-08,6
8461027ffffffff-2023-10,2
846102bffffffff-2012-03,1
846102bffffffff-2014-02,1
846102bffffffff-2014-04,1
846102bffffffff-2014-08,1
846102bffffffff-2015-05,1
846102bffffffff-2016-02,2
846102bffffffff-2016-03,2
846102bffffffff-2017-01,1
846102bffffffff-2017-12,1
846102bffffffff-2018-01,2
846102bffffffff-2018-02,2
846102bffffffff-2018-03,1
846102bffffffff-2018-10,1
846102bffffffff-2019-03,1
846102bffffffff-2019-09,2
846102bffffffff-2019-10,1
846102bffffffff-2020-01,3
846102bffffffff-2020-06,1
846102bffffffff-2020-10,2
846102bffffffff-2020-11,5
846102bffffffff-2021-01,2
846102bffffffff-2021-02,2
846102bffffffff-2021-03,2
846102bffffffff-2021-04,3
846102bffffffff-2021-05,1
846102bffffffff-2021-06,3
846102bffffffff-2021-07,2
846102bffffffff-2021-10,1
846102bffffffff-2021-12,7
846102bffffffff-2022-01,1
846102bffffffff-2022-02,1
846102bffffffff-2022-08,2
846102bffffffff-2022-10,2
846102bffffffff-2022-12,2
846102bffffffff-2023-01,1
846102bffffffff-2023-05,1
846102bffffffff-2023-11,1
846111bffffffff-2016-01,1
846111bffffffff-2019-12,1
846111bffffffff-2023-11,2
84611cdffffffff-2022-02,1
