index,n
847b4dbffffffff-2021-07,2
847b4dbffffffff-2021-11,1
847b4dbffffffff-2022-01,2
847b4dbffffffff-2022-04,2
847b68dffffffff-2023-10,1
847b6cbffffffff-2023-06,1
847b6cbffffffff-2023-07,1
8483045ffffffff-2022-10,1
8483045ffffffff-2023-08,1
8483049ffffffff-2022-10,1
848304dffffffff-2017-09,2
848304dffffffff-2022-08,3
848304dffffffff-2022-09,1
848304dffffffff-2023-08,2
848304dffffffff-2023-09,1
8483065ffffffff-2022-06,1
8483069ffffffff-2023-06,1
848313dffffffff-2018-05,1
8483151ffffffff-2022-06,4
84831e3ffffffff-2022-04,1
84831e3ffffffff-2023-04,1
84831e3ffffffff-2023-11,1
84831ebffffffff-2012-08,1
84831ebffffffff-2023-08,1
84831edffffffff-2022-09,3
84831edffffffff-2023-09,1
8483201ffffffff-2022-10,1
8483203ffffffff-2023-10,2
8483205ffffffff-2022-08,1
848320dffffffff-2017-09,2
848320dffffffff-2022-07,3
848320dffffffff-2022-08,3
848320dffffffff-2023-06,1
848320dffffffff-2023-08,2
848320dffffffff-2023-09,1
848320dffffffff-2023-10,4
8483235ffffffff-2023-10,2
8483257ffffffff-2018-12,1
8483263ffffffff-2022-03,1
8483263ffffffff-2022-04,1
8483263ffffffff-2022-08,3
8483263ffffffff-2022-11,1
8483263ffffffff-2022-12,2
8483263ffffffff-2023-02,1
848330dffffffff-2022-09,2
8483313ffffffff-2022-05,1
8483313ffffffff-2022-06,3
848331bffffffff-2016-09,1
848331bffffffff-2017-09,1
848333dffffffff-2022-06,3
8483a89ffffffff-2022-08,3
8483acdffffffff-2023-08,3
8496009ffffffff-2020-03,1
849600dffffffff-2019-11,1
8496047ffffffff-2015-03,1
8496059ffffffff-2019-01,1
8496141ffffffff-2019-08,2
8496141ffffffff-2020-07,1
8496141ffffffff-2021-08,2
8496141ffffffff-2023-07,1
8496145ffffffff-2019-08,4
8496145ffffffff-2023-09,1
8496147ffffffff-2019-08,2
8496147ffffffff-2023-07,1
8496149ffffffff-2014-10,1
8496149ffffffff-2018-10,6
8496149ffffffff-2019-08,1
8496149ffffffff-2022-09,3
8496149ffffffff-2023-10,1
8496201ffffffff-2016-12,1
8496201ffffffff-2017-12,10
8496201ffffffff-2018-11,4
8496201ffffffff-2019-11,2
8496201ffffffff-2019-12,2
8496201ffffffff-2020-08,6
8496201ffffffff-2020-10,1
8496201ffffffff-2021-08,2
8496201ffffffff-2022-07,3
8496201ffffffff-2022-10,1
8496201ffffffff-2022-11,2
8496201ffffffff-2023-05,3
