index,n
840c015ffffffff-2017-06,2
840c117ffffffff-2016-05,1
840c1abffffffff-2016-05,1
840c1b1ffffffff-2012-05,1
840c1b1ffffffff-2013-05,1
840c1b1ffffffff-2016-05,1
840c1b1ffffffff-2019-07,3
840c1b1ffffffff-2021-04,2
840c1b1ffffffff-2021-06,2
840c1b1ffffffff-2021-07,1
840c1b1ffffffff-2021-08,1
840c1b1ffffffff-2022-05,1
840c1b1ffffffff-2023-05,11
840c1b1ffffffff-2023-08,1
840c1b1ffffffff-2023-09,1
840c1b5ffffffff-2023-05,8
840c1bbffffffff-2016-05,1
840c415ffffffff-2012-08,10
840c415ffffffff-2012-09,2
840c415ffffffff-2013-08,20
840c415ffffffff-2013-09,12
840c415ffffffff-2014-09,8
840c415ffffffff-2015-07,1
840c415ffffffff-2017-07,1
840c415ffffffff-2017-08,1
840c415ffffffff-2018-05,1
840c415ffffffff-2018-07,1
840c415ffffffff-2020-08,3
840c415ffffffff-2021-05,1
840c415ffffffff-2021-07,2
840c415ffffffff-2023-05,1
840c415ffffffff-2023-07,3
840c425ffffffff-2018-05,2
840c425ffffffff-2019-05,1
840c425ffffffff-2022-08,1
840c42dffffffff-2012-05,15
840c42dffffffff-2013-05,17
840c42dffffffff-2014-05,8
840c42dffffffff-2014-07,1
840c42dffffffff-2014-08,2
840c42dffffffff-2015-05,9
840c42dffffffff-2016-04,2
840c42dffffffff-2016-05,35
840c42dffffffff-2017-04,4
840c42dffffffff-2017-05,13
840c42dffffffff-2018-04,3
840c42dffffffff-2018-05,13
840c42dffffffff-2018-06,1
840c42dffffffff-2019-04,2
840c42dffffffff-2019-05,10
840c42dffffffff-2019-07,1
840c42dffffffff-2020-04,4
840c42dffffffff-2020-05,11
840c42dffffffff-2020-08,1
840c42dffffffff-2021-04,1
840c42dffffffff-2021-05,15
840c42dffffffff-2021-06,1
840c42dffffffff-2022-04,2
840c42dffffffff-2022-05,29
840c42dffffffff-2022-07,2
840c42dffffffff-2023-04,1
840c42dffffffff-2023-05,34
840c42dffffffff-2023-06,1
840c42dffffffff-2023-07,2
840c42dffffffff-2023-09,1
840c441ffffffff-2016-07,1
840c441ffffffff-2022-05,1
840c447ffffffff-2015-06,1
840c451ffffffff-2018-06,1
840c451ffffffff-2019-06,1
840c451ffffffff-2021-07,1
840c455ffffffff-2012-06,3
840c455ffffffff-2014-05,2
840c455ffffffff-2014-07,1
840c455ffffffff-2015-05,1
840c455ffffffff-2016-05,2
840c455ffffffff-2017-05,13
840c455ffffffff-2018-04,1
840c455ffffffff-2018-05,25
840c455ffffffff-2018-08,2
840c455ffffffff-2019-04,2
840c455ffffffff-2019-05,27
840c455ffffffff-2019-06,1
840c455ffffffff-2019-07,1
840c455ffffffff-2020-04,1
840c455ffffffff-2020-05,2
840c455ffffffff-2020-08,2
840c455ffffffff-2021-05,15
840c455ffffffff-2021-07,1
840c455ffffffff-2022-04,1
840c455ffffffff-2022-05,14
840c455ffffffff-2022-08,2
840c455ffffffff-2023-05,17
840c465ffffffff-2012-05,1
840c465ffffffff-2017-05,2
840c465ffffffff-2019-06,4
840c465ffffffff-2020-05,3
840c465ffffffff-2020-06,1
840c465ffffffff-2020-07,3
840c465ffffffff-2021-05,1
840c465ffffffff-2022-05,2
840c465ffffffff-2023-05,1
840c46bffffffff-2016-09,1
840c46dffffffff-2012-07,1
840c46dffffffff-2014-05,2
840c46dffffffff-2015-06,1
840c46dffffffff-2015-08,1
840c46dffffffff-2016-05,1
840c46dffffffff-2017-05,4
840c46dffffffff-2018-05,2
840c46dffffffff-2018-09,1
840c46dffffffff-2019-05,5
840c46dffffffff-2019-06,8
840c46dffffffff-2019-07,4
840c503ffffffff-2012-05,44
840c503ffffffff-2012-06,4
840c503ffffffff-2012-07,3
840c503ffffffff-2012-08,4
840c503ffffffff-2013-05,21
840c503ffffffff-2013-06,2
840c503ffffffff-2013-08,5
840c503ffffffff-2014-05,6
840c503ffffffff-2014-07,1
840c503ffffffff-2014-08,4
840c503ffffffff-2015-05,10
840c503ffffffff-2015-07,6
840c503ffffffff-2015-08,2
840c503ffffffff-2015-09,1
840c503ffffffff-2016-05,5
840c503ffffffff-2016-07,5
840c503ffffffff-2017-05,6
840c503ffffffff-2017-07,3
840c503ffffffff-2018-05,13
840c503ffffffff-2018-07,3
840c503ffffffff-2018-08,3
840c503ffffffff-2018-09,3
840c503ffffffff-2019-05,37
840c503ffffffff-2019-07,6
840c503ffffffff-2019-08,1
840c503ffffffff-2020-05,14
840c503ffffffff-2020-07,2
840c503ffffffff-2020-08,10
840c503ffffffff-2021-04,4
840c503ffffffff-2021-05,29
840c503ffffffff-2021-06,1
840c503ffffffff-2021-08,2
840c503ffffffff-2022-04,2
840c503ffffffff-2022-05,40
840c503ffffffff-2022-07,3
840c503ffffffff-2022-08,16
840c503ffffffff-2023-05,48
840c503ffffffff-2023-07,2
840c503ffffffff-2023-08,14
840c507ffffffff-2023-05,2
840c50bffffffff-2013-05,2
840c50bffffffff-2014-05,2
840c50bffffffff-2015-07,2
840c50bffffffff-2017-05,4
840c50bffffffff-2017-07,3
840c50bffffffff-2017-08,1
840c50bffffffff-2018-05,1
840c50bffffffff-2019-05,3
840c50bffffffff-2019-07,5
840c50bffffffff-2020-05,7
840c50bffffffff-2020-07,2
840c50bffffffff-2021-05,2
840c50bffffffff-2021-07,1
840c50bffffffff-2022-05,1
840c50bffffffff-2023-05,6
840c50bffffffff-2023-07,2
840c511ffffffff-2012-05,1
840c511ffffffff-2019-05,2
840c511ffffffff-2023-05,2
840c515ffffffff-2020-05,1
840c51dffffffff-2012-04,2
840c51dffffffff-2012-05,25
840c51dffffffff-2013-05,22
840c51dffffffff-2013-08,6
840c51dffffffff-2014-05,22
840c51dffffffff-2014-08,1
840c51dffffffff-2015-05,34
840c51dffffffff-2015-08,3
840c51dffffffff-2016-04,2
840c51dffffffff-2016-05,6
840c51dffffffff-2016-07,2
840c51dffffffff-2016-08,1
840c51dffffffff-2017-04,4
840c51dffffffff-2017-05,25
840c51dffffffff-2017-07,2
840c51dffffffff-2017-08,4
840c51dffffffff-2018-04,1
840c51dffffffff-2018-05,60
840c51dffffffff-2018-07,2
840c51dffffffff-2018-08,1
840c51dffffffff-2019-04,6
840c51dffffffff-2019-05,64
840c51dffffffff-2019-06,1
840c51dffffffff-2019-07,2
840c51dffffffff-2019-08,1
840c51dffffffff-2020-04,4
840c51dffffffff-2020-05,47
840c51dffffffff-2020-07,2
840c51dffffffff-2020-08,1
840c51dffffffff-2021-04,3
840c51dffffffff-2021-05,93
840c51dffffffff-2022-04,1
840c51dffffffff-2022-05,98
840c51dffffffff-2022-06,2
840c51dffffffff-2022-07,1
840c51dffffffff-2022-08,4
840c51dffffffff-2023-04,14
840c51dffffffff-2023-05,83
840c51dffffffff-2023-07,1
840c51dffffffff-2023-08,2
840c51dffffffff-2023-09,3
840c54bffffffff-2012-05,33
840c54bffffffff-2012-06,8
840c54bffffffff-2014-04,4
840c54bffffffff-2014-05,98
840c54bffffffff-2014-06,70
840c54bffffffff-2014-07,6
840c54bffffffff-2015-05,56
840c54bffffffff-2015-06,49
840c54bffffffff-2015-07,8
840c54bffffffff-2016-04,3
840c54bffffffff-2016-05,42
840c54bffffffff-2016-06,11
840c54bffffffff-2016-07,7
840c54bffffffff-2019-05,22
840c54bffffffff-2019-06,7
840c54bffffffff-2020-05,19
840c54bffffffff-2020-06,6
840c54bffffffff-2021-05,19
