index,n
8427631ffffffff-2017-06,47
842aa85ffffffff-2017-11,123
842aa85ffffffff-2017-12,49
842aa85ffffffff-2018-01,12
842ad51ffffffff-2017-05,3
842ad51ffffffff-2017-06,48
842ad51ffffffff-2017-07,64
842ad51ffffffff-2017-08,3
842ad51ffffffff-2018-04,9
842ad51ffffffff-2018-05,7
842af01ffffffff-2022-08,1
842af15ffffffff-2013-06,1
8444123ffffffff-2014-09,1
8444123ffffffff-2017-04,1
8444123ffffffff-2020-05,3
8444123ffffffff-2020-07,1
8444123ffffffff-2021-01,1
8444123ffffffff-2021-02,2
8444123ffffffff-2021-04,3
8444123ffffffff-2021-07,2
8444123ffffffff-2022-05,5
8444123ffffffff-2022-06,4
8444123ffffffff-2023-04,3
8444123ffffffff-2023-05,3
8444123ffffffff-2023-07,4
8444123ffffffff-2023-08,10
8444125ffffffff-2016-06,2
8444125ffffffff-2021-04,1
8444125ffffffff-2022-04,1
8444125ffffffff-2023-03,9
8444125ffffffff-2023-04,11
8444125ffffffff-2023-05,2
8444127ffffffff-2013-07,1
844412dffffffff-2012-03,2
844412dffffffff-2012-04,5
844412dffffffff-2012-05,4
844412dffffffff-2013-03,3
844412dffffffff-2013-04,10
844412dffffffff-2013-05,7
844412dffffffff-2013-08,2
844412dffffffff-2014-04,10
844412dffffffff-2014-05,6
844412dffffffff-2014-06,1
844412dffffffff-2014-08,1
844412dffffffff-2015-03,10
844412dffffffff-2015-04,11
844412dffffffff-2015-05,15
844412dffffffff-2015-07,2
844412dffffffff-2016-04,20
844412dffffffff-2016-05,27
844412dffffffff-2016-06,14
844412dffffffff-2016-08,3
844412dffffffff-2017-05,16
844412dffffffff-2017-06,3
844412dffffffff-2018-03,1
844412dffffffff-2018-04,12
844412dffffffff-2018-05,12
844412dffffffff-2018-06,7
844412dffffffff-2018-07,1
844412dffffffff-2019-03,1
844412dffffffff-2019-04,12
844412dffffffff-2019-05,10
844412dffffffff-2019-06,4
844412dffffffff-2020-04,1
844412dffffffff-2020-05,6
844412dffffffff-2020-06,4
844412dffffffff-2020-07,1
844412dffffffff-2020-08,1
844412dffffffff-2021-01,1
844412dffffffff-2021-03,1
844412dffffffff-2021-04,40
844412dffffffff-2021-05,24
844412dffffffff-2021-06,5
844412dffffffff-2021-08,1
844412dffffffff-2022-04,11
844412dffffffff-2022-05,33
844412dffffffff-2022-06,9
844412dffffffff-2022-07,1
844412dffffffff-2023-03,10
844412dffffffff-2023-04,80
844412dffffffff-2023-05,30
844412dffffffff-2023-06,17
844412dffffffff-2023-07,16
844412dffffffff-2023-08,1
8444131ffffffff-2013-04,2
8444131ffffffff-2014-04,2
8444131ffffffff-2015-01,1
8444131ffffffff-2016-05,1
8444131ffffffff-2018-04,8
8444131ffffffff-2020-01,1
8444131ffffffff-2020-02,1
8444131ffffffff-2020-04,1
8444131ffffffff-2022-04,2
8444133ffffffff-2015-02,3
8444133ffffffff-2021-08,3
8444133ffffffff-2023-06,5
8444133ffffffff-2023-07,1
8444135ffffffff-2013-07,1
8444137ffffffff-2021-03,1
8444137ffffffff-2022-12,1
8444137ffffffff-2023-03,3
844413dffffffff-2013-03,1
844413dffffffff-2013-05,1
844413dffffffff-2014-02,1
844413dffffffff-2014-03,1
844413dffffffff-2014-04,7
844413dffffffff-2014-06,2
844413dffffffff-2016-11,2
844413dffffffff-2016-12,1
844413dffffffff-2020-01,1
844413dffffffff-2020-04,3
844413dffffffff-2020-05,22
844413dffffffff-2020-06,5
844413dffffffff-2021-04,8
