index,n
8466017ffffffff-2023-10,2
846601bffffffff-2013-01,2
846601bffffffff-2015-05,2
846601bffffffff-2016-12,2
846601bffffffff-2017-02,1
846601bffffffff-2017-04,1
846601bffffffff-2017-05,2
846601bffffffff-2017-10,2
846601bffffffff-2018-11,5
846601bffffffff-2019-10,5
846601bffffffff-2019-11,5
846601bffffffff-2020-02,1
846601bffffffff-2021-06,3
846601bffffffff-2021-07,1
846601bffffffff-2021-10,2
846601bffffffff-2021-12,1
846601bffffffff-2022-07,2
846601bffffffff-2022-10,3
846601bffffffff-2022-11,7
846601bffffffff-2023-01,6
846601bffffffff-2023-02,4
846601bffffffff-2023-11,2
8466053ffffffff-2021-08,1
8466081ffffffff-2012-09,2
8466081ffffffff-2016-01,3
8466081ffffffff-2016-03,1
8466081ffffffff-2016-06,3
8466081ffffffff-2019-04,2
8466081ffffffff-2020-01,1
8466081ffffffff-2020-02,1
8466081ffffffff-2020-07,2
8466081ffffffff-2020-11,1
8466081ffffffff-2021-05,1
8466081ffffffff-2021-06,2
8466081ffffffff-2021-11,1
8466081ffffffff-2021-12,2
8466081ffffffff-2022-08,1
8466081ffffffff-2022-11,2
8466081ffffffff-2023-02,2
8466081ffffffff-2023-03,1
8466081ffffffff-2023-04,1
8466081ffffffff-2023-06,2
8466081ffffffff-2023-07,1
8466083ffffffff-2013-06,1
8466083ffffffff-2016-01,1
8466083ffffffff-2016-11,1
8466083ffffffff-2017-01,1
8466083ffffffff-2017-07,1
8466083ffffffff-2017-08,2
8466083ffffffff-2018-07,3
8466083ffffffff-2018-08,2
8466083ffffffff-2018-11,3
8466083ffffffff-2019-07,1
8466083ffffffff-2019-08,2
8466083ffffffff-2020-11,1
8466083ffffffff-2021-01,1
8466083ffffffff-2021-03,1
8466083ffffffff-2021-05,1
8466083ffffffff-2021-08,2
8466083ffffffff-2021-09,3
8466083ffffffff-2021-12,1
8466083ffffffff-2022-08,1
8466083ffffffff-2022-12,3
8466083ffffffff-2023-01,1
8466083ffffffff-2023-02,3
8466083ffffffff-2023-07,1
8466083ffffffff-2023-09,2
8466087ffffffff-2019-02,1
8466087ffffffff-2020-12,1
