index,n
84041adffffffff-2017-06,1
84058cbffffffff-2017-06,8
8408885ffffffff-2019-08,1
840888dffffffff-2019-08,1
840c143ffffffff-2014-09,3
840c143ffffffff-2016-09,4
840c143ffffffff-2018-08,4
840c143ffffffff-2018-09,1
840c143ffffffff-2022-09,1
840c309ffffffff-2022-09,2
840c415ffffffff-2012-08,9
840c415ffffffff-2012-09,18
840c415ffffffff-2013-08,11
840c415ffffffff-2013-09,60
840c415ffffffff-2014-09,24
840c415ffffffff-2014-10,7
840c415ffffffff-2016-10,4
840c415ffffffff-2020-09,1
840c42dffffffff-2020-09,1
840c42dffffffff-2022-09,1
840c42dffffffff-2022-10,4
840c42dffffffff-2023-10,5
840c42dffffffff-2023-11,3
840c455ffffffff-2018-09,1
840c455ffffffff-2020-09,1
840c455ffffffff-2021-11,5
840c503ffffffff-2012-09,1
840c51dffffffff-2014-09,1
840c51dffffffff-2018-09,2
840c51dffffffff-2020-09,1
840c51dffffffff-2023-09,1
840c555ffffffff-2012-08,8
840c555ffffffff-2012-09,5
840c555ffffffff-2013-09,3
840c555ffffffff-2013-10,2
840c555ffffffff-2014-08,1
840c555ffffffff-2014-09,1
840c555ffffffff-2015-08,4
840c555ffffffff-2015-09,6
840c555ffffffff-2016-09,3
840c555ffffffff-2017-09,1
840c555ffffffff-2018-09,11
840c555ffffffff-2019-08,1
840c555ffffffff-2020-09,1
840c555ffffffff-2021-08,3
840c555ffffffff-2021-09,6
840c555ffffffff-2022-08,1
840c555ffffffff-2022-09,4
840c555ffffffff-2023-09,1
840c555ffffffff-2023-10,1
840c5a1ffffffff-2014-10,2
840c5a5ffffffff-2012-08,1
840c5a5ffffffff-2012-09,2
840c5a5ffffffff-2012-10,3
840c5a5ffffffff-2012-11,2
840c5a5ffffffff-2013-09,2
840c5a5ffffffff-2013-10,4
840c5a5ffffffff-2013-11,1
840c5a5ffffffff-2014-10,1
840c5a5ffffffff-2014-11,3
840c5a5ffffffff-2015-10,1
840c5a5ffffffff-2016-09,4
840c5a5ffffffff-2016-10,3
840c5a5ffffffff-2017-09,1
840c5a5ffffffff-2017-10,4
840c5a5ffffffff-2018-09,2
840c5a5ffffffff-2019-09,1
840c5a5ffffffff-2020-09,2
840c5a5ffffffff-2020-10,4
840c5a5ffffffff-2021-09,2
840c5a5ffffffff-2021-10,5
840c5a5ffffffff-2022-09,3
840c5a5ffffffff-2023-10,2
840c5a7ffffffff-2013-09,1
840c5a7ffffffff-2014-10,1
840c5a7ffffffff-2019-10,2
840c5a7ffffffff-2021-10,2
840c731ffffffff-2018-09,1
840c731ffffffff-2018-10,1
840c733ffffffff-2013-09,4
840c733ffffffff-2013-10,1
840c733ffffffff-2015-09,3
840c733ffffffff-2017-10,1
840c733ffffffff-2020-09,1
840c733ffffffff-2021-09,11
840c733ffffffff-2022-08,1
840ca43ffffffff-2012-08,6
840ca43ffffffff-2012-09,9
840ca43ffffffff-2013-08,8
840ca43ffffffff-2013-09,23
840ca43ffffffff-2014-08,1
840ca43ffffffff-2014-09,16
840ca43ffffffff-2015-08,1
840ca43ffffffff-2015-09,2
840ca43ffffffff-2016-08,16
840ca43ffffffff-2016-09,21
840ca43ffffffff-2016-10,4
840ca43ffffffff-2017-08,4
840ca43ffffffff-2017-09,33
840ca43ffffffff-2017-10,4
840ca43ffffffff-2018-08,18
840ca43ffffffff-2018-09,14
840ca43ffffffff-2019-09,67
840ca43ffffffff-2019-10,4
840ca43ffffffff-2021-08,17
840ca43ffffffff-2021-09,19
840ca43ffffffff-2022-09,4
840ca43ffffffff-2023-09,20
840ca9bffffffff-2022-09,1
840cd8dffffffff-2018-10,1
840cd8dffffffff-2023-09,1
840cdebffffffff-2019-09,1
840cdebffffffff-2021-09,4
840cdebffffffff-2021-10,2
840cdebffffffff-2022-09,1
840cdebffffffff-2022-10,1
840cdebffffffff-2023-09,2
840cdebffffffff-2023-10,1
840cee5ffffffff-2016-09,18
840d595ffffffff-2016-09,1
840d595ffffffff-2020-09,1
840d88bffffffff-2022-08,1
840d8a7ffffffff-2018-08,1
840d937ffffffff-2018-08,1
840daddffffffff-2019-08,2
8411ae3ffffffff-2012-09,2
84121e3ffffffff-2013-10,1
84128d1ffffffff-2012-09,1
8412909ffffffff-2013-09,1
8412909ffffffff-2013-10,1
8412909ffffffff-2021-10,3
8412909ffffffff-2021-11,1
8412909ffffffff-2023-10,2
8412947ffffffff-2013-10,1
8412949ffffffff-2013-09,1
8412949ffffffff-2013-10,1
8412949ffffffff-2015-09,1
8412949ffffffff-2021-09,1
8412987ffffffff-2016-10,1
8412ad7ffffffff-2015-09,4
8412b03ffffffff-2020-09,2
8412cc1ffffffff-2020-10,11
8412d19ffffffff-2013-09,1
8412d19ffffffff-2013-10,1
8412d19ffffffff-2014-09,1
8412d19ffffffff-2022-09,1
8412d57ffffffff-2013-09,1
8412db5ffffffff-2012-09,2
8412dc9ffffffff-2018-09,6
8412ea3ffffffff-2023-09,1
8412ec1ffffffff-2015-09,3
8412ec7ffffffff-2016-10,7
8413839ffffffff-2016-09,1
8413839ffffffff-2021-09,1
841383dffffffff-2016-09,3
8413861ffffffff-2017-09,1
8413861ffffffff-2018-09,5
8413861ffffffff-2021-09,9
8413861ffffffff-2022-09,5
8413861ffffffff-2022-10,3
8413931ffffffff-2014-09,2
8413931ffffffff-2014-10,1
8413931ffffffff-2015-08,1
8413931ffffffff-2021-09,1
8413931ffffffff-2022-09,1
8413933ffffffff-2016-09,1
8413933ffffffff-2021-09,1
8413933ffffffff-2022-09,1
84139e1ffffffff-2012-08,2
84139e1ffffffff-2012-10,2
84139e1ffffffff-2013-10,2
84139e1ffffffff-2014-10,1
84139e1ffffffff-2015-09,3
84139e1ffffffff-2021-09,3
84139e1ffffffff-2022-09,5
84139e1ffffffff-2023-09,7
84139e1ffffffff-2023-10,4
84139edffffffff-2015-09,2
84139edffffffff-2021-09,7
84144c5ffffffff-2017-09,1
8414ae5ffffffff-2023-08,1
8415901ffffffff-2018-07,2
8415909ffffffff-2023-07,1
8415909ffffffff-2023-08,1
8415913ffffffff-2023-07,3
8415915ffffffff-2015-07,2
8415927ffffffff-2020-07,1
8415927ffffffff-2022-07,3
8415929ffffffff-2017-07,5
8415929ffffffff-2019-08,1
8415929ffffffff-2021-07,3
8415929ffffffff-2023-05,1
8415929ffffffff-2023-08,14
841592bffffffff-2022-07,5
841592bffffffff-2023-08,7
8415b07ffffffff-2019-05,1
8415b07ffffffff-2019-08,1
8415b07ffffffff-2022-05,1
8415b07ffffffff-2023-07,7
8415b07ffffffff-2023-08,5
8415b25ffffffff-2022-08,2
8415b31ffffffff-2023-07,2
8415b33ffffffff-2023-07,8
8415b39ffffffff-2022-08,1
8415b39ffffffff-2023-07,2
8416539ffffffff-2021-09,5
8416539ffffffff-2023-09,1
841653bffffffff-2021-09,1
841653bffffffff-2023-09,2
841788bffffffff-2016-08,2
841788bffffffff-2016-09,10
84182a7ffffffff-2022-08,1
8418451ffffffff-2022-10,1
841845dffffffff-2020-08,12
8419405ffffffff-2023-09,7
8419681ffffffff-2015-09,2
84196ddffffffff-2017-09,1
8419763ffffffff-2023-09,3
841d243ffffffff-2022-11,1
841ec33ffffffff-2016-07,2
841f42dffffffff-2023-08,21
841f55bffffffff-2023-08,5
841fadbffffffff-2022-09,9
84225a5ffffffff-2021-09,2
84225a5ffffffff-2022-09,4
84225a5ffffffff-2023-08,2
84225a5ffffffff-2023-09,36
84225a5ffffffff-2023-10,3
8422db7ffffffff-2012-07,1
8422db7ffffffff-2012-08,34
8422db7ffffffff-2012-09,4
8422db7ffffffff-2013-08,1
8422db7ffffffff-2013-09,2
8422db7ffffffff-2013-10,1
8422db7ffffffff-2014-07,4
8422db7ffffffff-2014-08,9
8422db7ffffffff-2014-09,14
8422db7ffffffff-2014-10,7
8422db7ffffffff-2015-08,7
8422db7ffffffff-2015-09,75
8422db7ffffffff-2015-10,6
8422db7ffffffff-2016-08,28
8422db7ffffffff-2016-09,58
8422db7ffffffff-2016-10,11
8422db7ffffffff-2017-06,1
8422db7ffffffff-2017-08,22
8422db7ffffffff-2017-09,24
8422db7ffffffff-2017-10,10
8422db7ffffffff-2018-08,11
8422db7ffffffff-2018-09,56
8422db7ffffffff-2019-06,2
8422db7ffffffff-2019-07,2
8422db7ffffffff-2019-08,8
8422db7ffffffff-2019-09,48
8422db7ffffffff-2019-10,13
8422db7ffffffff-2022-07,2
8422db7ffffffff-2022-08,6
8422db7ffffffff-2022-09,14
8422db7ffffffff-2022-10,2
8422db7ffffffff-2023-08,3
8422db7ffffffff-2023-09,41
8422db7ffffffff-2023-10,10
8422dbdffffffff-2015-07,1
8422dbdffffffff-2016-08,5
8422dbdffffffff-2016-09,6
8422dbdffffffff-2017-07,1
8422dbdffffffff-2017-08,2
8422dbdffffffff-2017-09,3
8422dbdffffffff-2019-08,1
8422dbdffffffff-2022-08,6
8422dbdffffffff-2022-09,14
8422dbdffffffff-2023-08,4
8422e9bffffffff-2021-09,8
8424051ffffffff-2023-05,3
84240e1ffffffff-2019-07,1
84240e7ffffffff-2022-08,1
8424213ffffffff-2019-07,9
8424213ffffffff-2019-08,1
8424213ffffffff-2020-07,1
8424213ffffffff-2021-07,1
8424213ffffffff-2022-08,5
8424213ffffffff-2023-07,5
8424213ffffffff-2023-08,16
8424215ffffffff-2019-07,1
8424215ffffffff-2019-08,1
8424223ffffffff-2023-08,1
84242b3ffffffff-2021-08,1
84242b3ffffffff-2023-08,3
84242c3ffffffff-2014-08,1
84242c3ffffffff-2021-08,1
84242c3ffffffff-2022-07,1
84242c3ffffffff-2022-08,2
84242c3ffffffff-2023-08,4
84242c5ffffffff-2018-08,1
84242c5ffffffff-2023-08,5
84242d5ffffffff-2018-08,1
84242d5ffffffff-2019-07,1
8424311ffffffff-2023-07,3
8424311ffffffff-2023-08,8
8424343ffffffff-2023-06,1
8424429ffffffff-2022-07,1
8424429ffffffff-2022-08,1
842442dffffffff-2022-07,1
842442dffffffff-2022-08,1
8424467ffffffff-2021-08,1
8424467ffffffff-2022-08,3
84244b1ffffffff-2020-07,2
84244b1ffffffff-2023-08,1
84244b7ffffffff-2020-07,1
84244b9ffffffff-2022-08,1
84244bbffffffff-2022-08,1
84244c1ffffffff-2019-09,1
84244c1ffffffff-2021-07,6
84244c1ffffffff-2021-08,4
84244c1ffffffff-2022-07,2
8424529ffffffff-2019-08,4
8424547ffffffff-2019-08,1
8424609ffffffff-2018-08,1
842460dffffffff-2018-08,1
842460dffffffff-2021-07,3
842460dffffffff-2023-08,2
842462dffffffff-2022-08,1
842462dffffffff-2023-08,2
8424667ffffffff-2022-08,1
84246cdffffffff-2023-07,1
8424703ffffffff-2023-08,1
8424759ffffffff-2022-07,3
8424759ffffffff-2022-08,6
8424759ffffffff-2023-06,2
8424759ffffffff-2023-08,2
84248abffffffff-2021-08,1
84250a5ffffffff-2022-07,1
8425137ffffffff-2019-07,4
8425403ffffffff-2020-08,2
8425409ffffffff-2016-08,1
8425463ffffffff-2023-08,6
84255a7ffffffff-2020-05,1
84255b7ffffffff-2016-06,1
84255b7ffffffff-2018-08,2
84255b7ffffffff-2019-07,3
84255b7ffffffff-2019-08,1
84255b7ffffffff-2021-08,2
84255b7ffffffff-2022-07,7
84255b7ffffffff-2022-08,5
84255b7ffffffff-2023-06,3
84255b7ffffffff-2023-07,5
84255b7ffffffff-2023-08,14
84255b7ffffffff-2023-09,4
84255bdffffffff-2015-07,1
8425b41ffffffff-2021-07,3
8426213ffffffff-2016-09,84
84265b1ffffffff-2016-08,8
8426769ffffffff-2013-11,6
8426957ffffffff-2020-10,5
8426957ffffffff-2020-11,32
8426aa1ffffffff-2022-05,2
8427431ffffffff-2022-11,52
84274e3ffffffff-2016-08,109
84274e3ffffffff-2019-10,94
8427585ffffffff-2022-04,29
84275c3ffffffff-2018-08,29
842802bffffffff-2012-09,3
842802bffffffff-2014-09,1
842802bffffffff-2017-09,1
842802bffffffff-2018-09,27
842802bffffffff-2020-07,9
842802bffffffff-2020-10,3
8428183ffffffff-2023-10,1
8428195ffffffff-2012-09,1
842819dffffffff-2023-10,1
84281b5ffffffff-2012-09,2
84281b5ffffffff-2013-09,5
84281b5ffffffff-2014-10,31
84281b5ffffffff-2016-09,27
84281b5ffffffff-2016-10,9
84281b5ffffffff-2018-09,33
84281b5ffffffff-2022-09,11
84281b5ffffffff-2023-09,1
84281cbffffffff-2014-10,1
84281cbffffffff-2019-09,1
