index,n
848314bffffffff-2023-04,2
8483263ffffffff-2022-05,1
8483335ffffffff-2023-09,1
8483361ffffffff-2021-12,1
8496257ffffffff-2021-10,1
84962c5ffffffff-2021-01,2
8496445ffffffff-2023-04,2
8496447ffffffff-2023-04,2
8497015ffffffff-2022-05,1
8497019ffffffff-2022-12,1
8497035ffffffff-2019-11,1
849708bffffffff-2022-02,3
849708bffffffff-2022-03,2
849708bffffffff-2023-01,1
849708bffffffff-2023-02,1
8497099ffffffff-2017-12,1
849709dffffffff-2022-02,4
849709dffffffff-2022-04,1
84970d3ffffffff-2017-10,1
84970d3ffffffff-2021-11,1
84970d3ffffffff-2021-12,1
84970d3ffffffff-2022-02,2
84970d3ffffffff-2022-03,1
849721bffffffff-2023-05,3
849728dffffffff-2017-11,1
8497291ffffffff-2015-11,3
8497291ffffffff-2019-06,1
8497291ffffffff-2020-10,1
8497291ffffffff-2023-01,1
84972c1ffffffff-2023-03,1
84972c5ffffffff-2018-01,1
84972c5ffffffff-2023-01,1
84972c5ffffffff-2023-11,2
84972c9ffffffff-2021-12,2
84972cdffffffff-2021-12,1
84972cdffffffff-2023-11,2
84972d9ffffffff-2013-04,1
84972d9ffffffff-2015-10,1
84972d9ffffffff-2016-01,2
84972d9ffffffff-2018-01,2
84972d9ffffffff-2020-11,2
84972d9ffffffff-2021-01,3
84972d9ffffffff-2021-11,1
84972d9ffffffff-2021-12,1
84972d9ffffffff-2022-02,1
84972d9ffffffff-2022-08,3
84972d9ffffffff-2023-01,5
84972d9ffffffff-2023-02,2
84972dbffffffff-2023-03,1
84972e3ffffffff-2021-02,2
84972e3ffffffff-2021-08,1
84972e3ffffffff-2022-02,1
84972e3ffffffff-2022-06,1
84972e3ffffffff-2022-08,1
84972e3ffffffff-2023-01,1
84972ebffffffff-2019-02,1
84972ebffffffff-2021-03,1
84972ebffffffff-2022-02,2
84972ebffffffff-2022-07,2
84972ebffffffff-2022-12,1
84972ebffffffff-2023-04,1
84972ebffffffff-2023-08,1
8497405ffffffff-2012-02,2
8497405ffffffff-2022-02,2
8497405ffffffff-2022-12,4
8497405ffffffff-2023-02,2
8497409ffffffff-2012-02,1
8497409ffffffff-2017-03,1
8497409ffffffff-2017-04,2
8497409ffffffff-2023-03,5
849740dffffffff-2012-02,1
849740dffffffff-2023-03,3
8497411ffffffff-2022-07,1
8497415ffffffff-2021-02,1
8497415ffffffff-2022-01,1
8497415ffffffff-2023-05,1
8497415ffffffff-2023-06,2
8497415ffffffff-2023-08,4
8497415ffffffff-2023-11,1
849741dffffffff-2016-10,8
849741dffffffff-2021-02,1
849741dffffffff-2021-08,1
849741dffffffff-2022-10,2
849741dffffffff-2023-05,2
8497431ffffffff-2021-10,1
8497431ffffffff-2022-11,2
8497431ffffffff-2023-03,1
8497431ffffffff-2023-09,2
8497431ffffffff-2023-10,1
8497435ffffffff-2019-12,2
8497435ffffffff-2021-04,1
8497435ffffffff-2021-12,2
8497435ffffffff-2022-04,1
8497435ffffffff-2023-09,1
8497435ffffffff-2023-11,1
8497437ffffffff-2015-11,1
8497437ffffffff-2015-12,1
8497439ffffffff-2019-12,2
8497439ffffffff-2022-11,1
8497439ffffffff-2022-12,1
8497439ffffffff-2023-03,1
849743bffffffff-2022-04,1
849743bffffffff-2022-11,1
849743bffffffff-2022-12,1
849743dffffffff-2017-12,1
849743dffffffff-2020-02,1
849743dffffffff-2020-03,1
849743dffffffff-2022-03,1
849743dffffffff-2023-08,3
849744dffffffff-2018-12,1
8497451ffffffff-2019-03,1
8497451ffffffff-2022-08,1
8497453ffffffff-2022-02,20
8497453ffffffff-2023-01,1
8497453ffffffff-2023-04,4
8497453ffffffff-2023-06,1
8497459ffffffff-2017-03,4
8497459ffffffff-2018-03,7
8497459ffffffff-2021-12,2
8497459ffffffff-2022-02,1
8497459ffffffff-2023-02,4
8497459ffffffff-2023-03,1
849745bffffffff-2019-12,4
8497461ffffffff-2021-12,1
8497489ffffffff-2017-05,1
84974a9ffffffff-2015-11,2
84974a9ffffffff-2015-12,3
84974a9ffffffff-2016-03,1
84974a9ffffffff-2018-11,3
84974abffffffff-2014-08,1
84974abffffffff-2016-03,2
84974abffffffff-2017-03,1
84974abffffffff-2017-08,9
84974abffffffff-2018-03,3
84974abffffffff-2018-09,2
84974abffffffff-2018-11,8
84974abffffffff-2019-03,3
84974abffffffff-2019-11,2
84974abffffffff-2020-02,6
84974abffffffff-2021-04,2
84974abffffffff-2021-05,1
84974abffffffff-2021-09,2
84974abffffffff-2022-02,1
84974abffffffff-2022-09,5
84974abffffffff-2022-10,8
84974abffffffff-2022-11,5
84974abffffffff-2023-01,3
84974abffffffff-2023-02,1
84974abffffffff-2023-03,5
84974abffffffff-2023-07,14
84974abffffffff-2023-09,4
84974abffffffff-2023-11,9
84974adffffffff-2020-03,2
84974b9ffffffff-2019-10,2
84974b9ffffffff-2021-04,2
84974e3ffffffff-2019-11,1
84974e9ffffffff-2019-05,1
84974edffffffff-2021-12,4
8497509ffffffff-2016-04,1
8497509ffffffff-2017-01,2
8497509ffffffff-2017-03,1
8497509ffffffff-2019-02,1
