index,n
84414b3ffffffff-2022-10,1
844165bffffffff-2021-06,1
844165bffffffff-2021-12,1
844165bffffffff-2023-10,1
8441685ffffffff-2022-02,1
84416cdffffffff-2019-12,2
84416e1ffffffff-2014-03,1
84416e1ffffffff-2015-05,1
84416e1ffffffff-2015-10,1
84416e1ffffffff-2018-01,1
8464a4dffffffff-2017-11,1
8464b01ffffffff-2017-07,1
8464b45ffffffff-2017-12,1
8464b55ffffffff-2019-02,1
8464b55ffffffff-2019-06,2
8464b55ffffffff-2019-10,1
8464b55ffffffff-2019-11,1
8464b55ffffffff-2020-02,9
8464b55ffffffff-2020-03,1
8464b55ffffffff-2020-07,2
8464b55ffffffff-2020-10,5
8464b55ffffffff-2020-12,3
8464b55ffffffff-2021-01,1
8464b55ffffffff-2021-02,3
8464b55ffffffff-2021-10,1
8464b55ffffffff-2021-11,2
8464b55ffffffff-2022-01,5
8464b55ffffffff-2022-12,3
8464b57ffffffff-2019-06,1
8464b5dffffffff-2013-08,1
8464b5dffffffff-2015-01,1
8464b5dffffffff-2015-02,2
8464b5dffffffff-2015-07,1
8464b5dffffffff-2016-03,2
8464b5dffffffff-2016-06,1
8464b5dffffffff-2016-12,1
8464b5dffffffff-2017-02,1
8464b5dffffffff-2017-03,1
8464b5dffffffff-2017-04,1
8464b5dffffffff-2017-05,1
8464b5dffffffff-2017-09,1
8464b5dffffffff-2017-12,1
8464b5dffffffff-2018-02,1
8464b5dffffffff-2018-03,1
8464b5dffffffff-2019-06,1
8464b5dffffffff-2020-01,2
8464b5dffffffff-2020-02,1
8464b5dffffffff-2020-03,1
8464b5dffffffff-2020-10,1
8464b5dffffffff-2020-12,3
8464b5dffffffff-2021-01,9
8464b5dffffffff-2021-02,1
8464b5dffffffff-2021-11,1
8464b5dffffffff-2021-12,2
8464b5dffffffff-2022-01,2
8464b5dffffffff-2022-03,8
8464b5dffffffff-2022-04,6
8464b5dffffffff-2022-06,4
8464b5dffffffff-2022-07,6
8464b5dffffffff-2022-08,1
8464b5dffffffff-2022-12,6
8464b5dffffffff-2023-02,1
8465825ffffffff-2021-02,1
8465825ffffffff-2022-01,3
8465825ffffffff-2022-09,3
8465825ffffffff-2022-12,2
8465825ffffffff-2023-02,1
8465867ffffffff-2015-02,1
8465867ffffffff-2018-03,1
84658a3ffffffff-2023-04,1
84658adffffffff-2018-11,3
