index,n
84400a5ffffffff-2021-06,3
8440135ffffffff-2016-07,2
844019dffffffff-2019-07,1
84401dbffffffff-2019-05,4
84401dbffffffff-2021-06,2
84401dbffffffff-2021-07,1
84401dbffffffff-2022-06,1
84401dbffffffff-2023-05,3
84401dbffffffff-2023-06,2
84401dbffffffff-2023-07,3
844052dffffffff-2014-05,1
8440899ffffffff-2023-06,1
8440a8dffffffff-2023-05,3
8440a95ffffffff-2019-07,1
8440ac5ffffffff-2023-04,1
8440ac5ffffffff-2023-05,1
8440ac9ffffffff-2016-07,2
8440c29ffffffff-2016-05,1
8440c41ffffffff-2021-05,4
8440c4bffffffff-2022-04,1
8440c59ffffffff-2016-05,1
8440c59ffffffff-2018-05,1
8440c59ffffffff-2019-06,1
8440c59ffffffff-2020-05,1
8440c61ffffffff-2021-05,1
8440c63ffffffff-2019-05,1
8440e13ffffffff-2014-05,4
8440e13ffffffff-2016-05,4
8440e13ffffffff-2016-06,9
8440e13ffffffff-2016-07,2
8440e13ffffffff-2017-05,7
8440e13ffffffff-2017-06,9
8440e13ffffffff-2018-05,11
8440e13ffffffff-2018-06,2
8440e13ffffffff-2018-07,1
8440e13ffffffff-2019-04,1
8440e13ffffffff-2019-05,5
8440e13ffffffff-2019-06,6
8440e13ffffffff-2019-08,1
8440e13ffffffff-2020-05,8
8440e13ffffffff-2020-06,3
8440e13ffffffff-2020-07,3
8440e13ffffffff-2021-04,1
8440e13ffffffff-2021-05,8
8440e13ffffffff-2021-06,7
8440e13ffffffff-2021-07,7
8440e13ffffffff-2022-06,7
8440e13ffffffff-2022-07,2
8440e13ffffffff-2022-08,6
8440e13ffffffff-2023-05,16
8440e13ffffffff-2023-07,2
8440e33ffffffff-2023-05,2
8440e37ffffffff-2019-05,2
8440e37ffffffff-2020-06,2
8440e5bffffffff-2014-05,2
8440e5bffffffff-2020-06,4
8440e5bffffffff-2022-06,1
8440ec5ffffffff-2020-05,1
8440ee5ffffffff-2019-05,1
8440ee5ffffffff-2020-06,1
8440ee9ffffffff-2019-05,1
8440ee9ffffffff-2020-05,2
8440eedffffffff-2020-05,2
8440eedffffffff-2023-04,1
