index,n
849c855ffffffff-2017-04,1
849c855ffffffff-2019-06,2
849c855ffffffff-2019-08,3
849c855ffffffff-2019-11,1
849ca61ffffffff-2014-05,1
849ca61ffffffff-2016-01,2
849ca61ffffffff-2016-07,3
849ca61ffffffff-2016-09,1
849ca61ffffffff-2016-10,1
849ca61ffffffff-2019-08,1
849ca61ffffffff-2019-10,3
849ca61ffffffff-2022-09,9
849ca61ffffffff-2022-10,1
849ca61ffffffff-2023-09,2
849ca65ffffffff-2016-01,2
849caa1ffffffff-2014-07,1
849caa1ffffffff-2019-08,2
849caa1ffffffff-2022-07,2
849caa1ffffffff-2023-08,4
849caa5ffffffff-2017-07,1
849caa5ffffffff-2023-08,1
849caadffffffff-2012-05,2
849caadffffffff-2012-07,1
849caadffffffff-2014-07,1
849caadffffffff-2014-08,1
849caadffffffff-2016-08,2
849caadffffffff-2017-07,7
849caadffffffff-2017-09,2
849caadffffffff-2018-07,7
849caadffffffff-2018-08,2
849caadffffffff-2018-10,3
849caadffffffff-2023-05,2
849caadffffffff-2023-06,1
849caadffffffff-2023-07,4
849caadffffffff-2023-08,1
849cae7ffffffff-2014-06,1
849cae7ffffffff-2016-08,2
849cae7ffffffff-2016-09,3
849cae7ffffffff-2017-08,1
849cae7ffffffff-2018-06,1
849cae7ffffffff-2018-08,1
849cae7ffffffff-2019-08,2
849cae7ffffffff-2019-10,5
849cae7ffffffff-2020-03,1
849cae7ffffffff-2022-07,5
849cae7ffffffff-2022-08,1
849cae7ffffffff-2023-05,1
849cae7ffffffff-2023-06,5
