index,n
845f00dffffffff-2015-11,1
845f00dffffffff-2016-04,2
845f00dffffffff-2017-02,2
845f00dffffffff-2019-02,3
845f01bffffffff-2021-07,2
845f01bffffffff-2021-10,2
845f01bffffffff-2022-09,2
845f01bffffffff-2022-11,1
845f01bffffffff-2023-02,1
845f025ffffffff-2023-07,1
845f031ffffffff-2022-10,2
845f035ffffffff-2020-01,1
845f039ffffffff-2022-09,1
845f039ffffffff-2022-11,1
845f03dffffffff-2017-07,7
845f03dffffffff-2018-02,4
845f03dffffffff-2018-10,1
845f03dffffffff-2019-01,3
845f03dffffffff-2020-01,19
845f03dffffffff-2020-02,1
845f03dffffffff-2020-03,1
845f03dffffffff-2022-02,2
845f03dffffffff-2022-03,3
845f03dffffffff-2023-01,5
845f03dffffffff-2023-02,1
845f03dffffffff-2023-04,4
845f083ffffffff-2014-05,1
845f083ffffffff-2015-01,3
845f083ffffffff-2015-03,1
845f083ffffffff-2016-02,1
845f083ffffffff-2016-11,2
845f083ffffffff-2016-12,1
845f083ffffffff-2017-02,2
845f083ffffffff-2017-04,1
845f083ffffffff-2017-05,1
845f083ffffffff-2017-10,5
845f083ffffffff-2018-01,13
845f083ffffffff-2018-02,2
845f083ffffffff-2018-03,4
845f083ffffffff-2018-05,1
845f083ffffffff-2018-06,1
845f083ffffffff-2018-09,1
845f083ffffffff-2018-12,1
845f083ffffffff-2019-01,9
845f083ffffffff-2019-02,1
845f083ffffffff-2019-03,5
845f083ffffffff-2019-09,2
845f083ffffffff-2019-10,6
845f083ffffffff-2019-11,2
845f083ffffffff-2019-12,5
845f083ffffffff-2020-01,7
845f083ffffffff-2020-02,1
845f083ffffffff-2021-10,5
845f083ffffffff-2021-11,8
845f083ffffffff-2021-12,2
845f083ffffffff-2022-01,1
845f083ffffffff-2022-02,6
845f083ffffffff-2022-09,2
845f083ffffffff-2022-10,4
845f083ffffffff-2022-11,4
845f083ffffffff-2022-12,5
845f083ffffffff-2023-01,4
845f083ffffffff-2023-02,15
845f083ffffffff-2023-03,10
845f083ffffffff-2023-04,10
845f083ffffffff-2023-06,1
845f083ffffffff-2023-09,10
845f083ffffffff-2023-10,6
845f083ffffffff-2023-11,14
845f087ffffffff-2015-10,1
845f08dffffffff-2022-08,1
845f08dffffffff-2023-08,1
845f091ffffffff-2016-04,1
845f091ffffffff-2023-09,1
845f095ffffffff-2014-03,1
845f095ffffffff-2014-04,2
845f095ffffffff-2015-02,1
845f095ffffffff-2015-03,2
845f095ffffffff-2015-04,1
845f095ffffffff-2015-08,1
845f095ffffffff-2015-11,3
845f095ffffffff-2015-12,3
845f095ffffffff-2016-01,2
845f095ffffffff-2016-02,1
845f095ffffffff-2017-01,1
845f095ffffffff-2017-02,2
845f095ffffffff-2017-04,1
845f095ffffffff-2018-02,1
845f095ffffffff-2018-06,2
845f095ffffffff-2018-09,3
845f095ffffffff-2019-02,1
845f095ffffffff-2019-10,1
845f095ffffffff-2020-11,2
845f095ffffffff-2021-08,1
845f095ffffffff-2021-09,3
845f095ffffffff-2021-11,9
845f095ffffffff-2022-01,1
845f095ffffffff-2022-07,4
845f095ffffffff-2023-01,3
845f095ffffffff-2023-07,4
845f095ffffffff-2023-09,1
845f095ffffffff-2023-10,1
845f097ffffffff-2018-10,1
845f0c5ffffffff-2021-09,1
845f0d7ffffffff-2015-11,1
845f0e1ffffffff-2023-08,3
845f0e3ffffffff-2023-03,1
845f0ebffffffff-2021-09,1
845f103ffffffff-2017-11,2
845f105ffffffff-2021-08,1
845f105ffffffff-2023-09,2
845f107ffffffff-2021-01,1
845f107ffffffff-2023-09,2
845f107ffffffff-2023-11,1
845f10dffffffff-2020-02,1
845f10dffffffff-2022-08,1
845f113ffffffff-2020-06,1
845f129ffffffff-2018-11,1
845f129ffffffff-2019-03,2
845f129ffffffff-2021-06,1
845f129ffffffff-2022-05,1
845f129ffffffff-2023-05,1
845f12bffffffff-2017-10,1
845f12bffffffff-2017-11,1
845f12bffffffff-2018-04,1
845f12bffffffff-2018-05,3
845f12bffffffff-2019-03,2
845f12bffffffff-2019-06,1
845f12bffffffff-2019-07,1
845f12bffffffff-2020-01,1
845f12bffffffff-2020-05,1
845f12bffffffff-2020-07,2
845f12bffffffff-2020-08,1
845f12bffffffff-2020-09,1
845f12bffffffff-2020-10,1
845f12bffffffff-2021-02,1
845f12bffffffff-2021-04,1
845f12bffffffff-2021-05,2
845f12bffffffff-2021-08,1
845f12bffffffff-2021-12,1
845f12bffffffff-2022-01,1
845f12bffffffff-2022-04,2
845f12bffffffff-2022-06,2
845f12bffffffff-2023-02,1
845f12bffffffff-2023-05,4
845f12bffffffff-2023-07,1
845f12bffffffff-2023-08,1
845f12bffffffff-2023-10,1
845f12bffffffff-2023-11,1
845f131ffffffff-2019-02,1
845f13bffffffff-2020-08,1
845f13bffffffff-2021-11,1
845f13dffffffff-2016-12,1
845f13dffffffff-2017-02,2
845f13dffffffff-2017-10,1
845f13dffffffff-2017-11,1
845f13dffffffff-2017-12,1
845f13dffffffff-2018-01,1
845f13dffffffff-2018-02,1
845f13dffffffff-2018-03,1
845f13dffffffff-2018-05,3
845f13dffffffff-2018-07,1
845f13dffffffff-2018-10,1
845f13dffffffff-2018-12,1
845f13dffffffff-2019-01,1
845f13dffffffff-2019-02,1
845f13dffffffff-2019-03,1
845f13dffffffff-2019-06,1
845f13dffffffff-2019-07,1
845f13dffffffff-2020-01,3
845f13dffffffff-2020-02,2
845f13dffffffff-2020-06,2
845f13dffffffff-2020-07,3
845f13dffffffff-2020-08,3
845f13dffffffff-2020-09,4
