index,n
843d84dffffffff-2023-09,1
843da21ffffffff-2023-07,2
843da21ffffffff-2023-08,1
843da21ffffffff-2023-09,1
843da25ffffffff-2023-07,2
843da25ffffffff-2023-08,1
843da57ffffffff-2023-05,1
843da63ffffffff-2023-06,1
843da63ffffffff-2023-07,2
843da63ffffffff-2023-09,2
843da9dffffffff-2023-04,2
843db3bffffffff-2023-09,1
843db55ffffffff-2016-08,1
843db55ffffffff-2023-07,2
843db55ffffffff-2023-08,18
843db57ffffffff-2015-08,1
843db57ffffffff-2023-08,28
843db57ffffffff-2023-09,2
843db67ffffffff-2023-08,2
843db6dffffffff-2023-08,3
84424d1ffffffff-2023-10,3
8442c07ffffffff-2023-07,5
8442c39ffffffff-2023-09,2
8442ce9ffffffff-2021-08,1
8442ce9ffffffff-2023-09,2
8452113ffffffff-2022-10,1
8452113ffffffff-2023-02,1
84521c5ffffffff-2023-08,6
84524d7ffffffff-2022-12,1
84524d7ffffffff-2023-01,1
84524dbffffffff-2023-11,1
845402dffffffff-2023-01,2
8454103ffffffff-2023-01,3
845411dffffffff-2019-12,1
84541a9ffffffff-2023-01,16
84541adffffffff-2023-02,3
84541e7ffffffff-2022-12,10
84541e7ffffffff-2023-01,23
84541e7ffffffff-2023-02,9
84541e7ffffffff-2023-03,7
8454addffffffff-2022-10,1
846014bffffffff-2023-03,1
846015dffffffff-2023-03,5
846015dffffffff-2023-05,2
846015dffffffff-2023-06,3
846015dffffffff-2023-08,9
846015dffffffff-2023-09,2
8460161ffffffff-2023-07,3
8460321ffffffff-2023-05,4
8460321ffffffff-2023-06,7
8460321ffffffff-2023-07,7
8460321ffffffff-2023-09,2
8460321ffffffff-2023-10,9
8460901ffffffff-2023-09,1
8460903ffffffff-2023-09,3
846091dffffffff-2018-05,1
8460a59ffffffff-2023-02,2
8460a59ffffffff-2023-04,4
8460a5bffffffff-2023-02,1
8460a89ffffffff-2023-01,1
84618c7ffffffff-2023-05,2
84618c7ffffffff-2023-08,1
8463321ffffffff-2015-02,1
8463321ffffffff-2022-12,4
8463321ffffffff-2023-01,12
8463321ffffffff-2023-02,2
8463321ffffffff-2023-08,1
8463321ffffffff-2023-10,1
8463321ffffffff-2023-11,2
8463325ffffffff-2017-02,2
8463325ffffffff-2022-11,1
8463325ffffffff-2022-12,3
8463325ffffffff-2023-02,5
8463325ffffffff-2023-06,1
8463325ffffffff-2023-11,9
846332dffffffff-2023-07,2
846332dffffffff-2023-08,1
8464829ffffffff-2021-12,1
8464829ffffffff-2022-12,6
8464829ffffffff-2023-01,4
8464829ffffffff-2023-02,1
8464829ffffffff-2023-04,1
8464829ffffffff-2023-09,1
8464829ffffffff-2023-10,2
846482dffffffff-2023-02,1
8464841ffffffff-2022-11,1
8464841ffffffff-2023-05,1
8464841ffffffff-2023-10,5
8464911ffffffff-2023-01,1
846491dffffffff-2019-01,4
846491dffffffff-2023-01,2
846491dffffffff-2023-03,4
846491dffffffff-2023-11,2
8464a29ffffffff-2023-05,1
8464a49ffffffff-2023-06,5
8464a49ffffffff-2023-07,1
8464a4dffffffff-2023-02,1
8464a4dffffffff-2023-09,1
8464b61ffffffff-2023-05,2
8464b61ffffffff-2023-06,1
8464b61ffffffff-2023-07,1
8465807ffffffff-2023-05,2
8465821ffffffff-2022-12,5
8465821ffffffff-2023-01,7
8465821ffffffff-2023-02,16
8465821ffffffff-2023-03,11
8465821ffffffff-2023-04,2
8465821ffffffff-2023-05,1
8465821ffffffff-2023-11,8
8465827ffffffff-2023-02,1
846583dffffffff-2023-03,2
846583dffffffff-2023-04,1
846585dffffffff-2023-02,2
8465863ffffffff-2023-06,1
8465863ffffffff-2023-08,1
8465863ffffffff-2023-10,1
84658a9ffffffff-2023-04,1
84658abffffffff-2023-01,1
8465997ffffffff-2023-03,2
84659c3ffffffff-2023-03,2
84659c3ffffffff-2023-04,3
84659c9ffffffff-2023-02,1
84685e3ffffffff-2022-11,2
84685e3ffffffff-2022-12,1
84685e3ffffffff-2023-01,1
8468753ffffffff-2015-01,1
8469411ffffffff-2023-03,1
84694e5ffffffff-2023-03,1
846968bffffffff-2023-04,2
8472dcbffffffff-2023-09,2
847a401ffffffff-2023-06,5
847a405ffffffff-2023-11,1
847a407ffffffff-2023-06,1
847a407ffffffff-2023-10,1
847a40dffffffff-2023-03,2
847a4b1ffffffff-2023-06,2
847a5c5ffffffff-2023-04,1
847a5c9ffffffff-2023-10,1
847a603ffffffff-2022-11,2
847a643ffffffff-2022-12,1
847a645ffffffff-2023-11,3
847a65dffffffff-2023-02,1
847a6c7ffffffff-2023-05,18
847a6e5ffffffff-2023-01,1
847a6e9ffffffff-2023-05,2
847a6ebffffffff-2023-05,8
847ad99ffffffff-2023-07,1
847ad99ffffffff-2023-11,1
847ad9dffffffff-2023-02,1
847ad9dffffffff-2023-11,1
847b4b7ffffffff-2023-06,2
8494511ffffffff-2022-10,3
8494511ffffffff-2022-11,11
8494511ffffffff-2023-01,3
8494511ffffffff-2023-02,2
8494511ffffffff-2023-03,1
8494511ffffffff-2023-07,2
8494511ffffffff-2023-09,3
8494511ffffffff-2023-10,10
8494511ffffffff-2023-11,3
8494515ffffffff-2023-02,1
849451dffffffff-2018-07,1
849451dffffffff-2018-09,1
849451dffffffff-2022-10,1
849451dffffffff-2022-11,13
849451dffffffff-2022-12,3
849451dffffffff-2023-01,3
849451dffffffff-2023-02,2
849451dffffffff-2023-03,1
849451dffffffff-2023-04,1
849451dffffffff-2023-05,1
849451dffffffff-2023-06,16
849451dffffffff-2023-07,22
849451dffffffff-2023-08,9
849451dffffffff-2023-09,12
849451dffffffff-2023-10,19
849451dffffffff-2023-11,8
849453bffffffff-2022-11,1
849453bffffffff-2023-01,2
84945c5ffffffff-2022-12,3
84945ebffffffff-2023-07,1
8494803ffffffff-2022-10,1
8494803ffffffff-2022-11,1
8494803ffffffff-2022-12,1
8494803ffffffff-2023-01,1
8494803ffffffff-2023-03,5
8494803ffffffff-2023-04,2
8494803ffffffff-2023-05,8
8494803ffffffff-2023-06,5
8494803ffffffff-2023-07,7
8494803ffffffff-2023-08,21
8494803ffffffff-2023-09,10
8494803ffffffff-2023-10,32
8494803ffffffff-2023-11,12
849480bffffffff-2022-12,1
849480bffffffff-2023-03,1
849480bffffffff-2023-09,1
849480bffffffff-2023-10,2
849480bffffffff-2023-11,6
8494811ffffffff-2022-11,4
8494811ffffffff-2023-01,1
8494811ffffffff-2023-05,2
8494811ffffffff-2023-06,1
8494811ffffffff-2023-08,2
8494811ffffffff-2023-10,1
8494811ffffffff-2023-11,4
849481bffffffff-2023-06,2
849481dffffffff-2022-10,1
849481dffffffff-2022-11,2
849481dffffffff-2022-12,2
849481dffffffff-2023-01,1
849481dffffffff-2023-02,5
849481dffffffff-2023-04,1
849481dffffffff-2023-05,2
849481dffffffff-2023-07,4
849481dffffffff-2023-11,3
8494825ffffffff-2022-12,1
8494825ffffffff-2023-09,2
8494903ffffffff-2022-10,1
8494903ffffffff-2022-11,1
8494903ffffffff-2023-03,4
849493bffffffff-2023-09,1
8494963ffffffff-2022-12,1
8494963ffffffff-2023-09,1
8494967ffffffff-2023-10,4
8494aa7ffffffff-2023-01,4
8494c17ffffffff-2023-09,1
8494c49ffffffff-2023-07,1
8494c49ffffffff-2023-08,2
8494c91ffffffff-2023-11,1
8494d0dffffffff-2023-05,1
8494d5dffffffff-2023-07,1
8494d5dffffffff-2023-09,4
8494e21ffffffff-2022-10,1
8494e21ffffffff-2022-11,1
8494e21ffffffff-2023-06,1
8494e21ffffffff-2023-07,2
8494e21ffffffff-2023-09,2
8494e21ffffffff-2023-10,1
8494e2bffffffff-2023-07,2
8494e2bffffffff-2023-08,5
8494e2bffffffff-2023-09,4
8494e3dffffffff-2023-03,2
8494e85ffffffff-2023-10,1
8494eadffffffff-2023-08,1
8494ed3ffffffff-2023-04,2
8494ed3ffffffff-2023-08,2
8494ed3ffffffff-2023-11,5
8494edbffffffff-2023-09,1
8494ee1ffffffff-2017-10,1
8494ee1ffffffff-2022-10,4
8494ee1ffffffff-2023-09,5
8494ee3ffffffff-2023-08,1
8494f21ffffffff-2023-10,1
8494f43ffffffff-2023-09,1
849c017ffffffff-2023-07,2
849c0edffffffff-2023-10,1
849c0edffffffff-2023-11,8
849c203ffffffff-2022-11,2
849c203ffffffff-2023-02,1
849c231ffffffff-2022-09,1
849c231ffffffff-2022-11,18
849c231ffffffff-2023-01,3
849c231ffffffff-2023-02,2
849c231ffffffff-2023-08,1
849c231ffffffff-2023-09,1
849c237ffffffff-2022-11,2
849c237ffffffff-2022-12,2
849c237ffffffff-2023-11,1
849c239ffffffff-2022-11,1
849c239ffffffff-2023-01,1
849c239ffffffff-2023-03,1
849c239ffffffff-2023-06,1
849c239ffffffff-2023-09,1
849c23bffffffff-2022-10,2
849c23bffffffff-2022-11,2
849c23bffffffff-2023-01,2
849c23bffffffff-2023-02,1
849c23bffffffff-2023-09,1
849c23bffffffff-2023-10,3
849c2ddffffffff-2023-02,3
849c2ddffffffff-2023-05,1
849c2ddffffffff-2023-06,2
849c2ddffffffff-2023-08,4
849c2ddffffffff-2023-10,17
849c417ffffffff-2012-08,1
849c651ffffffff-2022-11,1
849c651ffffffff-2022-12,6
849c65dffffffff-2022-11,2
849c663ffffffff-2023-07,2
849c663ffffffff-2023-08,1
849c68dffffffff-2023-07,2
849c6a7ffffffff-2023-01,2
849c6c1ffffffff-2023-04,4
849c6c1ffffffff-2023-07,1
849c6c1ffffffff-2023-08,1
849c6c1ffffffff-2023-11,2
849c6c7ffffffff-2023-05,1
849c6c7ffffffff-2023-11,1
849c6ddffffffff-2022-11,1
849c6ddffffffff-2022-12,2
849c6ddffffffff-2023-03,2
849c741ffffffff-2022-11,2
849c743ffffffff-2022-11,1
849c743ffffffff-2023-02,1
849c743ffffffff-2023-06,1
849c743ffffffff-2023-09,1
849c743ffffffff-2023-10,1
849c743ffffffff-2023-11,2
849c74bffffffff-2022-12,1
849c74bffffffff-2023-01,1
849c74bffffffff-2023-09,1
849c74bffffffff-2023-11,1
849c76bffffffff-2023-09,1
849caadffffffff-2023-07,2
849d0abffffffff-2022-10,1
849d0abffffffff-2023-01,2
849d0abffffffff-2023-02,6
849d0abffffffff-2023-03,2
849d0abffffffff-2023-09,1
849d0b1ffffffff-2023-01,1
849d0b1ffffffff-2023-06,2
849d0b1ffffffff-2023-08,2
849d0b5ffffffff-2022-10,1
849d0b5ffffffff-2022-11,4
849d0b5ffffffff-2022-12,8
849d0b5ffffffff-2023-01,6
849d0b5ffffffff-2023-02,4
849d0b5ffffffff-2023-03,1
849d0b5ffffffff-2023-04,2
849d0b5ffffffff-2023-07,1
849d0b5ffffffff-2023-10,4
849d0b5ffffffff-2023-11,1
849d0b9ffffffff-2023-05,3
849d0bdffffffff-2022-10,1
849d0bdffffffff-2023-05,1
849d0bdffffffff-2023-07,1
849d0ebffffffff-2023-07,1
849d211ffffffff-2022-10,2
849d211ffffffff-2022-11,4
849d211ffffffff-2023-01,2
849d211ffffffff-2023-02,2
849d211ffffffff-2023-11,5
849d215ffffffff-2023-11,1
849d217ffffffff-2021-08,1
849d217ffffffff-2021-09,1
849d217ffffffff-2022-11,1
849d217ffffffff-2023-03,1
849d217ffffffff-2023-11,1
849d24bffffffff-2020-08,1
849d24bffffffff-2023-02,1
849d251ffffffff-2023-02,1
849d257ffffffff-2023-08,2
849d259ffffffff-2023-01,1
849d259ffffffff-2023-06,1
849d25bffffffff-2023-11,1
849d25dffffffff-2022-11,2
849d25dffffffff-2023-01,2
849d25dffffffff-2023-06,1
849d25dffffffff-2023-10,1
849d283ffffffff-2023-05,1
849d28bffffffff-2023-01,1
849d28bffffffff-2023-11,1
849d295ffffffff-2022-12,1
849d295ffffffff-2023-01,2
849d295ffffffff-2023-02,6
849d295ffffffff-2023-03,1
849d295ffffffff-2023-07,1
849d2d5ffffffff-2023-08,2
849d2d7ffffffff-2023-01,1
849d2d7ffffffff-2023-07,1
849d2d9ffffffff-2023-02,1
849d2e7ffffffff-2017-09,1
849d2e7ffffffff-2022-11,1
849d2e7ffffffff-2022-12,2
849d405ffffffff-2023-06,3
849d42dffffffff-2023-06,1
849d433ffffffff-2022-12,1
849d43dffffffff-2023-06,1
849d43dffffffff-2023-10,2
849d443ffffffff-2023-06,1
849d445ffffffff-2023-10,1
849d447ffffffff-2023-06,1
849d467ffffffff-2023-09,1
849d46bffffffff-2022-11,4
849d46bffffffff-2023-01,1
849d46bffffffff-2023-04,2
849d46bffffffff-2023-06,2
849d46bffffffff-2023-07,1
849d46bffffffff-2023-08,1
849d46bffffffff-2023-09,2
849d46bffffffff-2023-10,10
849d55dffffffff-2023-11,1
849d5b5ffffffff-2023-11,1
849d625ffffffff-2023-07,1
849d657ffffffff-2023-04,1
849d68bffffffff-2023-09,1
849d6bdffffffff-2023-06,1
849d6d9ffffffff-2023-06,1
849d719ffffffff-2023-05,1
84a6067ffffffff-2023-04,1
84a610bffffffff-2018-12,1
84a631bffffffff-2022-11,1
84a6a0dffffffff-2022-12,1
84a6a61ffffffff-2022-11,2
84a6a61ffffffff-2023-03,1
84a6a61ffffffff-2023-09,1
84a6a61ffffffff-2023-10,3
84a6a6bffffffff-2023-10,1
84a6b49ffffffff-2023-09,3
84a792dffffffff-2023-01,2
84a7993ffffffff-2023-02,1
84a7997ffffffff-2023-09,2
84a79a3ffffffff-2022-11,2
84a79a3ffffffff-2023-03,4
