index,n
844505bffffffff-2016-11,1
844505bffffffff-2017-02,1
8445201ffffffff-2016-07,3
8445201ffffffff-2019-07,1
8445203ffffffff-2012-04,8
8445203ffffffff-2013-07,1
8445203ffffffff-2014-03,3
8445203ffffffff-2014-04,2
8445203ffffffff-2014-12,1
8445203ffffffff-2016-03,2
8445203ffffffff-2016-08,4
8445203ffffffff-2016-09,1
8445203ffffffff-2017-02,2
8445203ffffffff-2017-04,1
8445203ffffffff-2017-05,4
8445203ffffffff-2017-06,3
8445203ffffffff-2017-08,1
8445203ffffffff-2017-12,3
8445203ffffffff-2018-06,3
8445203ffffffff-2018-08,11
8445203ffffffff-2018-09,2
8445203ffffffff-2019-02,3
8445203ffffffff-2019-03,2
8445203ffffffff-2019-08,4
8445203ffffffff-2019-11,1
8445203ffffffff-2019-12,2
8445203ffffffff-2020-02,1
8445203ffffffff-2020-03,1
8445203ffffffff-2020-04,2
8445203ffffffff-2021-02,8
8445203ffffffff-2021-03,11
8445203ffffffff-2021-04,13
8445203ffffffff-2021-05,20
8445203ffffffff-2022-06,1
8445207ffffffff-2016-01,1
844520bffffffff-2012-07,4
844520bffffffff-2014-06,3
844520bffffffff-2015-04,2
844520bffffffff-2016-05,3
844520bffffffff-2016-06,30
844520bffffffff-2016-08,5
844520bffffffff-2016-09,16
844520bffffffff-2017-01,1
844520bffffffff-2017-05,5
844520bffffffff-2017-07,24
844520bffffffff-2017-11,2
844520bffffffff-2018-03,5
844520bffffffff-2018-04,1
844520bffffffff-2018-05,8
844520bffffffff-2019-02,2
844520bffffffff-2019-03,3
844520bffffffff-2019-05,5
844520bffffffff-2019-08,2
844520bffffffff-2019-09,15
844520bffffffff-2021-03,18
844520bffffffff-2021-04,2
844520bffffffff-2021-06,6
844520bffffffff-2023-04,2
844520bffffffff-2023-05,6
844520bffffffff-2023-06,13
844520bffffffff-2023-07,10
8445211ffffffff-2018-05,4
8445211ffffffff-2020-01,4
8445211ffffffff-2022-05,2
8445213ffffffff-2018-05,7
8445213ffffffff-2019-05,4
8445213ffffffff-2020-03,3
8445213ffffffff-2020-09,4
8445213ffffffff-2022-06,3
8445215ffffffff-2017-03,2
8445215ffffffff-2018-05,3
8445215ffffffff-2019-04,1
8445215ffffffff-2019-05,8
8445215ffffffff-2020-03,4
8445215ffffffff-2021-04,2
8445215ffffffff-2022-04,1
8445215ffffffff-2023-05,2
8445217ffffffff-2012-03,1
8445217ffffffff-2012-05,1
8445217ffffffff-2013-04,2
8445217ffffffff-2014-03,1
8445217ffffffff-2014-11,1
8445217ffffffff-2015-04,1
