index,n
8445053ffffffff-2020-01,1
8445059ffffffff-2022-03,2
844505bffffffff-2016-03,1
844505bffffffff-2016-10,1
844505bffffffff-2016-11,1
844505bffffffff-2017-01,1
844505bffffffff-2017-02,1
844505bffffffff-2017-04,2
844505bffffffff-2018-05,1
844505bffffffff-2018-09,1
844505bffffffff-2018-10,1
844505bffffffff-2020-07,1
84450a9ffffffff-2013-02,1
84450c5ffffffff-2014-11,1
84450cdffffffff-2020-02,1
84450cdffffffff-2022-10,1
8445203ffffffff-2012-04,5
8445203ffffffff-2013-07,1
8445203ffffffff-2014-03,8
8445203ffffffff-2014-04,3
8445203ffffffff-2014-06,3
8445203ffffffff-2014-12,3
8445203ffffffff-2015-07,1
8445203ffffffff-2016-08,1
8445203ffffffff-2016-09,1
8445203ffffffff-2016-12,2
8445203ffffffff-2017-02,3
8445203ffffffff-2017-03,2
8445203ffffffff-2017-04,1
8445203ffffffff-2017-05,2
8445203ffffffff-2017-06,3
8445203ffffffff-2017-12,3
8445203ffffffff-2018-01,1
8445203ffffffff-2018-04,2
8445203ffffffff-2018-05,1
8445203ffffffff-2018-06,1
8445203ffffffff-2018-08,5
8445203ffffffff-2018-09,2
8445203ffffffff-2018-11,4
8445203ffffffff-2018-12,2
8445203ffffffff-2019-01,1
8445203ffffffff-2019-02,6
8445203ffffffff-2019-03,2
8445203ffffffff-2019-04,4
8445203ffffffff-2019-05,1
8445203ffffffff-2019-06,1
8445203ffffffff-2019-08,2
8445203ffffffff-2019-11,1
8445203ffffffff-2020-01,8
8445203ffffffff-2020-02,5
8445203ffffffff-2020-03,6
8445203ffffffff-2020-04,2
8445203ffffffff-2020-10,8
8445203ffffffff-2021-02,7
8445203ffffffff-2021-03,18
8445203ffffffff-2021-04,6
8445203ffffffff-2021-05,20
8445203ffffffff-2021-10,6
8445203ffffffff-2022-01,1
8445203ffffffff-2022-03,1
8445203ffffffff-2022-08,1
8445205ffffffff-2014-06,3
8445205ffffffff-2022-09,1
8445205ffffffff-2022-10,1
8445205ffffffff-2023-03,1
8445205ffffffff-2023-04,3
8445207ffffffff-2015-01,1
8445207ffffffff-2015-05,4
8445207ffffffff-2016-12,1
8445207ffffffff-2017-02,3
8445207ffffffff-2019-07,2
8445207ffffffff-2019-10,3
8445207ffffffff-2020-01,1
8445207ffffffff-2020-05,3
8445207ffffffff-2020-06,2
8445207ffffffff-2020-07,2
8445207ffffffff-2020-10,2
8445207ffffffff-2020-12,1
8445207ffffffff-2021-01,3
8445207ffffffff-2021-02,1
8445207ffffffff-2021-05,2
8445207ffffffff-2021-06,5
8445207ffffffff-2021-07,5
8445207ffffffff-2022-01,2
8445207ffffffff-2022-04,4
8445207ffffffff-2022-05,5
8445207ffffffff-2022-11,1
8445207ffffffff-2023-01,2
8445207ffffffff-2023-04,1
8445207ffffffff-2023-05,4
8445207ffffffff-2023-07,1
844520bffffffff-2012-07,3
844520bffffffff-2014-06,2
844520bffffffff-2015-01,1
844520bffffffff-2015-04,2
844520bffffffff-2016-01,1
844520bffffffff-2016-05,11
844520bffffffff-2016-06,12
844520bffffffff-2016-08,3
844520bffffffff-2016-09,15
844520bffffffff-2016-12,4
844520bffffffff-2017-01,1
844520bffffffff-2017-05,13
844520bffffffff-2017-07,23
844520bffffffff-2017-08,1
844520bffffffff-2017-10,1
844520bffffffff-2017-11,2
844520bffffffff-2018-03,4
844520bffffffff-2018-05,4
844520bffffffff-2018-12,1
844520bffffffff-2019-03,1
844520bffffffff-2019-05,3
844520bffffffff-2019-08,1
844520bffffffff-2019-09,14
844520bffffffff-2021-03,6
844520bffffffff-2021-04,3
844520bffffffff-2021-06,9
844520bffffffff-2021-09,20
844520bffffffff-2021-10,4
844520bffffffff-2021-11,1
844520bffffffff-2021-12,4
844520bffffffff-2023-04,1
844520bffffffff-2023-05,4
844520bffffffff-2023-07,6
8445211ffffffff-2017-10,2
8445211ffffffff-2017-12,2
8445211ffffffff-2018-03,1
8445211ffffffff-2018-12,2
8445211ffffffff-2020-01,7
8445211ffffffff-2022-01,1
8445211ffffffff-2022-06,3
8445211ffffffff-2023-04,1
8445213ffffffff-2018-05,5
8445213ffffffff-2018-10,1
8445213ffffffff-2019-05,8
8445213ffffffff-2022-04,1
8445215ffffffff-2012-01,1
8445215ffffffff-2012-03,14
8445215ffffffff-2012-04,1
8445215ffffffff-2012-09,3
8445215ffffffff-2012-11,4
8445215ffffffff-2012-12,5
8445215ffffffff-2013-01,4
8445215ffffffff-2013-02,3
8445215ffffffff-2013-03,2
8445215ffffffff-2013-08,2
8445215ffffffff-2013-12,2
8445215ffffffff-2014-01,2
8445215ffffffff-2014-02,1
8445215ffffffff-2014-03,3
8445215ffffffff-2014-04,2
8445215ffffffff-2014-07,2
8445215ffffffff-2014-10,3
8445215ffffffff-2014-11,6
8445215ffffffff-2014-12,1
8445215ffffffff-2015-02,1
8445215ffffffff-2015-04,2
8445215ffffffff-2015-10,7
8445215ffffffff-2015-11,2
8445215ffffffff-2015-12,2
8445215ffffffff-2016-01,2
8445215ffffffff-2016-02,17
8445215ffffffff-2016-03,6
8445215ffffffff-2016-05,5
8445215ffffffff-2016-06,3
8445215ffffffff-2016-07,1
8445215ffffffff-2016-08,1
8445215ffffffff-2016-10,16
8445215ffffffff-2016-11,14
8445215ffffffff-2016-12,5
8445215ffffffff-2017-01,15
8445215ffffffff-2017-02,18
8445215ffffffff-2017-03,1
8445215ffffffff-2017-04,12
8445215ffffffff-2017-05,3
8445215ffffffff-2017-07,1
8445215ffffffff-2017-11,1
8445215ffffffff-2017-12,8
8445215ffffffff-2018-01,7
8445215ffffffff-2018-02,14
8445215ffffffff-2018-03,3
8445215ffffffff-2018-04,8
8445215ffffffff-2018-05,23
8445215ffffffff-2018-06,1
8445215ffffffff-2018-07,7
8445215ffffffff-2018-08,2
8445215ffffffff-2018-09,5
8445215ffffffff-2018-10,19
8445215ffffffff-2018-11,15
8445215ffffffff-2018-12,5
8445215ffffffff-2019-01,28
8445215ffffffff-2019-02,8
8445215ffffffff-2019-03,7
8445215ffffffff-2019-04,8
8445215ffffffff-2019-05,16
8445215ffffffff-2019-06,2
8445215ffffffff-2019-08,17
8445215ffffffff-2019-09,18
8445215ffffffff-2019-10,34
8445215ffffffff-2019-11,12
8445215ffffffff-2019-12,16
8445215ffffffff-2020-01,2
8445215ffffffff-2020-02,2
8445215ffffffff-2020-03,4
8445215ffffffff-2020-04,7
8445215ffffffff-2020-05,10
8445215ffffffff-2020-07,2
8445215ffffffff-2020-10,6
8445215ffffffff-2020-11,2
8445215ffffffff-2020-12,1
8445215ffffffff-2021-01,9
8445215ffffffff-2021-02,6
8445215ffffffff-2021-03,18
8445215ffffffff-2021-04,5
8445215ffffffff-2021-05,13
8445215ffffffff-2021-06,1
8445215ffffffff-2021-07,3
8445215ffffffff-2021-08,5
8445215ffffffff-2021-09,4
8445215ffffffff-2021-10,50
8445215ffffffff-2021-11,31
8445215ffffffff-2021-12,12
8445215ffffffff-2022-01,5
8445215ffffffff-2022-02,8
8445215ffffffff-2022-03,11
8445215ffffffff-2022-04,14
8445215ffffffff-2022-05,4
8445215ffffffff-2022-06,8
8445215ffffffff-2022-07,5
8445215ffffffff-2022-08,2
8445215ffffffff-2022-09,4
8445215ffffffff-2022-10,72
8445215ffffffff-2022-11,41
8445215ffffffff-2022-12,3
8445215ffffffff-2023-01,8
8445215ffffffff-2023-02,7
8445215ffffffff-2023-03,3
8445215ffffffff-2023-04,5
8445215ffffffff-2023-05,10
8445215ffffffff-2023-06,8
8445215ffffffff-2023-07,4
8445215ffffffff-2023-08,4
8445215ffffffff-2023-09,6
8445215ffffffff-2023-10,22
8445215ffffffff-2023-11,46
8445217ffffffff-2012-03,2
8445217ffffffff-2012-05,2
8445217ffffffff-2013-02,2
8445217ffffffff-2013-04,3
8445217ffffffff-2013-10,1
8445217ffffffff-2013-12,1
8445217ffffffff-2014-02,2
8445217ffffffff-2014-03,1
8445217ffffffff-2014-12,4
8445217ffffffff-2015-01,2
8445217ffffffff-2015-02,3
8445217ffffffff-2015-03,1
8445217ffffffff-2015-04,2
8445217ffffffff-2015-12,5
8445217ffffffff-2016-01,4
8445217ffffffff-2016-02,5
8445217ffffffff-2016-03,3
8445217ffffffff-2016-04,1
8445217ffffffff-2016-10,1
8445217ffffffff-2016-11,5
8445217ffffffff-2016-12,2
8445217ffffffff-2017-02,2
8445217ffffffff-2017-03,2
8445217ffffffff-2017-04,1
8445217ffffffff-2017-05,1
8445217ffffffff-2018-01,4
8445217ffffffff-2018-02,5
8445217ffffffff-2018-04,11
8445217ffffffff-2018-09,1
8445217ffffffff-2018-12,2
8445217ffffffff-2019-01,3
8445217ffffffff-2019-03,7
8445217ffffffff-2019-04,1
8445217ffffffff-2019-05,4
8445217ffffffff-2019-06,3
8445217ffffffff-2019-08,7
8445217ffffffff-2020-02,1
8445217ffffffff-2020-04,1
8445217ffffffff-2020-12,5
8445217ffffffff-2021-02,1
8445217ffffffff-2021-03,6
8445217ffffffff-2021-06,6
8445217ffffffff-2021-11,9
8445217ffffffff-2021-12,6
8445217ffffffff-2022-01,1
8445217ffffffff-2022-03,2
8445217ffffffff-2022-04,1
8445217ffffffff-2022-05,9
8445217ffffffff-2022-12,2
8445217ffffffff-2023-04,9
8445217ffffffff-2023-09,1
8445219ffffffff-2018-06,2
844521bffffffff-2020-01,1
844521dffffffff-2012-02,3
844521dffffffff-2014-11,1
844521dffffffff-2015-05,2
844521dffffffff-2016-05,1
844521dffffffff-2016-06,1
844521dffffffff-2016-07,3
844521dffffffff-2016-08,5
844521dffffffff-2016-09,2
844521dffffffff-2016-12,1
844521dffffffff-2017-03,2
844521dffffffff-2017-05,3
844521dffffffff-2017-08,8
844521dffffffff-2017-09,4
844521dffffffff-2017-10,1
844521dffffffff-2017-11,4
844521dffffffff-2018-02,1
844521dffffffff-2018-03,4
844521dffffffff-2018-04,9
844521dffffffff-2018-05,1
844521dffffffff-2018-08,1
844521dffffffff-2018-10,1
844521dffffffff-2018-11,2
844521dffffffff-2018-12,1
844521dffffffff-2019-02,5
844521dffffffff-2019-03,6
844521dffffffff-2019-04,2
844521dffffffff-2019-05,1
844521dffffffff-2019-06,1
844521dffffffff-2019-07,1
844521dffffffff-2019-08,2
844521dffffffff-2019-09,4
844521dffffffff-2019-10,2
844521dffffffff-2019-11,2
844521dffffffff-2020-01,28
844521dffffffff-2020-03,5
844521dffffffff-2020-10,13
844521dffffffff-2021-02,20
844521dffffffff-2021-03,6
844521dffffffff-2021-04,7
844521dffffffff-2021-05,3
844521dffffffff-2021-06,2
844521dffffffff-2021-10,1
844521dffffffff-2021-12,2
844521dffffffff-2022-02,9
