index,n
843c159ffffffff-2017-10,1
843c909ffffffff-2023-05,1
843cb39ffffffff-2018-01,2
843cd91ffffffff-2016-03,1
843d107ffffffff-2018-02,1
843d107ffffffff-2018-05,1
843d10dffffffff-2020-06,1
843d13dffffffff-2022-05,1
843d845ffffffff-2019-10,1
843d845ffffffff-2022-05,2
843d845ffffffff-2023-05,1
843d967ffffffff-2020-10,1
843d9b7ffffffff-2017-03,5
843d9d1ffffffff-2022-06,4
843da1dffffffff-2017-10,1
843da1dffffffff-2018-05,1
843da1dffffffff-2018-06,5
843da1dffffffff-2018-07,7
843da1dffffffff-2018-08,3
843da1dffffffff-2019-06,4
843da1dffffffff-2019-07,8
843da1dffffffff-2019-08,2
843da1dffffffff-2020-06,5
843da1dffffffff-2020-07,3
843da1dffffffff-2020-08,1
843da1dffffffff-2020-09,1
843da1dffffffff-2021-05,1
843da1dffffffff-2021-06,8
843da1dffffffff-2021-07,14
843da1dffffffff-2021-08,1
843da1dffffffff-2022-06,1
843da1dffffffff-2022-07,6
843da1dffffffff-2023-06,1
843da1dffffffff-2023-07,2
843da25ffffffff-2018-08,1
843da25ffffffff-2020-08,1
843da25ffffffff-2021-08,1
843da3dffffffff-2018-10,1
843da3dffffffff-2021-05,1
843da57ffffffff-2018-10,1
843da69ffffffff-2015-05,1
843da69ffffffff-2015-09,3
843da69ffffffff-2015-11,2
843da69ffffffff-2018-08,3
843da69ffffffff-2019-09,1
843da69ffffffff-2020-08,1
843da69ffffffff-2021-05,3
843da69ffffffff-2021-06,2
843da69ffffffff-2021-07,3
843da91ffffffff-2022-04,1
843da99ffffffff-2016-04,1
843da99ffffffff-2023-03,1
843da9dffffffff-2018-06,3
843daddffffffff-2015-03,1
843db39ffffffff-2016-02,1
843db39ffffffff-2020-05,1
843db51ffffffff-2022-05,1
843db55ffffffff-2016-07,2
843db55ffffffff-2018-08,1
843db55ffffffff-2022-08,11
843db55ffffffff-2023-07,4
843db57ffffffff-2013-08,1
843db57ffffffff-2018-07,4
843db57ffffffff-2018-08,2
843db57ffffffff-2019-08,1
843db57ffffffff-2020-07,1
843db57ffffffff-2022-08,4
843db57ffffffff-2023-08,4
844148bffffffff-2022-12,1
844148bffffffff-2023-01,1
8441681ffffffff-2022-04,1
84416b7ffffffff-2023-06,1
8442c07ffffffff-2018-08,2
8442c07ffffffff-2020-08,5
8442c07ffffffff-2020-09,4
8442c07ffffffff-2021-08,3
8442c07ffffffff-2022-10,1
8442c27ffffffff-2017-04,1
8442c27ffffffff-2020-10,1
8442c27ffffffff-2021-08,1
8442c31ffffffff-2017-06,1
8442c31ffffffff-2019-05,1
8442c31ffffffff-2022-07,1
8442c31ffffffff-2023-06,2
8442c33ffffffff-2020-10,2
8442c39ffffffff-2020-08,1
8442c39ffffffff-2020-11,2
8442c3dffffffff-2018-11,1
8442c43ffffffff-2022-09,1
8442c5dffffffff-2021-09,8
8442c5dffffffff-2022-09,5
8442c61ffffffff-2021-06,1
8442cc7ffffffff-2020-08,2
8442cc7ffffffff-2020-09,2
8442ce3ffffffff-2020-09,1
8442ce9ffffffff-2021-02,1
8442ce9ffffffff-2021-07,47
8442ce9ffffffff-2021-08,5
8442ce9ffffffff-2022-09,1
8442ce9ffffffff-2023-01,3
8442d1bffffffff-2018-08,1
8442d89ffffffff-2022-06,1
8442db5ffffffff-2022-11,2
8442dbbffffffff-2020-09,1
8442dbdffffffff-2019-10,1
8442dcbffffffff-2020-09,3
8442dcbffffffff-2021-08,1
8442dcdffffffff-2023-05,1
8442dd1ffffffff-2023-05,1
8442dd1ffffffff-2023-08,1
8452113ffffffff-2020-07,2
8452113ffffffff-2021-05,1
8452113ffffffff-2023-03,1
84521c5ffffffff-2023-08,1
84521c5ffffffff-2023-10,8
8454103ffffffff-2020-12,2
8454103ffffffff-2023-02,1
84541a3ffffffff-2022-01,1
84541a5ffffffff-2023-02,3
84541adffffffff-2023-01,8
84541bdffffffff-2020-02,1
84541e7ffffffff-2022-12,4
84541e7ffffffff-2023-01,18
8454a93ffffffff-2012-03,1
8454a93ffffffff-2014-04,1
8454a93ffffffff-2018-01,1
8454a93ffffffff-2020-01,1
8454ad5ffffffff-2018-02,1
8454ad5ffffffff-2023-01,9
8454ad7ffffffff-2019-12,2
8454e51ffffffff-2022-01,1
8454f47ffffffff-2019-05,1
84599c1ffffffff-2022-06,1
84599e5ffffffff-2013-04,4
84599e5ffffffff-2023-03,6
84608e9ffffffff-2021-07,6
84608e9ffffffff-2022-07,1
8460925ffffffff-2019-10,1
8460a0dffffffff-2015-09,7
8460a25ffffffff-2020-03,1
84618c1ffffffff-2019-02,1
84618c1ffffffff-2019-07,1
846416dffffffff-2020-06,1
8464829ffffffff-2021-01,1
846482dffffffff-2021-02,11
846482dffffffff-2022-01,2
846482dffffffff-2022-03,7
84648c9ffffffff-2019-01,3
846491dffffffff-2016-01,1
846491dffffffff-2016-12,1
8464981ffffffff-2014-07,1
8464983ffffffff-2015-10,1
84649d3ffffffff-2017-08,1
8464a21ffffffff-2021-04,2
8464a41ffffffff-2020-05,1
8464a49ffffffff-2021-01,4
8464a59ffffffff-2021-06,1
8464a5dffffffff-2018-05,1
8464a5dffffffff-2018-10,1
8464a5dffffffff-2019-02,1
8464a69ffffffff-2017-06,1
8464a6bffffffff-2019-09,1
8464b49ffffffff-2020-05,1
