index,n
8466017ffffffff-2021-08,1
8466083ffffffff-2017-05,4
8466089ffffffff-2013-09,1
8466089ffffffff-2018-11,3
8466089ffffffff-2019-01,1
846608bffffffff-2019-04,1
846609dffffffff-2017-05,3
846609dffffffff-2023-01,1
84660b1ffffffff-2018-08,5
84660b1ffffffff-2022-02,1
84660b5ffffffff-2018-02,8
84660b5ffffffff-2018-07,1
84660b7ffffffff-2017-03,1
84660b7ffffffff-2022-04,4
84660b7ffffffff-2022-05,5
84660b7ffffffff-2023-03,3
84660b7ffffffff-2023-04,4
84660b7ffffffff-2023-05,1
84660b9ffffffff-2018-09,4
84660b9ffffffff-2020-01,3
84660b9ffffffff-2021-06,1
84660b9ffffffff-2021-10,1
84660b9ffffffff-2022-10,3
84660b9ffffffff-2023-08,4
84660b9ffffffff-2023-10,3
84660bdffffffff-2018-06,2
84660bdffffffff-2018-07,2
84660c3ffffffff-2018-03,1
84660c3ffffffff-2019-10,7
84660c3ffffffff-2021-11,1
84660c3ffffffff-2022-04,4
84660c3ffffffff-2022-05,4
84660c3ffffffff-2022-07,3
84660c3ffffffff-2023-08,5
84660c3ffffffff-2023-09,2
84660c3ffffffff-2023-10,2
84660ddffffffff-2016-05,4
84660ddffffffff-2016-12,2
84660ddffffffff-2017-01,2
84660ddffffffff-2017-03,8
84660ddffffffff-2019-05,7
84660ddffffffff-2019-09,5
84660ddffffffff-2021-04,1
84660ddffffffff-2021-05,2
84660ddffffffff-2022-02,2
84660ddffffffff-2023-09,4
8466181ffffffff-2012-02,2
8466181ffffffff-2012-05,1
8466181ffffffff-2012-08,1
8466181ffffffff-2015-03,1
8466181ffffffff-2017-01,1
8466181ffffffff-2018-06,1
8466181ffffffff-2019-02,1
8466181ffffffff-2020-02,1
8466181ffffffff-2020-10,6
8466181ffffffff-2020-11,3
8466181ffffffff-2021-04,2
8466181ffffffff-2021-06,2
8466181ffffffff-2021-07,4
8466181ffffffff-2021-09,4
8466181ffffffff-2022-02,1
8466181ffffffff-2023-04,2
8466183ffffffff-2014-03,1
8466183ffffffff-2019-01,1
8466183ffffffff-2019-02,1
8466183ffffffff-2019-05,4
8466183ffffffff-2022-10,1
8466183ffffffff-2023-05,1
8466185ffffffff-2017-01,1
8466187ffffffff-2012-02,1
8466187ffffffff-2013-09,2
8466187ffffffff-2013-12,1
8466187ffffffff-2015-01,1
8466187ffffffff-2015-02,2
8466187ffffffff-2015-12,1
8466187ffffffff-2017-08,5
8466187ffffffff-2017-11,2
8466187ffffffff-2018-05,1
8466187ffffffff-2019-02,3
8466187ffffffff-2019-03,3
8466187ffffffff-2019-06,5
8466187ffffffff-2021-12,2
8466187ffffffff-2022-01,3
8466187ffffffff-2022-02,4
8466187ffffffff-2022-07,13
8466187ffffffff-2022-08,5
8466187ffffffff-2022-09,1
8466187ffffffff-2022-10,1
8466187ffffffff-2022-11,8
8466187ffffffff-2022-12,5
8466187ffffffff-2023-01,3
8466187ffffffff-2023-03,4
8466187ffffffff-2023-10,1
846618bffffffff-2018-04,2
846618bffffffff-2019-05,5
846618bffffffff-2020-03,2
846618bffffffff-2021-01,2
846618bffffffff-2022-04,1
846618bffffffff-2022-07,1
8466191ffffffff-2023-10,1
8466191ffffffff-2023-11,2
8466193ffffffff-2023-01,2
8466195ffffffff-2020-12,1
8466195ffffffff-2022-07,1
8466197ffffffff-2018-02,3
8466197ffffffff-2018-03,2
8466197ffffffff-2018-05,5
8466197ffffffff-2019-05,3
8466197ffffffff-2020-10,7
8466197ffffffff-2021-02,2
8466197ffffffff-2021-04,16
8466197ffffffff-2021-07,1
8466197ffffffff-2021-08,4
8466197ffffffff-2022-01,7
8466197ffffffff-2022-03,3
8466197ffffffff-2022-04,18
8466197ffffffff-2022-05,3
8466197ffffffff-2022-08,7
8466197ffffffff-2023-01,5
8466197ffffffff-2023-02,11
8466197ffffffff-2023-04,27
8466197ffffffff-2023-07,9
8466197ffffffff-2023-09,3
8466197ffffffff-2023-11,2
846619dffffffff-2016-01,2
846619dffffffff-2016-07,2
846619dffffffff-2017-01,1
846619dffffffff-2017-05,2
846619dffffffff-2018-02,1
846619dffffffff-2018-03,5
846619dffffffff-2018-04,1
846619dffffffff-2018-05,1
846619dffffffff-2018-08,1
846619dffffffff-2018-10,12
846619dffffffff-2019-01,3
846619dffffffff-2019-02,2
846619dffffffff-2019-06,4
846619dffffffff-2019-12,1
846619dffffffff-2022-06,1
84661b1ffffffff-2013-07,2
84661b1ffffffff-2013-11,1
84661b1ffffffff-2014-05,1
84661b1ffffffff-2014-07,1
84661b1ffffffff-2015-02,1
84661b1ffffffff-2015-03,2
84661b1ffffffff-2015-05,3
84661b1ffffffff-2015-06,1
84661b1ffffffff-2015-11,1
84661b1ffffffff-2016-01,2
84661b1ffffffff-2016-02,1
84661b1ffffffff-2016-03,2
84661b1ffffffff-2016-05,1
84661b1ffffffff-2016-06,1
84661b1ffffffff-2016-07,1
84661b1ffffffff-2016-09,2
84661b1ffffffff-2016-11,2
84661b1ffffffff-2016-12,2
84661b1ffffffff-2017-01,6
84661b1ffffffff-2017-02,7
84661b1ffffffff-2017-03,3
84661b1ffffffff-2017-04,1
84661b1ffffffff-2017-05,5
84661b1ffffffff-2017-06,2
84661b1ffffffff-2017-07,5
84661b1ffffffff-2017-08,8
84661b1ffffffff-2017-10,1
84661b1ffffffff-2017-11,5
84661b1ffffffff-2017-12,3
84661b1ffffffff-2018-01,5
84661b1ffffffff-2018-02,5
84661b1ffffffff-2018-03,8
84661b1ffffffff-2018-04,6
84661b1ffffffff-2018-05,11
84661b1ffffffff-2018-07,5
84661b1ffffffff-2018-08,21
84661b1ffffffff-2018-09,1
84661b1ffffffff-2018-11,11
84661b1ffffffff-2018-12,3
84661b1ffffffff-2019-01,16
84661b1ffffffff-2019-02,23
84661b1ffffffff-2019-03,5
84661b1ffffffff-2019-04,1
84661b1ffffffff-2019-05,4
