index,n
8418495ffffffff-2015-02,5
841849dffffffff-2014-10,2
841849dffffffff-2014-11,3
8419415ffffffff-2019-02,1
8419431ffffffff-2022-08,1
8419431ffffffff-2023-09,1
8419437ffffffff-2022-08,2
8419437ffffffff-2022-09,12
8419437ffffffff-2023-08,3
8419439ffffffff-2019-01,1
841943bffffffff-2019-04,1
84194abffffffff-2023-01,1
84194adffffffff-2022-01,1
84194adffffffff-2023-04,1
84194adffffffff-2023-05,1
84194adffffffff-2023-09,17
84194adffffffff-2023-10,2
84194c5ffffffff-2020-02,1
84194e5ffffffff-2021-11,1
84194edffffffff-2021-01,1
84194edffffffff-2021-02,1
84194edffffffff-2021-04,1
84194edffffffff-2022-01,1
84194edffffffff-2022-02,2
84194edffffffff-2023-01,3
84194edffffffff-2023-04,1
84194edffffffff-2023-07,1
84194edffffffff-2023-08,1
8419513ffffffff-2021-07,2
841951bffffffff-2022-05,6
8419581ffffffff-2022-09,1
8419581ffffffff-2022-12,1
8419581ffffffff-2023-01,1
8419581ffffffff-2023-02,1
8419581ffffffff-2023-08,3
8419591ffffffff-2021-11,2
8419591ffffffff-2022-01,1
841959bffffffff-2023-08,1
84195e1ffffffff-2014-11,1
8419695ffffffff-2015-02,1
8419725ffffffff-2021-08,2
841972bffffffff-2023-05,2
841972bffffffff-2023-06,2
841e327ffffffff-2018-09,1
841e367ffffffff-2022-07,1
841f05bffffffff-2018-07,1
841f05bffffffff-2019-06,5
841f129ffffffff-2023-06,2
841f129ffffffff-2023-09,4
841f807ffffffff-2017-03,1
841f807ffffffff-2022-01,2
841f817ffffffff-2020-01,1
841f817ffffffff-2020-11,3
841f817ffffffff-2022-01,1
841f823ffffffff-2022-12,1
841f839ffffffff-2017-01,1
841f839ffffffff-2017-11,1
841f839ffffffff-2019-10,1
841f83bffffffff-2017-05,1
841f83bffffffff-2018-10,1
841f83bffffffff-2018-11,2
841f83bffffffff-2020-06,1
841f83bffffffff-2021-10,1
841f8c1ffffffff-2022-03,3
