index,n
844a965ffffffff-2023-02,2
8469415ffffffff-2013-02,1
8469415ffffffff-2014-01,1
8469415ffffffff-2020-10,1
8469415ffffffff-2021-08,2
8469415ffffffff-2021-09,1
8469415ffffffff-2021-10,4
8469415ffffffff-2021-11,1
8469415ffffffff-2023-01,2
8469415ffffffff-2023-06,1
8469417ffffffff-2021-05,1
846941dffffffff-2018-07,1
846941dffffffff-2018-12,1
8469433ffffffff-2012-05,1
8469433ffffffff-2018-04,1
8469433ffffffff-2018-06,6
8469433ffffffff-2019-03,5
8469433ffffffff-2019-11,4
8469433ffffffff-2021-06,1
8469433ffffffff-2022-06,1
8469433ffffffff-2023-03,1
8469433ffffffff-2023-05,6
8469439ffffffff-2012-02,5
8469439ffffffff-2012-03,6
8469439ffffffff-2012-09,1
8469439ffffffff-2012-10,2
8469439ffffffff-2013-02,2
8469439ffffffff-2013-03,1
8469439ffffffff-2013-04,1
8469439ffffffff-2013-06,1
8469439ffffffff-2013-10,7
8469439ffffffff-2013-12,1
8469439ffffffff-2014-01,2
8469439ffffffff-2014-02,3
8469439ffffffff-2014-03,1
8469439ffffffff-2014-04,2
8469439ffffffff-2014-05,4
8469439ffffffff-2014-10,2
8469439ffffffff-2015-01,10
8469439ffffffff-2015-02,13
8469439ffffffff-2015-04,8
8469439ffffffff-2015-05,3
8469439ffffffff-2015-10,7
8469439ffffffff-2015-11,5
8469439ffffffff-2016-01,8
8469439ffffffff-2016-02,27
8469439ffffffff-2016-03,6
8469439ffffffff-2016-04,1
8469439ffffffff-2016-05,5
8469439ffffffff-2016-09,4
8469439ffffffff-2016-11,3
8469439ffffffff-2016-12,4
8469439ffffffff-2017-01,10
8469439ffffffff-2017-02,3
8469439ffffffff-2017-03,24
8469439ffffffff-2017-04,9
8469439ffffffff-2017-05,4
8469439ffffffff-2017-06,10
8469439ffffffff-2017-08,2
8469439ffffffff-2017-09,3
8469439ffffffff-2017-10,1
8469439ffffffff-2017-12,3
8469439ffffffff-2018-01,1
8469439ffffffff-2018-02,6
8469439ffffffff-2018-03,4
8469439ffffffff-2018-04,7
8469439ffffffff-2018-05,3
8469439ffffffff-2018-06,1
8469439ffffffff-2018-10,9
8469439ffffffff-2018-11,8
8469439ffffffff-2018-12,4
8469439ffffffff-2019-01,18
8469439ffffffff-2019-02,5
8469439ffffffff-2019-03,16
8469439ffffffff-2019-04,5
8469439ffffffff-2019-05,18
8469439ffffffff-2019-06,3
8469439ffffffff-2019-07,4
8469439ffffffff-2019-08,5
8469439ffffffff-2019-09,8
8469439ffffffff-2019-10,9
8469439ffffffff-2019-11,4
8469439ffffffff-2019-12,3
8469439ffffffff-2020-01,32
8469439ffffffff-2020-02,9
8469439ffffffff-2020-03,1
8469439ffffffff-2020-11,1
8469439ffffffff-2020-12,4
8469439ffffffff-2021-01,2
8469439ffffffff-2021-05,1
8469439ffffffff-2021-06,3
8469439ffffffff-2021-07,5
8469439ffffffff-2021-08,3
8469439ffffffff-2021-10,26
8469439ffffffff-2021-11,10
8469439ffffffff-2021-12,14
8469439ffffffff-2022-01,6
8469439ffffffff-2022-02,13
8469439ffffffff-2022-03,8
8469439ffffffff-2022-04,19
8469439ffffffff-2022-05,5
8469439ffffffff-2022-06,10
8469439ffffffff-2022-07,13
8469439ffffffff-2022-08,7
8469439ffffffff-2022-10,1
8469439ffffffff-2022-11,11
8469439ffffffff-2022-12,4
8469439ffffffff-2023-01,13
8469439ffffffff-2023-02,58
8469439ffffffff-2023-03,32
8469439ffffffff-2023-04,8
8469439ffffffff-2023-05,33
8469439ffffffff-2023-06,10
8469439ffffffff-2023-07,7
8469439ffffffff-2023-08,5
8469439ffffffff-2023-09,1
8469439ffffffff-2023-10,3
8469439ffffffff-2023-11,4
8469457ffffffff-2019-12,3
8469457ffffffff-2020-01,1
8469457ffffffff-2020-02,2
846948dffffffff-2017-04,1
84694c5ffffffff-2015-06,1
84694cdffffffff-2013-04,1
84694cdffffffff-2014-04,1
84694cdffffffff-2015-07,1
84694cdffffffff-2015-09,1
84694cdffffffff-2019-11,1
84694e5ffffffff-2016-09,3
84694e5ffffffff-2022-02,1
84694e7ffffffff-2016-06,1
84694e7ffffffff-2016-07,1
84694e7ffffffff-2018-12,1
84694e7ffffffff-2023-04,1
8469683ffffffff-2016-02,1
8469683ffffffff-2016-04,1
846969dffffffff-2014-03,2
846969dffffffff-2017-01,3
846969dffffffff-2017-02,1
84696a7ffffffff-2022-02,1
84696b9ffffffff-2015-04,1
84696b9ffffffff-2016-08,1
84696b9ffffffff-2019-01,1
84696bbffffffff-2019-05,1
84696cbffffffff-2013-02,1
84696cbffffffff-2014-03,1
84696cbffffffff-2018-12,1
84696cbffffffff-2020-01,1
84696cbffffffff-2022-01,1
84696cbffffffff-2022-12,3
84696cbffffffff-2023-04,1
84696d7ffffffff-2019-01,1
84696d7ffffffff-2020-01,2
84696d7ffffffff-2022-11,1
