index,n
8497035ffffffff-2019-11,1
8497113ffffffff-2015-11,1
8497119ffffffff-2015-11,1
8497119ffffffff-2019-10,1
8497151ffffffff-2017-12,1
8497219ffffffff-2016-10,1
849723dffffffff-2021-07,1
8497245ffffffff-2013-08,1
8497245ffffffff-2017-12,1
8497245ffffffff-2021-11,4
8497245ffffffff-2023-07,4
8497245ffffffff-2023-09,1
8497249ffffffff-2013-10,1
8497249ffffffff-2017-11,1
8497249ffffffff-2018-08,1
8497249ffffffff-2019-04,1
8497249ffffffff-2019-10,1
8497249ffffffff-2019-11,2
8497249ffffffff-2020-02,1
8497249ffffffff-2021-08,2
8497249ffffffff-2022-02,4
8497249ffffffff-2022-11,1
8497249ffffffff-2023-09,1
8497249ffffffff-2023-11,1
849724dffffffff-2022-02,1
849724dffffffff-2022-09,1
849724dffffffff-2023-01,1
8497265ffffffff-2013-03,2
8497265ffffffff-2019-03,2
8497265ffffffff-2019-04,1
8497265ffffffff-2023-07,3
8497265ffffffff-2023-08,1
8497265ffffffff-2023-09,1
8497289ffffffff-2014-10,1
8497289ffffffff-2016-10,3
8497289ffffffff-2018-02,4
8497289ffffffff-2021-06,2
8497289ffffffff-2021-08,1
849728dffffffff-2012-04,1
849728dffffffff-2013-12,1
849728dffffffff-2014-06,4
849728dffffffff-2014-07,1
849728dffffffff-2016-04,2
849728dffffffff-2017-03,1
849728dffffffff-2017-08,1
849728dffffffff-2018-02,2
849728dffffffff-2021-03,1
849728dffffffff-2021-06,1
849728dffffffff-2021-08,1
849728dffffffff-2021-12,1
849728dffffffff-2022-05,1
849728dffffffff-2022-06,2
849728dffffffff-2022-08,3
849728dffffffff-2022-09,1
849728dffffffff-2023-02,1
8497291ffffffff-2015-12,1
8497291ffffffff-2018-04,1
8497291ffffffff-2018-12,5
8497291ffffffff-2020-10,1
8497291ffffffff-2022-09,1
8497291ffffffff-2023-06,1
84972c3ffffffff-2018-11,1
84972c5ffffffff-2013-12,1
84972c5ffffffff-2016-04,2
84972c5ffffffff-2016-10,3
84972c5ffffffff-2018-04,1
84972c5ffffffff-2022-10,2
84972c5ffffffff-2023-02,1
84972c9ffffffff-2019-07,1
84972c9ffffffff-2019-09,1
84972cbffffffff-2021-01,3
84972cbffffffff-2023-02,2
84972cdffffffff-2017-06,2
84972cdffffffff-2023-07,4
84972cdffffffff-2023-11,1
84972d5ffffffff-2012-10,1
84972d5ffffffff-2014-02,2
84972d5ffffffff-2016-09,2
84972d5ffffffff-2018-02,1
84972d5ffffffff-2018-04,2
84972d5ffffffff-2019-08,4
84972d5ffffffff-2020-01,10
84972d5ffffffff-2020-10,2
84972d5ffffffff-2021-10,1
84972d5ffffffff-2023-01,2
84972d5ffffffff-2023-02,1
84972d7ffffffff-2012-09,1
84972d7ffffffff-2015-11,1
84972d7ffffffff-2016-06,2
84972d7ffffffff-2017-06,7
84972d7ffffffff-2019-07,6
84972d7ffffffff-2019-10,1
84972d7ffffffff-2020-09,1
84972d7ffffffff-2022-06,1
84972d9ffffffff-2012-04,2
84972d9ffffffff-2012-08,1
84972d9ffffffff-2012-09,1
84972d9ffffffff-2013-09,2
84972d9ffffffff-2013-12,4
84972d9ffffffff-2014-01,1
84972d9ffffffff-2015-01,2
84972d9ffffffff-2015-07,1
84972d9ffffffff-2015-10,2
84972d9ffffffff-2015-11,4
84972d9ffffffff-2016-01,4
84972d9ffffffff-2016-03,1
84972d9ffffffff-2016-05,2
84972d9ffffffff-2016-07,1
84972d9ffffffff-2016-11,1
84972d9ffffffff-2016-12,1
84972d9ffffffff-2017-01,3
84972d9ffffffff-2017-03,1
84972d9ffffffff-2017-07,3
84972d9ffffffff-2017-08,1
84972d9ffffffff-2017-09,1
84972d9ffffffff-2017-11,28
84972d9ffffffff-2018-01,4
84972d9ffffffff-2018-02,4
84972d9ffffffff-2018-04,2
84972d9ffffffff-2018-05,1
84972d9ffffffff-2018-06,6
84972d9ffffffff-2018-10,17
84972d9ffffffff-2018-11,5
84972d9ffffffff-2019-01,4
84972d9ffffffff-2019-02,6
84972d9ffffffff-2019-06,1
84972d9ffffffff-2019-10,4
84972d9ffffffff-2019-11,6
84972d9ffffffff-2020-02,1
84972d9ffffffff-2020-03,2
84972d9ffffffff-2020-10,1
84972d9ffffffff-2020-11,1
84972d9ffffffff-2020-12,4
84972d9ffffffff-2021-01,1
84972d9ffffffff-2021-02,3
84972d9ffffffff-2021-03,1
84972d9ffffffff-2021-05,2
84972d9ffffffff-2021-10,1
84972d9ffffffff-2021-11,1
84972d9ffffffff-2022-02,2
84972d9ffffffff-2022-08,5
84972d9ffffffff-2022-09,1
84972d9ffffffff-2022-10,12
84972d9ffffffff-2022-11,3
84972d9ffffffff-2022-12,2
84972d9ffffffff-2023-01,7
84972d9ffffffff-2023-02,2
84972d9ffffffff-2023-03,1
84972d9ffffffff-2023-04,1
84972d9ffffffff-2023-06,3
84972d9ffffffff-2023-08,3
84972d9ffffffff-2023-09,1
84972d9ffffffff-2023-10,6
84972d9ffffffff-2023-11,8
84972dbffffffff-2018-02,2
84972dbffffffff-2019-04,1
84972dbffffffff-2019-11,1
84972dbffffffff-2020-05,1
84972dbffffffff-2020-10,1
84972dbffffffff-2020-11,3
84972dbffffffff-2020-12,1
84972dbffffffff-2021-02,2
84972dbffffffff-2021-03,1
84972dbffffffff-2021-10,1
84972dbffffffff-2021-11,1
84972dbffffffff-2022-01,1
84972dbffffffff-2022-07,1
84972dbffffffff-2023-03,1
84972dbffffffff-2023-06,1
84972ddffffffff-2022-08,1
84972ddffffffff-2023-08,1
84972e3ffffffff-2013-12,1
84972e3ffffffff-2014-01,1
84972e3ffffffff-2016-11,1
84972e3ffffffff-2017-04,1
84972e3ffffffff-2017-06,2
84972e3ffffffff-2018-07,1
84972e3ffffffff-2018-12,1
84972e3ffffffff-2019-08,1
84972e3ffffffff-2019-09,1
84972e3ffffffff-2020-07,1
84972e3ffffffff-2021-01,2
84972e3ffffffff-2021-06,1
84972e3ffffffff-2021-12,1
84972e3ffffffff-2022-05,9
