index,n
84660b7ffffffff-2023-08,1
84660c1ffffffff-2022-12,1
84660d3ffffffff-2022-11,2
84660d9ffffffff-2016-07,2
84660ddffffffff-2020-01,1
8466295ffffffff-2017-12,2
846629bffffffff-2021-02,2
846629bffffffff-2022-05,2
846629dffffffff-2018-07,1
846629dffffffff-2018-10,1
84662b7ffffffff-2016-07,1
84662b7ffffffff-2020-01,1
84662d3ffffffff-2017-05,2
84662d3ffffffff-2017-06,1
84662d3ffffffff-2017-09,1
84662d3ffffffff-2018-03,1
84662d3ffffffff-2019-09,1
84662d3ffffffff-2020-04,1
84662d3ffffffff-2020-05,1
84662d3ffffffff-2020-10,1
84662d3ffffffff-2021-04,1
84662d3ffffffff-2021-05,1
84662d3ffffffff-2023-03,1
84662d3ffffffff-2023-07,1
84662d3ffffffff-2023-09,1
84662d3ffffffff-2023-11,1
846656dffffffff-2018-04,2
846656dffffffff-2018-05,2
846656dffffffff-2018-06,3
846656dffffffff-2018-09,1
846656dffffffff-2020-06,4
846656dffffffff-2020-07,2
846656dffffffff-2022-05,11
846656dffffffff-2023-07,4
8466c0dffffffff-2019-06,2
8466c0dffffffff-2023-08,2
8466c4bffffffff-2020-03,8
8466c5dffffffff-2019-06,9
8466da7ffffffff-2014-12,1
8466da7ffffffff-2018-12,4
8466da7ffffffff-2019-03,1
8466da7ffffffff-2019-09,1
8466da7ffffffff-2019-10,3
8466da7ffffffff-2019-11,1
8466da7ffffffff-2019-12,3
8466da7ffffffff-2020-02,1
8466da7ffffffff-2020-04,2
8466da7ffffffff-2020-05,2
8466da7ffffffff-2020-11,2
8466da7ffffffff-2021-03,1
8466da7ffffffff-2021-05,2
8466da7ffffffff-2023-10,1
8466dadffffffff-2019-10,4
8466dadffffffff-2020-01,15
8466dadffffffff-2020-02,19
8466dadffffffff-2020-03,3
8466dadffffffff-2020-09,1
8466dadffffffff-2020-11,1
8466dadffffffff-2021-08,2
8466dadffffffff-2021-10,1
8466dadffffffff-2021-11,2
8466dadffffffff-2022-01,3
8466dadffffffff-2022-02,1
8466dadffffffff-2022-07,2
8466dadffffffff-2022-08,1
8466dadffffffff-2022-10,3
8466dadffffffff-2022-12,2
8466dadffffffff-2023-07,3
8466dadffffffff-2023-08,1
8466dadffffffff-2023-11,1
8466de1ffffffff-2016-03,1
8466de1ffffffff-2019-04,2
8466de1ffffffff-2019-05,3
8466de1ffffffff-2019-06,5
8466de1ffffffff-2020-05,2
8466de1ffffffff-2021-04,2
8466de1ffffffff-2021-05,1
8466de1ffffffff-2021-06,2
8466de1ffffffff-2023-03,5
8466de1ffffffff-2023-04,54
8466de1ffffffff-2023-05,7
8466de1ffffffff-2023-06,10
8466de7ffffffff-2020-07,3
8466de7ffffffff-2021-12,4
8466de7ffffffff-2023-06,1
8466e15ffffffff-2018-05,2
8466e15ffffffff-2021-05,15
8466e15ffffffff-2021-06,5
8466e15ffffffff-2021-07,3
8466e15ffffffff-2021-08,12
8466e15ffffffff-2021-10,1
8466e15ffffffff-2022-07,26
8466e15ffffffff-2022-08,10
8466e15ffffffff-2023-05,4
8466e15ffffffff-2023-06,2
8466e39ffffffff-2021-08,4
8466e39ffffffff-2022-05,12
8466e57ffffffff-2020-06,1
8466e57ffffffff-2023-05,1
8466e57ffffffff-2023-06,4
8467413ffffffff-2013-01,2
8467413ffffffff-2013-12,3
8467413ffffffff-2014-12,7
8467413ffffffff-2015-01,6
8467413ffffffff-2015-11,6
8467413ffffffff-2016-09,1
8467413ffffffff-2016-10,2
8467413ffffffff-2017-01,1
8467413ffffffff-2017-10,1
8467413ffffffff-2017-12,1
8467413ffffffff-2018-04,5
8467413ffffffff-2018-10,1
8467413ffffffff-2019-01,27
8467413ffffffff-2019-02,3
8467413ffffffff-2019-11,2
8467413ffffffff-2020-10,2
8467413ffffffff-2020-11,2
8467413ffffffff-2020-12,11
8467413ffffffff-2021-01,9
8467413ffffffff-2021-05,5
8467413ffffffff-2021-09,3
8467413ffffffff-2021-11,9
8467413ffffffff-2021-12,7
8467413ffffffff-2022-01,2
8467413ffffffff-2022-11,1
8467413ffffffff-2022-12,4
8467413ffffffff-2023-06,1
8467413ffffffff-2023-10,8
8467433ffffffff-2023-04,1
846743bffffffff-2017-02,5
84674c5ffffffff-2018-01,2
84674c5ffffffff-2019-05,1
84674e9ffffffff-2014-10,4
84674edffffffff-2023-09,3
84675a5ffffffff-2015-10,4
848f705ffffffff-2019-12,4
848f705ffffffff-2020-12,2
848f705ffffffff-2021-05,1
848f705ffffffff-2021-10,3
848f705ffffffff-2022-06,1
848f705ffffffff-2022-08,2
848f705ffffffff-2022-09,1
848f705ffffffff-2022-11,2
848f705ffffffff-2022-12,3
848f705ffffffff-2023-03,9
848f705ffffffff-2023-04,7
848f705ffffffff-2023-05,6
848f705ffffffff-2023-07,1
848f705ffffffff-2023-08,2
848f705ffffffff-2023-09,3
848f705ffffffff-2023-10,6
848f705ffffffff-2023-11,6
848f70dffffffff-2022-09,1
848f729ffffffff-2012-03,2
848f729ffffffff-2012-09,1
848f729ffffffff-2012-11,6
848f729ffffffff-2013-01,8
848f729ffffffff-2013-02,4
848f729ffffffff-2013-03,1
848f729ffffffff-2013-05,1
848f729ffffffff-2013-08,3
