index,n
845f007ffffffff-2021-12,2
845f00dffffffff-2015-11,1
845f00dffffffff-2017-03,1
845f00dffffffff-2019-02,2
845f01bffffffff-2021-08,1
845f025ffffffff-2018-11,1
845f025ffffffff-2022-09,1
845f025ffffffff-2023-10,1
845f031ffffffff-2023-10,1
845f035ffffffff-2014-03,1
845f035ffffffff-2015-07,1
845f035ffffffff-2017-03,1
845f035ffffffff-2019-11,3
845f035ffffffff-2022-03,2
845f03bffffffff-2015-02,1
845f03dffffffff-2016-11,2
845f03dffffffff-2017-04,3
845f03dffffffff-2017-07,14
845f03dffffffff-2017-09,1
845f03dffffffff-2017-10,2
845f03dffffffff-2017-11,3
845f03dffffffff-2018-01,1
845f03dffffffff-2018-02,4
845f03dffffffff-2018-10,3
845f03dffffffff-2019-01,1
845f03dffffffff-2019-02,1
845f03dffffffff-2019-03,1
845f03dffffffff-2019-11,2
845f03dffffffff-2020-01,18
845f03dffffffff-2020-12,1
845f03dffffffff-2021-10,1
845f03dffffffff-2022-10,1
845f03dffffffff-2022-12,4
845f03dffffffff-2023-01,3
845f03dffffffff-2023-10,4
845f09dffffffff-2020-03,1
845f0d7ffffffff-2015-01,2
845f0d7ffffffff-2016-10,1
845f0d7ffffffff-2023-09,2
845f101ffffffff-2021-10,1
845f105ffffffff-2019-10,1
845f105ffffffff-2019-11,1
845f105ffffffff-2020-06,1
845f105ffffffff-2020-10,1
845f105ffffffff-2020-12,1
845f105ffffffff-2021-02,1
845f105ffffffff-2021-08,1
845f105ffffffff-2021-11,2
845f105ffffffff-2022-07,3
845f105ffffffff-2023-06,1
845f105ffffffff-2023-08,1
845f105ffffffff-2023-10,3
845f107ffffffff-2018-07,1
845f10dffffffff-2014-10,1
845f10dffffffff-2022-03,1
845f10dffffffff-2022-08,1
845f113ffffffff-2020-06,1
845f113ffffffff-2022-09,1
845f117ffffffff-2023-01,2
845f117ffffffff-2023-08,4
845f129ffffffff-2017-12,2
845f129ffffffff-2021-08,1
845f129ffffffff-2022-07,3
845f129ffffffff-2023-06,1
845f12bffffffff-2018-05,1
845f12bffffffff-2020-12,1
845f12bffffffff-2021-03,1
845f12bffffffff-2023-07,1
845f12bffffffff-2023-11,1
845f139ffffffff-2018-02,1
845f139ffffffff-2018-03,1
845f139ffffffff-2021-05,1
845f13bffffffff-2023-11,1
845f13dffffffff-2018-05,1
845f13dffffffff-2018-07,1
845f13dffffffff-2018-12,1
845f13dffffffff-2019-02,1
845f143ffffffff-2017-02,1
845f143ffffffff-2019-03,2
845f143ffffffff-2019-11,1
845f143ffffffff-2021-11,7
845f143ffffffff-2022-07,1
845f153ffffffff-2021-03,1
845f155ffffffff-2022-11,1
845f155ffffffff-2022-12,1
845f15bffffffff-2020-09,1
845f161ffffffff-2015-12,1
845f161ffffffff-2020-10,1
845f163ffffffff-2022-07,1
845f163ffffffff-2023-08,1
845f163ffffffff-2023-11,1
845f167ffffffff-2020-11,1
845f1cbffffffff-2014-02,1
845f1cbffffffff-2017-07,4
845f1cbffffffff-2018-08,1
845f1cbffffffff-2019-11,1
845f1cbffffffff-2020-02,1
845f1cbffffffff-2020-07,1
845f1cbffffffff-2020-10,1
845f1cbffffffff-2020-12,1
845f1cbffffffff-2021-01,1
845f1cbffffffff-2022-07,1
845f1cbffffffff-2022-09,1
845f1cbffffffff-2022-11,1
845f1cbffffffff-2022-12,3
845f1cbffffffff-2023-08,2
845f1cbffffffff-2023-10,2
845f1e9ffffffff-2021-05,1
845f295ffffffff-2014-01,1
845f295ffffffff-2017-10,4
845f295ffffffff-2018-12,1
845f295ffffffff-2019-01,1
845f295ffffffff-2019-02,1
845f295ffffffff-2022-02,1
845f295ffffffff-2023-01,2
845f295ffffffff-2023-02,6
845f295ffffffff-2023-03,2
845f29dffffffff-2017-03,2
845f29dffffffff-2018-06,1
845f29dffffffff-2021-11,2
845f29dffffffff-2022-01,1
845f2b1ffffffff-2012-10,2
845f2b1ffffffff-2014-01,3
845f2b1ffffffff-2018-03,1
845f2b1ffffffff-2019-01,5
845f2b1ffffffff-2019-12,9
845f2b1ffffffff-2020-01,1
845f2b1ffffffff-2021-11,8
845f2b1ffffffff-2021-12,1
845f2b1ffffffff-2022-02,1
845f2b1ffffffff-2022-03,1
845f2b1ffffffff-2022-09,6
845f2b1ffffffff-2022-12,2
845f2b1ffffffff-2023-01,2
845f2b3ffffffff-2014-01,1
845f2b3ffffffff-2014-11,2
845f2b3ffffffff-2015-01,2
845f2b3ffffffff-2016-01,7
845f2b3ffffffff-2016-07,2
845f2b3ffffffff-2016-11,2
845f2b3ffffffff-2017-01,3
845f2b3ffffffff-2017-11,4
845f2b3ffffffff-2018-01,3
845f2b3ffffffff-2018-02,1
845f2b3ffffffff-2018-08,1
845f2b3ffffffff-2018-09,4
845f2b3ffffffff-2019-01,4
845f2b3ffffffff-2019-11,1
845f2b3ffffffff-2019-12,3
845f2b3ffffffff-2020-01,4
845f2b3ffffffff-2020-02,1
845f2b3ffffffff-2021-11,1
845f2b3ffffffff-2022-01,2
845f2b3ffffffff-2022-02,3
845f2b3ffffffff-2022-12,4
845f2b3ffffffff-2023-01,2
845f2b3ffffffff-2023-02,7
845f2b3ffffffff-2023-03,2
845f2b3ffffffff-2023-09,8
845f2b3ffffffff-2023-11,1
845f2bbffffffff-2012-01,4
845f2bbffffffff-2012-10,2
845f2bbffffffff-2013-10,4
845f2bbffffffff-2014-01,3
845f2bbffffffff-2014-02,1
845f2bbffffffff-2014-06,1
845f2bbffffffff-2014-07,1
845f2bbffffffff-2014-08,1
845f2bbffffffff-2014-11,1
845f2bbffffffff-2015-01,1
845f2bbffffffff-2015-02,1
845f2bbffffffff-2015-03,9
845f2bbffffffff-2015-07,2
845f2bbffffffff-2015-12,1
845f2bbffffffff-2016-01,3
845f2bbffffffff-2016-02,1
845f2bbffffffff-2016-10,1
845f2bbffffffff-2016-11,3
845f2bbffffffff-2017-01,3
845f2bbffffffff-2017-02,2
845f2bbffffffff-2017-03,2
845f2bbffffffff-2017-04,2
845f2bbffffffff-2017-11,10
845f2bbffffffff-2017-12,2
845f2bbffffffff-2018-01,26
845f2bbffffffff-2018-02,4
845f2bbffffffff-2018-03,12
845f2bbffffffff-2018-10,1
845f2bbffffffff-2019-01,14
845f2bbffffffff-2019-02,5
845f2bbffffffff-2019-03,4
845f2bbffffffff-2019-09,12
845f2bbffffffff-2019-10,11
845f2bbffffffff-2019-11,3
845f2bbffffffff-2020-01,2
845f2bbffffffff-2020-02,3
845f2bbffffffff-2020-10,1
845f2bbffffffff-2020-12,4
845f2bbffffffff-2021-10,4
845f2bbffffffff-2021-11,3
845f2bbffffffff-2022-01,3
845f2bbffffffff-2022-02,7
845f2bbffffffff-2022-03,8
845f2bbffffffff-2022-08,1
845f2bbffffffff-2022-09,15
845f2bbffffffff-2022-10,2
845f2bbffffffff-2022-11,10
845f2bbffffffff-2022-12,20
845f2bbffffffff-2023-01,12
845f2bbffffffff-2023-02,16
845f2bbffffffff-2023-03,12
845f2bbffffffff-2023-08,4
845f2bbffffffff-2023-09,10
845f2bbffffffff-2023-10,7
845f2bbffffffff-2023-11,16
845f2cbffffffff-2023-02,1
845f2d7ffffffff-2014-01,1
845f2d7ffffffff-2017-07,1
845f331ffffffff-2021-06,1
845f333ffffffff-2023-03,1
845f549ffffffff-2016-08,1
845f68bffffffff-2018-02,7
845f727ffffffff-2017-10,1
845f759ffffffff-2017-04,1
845f759ffffffff-2021-05,1
84660d1ffffffff-2018-08,1
84660d1ffffffff-2019-06,1
84660d1ffffffff-2021-02,4
8466411ffffffff-2014-02,3
8466411ffffffff-2014-03,3
8466411ffffffff-2015-04,1
8466411ffffffff-2015-11,1
8466411ffffffff-2018-05,1
8466411ffffffff-2018-12,3
8466411ffffffff-2019-01,4
8466411ffffffff-2019-02,7
8466411ffffffff-2019-03,1
8466411ffffffff-2019-04,8
8466411ffffffff-2019-05,3
8466411ffffffff-2019-11,4
8466411ffffffff-2019-12,18
8466411ffffffff-2020-01,4
8466411ffffffff-2020-02,6
8466411ffffffff-2020-12,4
8466411ffffffff-2021-02,3
8466411ffffffff-2021-03,7
8466411ffffffff-2021-04,3
8466411ffffffff-2021-08,6
8466411ffffffff-2021-11,1
8466411ffffffff-2021-12,15
8466411ffffffff-2022-01,5
8466411ffffffff-2022-02,37
8466411ffffffff-2022-04,1
8466411ffffffff-2022-09,2
8466411ffffffff-2022-10,1
8466411ffffffff-2022-11,12
8466411ffffffff-2022-12,9
8466411ffffffff-2023-01,8
8466411ffffffff-2023-02,18
8466411ffffffff-2023-03,33
8466411ffffffff-2023-04,2
8466411ffffffff-2023-07,1
8466411ffffffff-2023-10,4
8466411ffffffff-2023-11,8
8466415ffffffff-2014-02,6
8466415ffffffff-2015-04,3
8466415ffffffff-2016-07,9
8466415ffffffff-2016-09,1
8466415ffffffff-2016-10,2
8466415ffffffff-2017-01,1
8466415ffffffff-2018-08,7
8466415ffffffff-2018-11,1
8466415ffffffff-2019-01,2
8466415ffffffff-2019-02,5
8466415ffffffff-2019-03,1
8466415ffffffff-2019-04,4
8466415ffffffff-2019-12,3
8466415ffffffff-2020-01,4
8466415ffffffff-2021-08,13
8466415ffffffff-2021-11,18
8466415ffffffff-2021-12,5
8466415ffffffff-2022-01,6
8466415ffffffff-2022-02,7
8466415ffffffff-2022-11,5
8466415ffffffff-2023-02,2
8466415ffffffff-2023-03,10
8466415ffffffff-2023-05,1
8466415ffffffff-2023-07,1
8466417ffffffff-2016-08,1
8466417ffffffff-2020-01,6
8466417ffffffff-2020-02,4
8466417ffffffff-2021-08,2
8466417ffffffff-2021-12,13
8466417ffffffff-2022-01,7
8466417ffffffff-2023-08,3
846641dffffffff-2014-03,3
846641dffffffff-2016-01,1
846641dffffffff-2017-09,1
846641dffffffff-2018-10,3
846641dffffffff-2018-11,1
846641dffffffff-2019-03,1
846641dffffffff-2019-12,12
