index,n
8481005ffffffff-2014-01,6
8481005ffffffff-2018-02,2
8481005ffffffff-2018-11,3
8481005ffffffff-2019-01,2
8481005ffffffff-2019-10,5
8481005ffffffff-2020-01,4
8481005ffffffff-2020-03,3
8481005ffffffff-2020-12,1
8481005ffffffff-2021-09,1
8481005ffffffff-2021-11,1
8481005ffffffff-2022-11,1
8481005ffffffff-2023-04,3
8481005ffffffff-2023-09,3
8481005ffffffff-2023-10,11
8481005ffffffff-2023-11,14
8481027ffffffff-2023-01,2
8481027ffffffff-2023-02,2
8481029ffffffff-2013-04,1
8481029ffffffff-2013-11,1
8481029ffffffff-2015-01,2
8481029ffffffff-2015-03,2
8481029ffffffff-2015-07,1
8481029ffffffff-2015-09,1
8481029ffffffff-2015-11,1
8481029ffffffff-2015-12,5
8481029ffffffff-2016-07,1
8481029ffffffff-2017-02,1
8481029ffffffff-2017-09,1
8481029ffffffff-2017-12,1
8481029ffffffff-2018-08,1
8481029ffffffff-2018-11,1
8481029ffffffff-2018-12,1
8481029ffffffff-2019-01,4
8481029ffffffff-2019-03,1
8481029ffffffff-2019-04,1
8481029ffffffff-2019-09,1
8481029ffffffff-2019-10,2
8481029ffffffff-2019-11,4
8481029ffffffff-2020-01,4
8481029ffffffff-2020-03,2
8481029ffffffff-2020-05,7
8481029ffffffff-2020-06,1
8481029ffffffff-2020-07,2
8481029ffffffff-2020-08,1
8481029ffffffff-2020-09,1
8481029ffffffff-2020-10,1
8481029ffffffff-2021-01,1
8481029ffffffff-2021-02,3
8481029ffffffff-2021-07,3
8481029ffffffff-2021-08,4
8481029ffffffff-2021-11,3
8481029ffffffff-2022-01,1
8481029ffffffff-2022-03,2
8481029ffffffff-2022-04,1
8481029ffffffff-2022-07,5
8481029ffffffff-2022-08,1
8481029ffffffff-2022-09,10
8481029ffffffff-2022-10,5
8481029ffffffff-2023-01,5
8481029ffffffff-2023-02,8
8481029ffffffff-2023-05,2
8481029ffffffff-2023-09,10
8481029ffffffff-2023-10,16
8481029ffffffff-2023-11,11
848102bffffffff-2020-01,9
8481045ffffffff-2023-07,1
8481061ffffffff-2014-08,2
8481061ffffffff-2015-07,1
8481061ffffffff-2016-01,3
8481061ffffffff-2017-01,4
8481061ffffffff-2018-11,1
8481061ffffffff-2020-01,1
8481061ffffffff-2022-09,1
8481061ffffffff-2023-11,1
8481063ffffffff-2013-11,1
8481063ffffffff-2014-01,3
8481063ffffffff-2016-01,1
8481063ffffffff-2017-01,1
8481063ffffffff-2017-11,3
8481063ffffffff-2018-02,2
8481063ffffffff-2019-03,1
8481063ffffffff-2019-10,1
8481063ffffffff-2019-12,1
8481063ffffffff-2021-12,1
8481063ffffffff-2022-02,2
8481063ffffffff-2022-06,1
8481063ffffffff-2022-07,12
8481063ffffffff-2023-01,12
8481063ffffffff-2023-05,2
8481063ffffffff-2023-10,9
8481063ffffffff-2023-11,3
8481105ffffffff-2015-10,2
8481105ffffffff-2021-07,1
8481105ffffffff-2021-10,1
8481105ffffffff-2021-11,1
8481105ffffffff-2022-07,1
8481105ffffffff-2023-04,1
8481125ffffffff-2021-01,1
8481129ffffffff-2020-02,1
848112bffffffff-2020-10,1
848112bffffffff-2021-07,4
848112bffffffff-2021-11,11
848112bffffffff-2022-08,1
848112bffffffff-2023-07,3
8481139ffffffff-2014-02,1
8481139ffffffff-2020-02,1
8481149ffffffff-2015-10,5
8481149ffffffff-2015-12,1
8481149ffffffff-2016-03,1
8481149ffffffff-2016-08,1
8481149ffffffff-2020-12,2
8481161ffffffff-2014-07,1
8481161ffffffff-2016-09,2
8481161ffffffff-2017-02,1
8481161ffffffff-2018-03,1
8481161ffffffff-2018-12,1
8481161ffffffff-2019-01,1
8481161ffffffff-2020-01,2
8481161ffffffff-2021-02,2
8481161ffffffff-2023-05,1
8481161ffffffff-2023-09,1
8481163ffffffff-2017-09,1
8481163ffffffff-2020-02,1
8481163ffffffff-2021-11,2
8481167ffffffff-2020-11,1
8481167ffffffff-2021-09,2
8481167ffffffff-2021-10,3
848116bffffffff-2015-01,1
848116bffffffff-2015-02,2
848116bffffffff-2016-07,1
848116bffffffff-2016-10,1
848116bffffffff-2017-02,2
848116bffffffff-2018-03,1
848116bffffffff-2018-06,1
848116bffffffff-2019-09,1
