index,n
8445215ffffffff-2018-09,4
8445215ffffffff-2018-10,15
8445217ffffffff-2019-02,1
8445217ffffffff-2019-09,6
8445217ffffffff-2022-05,5
844521dffffffff-2019-08,1
8445225ffffffff-2012-10,2
8445225ffffffff-2015-03,2
8445225ffffffff-2017-07,1
8445225ffffffff-2018-02,3
8445225ffffffff-2018-03,3
8445225ffffffff-2018-05,2
8445225ffffffff-2019-03,2
8445225ffffffff-2019-05,3
8445225ffffffff-2020-01,1
8445225ffffffff-2020-03,1
8445225ffffffff-2021-08,1
8445233ffffffff-2015-03,1
8445233ffffffff-2015-04,1
8445233ffffffff-2016-03,5
8445233ffffffff-2019-05,7
844523bffffffff-2022-03,1
844523bffffffff-2022-06,1
84452e1ffffffff-2018-07,1
84452e1ffffffff-2019-03,1
84452e3ffffffff-2022-05,2
84452e5ffffffff-2017-05,1
84452e5ffffffff-2017-06,6
84452e5ffffffff-2020-06,6
84452e5ffffffff-2021-05,5
84452e9ffffffff-2016-03,1
84452e9ffffffff-2020-10,1
84452edffffffff-2012-09,1
84452edffffffff-2014-03,1
84452edffffffff-2014-05,1
84452edffffffff-2017-03,2
84452edffffffff-2019-05,7
84452edffffffff-2021-10,2
84452edffffffff-2022-06,10
8445305ffffffff-2013-04,2
8445305ffffffff-2019-03,11
844532bffffffff-2016-09,3
844532bffffffff-2018-05,6
844532bffffffff-2021-03,16
844532bffffffff-2021-04,6
844532bffffffff-2022-01,10
844532bffffffff-2022-02,12
844532bffffffff-2023-06,3
8445345ffffffff-2012-12,1
8445345ffffffff-2013-01,3
8445345ffffffff-2017-02,3
8445363ffffffff-2012-06,5
8445363ffffffff-2014-01,3
8445363ffffffff-2017-02,14
8445363ffffffff-2017-03,2
8445363ffffffff-2017-04,2
8445363ffffffff-2020-02,2
8445365ffffffff-2016-03,8
8445365ffffffff-2017-05,9
8445367ffffffff-2020-02,9
844536bffffffff-2012-06,1
84660e5ffffffff-2020-01,1
8466101ffffffff-2021-10,3
8466105ffffffff-2017-07,1
8466107ffffffff-2014-04,1
8466107ffffffff-2015-01,1
8466107ffffffff-2015-02,2
8466107ffffffff-2015-03,6
8466107ffffffff-2015-05,4
8466107ffffffff-2015-06,1
8466107ffffffff-2015-12,2
8466107ffffffff-2016-02,4
8466107ffffffff-2016-03,7
8466107ffffffff-2016-04,5
8466107ffffffff-2016-05,2
8466107ffffffff-2016-12,1
8466107ffffffff-2017-03,1
8466107ffffffff-2017-04,2
8466107ffffffff-2017-05,2
8466107ffffffff-2018-02,9
8466107ffffffff-2018-07,2
8466107ffffffff-2018-12,2
8466107ffffffff-2019-01,3
8466107ffffffff-2019-02,4
8466107ffffffff-2019-07,5
8466107ffffffff-2019-10,1
8466107ffffffff-2019-12,3
8466107ffffffff-2020-12,1
8466107ffffffff-2021-02,1
8466107ffffffff-2021-04,1
8466107ffffffff-2021-05,2
8466107ffffffff-2021-07,4
8466107ffffffff-2021-08,1
8466107ffffffff-2021-10,4
8466107ffffffff-2021-12,4
8466107ffffffff-2022-02,2
8466107ffffffff-2022-04,3
8466107ffffffff-2022-05,5
8466107ffffffff-2022-06,3
8466107ffffffff-2022-10,5
8466107ffffffff-2022-11,4
8466107ffffffff-2023-01,7
8466107ffffffff-2023-02,3
8466107ffffffff-2023-03,11
8466107ffffffff-2023-04,4
8466107ffffffff-2023-05,14
