index,n
845f03dffffffff-2019-02,2
845f03dffffffff-2019-11,2
845f03dffffffff-2020-01,10
845f487ffffffff-2012-01,4
845f487ffffffff-2015-09,4
845f487ffffffff-2016-05,3
845f487ffffffff-2018-05,3
845f487ffffffff-2019-10,4
845f487ffffffff-2022-02,1
845f487ffffffff-2022-10,8
845f487ffffffff-2023-02,9
845f487ffffffff-2023-05,3
845f4a7ffffffff-2015-12,4
845f4a7ffffffff-2017-07,1
845f4abffffffff-2021-05,33
845f4abffffffff-2023-02,18
845f4abffffffff-2023-05,3
845f4abffffffff-2023-07,3
845f4b9ffffffff-2019-10,4
845f4bdffffffff-2012-01,4
845f4bdffffffff-2015-08,3
845f4bdffffffff-2015-09,2
845f4bdffffffff-2019-10,4
845f4bdffffffff-2021-05,23
845f4bdffffffff-2022-05,10
845f4bdffffffff-2022-10,7
845f4bdffffffff-2023-02,3
845f4bdffffffff-2023-05,6
845f4bdffffffff-2023-07,18
845f583ffffffff-2012-01,1
845f583ffffffff-2012-05,1
845f583ffffffff-2012-06,1
845f583ffffffff-2012-11,1
845f583ffffffff-2012-12,4
845f583ffffffff-2013-01,7
845f583ffffffff-2013-04,2
845f583ffffffff-2013-07,1
845f583ffffffff-2013-11,1
845f583ffffffff-2013-12,10
845f583ffffffff-2014-02,2
845f583ffffffff-2014-04,1
845f583ffffffff-2014-10,1
845f583ffffffff-2014-11,1
845f583ffffffff-2014-12,4
845f583ffffffff-2015-01,3
845f583ffffffff-2015-02,2
845f583ffffffff-2015-03,1
845f583ffffffff-2015-04,2
845f583ffffffff-2015-05,4
845f583ffffffff-2015-09,2
845f583ffffffff-2015-10,9
845f583ffffffff-2015-11,5
845f583ffffffff-2015-12,12
845f583ffffffff-2016-01,2
845f583ffffffff-2016-02,8
845f583ffffffff-2016-06,1
845f583ffffffff-2016-08,2
845f583ffffffff-2016-10,7
845f583ffffffff-2016-11,1
845f583ffffffff-2016-12,4
845f583ffffffff-2017-01,8
845f583ffffffff-2017-02,3
845f583ffffffff-2017-03,2
845f583ffffffff-2017-04,2
845f583ffffffff-2017-05,1
845f583ffffffff-2017-06,1
845f583ffffffff-2017-07,1
845f583ffffffff-2017-08,1
845f583ffffffff-2017-09,1
845f583ffffffff-2017-10,23
845f583ffffffff-2017-11,5
845f583ffffffff-2017-12,9
845f583ffffffff-2018-01,11
845f583ffffffff-2018-02,1
845f583ffffffff-2018-05,2
845f583ffffffff-2018-06,2
845f583ffffffff-2018-08,2
845f583ffffffff-2018-09,1
845f583ffffffff-2018-10,3
845f583ffffffff-2018-11,2
845f583ffffffff-2018-12,19
845f583ffffffff-2019-01,18
845f583ffffffff-2019-02,2
845f583ffffffff-2019-03,2
845f583ffffffff-2019-05,2
845f583ffffffff-2019-06,7
845f583ffffffff-2019-07,1
845f583ffffffff-2019-09,2
845f583ffffffff-2019-10,2
845f583ffffffff-2019-11,17
845f583ffffffff-2019-12,16
845f583ffffffff-2020-01,12
845f583ffffffff-2020-02,8
845f583ffffffff-2020-06,6
845f583ffffffff-2021-05,1
845f583ffffffff-2021-08,3
845f583ffffffff-2021-10,5
845f583ffffffff-2021-12,1
845f583ffffffff-2022-02,4
845f583ffffffff-2022-03,1
845f583ffffffff-2022-04,1
845f583ffffffff-2022-06,8
845f583ffffffff-2022-10,2
845f583ffffffff-2022-12,7
845f583ffffffff-2023-02,1
845f583ffffffff-2023-04,1
845f583ffffffff-2023-07,2
845f583ffffffff-2023-08,1
845f583ffffffff-2023-10,1
845f583ffffffff-2023-11,14
845f58bffffffff-2017-07,1
845f58bffffffff-2019-03,1
845f595ffffffff-2012-02,1
845f595ffffffff-2014-03,2
845f595ffffffff-2016-01,2
845f595ffffffff-2016-02,1
845f595ffffffff-2016-03,1
845f595ffffffff-2017-04,1
845f595ffffffff-2018-04,1
845f595ffffffff-2019-09,1
845f595ffffffff-2022-05,1
845f595ffffffff-2023-07,1
845f5b9ffffffff-2013-04,2
845f5b9ffffffff-2013-10,1
845f5b9ffffffff-2013-11,3
845f5b9ffffffff-2017-03,1
845f5b9ffffffff-2019-05,1
845f5b9ffffffff-2020-01,1
845f5b9ffffffff-2020-02,1
845f5b9ffffffff-2020-06,1
845f5b9ffffffff-2023-01,10
845f5b9ffffffff-2023-11,1
845f711ffffffff-2012-03,3
845f711ffffffff-2013-02,1
845f711ffffffff-2013-08,1
