index,n
8401269ffffffff-2021-07,1
840126dffffffff-2023-07,2
840130bffffffff-2022-06,1
840134bffffffff-2023-06,5
8401351ffffffff-2022-07,1
8407417ffffffff-2016-10,1
840744bffffffff-2012-05,1
840744bffffffff-2019-09,1
840744bffffffff-2019-10,1
840744bffffffff-2022-09,1
840745dffffffff-2022-09,1
84074edffffffff-2013-10,1
84074edffffffff-2016-10,5
84075d1ffffffff-2016-10,1
84075d1ffffffff-2023-09,6
84075d9ffffffff-2022-09,4
8407621ffffffff-2012-05,1
8407621ffffffff-2015-10,1
8407621ffffffff-2017-10,2
8407623ffffffff-2015-10,1
8407623ffffffff-2016-10,2
8407623ffffffff-2017-09,2
8407623ffffffff-2017-10,1
8407635ffffffff-2015-10,2
8407635ffffffff-2016-10,1
8407635ffffffff-2017-09,4
8407635ffffffff-2018-05,1
8407635ffffffff-2018-10,7
8407635ffffffff-2019-09,1
8407739ffffffff-2021-09,3
8408007ffffffff-2021-06,1
8408023ffffffff-2023-07,1
8408025ffffffff-2018-05,1
840802dffffffff-2023-07,1
8408061ffffffff-2022-06,1
8408061ffffffff-2023-07,2
8408065ffffffff-2018-05,1
8408065ffffffff-2018-08,1
8408065ffffffff-2021-08,1
8408065ffffffff-2022-05,3
8408065ffffffff-2023-06,1
8408065ffffffff-2023-08,2
8408065ffffffff-2023-09,1
8408105ffffffff-2017-06,2
8408105ffffffff-2022-05,3
8408105ffffffff-2022-06,2
8408107ffffffff-2012-06,2
8408107ffffffff-2017-05,2
8408107ffffffff-2019-06,1
8408107ffffffff-2019-07,1
8408107ffffffff-2019-08,1
8408107ffffffff-2020-07,1
8408107ffffffff-2021-07,1
8408107ffffffff-2022-06,2
840810dffffffff-2019-06,1
8408111ffffffff-2013-06,1
8408111ffffffff-2023-06,2
8408111ffffffff-2023-07,1
8408115ffffffff-2020-07,1
8408115ffffffff-2023-07,1
840811dffffffff-2013-06,2
840811dffffffff-2017-06,2
840811dffffffff-2020-06,2
840811dffffffff-2021-06,1
840811dffffffff-2021-08,1
840811dffffffff-2023-06,2
840811dffffffff-2023-07,7
840811dffffffff-2023-08,3
8408121ffffffff-2022-07,1
8408123ffffffff-2016-07,1
8408123ffffffff-2017-06,1
8408125ffffffff-2023-06,1
8408127ffffffff-2023-05,1
8408127ffffffff-2023-06,1
8408129ffffffff-2022-06,1
8408129ffffffff-2022-07,2
8408129ffffffff-2022-08,8
840812bffffffff-2017-06,2
840812dffffffff-2022-06,1
840812dffffffff-2023-06,1
8408131ffffffff-2014-07,1
8408131ffffffff-2021-07,1
8408133ffffffff-2020-08,1
8408133ffffffff-2021-05,2
8408133ffffffff-2021-08,1
8408133ffffffff-2022-06,2
8408133ffffffff-2022-09,1
