index,n
845f01bffffffff-2021-10,1
845f023ffffffff-2019-11,1
845f025ffffffff-2020-01,1
845f025ffffffff-2022-09,1
845f025ffffffff-2023-04,2
845f025ffffffff-2023-10,3
845f02bffffffff-2023-04,4
845f02dffffffff-2021-09,1
845f031ffffffff-2022-10,2
845f033ffffffff-2021-09,1
845f035ffffffff-2013-10,2
845f035ffffffff-2015-03,1
845f035ffffffff-2018-01,4
845f035ffffffff-2019-02,1
845f035ffffffff-2019-11,1
845f035ffffffff-2019-12,1
845f035ffffffff-2020-01,15
845f035ffffffff-2022-03,3
845f035ffffffff-2023-03,6
845f035ffffffff-2023-04,3
845f035ffffffff-2023-07,1
845f039ffffffff-2022-09,4
845f03bffffffff-2015-02,1
845f03bffffffff-2023-10,1
845f03dffffffff-2016-02,2
845f03dffffffff-2016-11,4
845f03dffffffff-2017-02,1
845f03dffffffff-2017-04,1
845f03dffffffff-2017-07,18
845f03dffffffff-2017-10,1
845f03dffffffff-2017-11,2
845f03dffffffff-2018-02,12
845f03dffffffff-2018-08,1
845f03dffffffff-2018-10,1
845f03dffffffff-2019-01,1
845f03dffffffff-2019-02,4
845f03dffffffff-2019-03,1
845f03dffffffff-2019-10,1
845f03dffffffff-2019-11,4
845f03dffffffff-2020-01,7
845f03dffffffff-2020-02,4
845f03dffffffff-2020-03,1
845f03dffffffff-2020-11,2
845f03dffffffff-2021-05,1
845f03dffffffff-2021-10,1
845f03dffffffff-2021-11,1
845f03dffffffff-2022-03,12
845f03dffffffff-2022-04,6
845f03dffffffff-2022-10,1
845f03dffffffff-2022-12,2
845f03dffffffff-2023-01,12
845f03dffffffff-2023-04,20
845f03dffffffff-2023-10,5
845f089ffffffff-2020-02,2
845f08bffffffff-2020-12,2
845f08bffffffff-2022-09,2
845f091ffffffff-2015-03,1
845f095ffffffff-2014-05,1
845f09dffffffff-2017-11,1
845f0d7ffffffff-2015-01,2
845f0d7ffffffff-2015-04,1
845f0d7ffffffff-2016-10,1
845f0d7ffffffff-2021-09,1
845f0d7ffffffff-2023-03,1
845f0d7ffffffff-2023-08,2
845f101ffffffff-2021-10,1
845f105ffffffff-2019-11,1
845f105ffffffff-2020-06,1
845f105ffffffff-2020-08,1
845f105ffffffff-2021-08,1
845f105ffffffff-2021-12,1
845f105ffffffff-2022-09,1
845f105ffffffff-2023-05,3
845f105ffffffff-2023-06,1
845f105ffffffff-2023-09,6
845f105ffffffff-2023-10,4
845f107ffffffff-2018-10,1
845f107ffffffff-2019-06,2
845f107ffffffff-2020-10,1
845f107ffffffff-2020-11,1
845f107ffffffff-2023-06,1
845f107ffffffff-2023-07,1
845f107ffffffff-2023-08,3
845f107ffffffff-2023-09,6
845f107ffffffff-2023-10,2
845f107ffffffff-2023-11,2
845f10dffffffff-2020-02,1
845f10dffffffff-2022-08,1
845f10dffffffff-2023-08,1
845f10dffffffff-2023-10,3
845f117ffffffff-2019-11,1
845f117ffffffff-2021-05,1
845f117ffffffff-2023-01,4
845f117ffffffff-2023-04,1
845f117ffffffff-2023-08,4
845f129ffffffff-2019-02,1
845f129ffffffff-2021-08,1
845f12bffffffff-2020-07,1
845f12bffffffff-2021-07,1
845f12bffffffff-2023-03,1
845f12bffffffff-2023-07,1
845f139ffffffff-2018-02,1
845f139ffffffff-2020-01,1
845f139ffffffff-2021-01,1
845f139ffffffff-2022-12,2
845f139ffffffff-2023-06,1
845f13dffffffff-2018-12,2
845f13dffffffff-2019-02,2
845f13dffffffff-2022-09,2
845f13dffffffff-2022-10,1
845f143ffffffff-2018-02,1
845f143ffffffff-2019-11,1
845f143ffffffff-2023-05,9
845f151ffffffff-2020-07,1
845f153ffffffff-2021-03,1
845f155ffffffff-2022-11,1
845f155ffffffff-2022-12,2
845f155ffffffff-2023-06,8
845f155ffffffff-2023-10,1
845f155ffffffff-2023-11,1
845f159ffffffff-2018-06,1
845f15bffffffff-2022-11,1
845f161ffffffff-2016-02,6
845f161ffffffff-2021-11,1
845f163ffffffff-2022-07,1
845f163ffffffff-2022-11,3
845f163ffffffff-2023-08,5
845f163ffffffff-2023-09,2
845f163ffffffff-2023-11,2
845f167ffffffff-2020-11,1
845f16bffffffff-2023-08,3
845f1c9ffffffff-2017-10,6
845f1cbffffffff-2012-10,2
845f1cbffffffff-2016-03,2
845f1cbffffffff-2016-11,2
845f1cbffffffff-2017-04,1
845f1cbffffffff-2018-02,4
845f1cbffffffff-2020-01,14
845f1cbffffffff-2020-12,1
845f1cbffffffff-2022-02,2
845f1cbffffffff-2022-09,1
845f1cbffffffff-2022-10,1
845f1cbffffffff-2022-11,1
845f1cbffffffff-2022-12,2
845f1cbffffffff-2023-04,6
845f1e9ffffffff-2022-07,1
845f1e9ffffffff-2023-02,2
845f1e9ffffffff-2023-09,3
845f283ffffffff-2022-03,1
845f295ffffffff-2014-12,1
845f295ffffffff-2016-01,4
845f295ffffffff-2017-04,1
845f295ffffffff-2017-10,8
