index,n
8445209ffffffff-2014-09,3
844520dffffffff-2016-01,1
844520dffffffff-2019-05,1
8445225ffffffff-2017-09,4
8445225ffffffff-2019-05,1
8445225ffffffff-2023-06,1
8445241ffffffff-2015-07,1
8445241ffffffff-2015-08,3
8445241ffffffff-2017-09,1
8445241ffffffff-2018-11,2
8445241ffffffff-2020-01,1
8445241ffffffff-2020-02,1
8445241ffffffff-2021-10,2
8445241ffffffff-2022-02,3
8445241ffffffff-2023-01,4
8445241ffffffff-2023-10,1
8445243ffffffff-2013-08,3
8445243ffffffff-2015-01,3
8445243ffffffff-2015-09,2
8445243ffffffff-2015-10,1
8445243ffffffff-2016-10,2
8445243ffffffff-2017-07,6
8445243ffffffff-2017-08,1
8445243ffffffff-2017-09,20
8445243ffffffff-2017-12,7
8445243ffffffff-2018-01,2
8445243ffffffff-2018-02,3
8445243ffffffff-2018-04,4
8445243ffffffff-2018-07,6
8445243ffffffff-2018-08,12
8445243ffffffff-2018-09,5
8445243ffffffff-2018-10,13
8445243ffffffff-2018-11,3
8445243ffffffff-2018-12,8
8445243ffffffff-2019-06,1
8445243ffffffff-2019-10,7
8445243ffffffff-2019-11,7
8445243ffffffff-2019-12,5
8445243ffffffff-2020-01,3
8445243ffffffff-2020-02,3
8445243ffffffff-2020-03,2
8445243ffffffff-2020-04,1
8445243ffffffff-2020-06,1
8445243ffffffff-2020-07,3
8445243ffffffff-2020-08,5
8445243ffffffff-2020-10,4
8445243ffffffff-2020-12,1
8445243ffffffff-2021-09,1
8445243ffffffff-2021-10,1
8445243ffffffff-2021-12,2
8445243ffffffff-2022-09,11
8445243ffffffff-2023-07,3
8445243ffffffff-2023-08,1
8445243ffffffff-2023-10,2
8445245ffffffff-2012-11,4
8445245ffffffff-2014-04,1
8445245ffffffff-2016-01,1
8445245ffffffff-2016-07,2
8445245ffffffff-2017-01,4
8445245ffffffff-2018-07,1
8445245ffffffff-2019-08,2
8445245ffffffff-2020-09,5
8445245ffffffff-2022-06,4
8445245ffffffff-2022-07,4
8445245ffffffff-2022-08,1
8445245ffffffff-2022-10,1
8445245ffffffff-2023-09,5
8445247ffffffff-2015-04,1
8445247ffffffff-2017-02,1
8445247ffffffff-2017-08,2
8445247ffffffff-2018-01,2
8445247ffffffff-2019-05,1
8445247ffffffff-2019-10,3
8445247ffffffff-2020-05,1
8445247ffffffff-2020-09,2
8445247ffffffff-2020-10,1
8445247ffffffff-2020-12,3
8445247ffffffff-2021-01,1
8445247ffffffff-2021-10,1
8445247ffffffff-2022-02,7
8445247ffffffff-2022-07,1
8445247ffffffff-2022-09,1
8445247ffffffff-2022-10,3
8445247ffffffff-2022-12,11
8445247ffffffff-2023-08,3
8445247ffffffff-2023-09,1
8445247ffffffff-2023-10,6
844524bffffffff-2014-07,1
844524bffffffff-2014-08,2
844524bffffffff-2014-12,2
844524bffffffff-2015-03,1
