index,n
8468c81ffffffff-2017-12,1
8468cadffffffff-2020-12,1
8468d13ffffffff-2018-12,1
8468d23ffffffff-2018-12,1
8468d23ffffffff-2022-10,2
8468db3ffffffff-2018-12,1
8468ddbffffffff-2015-08,1
847290dffffffff-2014-11,1
84729dbffffffff-2014-07,2
84729dbffffffff-2015-06,2
8472ae3ffffffff-2017-11,2
8472ae3ffffffff-2018-08,2
8472ae3ffffffff-2022-07,2
8472ae3ffffffff-2022-12,11
8472ae3ffffffff-2023-07,1
8472ae3ffffffff-2023-08,7
8472ae3ffffffff-2023-09,2
8472ae3ffffffff-2023-11,1
8472dd5ffffffff-2015-10,1
8472dd5ffffffff-2017-10,1
8472debffffffff-2017-09,2
8472debffffffff-2019-08,1
8472f23ffffffff-2015-09,1
8472f23ffffffff-2018-08,1
8472f23ffffffff-2023-06,1
8472f23ffffffff-2023-09,2
8472f35ffffffff-2017-10,2
8472f35ffffffff-2021-05,1
8472f35ffffffff-2022-04,2
8472f35ffffffff-2022-05,1
8472f35ffffffff-2022-06,2
8472f35ffffffff-2022-07,1
8472f35ffffffff-2022-09,1
8472f35ffffffff-2022-12,2
8472f35ffffffff-2023-01,2
8472f35ffffffff-2023-02,1
8472f35ffffffff-2023-05,1
8472f35ffffffff-2023-07,6
8472f35ffffffff-2023-08,4
8472f35ffffffff-2023-09,6
8473901ffffffff-2013-12,1
8473901ffffffff-2023-04,1
8473905ffffffff-2019-10,2
8473905ffffffff-2020-10,2
847390bffffffff-2023-06,2
847390dffffffff-2023-08,2
84739abffffffff-2017-06,1
84739abffffffff-2017-11,5
84739abffffffff-2018-08,5
84739abffffffff-2018-10,1
84739abffffffff-2019-07,1
84739abffffffff-2019-08,1
84739abffffffff-2022-10,1
84739abffffffff-2023-06,1
84739abffffffff-2023-07,6
84739abffffffff-2023-08,3
84739abffffffff-2023-09,4
84739abffffffff-2023-10,1
84739abffffffff-2023-11,2
84739b5ffffffff-2017-09,3
84739b5ffffffff-2017-11,7
84739b5ffffffff-2018-08,1
84739b5ffffffff-2018-10,1
84739b5ffffffff-2018-11,1
84739b5ffffffff-2019-02,1
84739b5ffffffff-2019-10,1
84739b5ffffffff-2019-11,2
84739b5ffffffff-2022-08,2
84739b5ffffffff-2022-11,10
84739b5ffffffff-2023-07,1
84739b5ffffffff-2023-08,5
849451dffffffff-2012-02,2
849451dffffffff-2022-10,8
849451dffffffff-2022-11,1
8494551ffffffff-2018-01,1
8494551ffffffff-2019-12,4
8494551ffffffff-2020-01,1
8494551ffffffff-2020-11,1
8494551ffffffff-2021-01,2
8494559ffffffff-2018-01,1
8494559ffffffff-2021-01,2
8494559ffffffff-2021-11,1
8494559ffffffff-2022-03,1
8494559ffffffff-2022-05,1
8494559ffffffff-2022-09,3
8494559ffffffff-2023-05,1
8494559ffffffff-2023-10,2
8494559ffffffff-2023-11,2
8494601ffffffff-2013-09,1
8494601ffffffff-2016-10,1
8494601ffffffff-2016-11,7
8494601ffffffff-2017-07,4
8494601ffffffff-2017-10,3
8494601ffffffff-2017-11,3
8494601ffffffff-2019-09,2
8494601ffffffff-2019-11,1
8494601ffffffff-2022-10,1
8494601ffffffff-2022-11,3
8494601ffffffff-2022-12,3
8494607ffffffff-2017-11,1
84952c3ffffffff-2023-06,1
849545bffffffff-2019-01,1
8495613ffffffff-2012-08,9
8495613ffffffff-2013-12,4
8495613ffffffff-2015-08,1
8495613ffffffff-2016-08,1
8495613ffffffff-2016-11,1
8495613ffffffff-2019-07,9
8495613ffffffff-2019-08,3
8495613ffffffff-2022-10,1
8495613ffffffff-2023-11,9
8495691ffffffff-2014-03,1
84956a5ffffffff-2022-10,1
84956bdffffffff-2012-11,1
84956bdffffffff-2015-08,1
84956bdffffffff-2016-01,3
84956bdffffffff-2016-03,1
849c009ffffffff-2014-10,7
849c009ffffffff-2014-11,6
849c009ffffffff-2014-12,2
849c009ffffffff-2015-01,2
849c009ffffffff-2015-04,2
849c009ffffffff-2015-11,8
849c009ffffffff-2015-12,7
849c009ffffffff-2016-01,9
849c009ffffffff-2016-02,3
849c009ffffffff-2016-11,3
849c009ffffffff-2016-12,6
849c009ffffffff-2017-01,10
849c009ffffffff-2017-02,12
849c009ffffffff-2017-03,13
849c009ffffffff-2017-04,1
849c009ffffffff-2017-08,2
849c009ffffffff-2017-10,5
849c009ffffffff-2017-11,24
849c009ffffffff-2017-12,15
849c009ffffffff-2018-01,8
849c009ffffffff-2018-04,1
849c009ffffffff-2018-09,2
