index,n
841968bffffffff-2018-07,1
841e259ffffffff-2017-09,2
841e259ffffffff-2017-10,3
841e259ffffffff-2017-11,1
841e259ffffffff-2017-12,1
841ec1bffffffff-2022-09,6
841ec21ffffffff-2019-05,2
841ec21ffffffff-2020-05,2
841ec21ffffffff-2022-05,4
841ec21ffffffff-2023-04,3
841ec21ffffffff-2023-05,2
841ec27ffffffff-2017-05,1
841ec27ffffffff-2018-05,1
841ec27ffffffff-2020-02,2
841ec27ffffffff-2020-03,2
841ec27ffffffff-2020-06,1
841ec27ffffffff-2020-08,1
841ec27ffffffff-2020-10,1
841ec27ffffffff-2021-01,3
841ec27ffffffff-2021-03,1
841ec27ffffffff-2021-06,1
841ec27ffffffff-2021-12,2
841ec27ffffffff-2022-01,2
841ec27ffffffff-2022-08,1
841ec27ffffffff-2022-09,1
841ec27ffffffff-2023-01,3
841ec27ffffffff-2023-03,1
841ec27ffffffff-2023-05,10
841ec27ffffffff-2023-06,7
841ec27ffffffff-2023-07,1
841ec27ffffffff-2023-08,1
841ec27ffffffff-2023-09,2
841ec27ffffffff-2023-10,1
841ec27ffffffff-2023-11,2
841ec33ffffffff-2012-05,1
841ec33ffffffff-2016-04,1
841ec33ffffffff-2016-05,2
841ec33ffffffff-2017-04,1
841ec33ffffffff-2017-05,1
841ec33ffffffff-2018-03,1
841ec33ffffffff-2019-04,2
841ec33ffffffff-2019-05,4
841ec33ffffffff-2020-05,1
841ec33ffffffff-2020-08,1
841ec33ffffffff-2021-06,1
841ec33ffffffff-2021-07,1
841ec33ffffffff-2022-04,7
841ec33ffffffff-2022-05,2
841ec33ffffffff-2022-08,6
841ec33ffffffff-2023-04,9
841ec33ffffffff-2023-05,3
841ec33ffffffff-2023-06,2
841ec33ffffffff-2023-08,1
841ec37ffffffff-2012-04,1
841ec37ffffffff-2017-04,2
841ec37ffffffff-2017-05,2
841ec37ffffffff-2017-06,1
841ec37ffffffff-2018-04,2
841ec37ffffffff-2018-05,1
841ec37ffffffff-2019-04,7
841ec37ffffffff-2019-05,1
841ec37ffffffff-2020-05,1
841ec37ffffffff-2021-04,4
841ec37ffffffff-2021-05,1
841ec37ffffffff-2021-07,1
841ec37ffffffff-2021-08,2
841ec37ffffffff-2022-04,1
841ec37ffffffff-2022-05,5
841ec37ffffffff-2022-06,1
841ec37ffffffff-2022-08,3
841ec37ffffffff-2023-04,3
841ec37ffffffff-2023-05,17
841ec37ffffffff-2023-07,1
841ec37ffffffff-2023-08,1
841ec85ffffffff-2017-05,1
841ec85ffffffff-2018-06,3
841ec93ffffffff-2020-04,2
841ec9bffffffff-2021-04,2
841ec9dffffffff-2023-06,1
841eca1ffffffff-2018-05,2
841eca1ffffffff-2020-03,2
841eca1ffffffff-2021-08,2
841eca1ffffffff-2022-04,1
841eca5ffffffff-2019-05,1
841eca5ffffffff-2020-04,4
841eca5ffffffff-2021-04,4
841eca5ffffffff-2022-05,4
841eca5ffffffff-2022-08,1
841eca5ffffffff-2022-09,1
841eca5ffffffff-2023-06,2
841eca5ffffffff-2023-08,2
841eca9ffffffff-2018-05,1
841eca9ffffffff-2018-07,1
841eca9ffffffff-2018-08,1
841eca9ffffffff-2019-04,2
841eca9ffffffff-2019-05,2
841eca9ffffffff-2019-06,2
841eca9ffffffff-2019-08,6
841eca9ffffffff-2019-09,8
841eca9ffffffff-2020-05,1
841eca9ffffffff-2020-06,2
841eca9ffffffff-2020-08,6
841eca9ffffffff-2020-09,2
841eca9ffffffff-2021-04,5
841eca9ffffffff-2021-05,9
841eca9ffffffff-2021-07,2
841eca9ffffffff-2021-08,7
841eca9ffffffff-2021-09,13
