index,n
8401355ffffffff-2023-06,2
8402c23ffffffff-2023-06,4
8402c87ffffffff-2023-06,4
8402c99ffffffff-2023-07,4
8402c9bffffffff-2023-07,4
8402ca9ffffffff-2023-06,4
8402cadffffffff-2012-07,1
8402cadffffffff-2013-07,1
8402cadffffffff-2014-06,7
8402cadffffffff-2014-07,12
8402cadffffffff-2015-07,2
8402cadffffffff-2016-07,29
8402cadffffffff-2017-06,4
8402cadffffffff-2017-07,14
8402cadffffffff-2018-06,2
8402cadffffffff-2018-07,20
8402cadffffffff-2019-06,1
8402cadffffffff-2019-07,28
8402cadffffffff-2019-08,1
8402cadffffffff-2021-06,3
8402cadffffffff-2022-06,11
8402cadffffffff-2022-07,80
8402cadffffffff-2022-08,1
8402cadffffffff-2023-06,28
8402cadffffffff-2023-07,57
8402cadffffffff-2023-08,11
8402ce7ffffffff-2022-07,16
8402ce7ffffffff-2023-06,4
8402dd9ffffffff-2023-06,4
840c147ffffffff-2022-06,8
840c2dbffffffff-2021-08,1
840c415ffffffff-2012-08,10
840c415ffffffff-2012-09,4
840c415ffffffff-2013-08,12
840c415ffffffff-2013-09,4
840c415ffffffff-2014-08,22
840c415ffffffff-2014-09,3
840c42dffffffff-2014-08,2
840c465ffffffff-2020-08,5
840c465ffffffff-2020-09,2
840c51dffffffff-2014-08,1
840c51dffffffff-2018-08,2
840c51dffffffff-2018-09,1
840c51dffffffff-2023-08,1
840c555ffffffff-2013-05,2
840c555ffffffff-2014-08,9
840c555ffffffff-2014-09,1
840c555ffffffff-2015-08,2
840c555ffffffff-2017-08,15
840c555ffffffff-2017-09,8
840c555ffffffff-2023-08,11
840c555ffffffff-2023-09,2
840c5a5ffffffff-2014-08,1
840c5a5ffffffff-2015-08,2
840c5a5ffffffff-2017-08,1
840c5a5ffffffff-2019-08,5
840c5a5ffffffff-2019-09,7
840c733ffffffff-2013-09,3
840c733ffffffff-2014-08,8
840c769ffffffff-2014-08,1
840d037ffffffff-2018-06,1
840d039ffffffff-2012-06,3
840d039ffffffff-2015-06,3
840d039ffffffff-2017-05,7
840d039ffffffff-2021-06,9
840d039ffffffff-2022-06,4
840d08dffffffff-2016-06,13
840d08dffffffff-2016-07,6
840d08dffffffff-2017-06,7
840d08dffffffff-2017-07,3
840d091ffffffff-2018-06,1
840d093ffffffff-2015-06,1
840d093ffffffff-2020-05,2
840d0c3ffffffff-2014-06,1
840d0c3ffffffff-2016-05,1
840d0c3ffffffff-2016-06,8
840d0c3ffffffff-2016-08,1
840d0c3ffffffff-2017-05,4
840d0c3ffffffff-2017-06,3
840d0c3ffffffff-2017-07,2
840d0c3ffffffff-2019-08,1
840d0c3ffffffff-2021-06,1
840d0c3ffffffff-2022-06,2
840d0d1ffffffff-2014-07,2
840d0d3ffffffff-2020-06,1
840d0d9ffffffff-2012-05,1
840d0d9ffffffff-2012-06,18
840d0d9ffffffff-2012-07,12
840d0d9ffffffff-2013-05,1
840d0d9ffffffff-2013-06,8
840d0d9ffffffff-2013-07,1
840d0d9ffffffff-2014-06,7
840d0d9ffffffff-2014-07,1
840d0d9ffffffff-2015-06,23
840d0d9ffffffff-2015-07,16
840d0d9ffffffff-2016-05,1
840d0d9ffffffff-2017-05,1
840d0d9ffffffff-2017-06,3
840d0d9ffffffff-2018-06,5
840d0d9ffffffff-2019-06,24
840d0d9ffffffff-2019-07,14
840d0d9ffffffff-2020-06,11
840d0d9ffffffff-2021-05,4
840d0d9ffffffff-2021-06,10
840d0d9ffffffff-2021-07,1
840d0d9ffffffff-2021-08,2
840d0d9ffffffff-2022-06,21
840d0d9ffffffff-2022-07,2
840d0d9ffffffff-2023-05,3
840d0d9ffffffff-2023-06,25
840d0d9ffffffff-2023-07,5
