index,n
8494191ffffffff-2021-07,1
8494191ffffffff-2021-08,3
8494197ffffffff-2016-09,1
8494197ffffffff-2018-07,1
8494197ffffffff-2021-07,8
8494197ffffffff-2021-08,19
8494197ffffffff-2021-09,24
8494197ffffffff-2021-10,17
8494197ffffffff-2021-11,14
8494197ffffffff-2021-12,9
8494197ffffffff-2022-01,5
8494197ffffffff-2022-02,6
8494197ffffffff-2022-03,3
8494197ffffffff-2022-04,1
849419dffffffff-2020-06,1
849419dffffffff-2022-05,1
849419dffffffff-2022-07,2
849419dffffffff-2023-08,3
84941b1ffffffff-2020-10,2
84941b1ffffffff-2021-08,1
84941b1ffffffff-2022-07,1
84941b1ffffffff-2022-09,1
84941bdffffffff-2014-05,1
84941bdffffffff-2014-09,1
84941bdffffffff-2018-08,2
84941bdffffffff-2019-08,1
84941bdffffffff-2020-08,2
849442bffffffff-2019-07,1
849442bffffffff-2021-08,1
8494431ffffffff-2015-06,1
84944a1ffffffff-2019-06,8
84944a1ffffffff-2019-07,1
84944a1ffffffff-2023-04,1
84944a1ffffffff-2023-08,1
84944a1ffffffff-2023-09,2
84944a7ffffffff-2017-05,1
84944a7ffffffff-2017-06,1
84944a7ffffffff-2022-08,1
84944a7ffffffff-2023-08,3
84944a7ffffffff-2023-10,2
84944adffffffff-2019-07,2
84944bdffffffff-2023-07,1
8494501ffffffff-2020-05,2
8494501ffffffff-2021-05,1
8494501ffffffff-2021-12,3
8494501ffffffff-2023-08,3
8494501ffffffff-2023-10,1
8494503ffffffff-2013-08,2
8494503ffffffff-2013-10,1
8494503ffffffff-2015-10,6
8494503ffffffff-2016-10,1
8494503ffffffff-2016-11,1
8494503ffffffff-2019-07,1
8494503ffffffff-2019-08,3
8494503ffffffff-2020-05,4
8494503ffffffff-2020-07,3
8494503ffffffff-2020-08,2
8494503ffffffff-2020-09,2
8494503ffffffff-2020-10,2
8494503ffffffff-2021-05,1
8494503ffffffff-2021-07,1
8494503ffffffff-2021-09,1
8494503ffffffff-2022-01,1
8494503ffffffff-2022-04,2
8494503ffffffff-2022-05,1
8494503ffffffff-2022-07,1
8494503ffffffff-2022-08,1
8494503ffffffff-2023-01,1
8494503ffffffff-2023-05,3
8494503ffffffff-2023-06,2
8494503ffffffff-2023-08,1
8494503ffffffff-2023-09,1
8494503ffffffff-2023-10,3
8494503ffffffff-2023-11,1
8494507ffffffff-2015-05,1
8494507ffffffff-2017-08,1
8494507ffffffff-2018-07,2
8494507ffffffff-2018-08,2
8494507ffffffff-2018-10,1
8494507ffffffff-2019-09,1
8494507ffffffff-2019-10,1
8494507ffffffff-2023-06,1
8494507ffffffff-2023-07,1
849450bffffffff-2012-07,1
849450bffffffff-2012-08,2
849450bffffffff-2012-10,2
849450bffffffff-2013-06,2
849450bffffffff-2013-07,1
849450bffffffff-2013-08,2
849450bffffffff-2013-11,1
849450bffffffff-2014-06,2
849450bffffffff-2014-08,1
849450bffffffff-2014-09,5
849450bffffffff-2014-11,3
849450bffffffff-2015-04,1
849450bffffffff-2015-05,1
849450bffffffff-2015-06,1
849450bffffffff-2015-07,3
849450bffffffff-2015-08,3
849450bffffffff-2015-09,1
849450bffffffff-2015-10,7
849450bffffffff-2015-11,1
849450bffffffff-2016-06,2
849450bffffffff-2016-07,3
849450bffffffff-2016-08,3
849450bffffffff-2016-09,1
849450bffffffff-2016-10,8
849450bffffffff-2016-12,4
849450bffffffff-2017-05,3
849450bffffffff-2017-06,1
849450bffffffff-2017-07,7
849450bffffffff-2017-08,6
849450bffffffff-2017-09,9
849450bffffffff-2017-10,5
849450bffffffff-2017-12,3
849450bffffffff-2018-01,4
849450bffffffff-2018-03,1
849450bffffffff-2018-04,1
849450bffffffff-2018-05,6
849450bffffffff-2018-06,11
849450bffffffff-2018-07,4
849450bffffffff-2018-08,3
849450bffffffff-2018-09,1
849450bffffffff-2018-10,2
849450bffffffff-2018-12,2
849450bffffffff-2019-01,5
849450bffffffff-2019-02,5
849450bffffffff-2019-03,6
849450bffffffff-2019-04,8
849450bffffffff-2019-05,7
849450bffffffff-2019-06,11
849450bffffffff-2019-07,8
849450bffffffff-2019-08,7
849450bffffffff-2019-09,3
849450bffffffff-2019-10,6
849450bffffffff-2019-11,4
849450bffffffff-2019-12,3
849450bffffffff-2020-04,1
849450bffffffff-2020-05,1
849450bffffffff-2020-06,2
849450bffffffff-2020-08,2
849450bffffffff-2020-10,5
849450bffffffff-2020-11,2
849450bffffffff-2021-04,7
849450bffffffff-2021-05,11
849450bffffffff-2021-06,9
849450bffffffff-2021-07,2
849450bffffffff-2021-08,3
849450bffffffff-2021-09,1
849450bffffffff-2021-10,3
849450bffffffff-2021-11,5
849450bffffffff-2021-12,1
849450bffffffff-2022-03,1
849450bffffffff-2022-04,6
849450bffffffff-2022-05,20
849450bffffffff-2022-06,4
849450bffffffff-2022-07,7
849450bffffffff-2022-08,13
849450bffffffff-2022-09,6
849450bffffffff-2022-10,10
849450bffffffff-2022-11,13
849450bffffffff-2022-12,6
849450bffffffff-2023-04,2
849450bffffffff-2023-05,21
849450bffffffff-2023-06,15
849450bffffffff-2023-07,15
849450bffffffff-2023-08,15
849450bffffffff-2023-09,14
849450bffffffff-2023-10,16
