index,n
846ac07ffffffff-2016-08,1
846ac07ffffffff-2016-12,2
846ac07ffffffff-2018-01,1
846ac07ffffffff-2018-12,1
846ac07ffffffff-2022-08,1
846ac07ffffffff-2022-12,3
846ac07ffffffff-2023-07,5
846ac15ffffffff-2021-02,2
846ac15ffffffff-2022-07,1
846ac39ffffffff-2022-04,1
846ac39ffffffff-2023-06,3
846ac39ffffffff-2023-07,1
846ad1bffffffff-2013-04,2
846ad8dffffffff-2017-03,1
846ad8dffffffff-2020-06,1
846ada1ffffffff-2014-04,2
846ada1ffffffff-2015-03,1
846ada1ffffffff-2018-10,1
846ada1ffffffff-2022-12,1
846adc1ffffffff-2012-01,2
846adc1ffffffff-2012-09,2
846adc1ffffffff-2012-11,3
846adc1ffffffff-2012-12,1
846adc1ffffffff-2013-01,1
846adc1ffffffff-2013-02,2
846adc1ffffffff-2013-03,1
846adc1ffffffff-2013-06,5
846adc1ffffffff-2013-08,6
846adc1ffffffff-2013-09,1
846adc1ffffffff-2014-01,2
846adc1ffffffff-2014-02,3
846adc1ffffffff-2014-06,4
846adc1ffffffff-2015-02,2
846adc1ffffffff-2015-03,2
846adc1ffffffff-2015-04,1
846adc1ffffffff-2015-06,2
846adc1ffffffff-2015-07,1
846adc1ffffffff-2015-09,4
846adc1ffffffff-2015-11,2
846adc1ffffffff-2016-01,1
846adc1ffffffff-2016-06,1
846adc1ffffffff-2016-07,2
846adc1ffffffff-2016-08,3
846adc1ffffffff-2016-11,6
846adc1ffffffff-2016-12,1
846adc1ffffffff-2017-01,2
846adc1ffffffff-2017-02,1
846adc1ffffffff-2017-04,3
846adc1ffffffff-2017-05,5
846adc1ffffffff-2017-06,3
846adc1ffffffff-2017-07,7
846adc1ffffffff-2017-08,1
846adc1ffffffff-2017-09,1
846adc1ffffffff-2018-01,4
846adc1ffffffff-2018-02,1
846adc1ffffffff-2018-04,1
846adc1ffffffff-2018-05,4
846adc1ffffffff-2018-06,7
846adc1ffffffff-2018-07,23
846adc1ffffffff-2018-08,9
846adc1ffffffff-2018-09,1
846adc1ffffffff-2018-11,2
846adc1ffffffff-2018-12,9
846adc1ffffffff-2019-02,3
846adc1ffffffff-2019-03,3
846adc1ffffffff-2019-06,10
846adc1ffffffff-2019-07,8
846adc1ffffffff-2019-08,1
846adc1ffffffff-2019-09,8
846adc1ffffffff-2019-10,1
846adc1ffffffff-2019-11,2
846adc1ffffffff-2019-12,5
846adc1ffffffff-2020-01,1
846adc1ffffffff-2020-02,4
846adc1ffffffff-2020-10,1
846adc1ffffffff-2020-12,3
846adc1ffffffff-2021-01,2
846adc1ffffffff-2021-02,15
846adc1ffffffff-2021-03,5
846adc1ffffffff-2021-04,4
846adc1ffffffff-2021-05,2
846adc1ffffffff-2021-06,9
846adc1ffffffff-2021-07,33
846adc1ffffffff-2021-08,18
846adc1ffffffff-2021-09,19
846adc1ffffffff-2021-10,3
846adc1ffffffff-2021-11,5
846adc1ffffffff-2021-12,2
846adc1ffffffff-2022-01,8
846adc1ffffffff-2022-02,4
846adc1ffffffff-2022-03,3
846adc1ffffffff-2022-04,3
846adc1ffffffff-2022-05,9
846adc1ffffffff-2022-06,33
