index,n
848b2c9ffffffff-2022-05,1
848b2c9ffffffff-2022-07,6
848b2c9ffffffff-2022-12,2
848b2cbffffffff-2013-08,2
848b2cdffffffff-2018-10,4
848b2d9ffffffff-2022-12,1
848b601ffffffff-2012-03,4
848b601ffffffff-2012-04,4
848b601ffffffff-2012-06,13
848b601ffffffff-2016-04,1
848b601ffffffff-2018-08,1
848b603ffffffff-2018-01,1
848b603ffffffff-2019-05,10
848b603ffffffff-2019-06,1
848b603ffffffff-2021-06,2
848b603ffffffff-2021-07,2
848b603ffffffff-2022-05,1
848b603ffffffff-2022-06,1
848b603ffffffff-2022-10,1
848b603ffffffff-2023-04,1
848b603ffffffff-2023-06,1
848b603ffffffff-2023-08,5
848b605ffffffff-2012-06,2
848b605ffffffff-2018-05,1
848b609ffffffff-2016-12,1
848b60bffffffff-2019-09,2
848b60bffffffff-2022-10,1
848b60bffffffff-2022-11,1
848b60bffffffff-2023-05,1
848b60bffffffff-2023-09,1
848b60bffffffff-2023-10,3
848b611ffffffff-2012-12,1
848b611ffffffff-2014-03,1
848b611ffffffff-2014-10,2
848b611ffffffff-2016-03,1
848b611ffffffff-2016-09,1
848b611ffffffff-2016-10,1
848b611ffffffff-2016-11,6
848b611ffffffff-2016-12,2
848b611ffffffff-2017-01,3
848b611ffffffff-2017-03,1
848b611ffffffff-2017-04,1
848b611ffffffff-2017-09,1
848b611ffffffff-2018-01,2
848b611ffffffff-2018-04,2
848b611ffffffff-2018-05,3
848b611ffffffff-2018-09,1
848b611ffffffff-2019-01,7
848b611ffffffff-2019-02,4
848b611ffffffff-2019-04,7
848b611ffffffff-2019-05,1
848b611ffffffff-2019-06,1
848b611ffffffff-2019-07,2
848b611ffffffff-2019-09,3
848b611ffffffff-2020-01,1
848b611ffffffff-2020-05,1
848b611ffffffff-2020-06,4
848b611ffffffff-2020-07,9
848b611ffffffff-2020-10,3
848b611ffffffff-2021-01,7
848b611ffffffff-2021-02,4
848b611ffffffff-2021-05,2
848b611ffffffff-2021-06,1
848b611ffffffff-2021-10,11
848b611ffffffff-2021-11,1
848b611ffffffff-2022-01,4
848b611ffffffff-2022-05,2
848b611ffffffff-2022-06,4
848b611ffffffff-2022-08,1
848b611ffffffff-2022-09,1
848b611ffffffff-2022-10,33
848b611ffffffff-2022-12,1
848b611ffffffff-2023-01,3
848b611ffffffff-2023-02,1
848b611ffffffff-2023-03,1
848b611ffffffff-2023-04,5
848b611ffffffff-2023-09,2
848b611ffffffff-2023-10,1
848b611ffffffff-2023-11,2
848b613ffffffff-2015-05,2
848b613ffffffff-2019-05,1
848b613ffffffff-2019-06,1
848b613ffffffff-2021-03,8
848b613ffffffff-2021-04,5
848b613ffffffff-2021-05,1
848b613ffffffff-2022-01,2
848b613ffffffff-2022-05,1
848b613ffffffff-2022-08,3
848b613ffffffff-2023-05,1
848b613ffffffff-2023-06,1
848b613ffffffff-2023-09,7
848b615ffffffff-2023-02,3
848b617ffffffff-2018-05,1
848b617ffffffff-2019-04,2
848b617ffffffff-2021-05,4
848b617ffffffff-2022-01,2
848b617ffffffff-2022-05,4
848b619ffffffff-2017-01,1
848b619ffffffff-2021-02,1
848b619ffffffff-2021-05,1
848b61bffffffff-2016-05,1
848b61bffffffff-2018-01,2
848b61bffffffff-2020-02,3
848b61bffffffff-2020-05,1
848b61bffffffff-2021-02,3
848b61bffffffff-2021-05,3
848b61bffffffff-2021-06,1
848b61bffffffff-2021-11,3
848b61bffffffff-2022-01,3
848b61bffffffff-2022-02,2
848b61bffffffff-2022-03,1
848b61bffffffff-2022-05,3
848b61bffffffff-2022-09,2
848b61bffffffff-2022-10,1
848b61bffffffff-2022-11,1
848b61bffffffff-2023-05,3
848b61bffffffff-2023-06,1
848b61bffffffff-2023-10,1
848b61dffffffff-2023-11,2
848b643ffffffff-2017-03,1
848b643ffffffff-2017-09,1
848b649ffffffff-2018-03,1
848b64bffffffff-2018-05,1
848b651ffffffff-2012-05,1
848b651ffffffff-2012-06,3
848b651ffffffff-2012-08,3
848b651ffffffff-2013-04,10
848b651ffffffff-2013-09,8
848b651ffffffff-2018-09,2
848b651ffffffff-2023-02,1
848b653ffffffff-2016-03,1
848b655ffffffff-2013-05,1
848b655ffffffff-2014-04,1
848b657ffffffff-2017-01,1
848b657ffffffff-2020-03,1
848b657ffffffff-2021-01,4
848b657ffffffff-2023-02,1
848b665ffffffff-2023-07,3
848b66dffffffff-2016-07,3
848b6c9ffffffff-2015-03,1
848b6c9ffffffff-2016-09,1
848b6c9ffffffff-2019-05,1
848b6c9ffffffff-2021-07,1
848b6c9ffffffff-2021-08,5
848b6c9ffffffff-2021-12,1
848b6c9ffffffff-2022-05,5
848b6c9ffffffff-2022-08,1
848b6c9ffffffff-2023-07,3
848b6c9ffffffff-2023-08,4
848b6cdffffffff-2012-04,1
848b6cdffffffff-2012-06,1
848b6cdffffffff-2012-07,1
848b6cdffffffff-2012-08,2
848b6cdffffffff-2012-09,6
848b6cdffffffff-2012-11,1
848b6cdffffffff-2012-12,2
848b6cdffffffff-2013-04,1
848b6cdffffffff-2013-06,1
848b6cdffffffff-2013-07,1
848b6cdffffffff-2013-08,1
848b6cdffffffff-2014-07,1
848b6cdffffffff-2014-08,3
848b6cdffffffff-2014-09,6
848b6cdffffffff-2014-10,5
848b6cdffffffff-2014-11,1
848b6cdffffffff-2015-03,2
848b6cdffffffff-2015-05,4
848b6cdffffffff-2015-06,1
848b6cdffffffff-2015-07,4
848b6cdffffffff-2015-10,2
848b6cdffffffff-2015-11,3
848b6cdffffffff-2015-12,1
848b6cdffffffff-2016-01,3
848b6cdffffffff-2016-02,1
848b6cdffffffff-2016-04,2
848b6cdffffffff-2016-05,1
848b6cdffffffff-2016-07,4
848b6cdffffffff-2016-08,2
848b6cdffffffff-2016-11,2
848b6cdffffffff-2016-12,3
848b6cdffffffff-2017-01,3
848b6cdffffffff-2017-02,1
848b6cdffffffff-2017-05,5
848b6cdffffffff-2017-06,1
