index,n
84a80d5ffffffff-2022-05,2
84a8a97ffffffff-2022-07,1
84a8a97ffffffff-2022-08,1
84a9403ffffffff-2015-07,1
84a9403ffffffff-2016-12,2
84a9405ffffffff-2022-05,3
84a9405ffffffff-2022-06,1
84a9405ffffffff-2022-07,6
84a9405ffffffff-2022-08,3
84a9405ffffffff-2022-09,4
84a9405ffffffff-2022-11,6
84a9405ffffffff-2022-12,4
84a9405ffffffff-2023-01,3
84a9405ffffffff-2023-05,1
84a9405ffffffff-2023-09,1
84a9407ffffffff-2022-03,3
84a9407ffffffff-2022-10,1
84a9407ffffffff-2023-05,1
84a940bffffffff-2014-12,1
84a940bffffffff-2016-08,1
84a940bffffffff-2016-10,1
84a940dffffffff-2016-11,2
84a9411ffffffff-2021-10,1
84a9413ffffffff-2016-08,1
84a9413ffffffff-2016-11,1
84a9413ffffffff-2017-02,4
84a9413ffffffff-2017-07,3
84a9413ffffffff-2017-09,4
84a9413ffffffff-2018-04,4
84a9413ffffffff-2018-10,1
84a9413ffffffff-2018-11,1
84a9413ffffffff-2019-02,2
84a9413ffffffff-2019-06,8
84a9413ffffffff-2019-10,6
84a9413ffffffff-2020-07,2
84a9413ffffffff-2020-11,2
84a9413ffffffff-2021-10,1
84a9413ffffffff-2022-01,3
84a9413ffffffff-2022-07,3
84a9413ffffffff-2022-08,5
84a9413ffffffff-2023-05,7
84a9413ffffffff-2023-07,3
84a9413ffffffff-2023-09,3
84a9413ffffffff-2023-10,5
84a9417ffffffff-2016-09,1
84a9417ffffffff-2017-06,1
84a9417ffffffff-2017-07,3
84a9417ffffffff-2017-08,3
84a9417ffffffff-2018-06,1
84a9417ffffffff-2018-11,1
84a9417ffffffff-2022-01,1
84a9419ffffffff-2020-06,1
84a9419ffffffff-2021-08,1
84a9419ffffffff-2021-10,1
84a941bffffffff-2017-08,1
84a941bffffffff-2017-09,1
84a941bffffffff-2017-10,6
84a941bffffffff-2018-12,2
84a941bffffffff-2022-12,2
84a9425ffffffff-2015-08,1
84a9427ffffffff-2023-05,1
84a9429ffffffff-2014-12,1
84a9429ffffffff-2023-05,1
84a9429ffffffff-2023-08,8
84a9429ffffffff-2023-10,5
84a942bffffffff-2018-02,1
84a942bffffffff-2022-03,6
84a942bffffffff-2022-07,1
84a942bffffffff-2023-01,1
84a942bffffffff-2023-05,2
84a9441ffffffff-2012-09,1
84a9441ffffffff-2014-12,2
84a9441ffffffff-2015-02,1
84a9441ffffffff-2015-10,2
84a9441ffffffff-2016-12,2
84a9441ffffffff-2017-04,1
84a9441ffffffff-2017-09,1
84a9441ffffffff-2017-10,1
84a9441ffffffff-2018-09,2
84a9441ffffffff-2018-11,6
84a9441ffffffff-2019-03,5
84a9441ffffffff-2019-05,1
84a9441ffffffff-2019-10,8
84a9441ffffffff-2019-11,1
84a9441ffffffff-2020-01,6
84a9441ffffffff-2020-02,1
84a9441ffffffff-2020-05,1
84a9441ffffffff-2020-07,2
84a9441ffffffff-2020-08,1
84a9441ffffffff-2020-11,1
84a9441ffffffff-2021-01,6
84a9441ffffffff-2021-04,3
84a9441ffffffff-2021-05,15
84a9441ffffffff-2021-07,1
84a9441ffffffff-2021-08,3
84a9441ffffffff-2021-09,15
84a9441ffffffff-2021-10,19
84a9441ffffffff-2021-11,8
84a9441ffffffff-2021-12,4
84a9441ffffffff-2022-02,2
84a9441ffffffff-2022-05,11
84a9441ffffffff-2022-07,3
