index,n
848c101ffffffff-2012-04,1
848c101ffffffff-2013-02,4
848c101ffffffff-2013-05,2
848c101ffffffff-2013-06,1
848c101ffffffff-2014-05,1
848c101ffffffff-2014-08,1
848c101ffffffff-2014-09,2
848c101ffffffff-2014-10,1
848c101ffffffff-2015-03,2
848c101ffffffff-2015-04,4
848c101ffffffff-2015-05,5
848c101ffffffff-2015-10,1
848c101ffffffff-2015-11,1
848c101ffffffff-2015-12,9
848c101ffffffff-2016-08,1
848c101ffffffff-2016-09,2
848c101ffffffff-2016-10,1
848c101ffffffff-2017-03,2
848c101ffffffff-2017-05,3
848c101ffffffff-2017-06,5
848c101ffffffff-2017-07,1
848c101ffffffff-2017-10,3
848c101ffffffff-2018-01,1
848c101ffffffff-2018-02,10
848c101ffffffff-2018-03,7
848c101ffffffff-2018-04,1
848c101ffffffff-2018-05,2
848c101ffffffff-2018-06,1
848c101ffffffff-2018-07,8
848c101ffffffff-2018-08,1
848c101ffffffff-2018-09,2
848c101ffffffff-2018-10,2
848c101ffffffff-2018-11,1
848c101ffffffff-2018-12,1
848c101ffffffff-2019-04,3
848c101ffffffff-2019-05,1
848c101ffffffff-2019-06,9
848c101ffffffff-2019-07,4
848c101ffffffff-2019-08,15
848c101ffffffff-2019-09,2
848c101ffffffff-2020-01,1
848c101ffffffff-2020-03,1
848c101ffffffff-2020-08,3
848c101ffffffff-2020-09,1
848c101ffffffff-2020-10,1
848c101ffffffff-2021-03,1
848c101ffffffff-2022-02,1
848c101ffffffff-2022-03,4
848c101ffffffff-2022-05,1
848c101ffffffff-2022-06,1
848c101ffffffff-2022-08,4
848c101ffffffff-2022-09,3
848c101ffffffff-2022-10,11
848c101ffffffff-2022-11,1
848c101ffffffff-2023-02,2
848c101ffffffff-2023-03,3
848c101ffffffff-2023-06,7
848c101ffffffff-2023-07,1
848c101ffffffff-2023-08,3
848c101ffffffff-2023-09,9
848c101ffffffff-2023-10,2
848c101ffffffff-2023-11,1
848c103ffffffff-2014-10,2
848c103ffffffff-2015-02,1
848c103ffffffff-2015-05,2
848c103ffffffff-2016-08,1
848c103ffffffff-2017-10,1
848c103ffffffff-2020-01,1
848c103ffffffff-2023-08,1
848c113ffffffff-2018-07,3
848c141ffffffff-2019-09,2
848c147ffffffff-2022-10,1
848c147ffffffff-2022-11,1
848c147ffffffff-2023-01,1
848c147ffffffff-2023-05,1
848c147ffffffff-2023-07,2
848c147ffffffff-2023-09,2
848d81bffffffff-2016-02,1
848d81bffffffff-2019-10,1
848d81bffffffff-2022-05,2
848d81bffffffff-2022-07,1
848d81bffffffff-2022-09,2
848d81bffffffff-2022-10,1
848d81bffffffff-2022-11,2
848d81bffffffff-2023-06,5
848d81bffffffff-2023-10,2
848d84bffffffff-2016-04,1
848d84bffffffff-2018-10,1
848d84bffffffff-2021-06,1
848d851ffffffff-2023-07,1
848d855ffffffff-2012-10,1
848d855ffffffff-2013-12,2
848d855ffffffff-2016-05,1
848d855ffffffff-2017-08,2
848d855ffffffff-2017-09,5
848d855ffffffff-2017-10,1
