index,n
8454cc3ffffffff-2018-08,1
8454cc3ffffffff-2019-01,2
8454cc3ffffffff-2019-03,1
8454cc3ffffffff-2022-04,1
8454cc3ffffffff-2023-02,1
8454cc3ffffffff-2023-07,1
845890dffffffff-2014-01,1
845890dffffffff-2015-03,2
845890dffffffff-2017-05,1
845890dffffffff-2019-11,2
845890dffffffff-2022-05,2
8458945ffffffff-2019-05,2
845894dffffffff-2013-06,1
845894dffffffff-2013-08,1
845894dffffffff-2014-02,1
845894dffffffff-2018-05,1
845894dffffffff-2019-11,2
845894dffffffff-2021-11,4
8458959ffffffff-2021-04,1
845895bffffffff-2021-04,1
845895bffffffff-2021-06,2
8458969ffffffff-2014-03,2
8458969ffffffff-2018-09,1
8458969ffffffff-2022-04,1
84589c9ffffffff-2013-05,1
8458d13ffffffff-2013-11,1
8458d13ffffffff-2015-07,1
8458d13ffffffff-2015-09,1
8458d23ffffffff-2012-03,1
8458d23ffffffff-2013-02,2
8458d33ffffffff-2013-01,1
8458d3dffffffff-2012-04,1
8458d81ffffffff-2019-03,2
8458d81ffffffff-2019-04,1
8458d8bffffffff-2016-05,1
8458da3ffffffff-2013-01,2
8458da3ffffffff-2017-01,1
8458db1ffffffff-2020-06,2
8458db5ffffffff-2021-03,1
8458db5ffffffff-2021-12,1
8458db5ffffffff-2022-07,1
8458db5ffffffff-2022-10,2
8458db5ffffffff-2023-05,1
8458dbbffffffff-2021-09,1
8458de5ffffffff-2018-02,1
8458debffffffff-2022-03,1
8458f47ffffffff-2014-07,1
8458f47ffffffff-2022-09,1
8458f47ffffffff-2022-10,1
8458f47ffffffff-2023-08,1
84599e5ffffffff-2020-03,2
846a9e5ffffffff-2022-11,8
846a9e5ffffffff-2022-12,6
846ac03ffffffff-2015-04,1
846ac03ffffffff-2023-01,2
846ac0bffffffff-2022-07,1
846ac15ffffffff-2012-08,1
846ac15ffffffff-2013-04,1
846ac15ffffffff-2013-06,2
846ac15ffffffff-2013-07,1
846ac15ffffffff-2013-09,1
846ac15ffffffff-2014-02,2
846ac15ffffffff-2014-06,2
846ac15ffffffff-2015-06,1
846ac15ffffffff-2015-07,2
846ac15ffffffff-2015-09,1
846ac15ffffffff-2017-01,1
846ac15ffffffff-2017-06,6
846ac15ffffffff-2017-07,5
846ac15ffffffff-2017-11,1
846ac15ffffffff-2018-05,1
846ac15ffffffff-2018-06,2
846ac15ffffffff-2018-07,9
846ac15ffffffff-2018-08,2
846ac15ffffffff-2018-09,2
846ac15ffffffff-2018-10,4
846ac15ffffffff-2018-11,2
846ac15ffffffff-2018-12,8
846ac15ffffffff-2019-02,1
846ac15ffffffff-2019-06,4
846ac15ffffffff-2019-07,1
846ac15ffffffff-2019-10,2
846ac15ffffffff-2019-12,1
846ac15ffffffff-2020-03,3
846ac15ffffffff-2020-04,2
846ac15ffffffff-2020-05,1
846ac15ffffffff-2020-06,2
846ac15ffffffff-2020-07,1
846ac15ffffffff-2020-08,3
846ac15ffffffff-2020-09,1
846ac15ffffffff-2020-10,2
846ac15ffffffff-2020-11,3
846ac15ffffffff-2020-12,2
846ac15ffffffff-2021-01,3
846ac15ffffffff-2021-02,12
846ac15ffffffff-2021-03,8
846ac15ffffffff-2021-04,5
846ac15ffffffff-2021-06,8
846ac15ffffffff-2021-07,7
846ac15ffffffff-2021-08,8
846ac15ffffffff-2021-09,7
846ac15ffffffff-2021-10,4
846ac15ffffffff-2021-11,1
846ac15ffffffff-2021-12,4
846ac15ffffffff-2022-01,4
846ac15ffffffff-2022-02,5
846ac15ffffffff-2022-03,15
846ac15ffffffff-2022-04,5
846ac15ffffffff-2022-05,7
846ac15ffffffff-2022-06,8
846ac15ffffffff-2022-07,20
846ac15ffffffff-2022-08,24
846ac15ffffffff-2022-09,16
846ac15ffffffff-2022-10,8
846ac15ffffffff-2022-11,3
846ac15ffffffff-2022-12,5
846ac15ffffffff-2023-01,8
846ac15ffffffff-2023-02,2
846ac15ffffffff-2023-03,5
846ac15ffffffff-2023-04,3
846ac15ffffffff-2023-05,5
846ac15ffffffff-2023-06,2
846ac15ffffffff-2023-07,5
846ac15ffffffff-2023-08,6
846ac15ffffffff-2023-09,6
846ac15ffffffff-2023-10,5
846ac15ffffffff-2023-11,6
846ac19ffffffff-2023-02,4
846ac1dffffffff-2017-03,3
846ac1dffffffff-2021-10,4
846ac39ffffffff-2018-08,1
846ac39ffffffff-2023-05,1
846ac3dffffffff-2015-02,1
846ac3dffffffff-2019-10,1
846ac51ffffffff-2015-09,1
846ac89ffffffff-2013-07,2
846ac89ffffffff-2014-01,2
846ac89ffffffff-2014-02,2
846ac89ffffffff-2015-06,2
846ac89ffffffff-2015-09,1
846ac89ffffffff-2015-11,2
846ac89ffffffff-2016-07,2
846ac89ffffffff-2016-12,1
846ac89ffffffff-2017-05,1
846ac89ffffffff-2017-06,1
846ac89ffffffff-2017-07,2
846ac89ffffffff-2017-08,2
846ac89ffffffff-2017-11,1
846ac89ffffffff-2018-05,4
846ac89ffffffff-2018-06,5
846ac89ffffffff-2018-07,16
846ac89ffffffff-2018-08,3
846ac89ffffffff-2018-10,1
846ac89ffffffff-2018-11,4
846ac89ffffffff-2019-01,4
846ac89ffffffff-2019-03,1
846ac89ffffffff-2019-05,1
846ac89ffffffff-2019-08,1
846ac89ffffffff-2019-09,1
846ac89ffffffff-2019-11,1
846ac89ffffffff-2019-12,13
846ac89ffffffff-2020-02,9
846ac89ffffffff-2020-10,5
846ac89ffffffff-2020-11,1
846ac89ffffffff-2020-12,2
846ac89ffffffff-2021-05,5
846ac89ffffffff-2021-06,5
846ac89ffffffff-2021-07,1
846ac89ffffffff-2021-11,2
846ac89ffffffff-2022-01,2
846ac89ffffffff-2022-03,5
846ac89ffffffff-2022-04,4
846ac89ffffffff-2022-05,3
846ac89ffffffff-2022-06,5
846ac89ffffffff-2022-07,12
846ac89ffffffff-2022-08,8
846ac89ffffffff-2022-09,4
846ac89ffffffff-2022-10,2
846ac89ffffffff-2022-11,4
846ac89ffffffff-2023-01,5
846ac89ffffffff-2023-02,8
846ac89ffffffff-2023-06,7
846ac89ffffffff-2023-07,9
846ac89ffffffff-2023-08,2
846ac89ffffffff-2023-09,2
846ac89ffffffff-2023-10,1
846ac89ffffffff-2023-11,13
846ac8bffffffff-2021-02,2
846ac8dffffffff-2021-08,2
846acadffffffff-2023-06,1
846acadffffffff-2023-11,2
846acc3ffffffff-2016-03,1
846acc7ffffffff-2014-06,1
846acc7ffffffff-2016-07,1
846acc7ffffffff-2018-04,1
846acc7ffffffff-2018-10,1
846acc7ffffffff-2019-07,2
846acc7ffffffff-2020-05,1
846acc7ffffffff-2020-10,2
846acc7ffffffff-2020-11,1
846acc7ffffffff-2021-10,3
846acc7ffffffff-2021-12,1
846acc7ffffffff-2022-02,3
846accbffffffff-2021-06,2
846acd1ffffffff-2020-05,2
846acd1ffffffff-2021-05,2
846acd1ffffffff-2021-09,2
846acd1ffffffff-2021-11,1
846acd1ffffffff-2022-03,1
846acd5ffffffff-2012-03,1
846acd5ffffffff-2012-07,1
846acd5ffffffff-2013-06,1
846acd5ffffffff-2014-02,1
846acd5ffffffff-2016-07,2
846acd5ffffffff-2017-03,2
846acd5ffffffff-2018-10,1
846acd5ffffffff-2019-08,2
846acd5ffffffff-2020-06,1
846acd5ffffffff-2020-09,1
846acd5ffffffff-2021-02,2
846acd5ffffffff-2021-04,1
846acd5ffffffff-2021-05,11
846acd5ffffffff-2021-07,1
846acd5ffffffff-2022-01,1
846acd5ffffffff-2022-02,2
846acd5ffffffff-2022-04,1
846acd5ffffffff-2022-05,4
846acd5ffffffff-2022-08,1
846acd5ffffffff-2022-10,1
846acd5ffffffff-2023-04,1
846acd5ffffffff-2023-06,1
846acd5ffffffff-2023-11,2
846ace5ffffffff-2016-07,1
846ace5ffffffff-2021-02,4
846adc1ffffffff-2015-02,1
846adc1ffffffff-2016-03,1
846adc1ffffffff-2016-11,4
846adc1ffffffff-2018-12,2
846adc1ffffffff-2021-10,1
846adc1ffffffff-2022-09,1
846adc9ffffffff-2019-11,1
846adc9ffffffff-2022-05,4
846add9ffffffff-2022-06,1
846add9ffffffff-2022-07,1
846adebffffffff-2020-01,1
846ae39ffffffff-2022-06,1
846aea1ffffffff-2012-01,2
846aea1ffffffff-2012-09,1
846aea1ffffffff-2013-09,1
846aea1ffffffff-2014-02,5
846aea1ffffffff-2014-06,1
846aea1ffffffff-2015-07,1
846aea1ffffffff-2015-09,1
846aea1ffffffff-2016-07,1
846aea1ffffffff-2017-03,2
846aea1ffffffff-2017-07,2
846aea1ffffffff-2017-08,1
846aea1ffffffff-2017-12,4
846aea1ffffffff-2018-05,1
846aea1ffffffff-2018-06,2
846aea1ffffffff-2018-07,12
846aea1ffffffff-2018-12,4
846aea1ffffffff-2019-02,2
846aea1ffffffff-2019-11,8
846aea1ffffffff-2020-07,4
846aea1ffffffff-2020-10,1
846aea1ffffffff-2021-05,1
846aea1ffffffff-2021-06,3
846aea1ffffffff-2021-07,14
846aea1ffffffff-2021-08,5
846aea1ffffffff-2021-09,2
846aea1ffffffff-2021-11,4
846aea1ffffffff-2021-12,2
846aea1ffffffff-2022-05,2
846aea1ffffffff-2022-07,4
846aea1ffffffff-2022-08,6
846aea1ffffffff-2022-09,11
846aea1ffffffff-2022-12,1
846aea1ffffffff-2023-02,6
846aea1ffffffff-2023-06,5
846aea1ffffffff-2023-07,6
846aea1ffffffff-2023-08,14
846aea1ffffffff-2023-09,1
846aea3ffffffff-2023-01,1
846aea5ffffffff-2023-05,1
846aea7ffffffff-2021-11,1
846aeabffffffff-2013-06,2
846aeabffffffff-2014-02,1
846aeabffffffff-2022-07,1
846aeb5ffffffff-2022-12,1
846aeb5ffffffff-2023-10,1
846aeb7ffffffff-2023-09,1
846b9abffffffff-2012-11,2
846b9abffffffff-2022-01,1
846b9abffffffff-2023-09,1
847501bffffffff-2013-02,1
8475057ffffffff-2019-12,1
8475057ffffffff-2020-07,1
8475083ffffffff-2015-12,1
8475083ffffffff-2017-10,1
8475083ffffffff-2020-02,2
8475083ffffffff-2021-11,2
8475085ffffffff-2017-08,2
8475085ffffffff-2017-12,1
8475085ffffffff-2018-04,2
8475085ffffffff-2018-08,2
8475085ffffffff-2018-12,1
8475085ffffffff-2019-11,3
8475085ffffffff-2020-01,1
8475085ffffffff-2021-10,1
8475085ffffffff-2021-11,1
8475085ffffffff-2022-02,1
8475085ffffffff-2023-02,1
8475085ffffffff-2023-03,6
8475085ffffffff-2023-10,4
8475087ffffffff-2013-12,1
8475087ffffffff-2015-12,1
8475087ffffffff-2017-11,3
8475087ffffffff-2018-01,5
8475087ffffffff-2018-08,1
8475087ffffffff-2018-10,1
8475087ffffffff-2018-11,1
8475087ffffffff-2018-12,1
8475087ffffffff-2021-10,3
8475087ffffffff-2022-02,6
8475087ffffffff-2022-03,1
8475087ffffffff-2022-11,1
8475087ffffffff-2022-12,3
8475087ffffffff-2023-01,1
8475087ffffffff-2023-03,1
847509dffffffff-2018-11,2
847509dffffffff-2022-04,1
847509dffffffff-2022-12,1
84750c5ffffffff-2021-10,1
84750c9ffffffff-2019-02,1
84750c9ffffffff-2021-02,1
84750c9ffffffff-2021-09,3
84750c9ffffffff-2021-10,1
84750c9ffffffff-2021-11,1
84750c9ffffffff-2022-01,1
84750c9ffffffff-2022-03,2
84750c9ffffffff-2022-04,3
84750c9ffffffff-2022-06,1
84750c9ffffffff-2022-07,1
84750c9ffffffff-2022-08,2
84750c9ffffffff-2022-11,1
84750c9ffffffff-2022-12,3
84750c9ffffffff-2023-03,1
84750c9ffffffff-2023-04,3
84750c9ffffffff-2023-10,1
84750c9ffffffff-2023-11,2
84750d1ffffffff-2012-02,2
84750d1ffffffff-2012-03,4
84750d1ffffffff-2013-01,2
84750d1ffffffff-2013-02,2
84750d1ffffffff-2013-03,2
84750d1ffffffff-2013-04,6
84750d1ffffffff-2013-06,1
84750d1ffffffff-2013-10,4
84750d1ffffffff-2013-11,8
84750d1ffffffff-2013-12,17
84750d1ffffffff-2014-02,4
84750d1ffffffff-2014-03,2
84750d1ffffffff-2014-04,3
84750d1ffffffff-2015-06,1
84750d1ffffffff-2015-10,5
84750d1ffffffff-2015-11,1
84750d1ffffffff-2015-12,6
84750d1ffffffff-2016-03,6
84750d1ffffffff-2016-04,2
84750d1ffffffff-2016-07,1
84750d1ffffffff-2016-08,1
84750d1ffffffff-2016-11,1
84750d1ffffffff-2016-12,1
84750d1ffffffff-2017-02,3
84750d1ffffffff-2017-03,1
84750d1ffffffff-2017-04,2
84750d1ffffffff-2017-08,2
84750d1ffffffff-2017-10,2
84750d1ffffffff-2017-11,9
84750d1ffffffff-2017-12,11
84750d1ffffffff-2018-01,1
84750d1ffffffff-2018-02,6
84750d1ffffffff-2018-03,1
84750d1ffffffff-2018-04,11
84750d1ffffffff-2018-05,1
84750d1ffffffff-2018-06,2
84750d1ffffffff-2018-08,2
84750d1ffffffff-2018-09,1
84750d1ffffffff-2018-11,23
84750d1ffffffff-2018-12,20
84750d1ffffffff-2019-02,3
84750d1ffffffff-2019-03,14
84750d1ffffffff-2019-04,1
84750d1ffffffff-2019-06,2
84750d1ffffffff-2019-07,1
84750d1ffffffff-2019-08,1
84750d1ffffffff-2019-09,1
84750d1ffffffff-2019-10,8
84750d1ffffffff-2019-11,47
84750d1ffffffff-2019-12,10
84750d1ffffffff-2020-01,5
84750d1ffffffff-2020-02,7
84750d1ffffffff-2020-10,1
84750d1ffffffff-2021-08,1
84750d1ffffffff-2021-10,15
84750d1ffffffff-2021-11,21
84750d1ffffffff-2021-12,20
84750d1ffffffff-2022-01,8
84750d1ffffffff-2022-02,21
84750d1ffffffff-2022-03,23
84750d1ffffffff-2022-04,16
84750d1ffffffff-2022-05,3
84750d1ffffffff-2022-08,12
84750d1ffffffff-2022-09,1
84750d1ffffffff-2022-10,11
84750d1ffffffff-2022-11,40
84750d1ffffffff-2022-12,11
84750d1ffffffff-2023-01,16
84750d1ffffffff-2023-02,10
84750d1ffffffff-2023-03,45
84750d1ffffffff-2023-04,9
84750d1ffffffff-2023-05,5
84750d1ffffffff-2023-07,1
84750d1ffffffff-2023-08,13
84750d1ffffffff-2023-09,8
84750d1ffffffff-2023-10,34
84750d1ffffffff-2023-11,13
84750d3ffffffff-2013-12,2
84750d3ffffffff-2014-09,2
84750d3ffffffff-2018-09,1
84750d3ffffffff-2019-11,2
84750d3ffffffff-2020-01,2
84750d3ffffffff-2023-04,1
84750d7ffffffff-2017-12,1
84750d9ffffffff-2012-03,1
84750d9ffffffff-2012-08,1
84750d9ffffffff-2012-11,1
84750d9ffffffff-2013-02,3
84750d9ffffffff-2013-11,3
84750d9ffffffff-2013-12,3
84750d9ffffffff-2014-02,1
84750d9ffffffff-2014-03,1
84750d9ffffffff-2017-10,1
84750d9ffffffff-2018-04,3
84750d9ffffffff-2022-04,1
84750d9ffffffff-2023-01,1
84750dbffffffff-2021-12,1
84750dbffffffff-2022-04,1
84750ddffffffff-2012-08,3
84750ddffffffff-2012-09,2
84750ddffffffff-2013-12,6
84750ddffffffff-2016-12,1
84750ddffffffff-2017-09,1
84750ddffffffff-2022-04,3
84750ddffffffff-2023-01,2
8475191ffffffff-2019-03,5
8475191ffffffff-2019-07,1
8475191ffffffff-2019-12,1
8475191ffffffff-2021-08,1
8475191ffffffff-2022-04,1
8475199ffffffff-2019-03,1
84751e9ffffffff-2023-02,1
8475207ffffffff-2020-03,2
8475217ffffffff-2012-03,1
8475283ffffffff-2022-02,1
8475287ffffffff-2020-02,1
8475291ffffffff-2021-10,1
8475293ffffffff-2012-07,1
8475293ffffffff-2017-03,2
8475293ffffffff-2018-02,1
8475293ffffffff-2018-04,2
8475293ffffffff-2018-06,2
8475293ffffffff-2018-10,1
8475293ffffffff-2019-02,1
8475293ffffffff-2019-04,1
8475293ffffffff-2019-11,1
8475293ffffffff-2020-01,2
8475293ffffffff-2020-06,1
8475295ffffffff-2012-03,1
8475295ffffffff-2012-11,1
8475295ffffffff-2013-02,2
8475295ffffffff-2013-04,2
8475295ffffffff-2013-11,2
8475295ffffffff-2013-12,4
8475295ffffffff-2014-03,2
8475295ffffffff-2015-12,2
8475295ffffffff-2016-01,1
8475295ffffffff-2016-03,1
8475295ffffffff-2017-03,2
8475295ffffffff-2017-04,1
8475295ffffffff-2018-02,11
8475295ffffffff-2018-04,4
8475295ffffffff-2018-09,5
8475295ffffffff-2018-11,2
8475295ffffffff-2018-12,6
8475295ffffffff-2019-01,1
8475295ffffffff-2019-02,1
8475295ffffffff-2019-03,2
8475295ffffffff-2019-04,1
8475295ffffffff-2019-10,3
8475295ffffffff-2019-11,15
8475295ffffffff-2019-12,2
8475295ffffffff-2020-01,3
8475295ffffffff-2020-02,1
8475295ffffffff-2021-06,1
8475295ffffffff-2021-08,1
8475295ffffffff-2021-10,3
8475295ffffffff-2021-11,10
8475295ffffffff-2021-12,8
8475295ffffffff-2022-01,5
8475295ffffffff-2022-02,7
8475295ffffffff-2022-03,3
8475295ffffffff-2022-04,5
8475295ffffffff-2022-05,8
8475295ffffffff-2022-06,1
8475295ffffffff-2022-07,1
8475295ffffffff-2022-10,1
8475295ffffffff-2022-11,27
8475295ffffffff-2022-12,6
8475295ffffffff-2023-01,11
8475295ffffffff-2023-02,2
8475295ffffffff-2023-03,30
8475295ffffffff-2023-04,20
8475295ffffffff-2023-05,2
8475295ffffffff-2023-08,1
8475295ffffffff-2023-10,7
8475295ffffffff-2023-11,4
8475299ffffffff-2017-04,1
8475299ffffffff-2019-02,1
8475299ffffffff-2019-11,1
8475299ffffffff-2022-05,1
847529bffffffff-2015-12,1
847529bffffffff-2017-03,1
847529bffffffff-2017-11,3
847529bffffffff-2018-08,1
847529bffffffff-2018-11,1
847529bffffffff-2021-10,1
84752a1ffffffff-2017-11,1
84752a5ffffffff-2015-12,1
84752abffffffff-2012-01,3
84752abffffffff-2012-03,1
84752abffffffff-2013-02,2
84752abffffffff-2013-04,1
84752abffffffff-2014-05,1
84752abffffffff-2014-10,1
84752abffffffff-2015-12,1
84752abffffffff-2017-01,3
84752abffffffff-2017-08,1
84752abffffffff-2018-12,1
84752abffffffff-2019-02,1
84752abffffffff-2019-10,3
84752abffffffff-2019-11,4
84752abffffffff-2019-12,2
84752abffffffff-2020-02,1
84752abffffffff-2021-06,1
84752abffffffff-2021-11,1
84752abffffffff-2021-12,1
84752abffffffff-2022-01,1
84752abffffffff-2022-03,4
84752abffffffff-2022-04,5
84752abffffffff-2022-08,1
84752abffffffff-2022-11,1
84752abffffffff-2022-12,1
84752abffffffff-2023-01,6
84752abffffffff-2023-02,1
84752abffffffff-2023-03,7
84752abffffffff-2023-04,2
84752abffffffff-2023-05,1
84752abffffffff-2023-10,1
84752abffffffff-2023-11,1
84752adffffffff-2013-12,3
84752adffffffff-2015-12,2
84752adffffffff-2017-11,1
84752adffffffff-2018-12,5
84752adffffffff-2019-03,1
84752adffffffff-2020-01,1
84752adffffffff-2020-02,1
84752adffffffff-2022-11,1
84752adffffffff-2023-11,1
84752b5ffffffff-2014-03,1
84752b5ffffffff-2015-12,1
84752b5ffffffff-2018-09,1
84752b5ffffffff-2020-02,2
84752b5ffffffff-2021-05,1
84752b5ffffffff-2021-11,2
84752b5ffffffff-2021-12,2
84752b5ffffffff-2022-02,5
84752b5ffffffff-2022-03,2
84752b5ffffffff-2022-04,3
84752b5ffffffff-2022-06,4
84752b5ffffffff-2022-07,6
84752b5ffffffff-2022-11,16
84752b5ffffffff-2022-12,1
84752b5ffffffff-2023-01,6
84752b5ffffffff-2023-02,2
84752b5ffffffff-2023-03,14
84752b5ffffffff-2023-04,3
84752b5ffffffff-2023-05,1
84752b5ffffffff-2023-07,1
84752b5ffffffff-2023-10,3
84752b5ffffffff-2023-11,3
84752b7ffffffff-2012-11,1
84752bdffffffff-2018-11,3
84752dbffffffff-2012-12,2
84752dbffffffff-2013-07,2
84752dbffffffff-2014-02,1
84752dbffffffff-2014-09,1
84752dbffffffff-2018-09,1
84752dbffffffff-2019-03,1
84752dbffffffff-2019-11,4
84752dbffffffff-2021-11,2
84752dbffffffff-2021-12,1
84752e9ffffffff-2019-11,2
84752e9ffffffff-2021-09,2
8475761ffffffff-2012-09,1
8475761ffffffff-2017-11,3
8475761ffffffff-2017-12,1
8475765ffffffff-2018-10,1
8475765ffffffff-2021-08,3
8475765ffffffff-2023-06,1
8475769ffffffff-2014-06,1
8475769ffffffff-2015-01,1
8475769ffffffff-2017-07,2
8475769ffffffff-2018-04,1
8475769ffffffff-2018-06,2
8475769ffffffff-2018-08,1
8475769ffffffff-2018-09,1
8475769ffffffff-2019-08,2
847584dffffffff-2022-12,1
8475861ffffffff-2014-05,1
8475861ffffffff-2018-12,1
8475861ffffffff-2021-03,1
8475861ffffffff-2022-12,2
8475861ffffffff-2023-01,1
8475a07ffffffff-2012-10,1
8475a07ffffffff-2013-03,2
8475a07ffffffff-2013-04,1
8475a07ffffffff-2013-05,1
8475a07ffffffff-2013-08,1
8475a07ffffffff-2013-09,1
8475a07ffffffff-2013-11,1
8475a07ffffffff-2013-12,2
8475a07ffffffff-2014-01,2
8475a07ffffffff-2014-02,1
8475a07ffffffff-2014-03,1
8475a07ffffffff-2014-05,1
8475a07ffffffff-2015-10,1
8475a07ffffffff-2015-11,2
8475a07ffffffff-2015-12,4
8475a07ffffffff-2016-09,1
8475a07ffffffff-2017-11,1
8475a07ffffffff-2017-12,1
8475a07ffffffff-2018-01,1
8475a07ffffffff-2018-04,1
8475a07ffffffff-2018-11,2
8475a07ffffffff-2019-04,1
8475a07ffffffff-2019-12,1
8475a07ffffffff-2020-01,1
8475a07ffffffff-2020-05,1
