index,n
84660b3ffffffff-2018-03,2
84660b3ffffffff-2023-04,6
8466181ffffffff-2013-02,1
8466181ffffffff-2020-02,1
8466181ffffffff-2020-10,2
8466181ffffffff-2023-04,1
8466187ffffffff-2015-01,1
8466187ffffffff-2015-11,1
8466187ffffffff-2021-02,1
8466187ffffffff-2021-05,2
8466187ffffffff-2022-07,2
8466195ffffffff-2023-05,3
8466195ffffffff-2023-06,2
846619dffffffff-2014-06,1
846619dffffffff-2017-01,1
846619dffffffff-2017-02,1
84661b1ffffffff-2014-01,1
84661b1ffffffff-2015-03,3
84661b1ffffffff-2015-05,1
84661b1ffffffff-2015-06,4
84661b1ffffffff-2016-01,5
84661b1ffffffff-2016-02,1
84661b1ffffffff-2017-03,2
84661b1ffffffff-2018-01,1
84661b1ffffffff-2018-04,2
84661b1ffffffff-2018-05,6
84661b1ffffffff-2018-11,1
84661b1ffffffff-2018-12,2
84661b1ffffffff-2019-01,1
84661b1ffffffff-2019-03,2
84661b1ffffffff-2019-05,4
84661b1ffffffff-2019-12,1
84661b1ffffffff-2020-02,4
84661b1ffffffff-2020-03,11
84661b1ffffffff-2020-05,3
84661b1ffffffff-2022-03,4
84661b1ffffffff-2023-01,1
84661b1ffffffff-2023-05,3
84661b3ffffffff-2015-05,3
84661b3ffffffff-2016-06,1
84661b3ffffffff-2016-07,2
84661b3ffffffff-2017-03,1
84661b3ffffffff-2018-08,1
84661b3ffffffff-2023-05,1
84661b9ffffffff-2018-03,1
84661b9ffffffff-2020-12,6
84661b9ffffffff-2022-07,2
84661b9ffffffff-2023-05,2
84661bbffffffff-2013-11,1
84661bbffffffff-2014-06,1
84661bbffffffff-2016-03,1
84661bbffffffff-2016-07,2
84661bbffffffff-2017-02,4
84661bbffffffff-2018-04,1
84661bbffffffff-2018-05,4
84661bbffffffff-2018-06,6
84661bbffffffff-2019-05,9
84661bbffffffff-2019-07,2
84661bbffffffff-2020-02,1
84661bbffffffff-2020-03,2
84661bbffffffff-2020-10,1
84661bbffffffff-2021-05,3
84661bbffffffff-2021-10,8
84661bbffffffff-2022-01,1
84661bbffffffff-2022-06,4
84661bbffffffff-2022-07,4
84661bbffffffff-2022-08,3
84661bbffffffff-2022-09,4
84661bbffffffff-2022-10,2
84661bbffffffff-2022-11,5
84661bbffffffff-2022-12,8
84661bbffffffff-2023-01,3
84661bbffffffff-2023-02,2
84661bbffffffff-2023-03,2
84661bbffffffff-2023-04,4
84661bbffffffff-2023-05,4
84661bbffffffff-2023-06,2
84661bbffffffff-2023-08,7
84661bbffffffff-2023-09,4
84661bbffffffff-2023-10,4
84661bbffffffff-2023-11,2
84661d1ffffffff-2022-12,3
84661d5ffffffff-2020-07,1
84661d5ffffffff-2021-09,3
84661d5ffffffff-2021-12,1
84661d5ffffffff-2023-06,1
8466c0dffffffff-2016-12,1
8466c0dffffffff-2021-10,4
8466c0dffffffff-2023-03,2
8466c2dffffffff-2020-09,1
8466c47ffffffff-2016-09,1
8466c47ffffffff-2019-05,4
8466c47ffffffff-2019-07,2
8466c47ffffffff-2020-05,5
8466c47ffffffff-2020-09,4
8466c61ffffffff-2017-09,2
8466c61ffffffff-2019-02,1
8466c63ffffffff-2022-04,2
8466c63ffffffff-2022-05,1
8466c63ffffffff-2022-07,3
8466c6bffffffff-2019-12,1
8466d19ffffffff-2019-05,2
8466d1dffffffff-2016-07,1
8466d1dffffffff-2020-02,2
8466d31ffffffff-2013-08,1
8466d31ffffffff-2014-07,2
8466d31ffffffff-2015-02,3
8466d31ffffffff-2015-04,2
8466d31ffffffff-2015-05,1
8466d31ffffffff-2015-06,1
8466d31ffffffff-2015-10,6
8466d31ffffffff-2015-11,4
8466d31ffffffff-2016-01,2
8466d31ffffffff-2016-05,1
8466d31ffffffff-2016-06,2
8466d31ffffffff-2016-07,1
8466d31ffffffff-2016-10,2
8466d31ffffffff-2016-12,1
8466d31ffffffff-2017-05,2
8466d31ffffffff-2017-06,4
8466d31ffffffff-2017-07,2
8466d31ffffffff-2017-08,3
8466d31ffffffff-2017-09,3
8466d31ffffffff-2017-10,3
8466d31ffffffff-2018-01,1
8466d31ffffffff-2018-02,1
8466d31ffffffff-2018-03,2
8466d31ffffffff-2018-10,6
8466d31ffffffff-2019-02,7
8466d31ffffffff-2019-03,1
8466d31ffffffff-2019-06,1
8466d31ffffffff-2019-08,1
8466d31ffffffff-2019-10,1
8466d31ffffffff-2020-07,1
8466d31ffffffff-2020-08,1
8466d31ffffffff-2021-01,1
8466d31ffffffff-2021-05,2
8466d31ffffffff-2021-06,9
8466d31ffffffff-2021-07,2
8466d31ffffffff-2021-09,1
8466d31ffffffff-2022-06,1
8466d31ffffffff-2022-09,2
8466d31ffffffff-2022-11,1
8466d31ffffffff-2022-12,3
8466d31ffffffff-2023-01,2
8466d31ffffffff-2023-02,3
8466d31ffffffff-2023-03,4
8466d31ffffffff-2023-04,4
8466d31ffffffff-2023-06,5
8466d31ffffffff-2023-08,2
8466d31ffffffff-2023-09,2
8466d31ffffffff-2023-10,1
8466d31ffffffff-2023-11,2
8466d33ffffffff-2019-08,3
8466d37ffffffff-2021-01,1
8466d39ffffffff-2020-11,3
8466d3bffffffff-2020-08,3
8466d3bffffffff-2021-05,4
8466d3bffffffff-2021-09,1
8466d3bffffffff-2021-10,1
8466d3bffffffff-2022-05,2
8466d3bffffffff-2022-07,1
8466d3bffffffff-2023-05,2
8466d3bffffffff-2023-08,3
8466d53ffffffff-2015-04,1
8466d5bffffffff-2022-10,1
8466da1ffffffff-2019-04,2
8466da7ffffffff-2020-05,1
8466de1ffffffff-2012-07,1
8466de1ffffffff-2013-01,2
8466de1ffffffff-2013-08,1
8466de1ffffffff-2013-09,2
8466de1ffffffff-2013-12,1
8466de1ffffffff-2014-01,1
8466de1ffffffff-2014-06,2
8466de1ffffffff-2014-08,1
8466de1ffffffff-2015-01,1
8466de1ffffffff-2016-02,5
8466de1ffffffff-2016-09,1
8466de1ffffffff-2017-04,1
8466de1ffffffff-2017-05,2
8466de1ffffffff-2017-06,2
8466de1ffffffff-2017-07,4
8466de1ffffffff-2018-05,9
8466de1ffffffff-2018-06,1
8466de1ffffffff-2018-10,4
8466de1ffffffff-2018-11,14
8466de1ffffffff-2018-12,9
8466de1ffffffff-2019-01,6
8466de1ffffffff-2019-02,12
8466de1ffffffff-2019-03,18
8466de1ffffffff-2019-04,14
8466de1ffffffff-2019-05,2
8466de1ffffffff-2019-07,3
8466de1ffffffff-2019-11,22
8466de1ffffffff-2019-12,5
8466de1ffffffff-2020-01,4
8466de1ffffffff-2020-02,3
8466de1ffffffff-2020-03,2
8466de1ffffffff-2020-12,1
8466de1ffffffff-2021-08,1
8466de1ffffffff-2022-09,1
8466de1ffffffff-2022-10,2
8466de1ffffffff-2022-11,2
8466de1ffffffff-2023-01,3
8466de1ffffffff-2023-02,2
8466de1ffffffff-2023-03,1
8466de1ffffffff-2023-11,2
8466de5ffffffff-2017-06,1
8466de9ffffffff-2019-02,7
8466dedffffffff-2019-01,1
8466dedffffffff-2022-01,1
8466e0bffffffff-2021-12,3
8466e0bffffffff-2022-09,4
8466e0bffffffff-2023-02,1
8466e0bffffffff-2023-06,2
8466e0bffffffff-2023-09,1
8466e43ffffffff-2019-03,1
8466e55ffffffff-2019-03,2
8466e55ffffffff-2021-05,1
8466e55ffffffff-2021-11,1
8466e55ffffffff-2023-02,3
8466e55ffffffff-2023-05,2
8466e5dffffffff-2019-07,1
8466e61ffffffff-2018-03,1
8466e65ffffffff-2019-12,1
8466e65ffffffff-2023-03,2
8466e67ffffffff-2019-08,2
8466e67ffffffff-2019-11,1
8466e67ffffffff-2020-10,2
8466e67ffffffff-2021-02,3
8466e67ffffffff-2022-02,4
8466e67ffffffff-2022-04,2
