index,n
849e021ffffffff-2016-01,2
849e021ffffffff-2019-08,1
849e025ffffffff-2015-09,1
849e025ffffffff-2016-07,2
849e025ffffffff-2017-06,1
849e025ffffffff-2017-08,2
849e025ffffffff-2018-07,4
849e025ffffffff-2018-10,2
849e025ffffffff-2019-01,2
849e025ffffffff-2019-08,2
849e025ffffffff-2020-02,3
849e025ffffffff-2020-10,6
849e025ffffffff-2021-05,3
849e025ffffffff-2021-07,2
849e025ffffffff-2021-08,7
849e025ffffffff-2021-10,1
849e025ffffffff-2022-12,1
849e025ffffffff-2023-02,4
849e025ffffffff-2023-03,2
849e025ffffffff-2023-08,3
849e025ffffffff-2023-11,2
849e027ffffffff-2021-08,13
849e027ffffffff-2021-09,10
849e029ffffffff-2021-12,6
849e02dffffffff-2017-06,1
849e02dffffffff-2019-05,1
849e02dffffffff-2019-09,2
849e02dffffffff-2019-11,1
849e02dffffffff-2020-11,1
849e02dffffffff-2021-02,3
849e02dffffffff-2021-03,2
849e02dffffffff-2021-05,15
849e02dffffffff-2021-07,1
849e02dffffffff-2021-08,2
849e02dffffffff-2021-09,2
849e02dffffffff-2021-10,1
849e02dffffffff-2021-12,1
849e02dffffffff-2022-05,1
849e02dffffffff-2022-06,1
849e02dffffffff-2022-07,1
849e02dffffffff-2023-05,1
849e02dffffffff-2023-06,1
849e02dffffffff-2023-07,3
849e061ffffffff-2021-07,1
849e065ffffffff-2017-11,1
849e065ffffffff-2019-03,1
849e065ffffffff-2019-06,1
849e065ffffffff-2021-11,1
849e067ffffffff-2014-11,2
849e067ffffffff-2021-12,10
849e067ffffffff-2023-08,1
849e06dffffffff-2014-12,1
849e06dffffffff-2018-09,1
849e06dffffffff-2019-03,2
849e06dffffffff-2019-06,2
849e06dffffffff-2020-02,1
849e103ffffffff-2014-12,4
849e113ffffffff-2020-10,4
849e119ffffffff-2017-08,2
849e119ffffffff-2019-01,1
849e119ffffffff-2021-05,2
849e119ffffffff-2021-07,4
849e119ffffffff-2021-11,1
849e119ffffffff-2023-06,1
849e119ffffffff-2023-07,2
849e119ffffffff-2023-10,2
849e11bffffffff-2014-05,1
849e13dffffffff-2014-04,1
849e13dffffffff-2014-10,1
849e13dffffffff-2015-10,1
849e13dffffffff-2022-08,1
849e13dffffffff-2023-02,6
849e153ffffffff-2016-07,1
849e153ffffffff-2017-06,1
849e153ffffffff-2023-02,2
849e153ffffffff-2023-04,1
849e225ffffffff-2013-08,1
849e225ffffffff-2014-02,2
849e225ffffffff-2014-05,2
849e225ffffffff-2014-06,2
849e225ffffffff-2014-09,1
849e225ffffffff-2018-06,1
849e225ffffffff-2020-02,1
849e225ffffffff-2020-10,2
849e225ffffffff-2021-05,3
849e225ffffffff-2021-11,1
849e225ffffffff-2022-11,1
849e225ffffffff-2023-02,6
849e225ffffffff-2023-05,2
849e227ffffffff-2012-07,1
849e227ffffffff-2012-10,1
849e227ffffffff-2012-12,2
849e227ffffffff-2014-05,2
849e227ffffffff-2014-06,1
849e227ffffffff-2014-07,1
849e227ffffffff-2015-01,2
849e227ffffffff-2015-03,1
849e227ffffffff-2015-10,1
849e227ffffffff-2017-02,2
849e227ffffffff-2017-12,1
849e227ffffffff-2018-01,1
849e227ffffffff-2018-06,2
849e227ffffffff-2018-09,1
849e227ffffffff-2019-08,1
849e227ffffffff-2019-09,1
849e227ffffffff-2020-02,2
849e227ffffffff-2020-03,5
849e227ffffffff-2020-08,1
849e227ffffffff-2020-10,6
849e227ffffffff-2021-02,1
849e227ffffffff-2021-05,6
849e227ffffffff-2021-06,1
849e227ffffffff-2021-08,2
849e227ffffffff-2022-02,1
849e227ffffffff-2022-08,2
849e227ffffffff-2022-11,2
849e227ffffffff-2023-03,1
849e227ffffffff-2023-10,2
849e227ffffffff-2023-11,1
849e245ffffffff-2014-11,1
849e245ffffffff-2014-12,1
849e245ffffffff-2015-04,1
849e245ffffffff-2015-11,2
849e245ffffffff-2016-03,2
849e245ffffffff-2017-02,1
849e245ffffffff-2017-03,1
849e245ffffffff-2017-10,1
849e245ffffffff-2018-04,1
849e245ffffffff-2018-11,2
849e245ffffffff-2019-03,2
849e245ffffffff-2019-05,1
849e245ffffffff-2019-06,3
849e245ffffffff-2019-08,1
849e245ffffffff-2019-10,2
849e245ffffffff-2020-02,2
849e245ffffffff-2020-03,1
849e245ffffffff-2020-09,3
849e245ffffffff-2020-10,14
849e245ffffffff-2020-11,5
849e245ffffffff-2021-01,20
849e245ffffffff-2021-02,5
849e245ffffffff-2021-03,8
849e245ffffffff-2021-04,1
849e245ffffffff-2021-06,4
849e245ffffffff-2021-07,16
849e245ffffffff-2021-08,2
849e245ffffffff-2021-09,2
849e245ffffffff-2021-10,11
849e245ffffffff-2021-11,5
849e245ffffffff-2021-12,3
849e245ffffffff-2022-01,3
849e245ffffffff-2022-02,3
849e245ffffffff-2022-03,3
849e245ffffffff-2022-04,2
849e245ffffffff-2022-05,8
849e245ffffffff-2022-06,4
849e245ffffffff-2022-07,1
849e245ffffffff-2022-09,14
849e245ffffffff-2022-10,3
849e245ffffffff-2023-01,2
849e245ffffffff-2023-02,1
849e245ffffffff-2023-03,3
849e261ffffffff-2019-05,1
849e261ffffffff-2020-12,27
849e311ffffffff-2019-03,1
849e311ffffffff-2020-02,1
849e31bffffffff-2014-11,4
849e333ffffffff-2017-10,1
849e333ffffffff-2019-05,1
849e333ffffffff-2023-03,1
849ead9ffffffff-2022-12,1
849f191ffffffff-2021-10,2
