index,n
840096dffffffff-2022-07,2
840120dffffffff-2020-05,2
840120dffffffff-2021-06,1
8401227ffffffff-2017-06,2
8401227ffffffff-2019-06,1
8401227ffffffff-2023-07,2
8401229ffffffff-2021-08,1
8401243ffffffff-2020-05,1
8401243ffffffff-2022-06,2
8401247ffffffff-2021-06,1
8401247ffffffff-2023-08,1
840126dffffffff-2019-06,1
840126dffffffff-2021-06,2
840130bffffffff-2012-06,3
840130bffffffff-2013-05,1
840130bffffffff-2014-06,3
840130bffffffff-2015-05,1
840130bffffffff-2015-06,5
840130bffffffff-2016-05,2
840130bffffffff-2016-06,4
840130bffffffff-2017-05,2
840130bffffffff-2017-06,16
840130bffffffff-2018-06,5
840130bffffffff-2018-07,2
840130bffffffff-2019-05,2
840130bffffffff-2019-06,10
840130bffffffff-2019-07,4
840130bffffffff-2021-06,1
840130bffffffff-2022-05,1
840130bffffffff-2022-06,12
840130bffffffff-2022-07,12
840130bffffffff-2023-05,21
840130bffffffff-2023-06,24
840130bffffffff-2023-07,7
8401319ffffffff-2017-07,2
8401319ffffffff-2018-05,2
8401319ffffffff-2019-06,4
8401319ffffffff-2022-05,3
8401319ffffffff-2022-06,4
8401319ffffffff-2022-07,2
8401319ffffffff-2023-05,2
8401319ffffffff-2023-06,7
840131dffffffff-2013-05,1
840131dffffffff-2017-06,3
840131dffffffff-2018-06,2
840131dffffffff-2018-07,1
840131dffffffff-2019-05,1
840131dffffffff-2022-06,5
840131dffffffff-2023-06,8
8401351ffffffff-2012-07,1
8401351ffffffff-2015-06,6
8401351ffffffff-2016-05,1
8401351ffffffff-2017-06,4
8401351ffffffff-2018-06,2
8401351ffffffff-2018-08,3
8401351ffffffff-2019-05,2
8401351ffffffff-2019-06,5
8401351ffffffff-2019-07,7
8401351ffffffff-2022-05,9
8401351ffffffff-2022-06,4
8401351ffffffff-2023-05,2
8401351ffffffff-2023-06,11
8401351ffffffff-2023-08,6
8401353ffffffff-2013-06,1
8401353ffffffff-2014-06,12
8401353ffffffff-2015-06,8
8401353ffffffff-2016-05,2
8401353ffffffff-2016-06,4
8401353ffffffff-2017-06,7
8401353ffffffff-2018-06,3
8401353ffffffff-2019-05,7
8401353ffffffff-2019-06,14
8401353ffffffff-2019-07,4
8401353ffffffff-2021-06,1
8401353ffffffff-2021-07,1
8401353ffffffff-2022-05,16
8401353ffffffff-2022-06,43
8401353ffffffff-2022-07,39
8401353ffffffff-2023-05,18
8401353ffffffff-2023-06,67
8401353ffffffff-2023-07,11
8401353ffffffff-2023-08,1
8401355ffffffff-2013-06,1
8401355ffffffff-2015-05,1
8401355ffffffff-2016-05,2
8401355ffffffff-2016-06,2
8401355ffffffff-2017-06,8
8401355ffffffff-2018-06,1
8401355ffffffff-2019-05,3
8401355ffffffff-2019-06,4
8401355ffffffff-2021-06,1
8401355ffffffff-2022-05,1
8401355ffffffff-2022-06,2
8401355ffffffff-2022-07,4
8401355ffffffff-2022-08,1
8401355ffffffff-2023-05,4
8401355ffffffff-2023-06,38
8401355ffffffff-2023-07,14
8401357ffffffff-2019-06,1
8401357ffffffff-2020-07,1
8401357ffffffff-2022-05,3
8401357ffffffff-2022-06,1
8401357ffffffff-2022-07,5
8401357ffffffff-2023-05,5
8401357ffffffff-2023-06,4
840135bffffffff-2014-06,1
840135bffffffff-2019-05,1
840135bffffffff-2019-06,1
840135bffffffff-2022-05,1
840135bffffffff-2022-06,2
840135bffffffff-2023-05,5
840135bffffffff-2023-06,4
8404ccbffffffff-2013-06,2
8404ccbffffffff-2014-06,2
8404cddffffffff-2013-05,2
8404cddffffffff-2013-06,8
8404cddffffffff-2014-06,24
8404cddffffffff-2014-07,2
8404eb1ffffffff-2014-06,4
84058c7ffffffff-2017-06,11
84058c9ffffffff-2019-07,11
84058cbffffffff-2017-06,20
84075ddffffffff-2012-10,3
840802dffffffff-2023-05,2
8408065ffffffff-2021-05,1
8408065ffffffff-2022-05,1
8408065ffffffff-2023-08,1
8408101ffffffff-2022-05,1
8408103ffffffff-2016-07,1
8408107ffffffff-2012-06,1
8408107ffffffff-2017-06,1
8408107ffffffff-2023-06,2
840810dffffffff-2023-05,1
840811bffffffff-2020-05,1
840811dffffffff-2020-06,1
8408133ffffffff-2022-05,2
8408135ffffffff-2017-05,1
8408141ffffffff-2012-07,1
8408141ffffffff-2015-06,1
8408141ffffffff-2016-07,1
8408141ffffffff-2017-06,1
8408141ffffffff-2018-06,1
8408141ffffffff-2021-07,2
8408141ffffffff-2022-07,1
8408141ffffffff-2023-06,5
8408141ffffffff-2023-07,1
8408145ffffffff-2023-06,2
8408145ffffffff-2023-07,1
840814dffffffff-2022-08,1
8408153ffffffff-2012-06,1
8408155ffffffff-2023-05,1
8408159ffffffff-2013-06,1
8408159ffffffff-2015-05,1
8408159ffffffff-2019-06,1
8408159ffffffff-2020-05,1
8408159ffffffff-2020-07,2
8408159ffffffff-2021-05,2
8408159ffffffff-2022-07,2
8408159ffffffff-2023-07,2
840815bffffffff-2021-08,2
840815bffffffff-2023-05,1
840815bffffffff-2023-08,1
8408167ffffffff-2018-07,1
8408193ffffffff-2014-07,1
8408193ffffffff-2018-06,1
8408193ffffffff-2018-07,3
8408193ffffffff-2019-07,1
8408193ffffffff-2020-06,2
8408193ffffffff-2021-06,7
8408193ffffffff-2021-07,2
8408193ffffffff-2022-06,1
840819dffffffff-2022-06,1
84081d5ffffffff-2014-07,2
84081d5ffffffff-2017-07,1
84081d5ffffffff-2018-06,1
84081d5ffffffff-2019-07,1
84081d5ffffffff-2021-08,5
84081d5ffffffff-2022-06,5
84081edffffffff-2021-05,2
8408283ffffffff-2023-08,1
8408287ffffffff-2023-07,2
8408293ffffffff-2020-06,1
8408293ffffffff-2023-05,1
8408295ffffffff-2021-05,1
8408295ffffffff-2022-05,1
840829bffffffff-2022-05,1
840829bffffffff-2022-06,1
840829dffffffff-2020-09,1
84082bbffffffff-2020-05,1
84082bbffffffff-2023-05,1
84082d1ffffffff-2020-05,1
84082d1ffffffff-2020-06,2
84082d1ffffffff-2022-05,1
84082d1ffffffff-2022-06,1
8408365ffffffff-2020-08,1
8408803ffffffff-2016-09,1
8408807ffffffff-2017-08,1
8408809ffffffff-2017-06,1
8408809ffffffff-2018-05,2
8408809ffffffff-2019-05,1
8408809ffffffff-2023-05,3
840880bffffffff-2017-05,5
840880bffffffff-2017-08,1
840880bffffffff-2018-05,6
840880bffffffff-2018-08,1
840880bffffffff-2019-05,1
840880bffffffff-2022-05,2
840880bffffffff-2023-05,1
840880dffffffff-2014-05,1
840880dffffffff-2015-05,1
840880dffffffff-2015-07,1
840880dffffffff-2016-05,1
840880dffffffff-2016-08,6
840880dffffffff-2017-05,3
840880dffffffff-2017-08,2
840880dffffffff-2018-05,3
840880dffffffff-2018-07,2
840880dffffffff-2018-08,2
840880dffffffff-2019-05,9
840880dffffffff-2019-07,8
840880dffffffff-2019-08,2
840880dffffffff-2020-05,9
840880dffffffff-2020-07,5
840880dffffffff-2021-05,4
840880dffffffff-2021-07,4
840880dffffffff-2021-08,2
840880dffffffff-2022-05,4
840880dffffffff-2022-07,2
840880dffffffff-2023-05,5
840880dffffffff-2023-06,1
840880dffffffff-2023-07,8
840880dffffffff-2023-08,1
8408821ffffffff-2014-05,1
8408821ffffffff-2017-08,1
8408823ffffffff-2021-06,1
8408829ffffffff-2012-08,1
8408829ffffffff-2016-05,1
8408829ffffffff-2019-05,1
8408829ffffffff-2020-05,4
8408829ffffffff-2021-07,2
8408829ffffffff-2021-08,1
8408829ffffffff-2023-05,1
840883dffffffff-2018-08,2
8408843ffffffff-2023-05,1
840884bffffffff-2022-08,2
840884bffffffff-2023-05,1
840884bffffffff-2023-07,4
8408855ffffffff-2015-09,1
8408855ffffffff-2016-07,1
8408855ffffffff-2017-05,3
8408855ffffffff-2017-07,2
8408855ffffffff-2017-08,2
8408855ffffffff-2018-05,3
8408855ffffffff-2019-08,2
8408855ffffffff-2021-05,3
8408855ffffffff-2021-07,2
8408855ffffffff-2022-05,3
8408855ffffffff-2022-08,7
8408855ffffffff-2023-05,8
8408855ffffffff-2023-06,2
8408855ffffffff-2023-07,1
8408855ffffffff-2023-08,1
840885bffffffff-2017-08,1
840885bffffffff-2020-05,1
8408863ffffffff-2012-07,1
8408863ffffffff-2013-05,1
8408863ffffffff-2015-05,1
8408863ffffffff-2015-07,1
8408863ffffffff-2016-05,3
8408863ffffffff-2017-08,3
8408863ffffffff-2018-05,2
8408863ffffffff-2018-06,2
8408863ffffffff-2020-04,2
8408863ffffffff-2020-05,1
8408863ffffffff-2020-07,2
8408863ffffffff-2021-05,2
8408863ffffffff-2021-06,1
8408863ffffffff-2022-08,3
8408863ffffffff-2023-05,2
8408863ffffffff-2023-07,1
8408867ffffffff-2014-05,1
8408867ffffffff-2016-05,1
8408867ffffffff-2016-07,1
8408867ffffffff-2016-08,1
8408867ffffffff-2017-05,1
8408867ffffffff-2019-08,2
8408867ffffffff-2020-05,1
8408867ffffffff-2021-05,2
8408867ffffffff-2021-07,1
8408867ffffffff-2022-05,1
8408869ffffffff-2016-05,1
8408869ffffffff-2017-05,2
8408869ffffffff-2018-05,1
8408869ffffffff-2019-05,3
8408869ffffffff-2020-05,7
8408869ffffffff-2021-05,1
8408869ffffffff-2021-07,5
8408869ffffffff-2022-05,3
8408869ffffffff-2022-08,1
8408869ffffffff-2023-05,1
8408869ffffffff-2023-07,1
840886bffffffff-2016-07,2
840886bffffffff-2016-08,2
840886bffffffff-2017-07,1
840886bffffffff-2017-08,3
840886bffffffff-2018-08,1
840886bffffffff-2019-08,2
840886bffffffff-2020-07,1
840886bffffffff-2020-08,1
840886bffffffff-2021-08,1
840886bffffffff-2022-07,2
840886bffffffff-2023-07,4
840886bffffffff-2023-08,2
840886dffffffff-2017-08,1
840886dffffffff-2023-07,2
840886dffffffff-2023-08,3
840886dffffffff-2023-09,1
8408889ffffffff-2014-07,1
8408889ffffffff-2019-05,1
8408889ffffffff-2020-05,1
8408889ffffffff-2020-08,2
8408889ffffffff-2021-07,1
8408889ffffffff-2022-05,1
8408889ffffffff-2022-07,1
8408889ffffffff-2023-08,1
840888bffffffff-2018-07,1
840888bffffffff-2018-08,1
840888dffffffff-2012-05,1
840888dffffffff-2012-07,2
840888dffffffff-2012-08,3
840888dffffffff-2013-07,2
840888dffffffff-2014-05,2
840888dffffffff-2015-05,1
840888dffffffff-2015-07,1
840888dffffffff-2015-08,1
840888dffffffff-2016-05,1
840888dffffffff-2017-05,3
840888dffffffff-2018-07,1
840888dffffffff-2018-08,1
840888dffffffff-2019-05,4
840888dffffffff-2019-07,6
840888dffffffff-2019-08,5
840888dffffffff-2020-05,6
840888dffffffff-2020-06,1
840888dffffffff-2020-07,4
840888dffffffff-2020-08,1
840888dffffffff-2021-05,7
840888dffffffff-2021-07,3
840888dffffffff-2021-08,3
840888dffffffff-2022-05,8
840888dffffffff-2022-07,1
840888dffffffff-2022-08,4
840888dffffffff-2023-05,4
840888dffffffff-2023-08,2
8408897ffffffff-2022-08,1
840889bffffffff-2018-05,1
84088a9ffffffff-2016-08,1
84088a9ffffffff-2017-08,5
84088a9ffffffff-2017-09,1
84088a9ffffffff-2018-07,1
84088a9ffffffff-2019-07,2
84088a9ffffffff-2019-08,3
84088a9ffffffff-2020-07,2
84088a9ffffffff-2021-05,2
84088a9ffffffff-2022-07,2
84088a9ffffffff-2023-05,1
84088a9ffffffff-2023-08,1
84088adffffffff-2023-09,1
84088d3ffffffff-2021-05,1
84088d5ffffffff-2019-07,1
84088d5ffffffff-2019-08,1
84088d7ffffffff-2019-07,2
84088dbffffffff-2020-05,2
84088e5ffffffff-2023-05,1
8408901ffffffff-2022-08,1
8408901ffffffff-2023-07,1
8408901ffffffff-2023-08,2
840890dffffffff-2023-08,1
8408937ffffffff-2015-07,1
8408937ffffffff-2016-07,1
8408937ffffffff-2019-09,1
8408937ffffffff-2020-07,3
8408937ffffffff-2021-07,5
8408937ffffffff-2023-08,1
8408959ffffffff-2016-07,1
8408959ffffffff-2018-07,1
8408959ffffffff-2018-08,1
8408959ffffffff-2020-05,1
8408959ffffffff-2020-08,1
840895bffffffff-2013-05,1
840895bffffffff-2015-07,1
840895bffffffff-2017-05,2
840895bffffffff-2018-05,2
840895bffffffff-2019-05,2
840895bffffffff-2020-05,2
840895bffffffff-2020-08,2
840895bffffffff-2021-05,1
840895bffffffff-2022-05,4
840895bffffffff-2023-05,4
8408961ffffffff-2019-08,1
8408961ffffffff-2021-05,1
8408961ffffffff-2022-05,2
8408961ffffffff-2023-07,1
8408965ffffffff-2018-07,2
8408965ffffffff-2022-08,1
8408985ffffffff-2014-05,2
8408985ffffffff-2017-05,3
8408985ffffffff-2018-05,1
8408985ffffffff-2019-05,2
8408985ffffffff-2022-08,1
8408985ffffffff-2023-05,4
8408987ffffffff-2022-05,1
840898bffffffff-2019-08,1
840898bffffffff-2020-05,3
840898bffffffff-2020-08,2
840898bffffffff-2020-09,1
840898bffffffff-2021-07,2
840898bffffffff-2021-08,2
840898bffffffff-2023-05,4
840898bffffffff-2023-07,1
8408991ffffffff-2020-05,2
8408991ffffffff-2021-05,2
8408995ffffffff-2014-05,1
8408995ffffffff-2020-05,1
8408995ffffffff-2021-08,3
8408995ffffffff-2022-08,1
8408995ffffffff-2022-09,1
8408995ffffffff-2023-05,1
8408995ffffffff-2023-08,3
8408997ffffffff-2012-07,1
8408997ffffffff-2014-08,2
8408997ffffffff-2015-05,2
8408997ffffffff-2016-05,6
8408997ffffffff-2017-08,1
8408997ffffffff-2018-05,7
8408997ffffffff-2018-07,1
8408997ffffffff-2018-08,5
8408997ffffffff-2018-09,1
8408997ffffffff-2019-05,10
8408997ffffffff-2019-06,1
8408997ffffffff-2019-07,7
8408997ffffffff-2019-08,9
8408997ffffffff-2020-05,29
8408997ffffffff-2020-06,3
8408997ffffffff-2020-07,8
8408997ffffffff-2020-08,19
8408997ffffffff-2020-09,6
8408997ffffffff-2021-05,47
8408997ffffffff-2021-07,8
8408997ffffffff-2021-08,24
8408997ffffffff-2022-05,36
8408997ffffffff-2022-07,32
8408997ffffffff-2022-08,42
8408997ffffffff-2023-05,95
8408997ffffffff-2023-06,7
8408997ffffffff-2023-07,28
8408997ffffffff-2023-08,46
8408999ffffffff-2017-08,1
8408999ffffffff-2023-08,1
84089a5ffffffff-2018-07,1
84089a5ffffffff-2022-05,1
84089a5ffffffff-2023-05,1
84089a9ffffffff-2012-05,1
84089a9ffffffff-2017-05,3
84089a9ffffffff-2019-05,15
84089a9ffffffff-2022-05,2
84089a9ffffffff-2022-06,1
84089a9ffffffff-2022-07,1
84089a9ffffffff-2023-05,4
84089adffffffff-2019-05,2
84089adffffffff-2022-05,1
84089b1ffffffff-2019-05,1
84089b1ffffffff-2023-08,2
84089bbffffffff-2021-08,1
84089bbffffffff-2022-05,1
84089bbffffffff-2022-08,2
84089bbffffffff-2023-05,4
84089bbffffffff-2023-08,1
84089cbffffffff-2019-05,2
84089cbffffffff-2022-05,1
84089d1ffffffff-2017-05,1
84089d1ffffffff-2018-08,1
84089d1ffffffff-2019-05,2
84089d1ffffffff-2019-07,1
84089d1ffffffff-2019-08,5
84089d1ffffffff-2020-05,8
84089d1ffffffff-2020-07,1
84089d1ffffffff-2021-05,7
84089d1ffffffff-2021-08,6
84089d1ffffffff-2022-05,4
84089d1ffffffff-2022-07,2
84089d1ffffffff-2022-08,2
84089d1ffffffff-2023-05,11
84089d1ffffffff-2023-06,1
84089d1ffffffff-2023-07,4
84089d1ffffffff-2023-08,3
84089d3ffffffff-2016-05,1
84089d3ffffffff-2017-05,1
84089d3ffffffff-2017-08,1
84089d3ffffffff-2018-05,2
84089d3ffffffff-2018-08,3
84089d3ffffffff-2019-05,1
84089d3ffffffff-2019-08,1
84089d3ffffffff-2019-09,2
84089d3ffffffff-2020-05,11
84089d3ffffffff-2021-08,3
84089d3ffffffff-2022-05,7
84089d3ffffffff-2022-08,2
84089d3ffffffff-2023-05,4
84089d3ffffffff-2023-06,2
84089d3ffffffff-2023-07,1
84089d3ffffffff-2023-08,3
84089d7ffffffff-2022-05,1
84089d9ffffffff-2022-07,1
84089dbffffffff-2017-05,1
84089dbffffffff-2018-05,1
84089dbffffffff-2018-09,3
84089dbffffffff-2020-05,5
84089dbffffffff-2020-08,1
84089dbffffffff-2021-06,1
84089dbffffffff-2022-08,1
84089dbffffffff-2023-07,1
84089dbffffffff-2023-08,1
84089e3ffffffff-2019-05,12
84089e3ffffffff-2022-07,1
84089e3ffffffff-2023-08,1
84089e7ffffffff-2019-05,3
84089ebffffffff-2018-05,2
8408a19ffffffff-2018-07,1
8408a35ffffffff-2023-05,1
8408a35ffffffff-2023-07,1
8408a83ffffffff-2014-05,1
8408a83ffffffff-2019-05,2
8408a83ffffffff-2023-05,1
8408a87ffffffff-2019-05,1
8408a97ffffffff-2022-06,1
8408aa9ffffffff-2018-08,1
