index,n
8426961ffffffff-2022-10,65
84269cdffffffff-2022-09,93
84269cdffffffff-2022-10,11
8427a97ffffffff-2018-10,9
8428347ffffffff-2021-10,23
8429865ffffffff-2014-11,17
8429869ffffffff-2016-10,3
842986bffffffff-2017-11,37
842986bffffffff-2017-12,2
8429a03ffffffff-2014-01,2
8429a03ffffffff-2014-02,6
8429a03ffffffff-2014-11,34
8429a03ffffffff-2014-12,6
8429a03ffffffff-2015-01,7
8429a03ffffffff-2015-11,3
8429a03ffffffff-2016-01,1
8429a03ffffffff-2016-10,1
8429a03ffffffff-2016-11,9
8429a03ffffffff-2017-02,18
8429a03ffffffff-2017-03,7
8429a03ffffffff-2020-02,75
8429a03ffffffff-2020-03,28
8429a03ffffffff-2020-12,14
8429a03ffffffff-2021-01,10
8429a03ffffffff-2021-02,1
8429a05ffffffff-2022-04,1
8429a0bffffffff-2022-11,47
8429a0bffffffff-2022-12,12
8429a0bffffffff-2023-01,35
8429a0bffffffff-2023-02,24
8429a0bffffffff-2023-03,5
8429a0bffffffff-2023-04,1
8429a0bffffffff-2023-10,11
8429a0bffffffff-2023-11,6
8429a1dffffffff-2023-02,2
8429a1dffffffff-2023-03,14
8429a1dffffffff-2023-04,1
8429a1dffffffff-2023-10,1
8429a1dffffffff-2023-11,10
8429a41ffffffff-2012-12,2
8429a41ffffffff-2013-01,8
8429a41ffffffff-2013-02,1
8429a41ffffffff-2013-03,7
8429a4dffffffff-2012-01,3
8429a4dffffffff-2012-02,12
8429a4dffffffff-2012-03,4
8429a4dffffffff-2012-04,5
8429a4dffffffff-2012-10,2
8429a4dffffffff-2012-11,1
8429a4dffffffff-2012-12,9
8429a4dffffffff-2013-01,2
8429a4dffffffff-2013-02,1
8429a4dffffffff-2013-03,5
8429a4dffffffff-2013-04,3
8429a4dffffffff-2013-10,1
8429a4dffffffff-2013-11,4
8429a4dffffffff-2013-12,10
8429a4dffffffff-2014-01,10
8429a4dffffffff-2014-02,6
8429a4dffffffff-2014-03,12
8429a4dffffffff-2014-04,1
8429a4dffffffff-2015-01,22
8429a4dffffffff-2015-02,21
8429a4dffffffff-2015-03,4
8429a4dffffffff-2015-11,5
8429a4dffffffff-2015-12,13
8429a4dffffffff-2016-01,28
8429a4dffffffff-2016-02,13
8429a4dffffffff-2016-03,11
8429a4dffffffff-2016-10,6
8429a4dffffffff-2016-11,1
8429a4dffffffff-2016-12,22
8429a4dffffffff-2017-01,39
8429a4dffffffff-2017-02,15
8429a4dffffffff-2017-03,9
8429a4dffffffff-2017-04,1
