index,n
8445301ffffffff-2013-05,9
8445309ffffffff-2012-05,6
8445309ffffffff-2016-10,4
8445309ffffffff-2018-09,2
8445309ffffffff-2021-09,1
8445309ffffffff-2021-10,1
8445309ffffffff-2022-07,2
844530dffffffff-2015-03,1
844530dffffffff-2015-07,2
844530dffffffff-2021-07,1
8445343ffffffff-2015-10,1
8445343ffffffff-2016-10,1
8445343ffffffff-2017-01,1
844534dffffffff-2013-06,6
844534dffffffff-2013-07,4
844534dffffffff-2014-04,1
8445351ffffffff-2023-05,17
8466849ffffffff-2015-03,1
8466849ffffffff-2016-01,1
8466849ffffffff-2016-02,2
8466849ffffffff-2019-03,1
8466849ffffffff-2020-02,1
8466a01ffffffff-2018-09,1
8466a05ffffffff-2017-11,2
8466a05ffffffff-2018-10,2
8466a05ffffffff-2019-06,1
8466a05ffffffff-2019-10,1
8466a05ffffffff-2021-08,1
8466a05ffffffff-2023-09,1
8466a21ffffffff-2015-04,1
8466a2dffffffff-2015-06,1
8466a2dffffffff-2017-11,2
8466a2dffffffff-2019-08,2
8466a2dffffffff-2021-07,2
8466a2dffffffff-2022-04,1
8466a2dffffffff-2022-06,3
8466a2dffffffff-2023-03,1
8466a31ffffffff-2022-02,1
8466a33ffffffff-2014-06,3
8466a33ffffffff-2016-04,27
8466a33ffffffff-2017-02,1
8466a33ffffffff-2018-02,1
8466a33ffffffff-2018-03,3
8466a33ffffffff-2019-02,1
8466a33ffffffff-2019-05,2
8466a33ffffffff-2021-02,1
8466a33ffffffff-2021-03,4
8466a33ffffffff-2022-02,9
8466a33ffffffff-2022-04,10
8466a33ffffffff-2022-05,9
8466a33ffffffff-2023-01,1
8466a33ffffffff-2023-02,1
8466a33ffffffff-2023-03,10
8466a57ffffffff-2013-09,1
8466a63ffffffff-2019-04,1
8466a63ffffffff-2019-09,1
8466a63ffffffff-2023-10,1
8466a65ffffffff-2012-06,1
8466a65ffffffff-2014-10,2
8466a65ffffffff-2015-08,12
8466a65ffffffff-2015-09,8
8466a65ffffffff-2015-10,1
8466a65ffffffff-2015-11,1
8466a65ffffffff-2016-05,2
8466a65ffffffff-2016-08,16
8466a65ffffffff-2016-10,1
8466a65ffffffff-2016-11,4
8466a65ffffffff-2016-12,5
8466a65ffffffff-2017-09,2
8466a65ffffffff-2017-10,4
8466a65ffffffff-2018-06,1
8466a65ffffffff-2018-08,6
8466a65ffffffff-2018-09,17
8466a65ffffffff-2018-10,10
8466a65ffffffff-2018-11,3
8466a65ffffffff-2019-01,3
8466a65ffffffff-2019-02,1
8466a65ffffffff-2019-07,1
8466a65ffffffff-2019-08,25
8466a65ffffffff-2019-09,4
8466a65ffffffff-2019-10,18
8466a65ffffffff-2020-05,2
8466a65ffffffff-2020-06,2
8466a65ffffffff-2020-07,10
8466a65ffffffff-2020-08,21
8466a65ffffffff-2020-09,12
8466a65ffffffff-2020-10,1
8466a65ffffffff-2021-05,1
8466a65ffffffff-2021-06,12
8466a65ffffffff-2021-07,57
8466a65ffffffff-2021-08,18
8466a65ffffffff-2021-09,20
8466a65ffffffff-2021-10,2
8466a65ffffffff-2021-11,26
8466a65ffffffff-2021-12,1
8466a65ffffffff-2022-01,3
8466a65ffffffff-2022-02,1
8466a65ffffffff-2022-03,3
8466a65ffffffff-2022-06,6
8466a65ffffffff-2022-07,2
8466a65ffffffff-2022-08,37
8466a65ffffffff-2022-09,39
8466a65ffffffff-2022-10,59
8466a65ffffffff-2023-06,7
8466a65ffffffff-2023-07,4
8466a65ffffffff-2023-08,29
8466a65ffffffff-2023-09,20
8466a65ffffffff-2023-10,4
8466a65ffffffff-2023-11,10
8466a67ffffffff-2014-05,1
8466b01ffffffff-2015-03,1
8466b01ffffffff-2017-02,1
8466b01ffffffff-2017-05,1
8466b01ffffffff-2018-03,1
8466b01ffffffff-2019-02,1
8466b01ffffffff-2019-03,6
8466b01ffffffff-2020-01,6
8466b01ffffffff-2020-03,1
8466b01ffffffff-2021-02,3
8466b01ffffffff-2021-03,2
8466b01ffffffff-2021-12,1
8466b01ffffffff-2023-03,4
8466b09ffffffff-2016-02,2
8466b09ffffffff-2018-02,1
8466b09ffffffff-2018-11,1
8466b09ffffffff-2020-01,1
8466b09ffffffff-2020-12,1
8466b09ffffffff-2021-01,7
8466b09ffffffff-2021-02,1
8466b09ffffffff-2021-12,1
8466b09ffffffff-2022-02,2
8466b09ffffffff-2022-03,1
8466b09ffffffff-2023-09,2
8466b0bffffffff-2012-12,1
8466b0bffffffff-2013-01,1
8466b0bffffffff-2013-02,1
8466b0bffffffff-2015-02,2
8466b0bffffffff-2017-02,1
8466b0bffffffff-2017-12,2
8466b0bffffffff-2018-01,6
8466b0bffffffff-2018-02,3
8466b0bffffffff-2019-01,8
8466b0bffffffff-2019-02,4
8466b0bffffffff-2019-04,3
8466b0bffffffff-2019-12,1
8466b0bffffffff-2020-01,9
8466b0bffffffff-2020-02,1
8466b0bffffffff-2020-03,1
8466b0bffffffff-2020-07,1
8466b0bffffffff-2020-11,1
8466b0bffffffff-2021-01,3
8466b0bffffffff-2021-02,2
8466b0bffffffff-2021-03,4
8466b0bffffffff-2021-10,1
8466b0bffffffff-2021-12,11
8466b0bffffffff-2022-01,8
8466b0bffffffff-2022-02,9
8466b0bffffffff-2022-03,1
8466b0bffffffff-2022-06,1
8466b0bffffffff-2022-12,1
8466b0bffffffff-2023-01,2
8466b0bffffffff-2023-02,2
8466b0bffffffff-2023-03,2
8466b0bffffffff-2023-08,1
8466b41ffffffff-2014-04,1
8466b41ffffffff-2018-07,1
8466b41ffffffff-2018-08,1
8466b41ffffffff-2019-01,3
8466b41ffffffff-2019-10,3
8466b41ffffffff-2019-11,2
8466b41ffffffff-2020-01,2
8466b41ffffffff-2020-03,5
8466b41ffffffff-2021-02,3
8466b41ffffffff-2021-07,1
8466b41ffffffff-2022-01,1
8466b41ffffffff-2023-02,6
8466b41ffffffff-2023-10,1
8466b43ffffffff-2020-01,2
8466b43ffffffff-2021-03,1
8466b43ffffffff-2021-08,1
8466b43ffffffff-2021-12,1
8466b43ffffffff-2022-01,1
8466b43ffffffff-2022-02,3
8466b43ffffffff-2022-12,3
8466b43ffffffff-2023-01,6
8466b45ffffffff-2013-02,1
8466b45ffffffff-2016-01,1
8466b45ffffffff-2017-02,1
8466b45ffffffff-2017-12,2
8466b45ffffffff-2018-02,1
8466b45ffffffff-2022-01,1
8466b45ffffffff-2022-02,1
8466b45ffffffff-2023-03,1
8466b45ffffffff-2023-04,1
8466b47ffffffff-2012-12,2
8466b47ffffffff-2013-02,1
8466b47ffffffff-2014-01,1
8466b47ffffffff-2015-01,2
8466b47ffffffff-2015-02,5
8466b47ffffffff-2016-02,2
8466b47ffffffff-2017-01,1
8466b47ffffffff-2017-02,6
8466b47ffffffff-2018-01,5
8466b47ffffffff-2018-08,1
8466b47ffffffff-2019-01,5
8466b47ffffffff-2019-02,9
8466b47ffffffff-2019-12,11
8466b47ffffffff-2020-01,6
8466b47ffffffff-2020-02,2
8466b47ffffffff-2021-01,5
8466b47ffffffff-2021-02,2
8466b47ffffffff-2021-11,2
8466b47ffffffff-2023-02,1
8466b49ffffffff-2018-09,2
8466b49ffffffff-2022-01,2
8466b49ffffffff-2023-06,1
8466b4dffffffff-2016-05,1
8466b4dffffffff-2016-07,1
8466b4dffffffff-2017-01,2
8466b4dffffffff-2017-04,1
8466b4dffffffff-2017-06,1
8466b4dffffffff-2017-07,1
8466b4dffffffff-2017-11,1
8466b4dffffffff-2018-06,2
8466b4dffffffff-2018-12,1
8466b4dffffffff-2019-01,2
8466b4dffffffff-2019-04,3
8466b4dffffffff-2019-05,3
8466b4dffffffff-2020-02,4
8466b4dffffffff-2020-04,1
8466b4dffffffff-2020-05,1
8466b4dffffffff-2020-11,1
8466b4dffffffff-2020-12,1
8466b4dffffffff-2021-01,1
8466b4dffffffff-2021-02,10
8466b4dffffffff-2021-03,13
8466b4dffffffff-2021-04,4
8466b4dffffffff-2021-05,7
8466b4dffffffff-2021-07,1
8466b4dffffffff-2021-12,3
8466b4dffffffff-2022-01,10
8466b4dffffffff-2022-02,10
8466b4dffffffff-2022-03,19
8466b4dffffffff-2022-04,3
8466b4dffffffff-2022-05,7
8466b4dffffffff-2022-06,5
8466b4dffffffff-2022-07,4
8466b4dffffffff-2023-02,2
8466b4dffffffff-2023-03,3
8466b4dffffffff-2023-04,4
8466b4dffffffff-2023-05,4
8466b4dffffffff-2023-06,3
8466b4dffffffff-2023-07,3
8466b51ffffffff-2012-02,2
8466b51ffffffff-2012-03,4
8466b51ffffffff-2012-04,8
8466b51ffffffff-2012-05,1
8466b51ffffffff-2012-07,3
8466b51ffffffff-2013-02,4
8466b51ffffffff-2013-03,7
8466b51ffffffff-2013-04,3
8466b51ffffffff-2013-05,1
8466b51ffffffff-2013-07,1
8466b51ffffffff-2014-01,4
8466b51ffffffff-2014-02,4
8466b51ffffffff-2014-03,15
8466b51ffffffff-2014-04,4
8466b51ffffffff-2014-05,4
8466b51ffffffff-2014-06,3
8466b51ffffffff-2014-09,1
8466b51ffffffff-2015-02,4
8466b51ffffffff-2015-03,7
8466b51ffffffff-2015-04,8
8466b51ffffffff-2015-05,9
8466b51ffffffff-2015-06,9
8466b51ffffffff-2015-07,3
8466b51ffffffff-2015-08,3
8466b51ffffffff-2015-09,3
8466b51ffffffff-2015-10,1
8466b51ffffffff-2015-12,3
8466b51ffffffff-2016-01,5
8466b51ffffffff-2016-02,5
8466b51ffffffff-2016-03,38
8466b51ffffffff-2016-04,10
8466b51ffffffff-2016-05,15
8466b51ffffffff-2016-06,23
8466b51ffffffff-2016-07,5
8466b51ffffffff-2016-08,5
8466b51ffffffff-2016-09,1
8466b51ffffffff-2017-01,1
8466b51ffffffff-2017-02,6
8466b51ffffffff-2017-03,28
8466b51ffffffff-2017-04,13
8466b51ffffffff-2017-05,4
8466b51ffffffff-2017-06,4
8466b51ffffffff-2017-07,4
8466b51ffffffff-2017-08,1
8466b51ffffffff-2018-01,2
8466b51ffffffff-2018-02,15
8466b51ffffffff-2018-03,61
8466b51ffffffff-2018-04,13
8466b51ffffffff-2018-05,20
8466b51ffffffff-2018-06,5
8466b51ffffffff-2018-07,6
8466b51ffffffff-2018-10,1
8466b51ffffffff-2018-12,1
8466b51ffffffff-2019-01,1
8466b51ffffffff-2019-02,29
8466b51ffffffff-2019-03,104
8466b51ffffffff-2019-04,110
8466b51ffffffff-2019-05,28
8466b51ffffffff-2019-06,13
8466b51ffffffff-2019-07,10
8466b51ffffffff-2019-08,23
8466b51ffffffff-2019-09,11
8466b51ffffffff-2019-10,3
8466b51ffffffff-2019-11,12
8466b51ffffffff-2019-12,15
8466b51ffffffff-2020-01,11
8466b51ffffffff-2020-02,85
8466b51ffffffff-2020-03,46
8466b51ffffffff-2020-05,8
8466b51ffffffff-2020-06,3
8466b51ffffffff-2020-07,1
8466b51ffffffff-2020-08,4
8466b51ffffffff-2020-11,3
8466b51ffffffff-2021-01,4
8466b51ffffffff-2021-02,14
8466b51ffffffff-2021-03,35
8466b51ffffffff-2021-04,4
8466b51ffffffff-2021-05,15
8466b51ffffffff-2021-06,102
8466b51ffffffff-2021-07,44
8466b51ffffffff-2021-08,22
8466b51ffffffff-2021-09,2
8466b51ffffffff-2021-10,3
8466b51ffffffff-2021-12,2
8466b51ffffffff-2022-01,5
8466b51ffffffff-2022-02,137
8466b51ffffffff-2022-03,37
8466b51ffffffff-2022-04,70
8466b51ffffffff-2022-05,21
8466b51ffffffff-2022-06,23
8466b51ffffffff-2022-07,13
8466b51ffffffff-2022-08,8
8466b51ffffffff-2022-10,1
8466b51ffffffff-2022-12,2
8466b51ffffffff-2023-01,12
8466b51ffffffff-2023-02,55
8466b51ffffffff-2023-03,115
8466b51ffffffff-2023-04,103
8466b51ffffffff-2023-05,36
8466b51ffffffff-2023-06,60
8466b51ffffffff-2023-07,41
8466b51ffffffff-2023-08,13
8466b51ffffffff-2023-09,1
8466b51ffffffff-2023-10,6
8466b53ffffffff-2015-07,1
8466b53ffffffff-2016-07,1
8466b53ffffffff-2017-06,1
8466b53ffffffff-2018-03,1
8466b53ffffffff-2019-05,1
8466b53ffffffff-2019-08,2
8466b53ffffffff-2020-02,1
8466b53ffffffff-2020-05,9
