index,n
8466b41ffffffff-2012-01,1
8466b41ffffffff-2012-02,4
8466b41ffffffff-2012-03,4
8466b41ffffffff-2012-04,4
8466b41ffffffff-2012-06,4
8466b41ffffffff-2012-08,1
8466b41ffffffff-2012-11,1
8466b41ffffffff-2013-01,6
8466b41ffffffff-2013-02,9
8466b41ffffffff-2013-03,2
8466b41ffffffff-2013-04,1
8466b41ffffffff-2013-05,3
8466b41ffffffff-2013-06,1
8466b41ffffffff-2013-07,2
8466b41ffffffff-2013-08,4
8466b41ffffffff-2013-12,2
8466b41ffffffff-2014-01,7
8466b41ffffffff-2014-02,7
8466b41ffffffff-2014-03,12
8466b41ffffffff-2014-04,3
8466b41ffffffff-2014-06,3
8466b41ffffffff-2014-07,4
8466b41ffffffff-2014-08,6
8466b41ffffffff-2014-11,5
8466b41ffffffff-2014-12,6
8466b41ffffffff-2015-01,12
8466b41ffffffff-2015-02,14
8466b41ffffffff-2015-03,4
8466b41ffffffff-2015-04,13
8466b41ffffffff-2015-05,2
8466b41ffffffff-2015-07,4
8466b41ffffffff-2015-08,1
8466b41ffffffff-2015-10,1
8466b41ffffffff-2015-11,8
8466b41ffffffff-2015-12,5
8466b41ffffffff-2016-01,13
8466b41ffffffff-2016-02,12
8466b41ffffffff-2016-03,27
8466b41ffffffff-2016-04,12
8466b41ffffffff-2016-05,2
8466b41ffffffff-2016-07,8
8466b41ffffffff-2016-10,17
8466b41ffffffff-2016-11,4
8466b41ffffffff-2016-12,11
8466b41ffffffff-2017-01,26
8466b41ffffffff-2017-02,24
8466b41ffffffff-2017-03,37
8466b41ffffffff-2017-04,4
8466b41ffffffff-2017-05,3
8466b41ffffffff-2017-06,8
8466b41ffffffff-2017-07,14
8466b41ffffffff-2017-08,4
8466b41ffffffff-2017-09,6
8466b41ffffffff-2017-10,9
8466b41ffffffff-2017-11,14
8466b41ffffffff-2017-12,2
8466b41ffffffff-2018-01,19
8466b41ffffffff-2018-02,15
8466b41ffffffff-2018-03,33
8466b41ffffffff-2018-04,17
8466b41ffffffff-2018-05,13
8466b41ffffffff-2018-07,7
8466b41ffffffff-2018-08,6
8466b41ffffffff-2018-09,5
8466b41ffffffff-2018-10,13
8466b41ffffffff-2018-11,15
8466b41ffffffff-2018-12,11
8466b41ffffffff-2019-01,76
8466b41ffffffff-2019-02,38
8466b41ffffffff-2019-03,67
8466b41ffffffff-2019-04,23
8466b41ffffffff-2019-05,16
8466b41ffffffff-2019-06,11
8466b41ffffffff-2019-07,13
8466b41ffffffff-2019-08,16
8466b41ffffffff-2019-09,19
8466b41ffffffff-2019-10,10
8466b41ffffffff-2019-11,14
8466b41ffffffff-2019-12,29
8466b41ffffffff-2020-01,48
8466b41ffffffff-2020-02,75
8466b41ffffffff-2020-03,36
8466b41ffffffff-2020-05,2
8466b41ffffffff-2020-06,1
8466b41ffffffff-2020-09,11
8466b41ffffffff-2020-10,9
8466b41ffffffff-2020-11,1
8466b41ffffffff-2020-12,8
8466b41ffffffff-2021-01,16
8466b41ffffffff-2021-02,15
8466b41ffffffff-2021-03,24
8466b41ffffffff-2021-04,2
8466b41ffffffff-2021-05,19
8466b41ffffffff-2021-06,9
8466b41ffffffff-2021-07,16
8466b41ffffffff-2021-08,5
8466b41ffffffff-2021-09,24
8466b41ffffffff-2021-10,34
8466b41ffffffff-2021-11,25
8466b41ffffffff-2021-12,27
8466b41ffffffff-2022-01,69
8466b41ffffffff-2022-02,46
8466b41ffffffff-2022-03,39
8466b41ffffffff-2022-04,48
8466b41ffffffff-2022-05,24
8466b41ffffffff-2022-06,13
8466b41ffffffff-2022-07,18
8466b41ffffffff-2022-08,32
8466b41ffffffff-2022-09,16
8466b41ffffffff-2022-10,28
8466b41ffffffff-2022-11,17
8466b41ffffffff-2022-12,36
8466b41ffffffff-2023-01,38
8466b41ffffffff-2023-02,51
8466b41ffffffff-2023-03,72
8466b41ffffffff-2023-04,31
8466b41ffffffff-2023-05,15
8466b41ffffffff-2023-06,21
8466b41ffffffff-2023-07,41
8466b41ffffffff-2023-08,22
8466b41ffffffff-2023-09,28
8466b41ffffffff-2023-10,19
8466b41ffffffff-2023-11,22
8466b43ffffffff-2019-05,2
8466b43ffffffff-2020-03,2
8466b45ffffffff-2012-02,1
8466b45ffffffff-2012-03,4
8466b45ffffffff-2012-04,2
8466b45ffffffff-2013-01,5
8466b45ffffffff-2013-03,1
8466b45ffffffff-2013-08,2
8466b45ffffffff-2014-01,2
8466b45ffffffff-2014-02,1
8466b45ffffffff-2014-03,2
8466b45ffffffff-2014-04,9
8466b45ffffffff-2014-10,1
8466b45ffffffff-2014-11,4
8466b45ffffffff-2014-12,1
8466b45ffffffff-2015-01,3
8466b45ffffffff-2015-02,1
8466b45ffffffff-2015-03,4
8466b45ffffffff-2015-04,15
8466b45ffffffff-2015-10,1
8466b45ffffffff-2016-01,15
8466b45ffffffff-2016-02,8
8466b45ffffffff-2016-03,11
8466b45ffffffff-2016-04,1
8466b45ffffffff-2016-07,5
8466b45ffffffff-2016-08,1
8466b45ffffffff-2016-12,1
8466b45ffffffff-2017-01,5
8466b45ffffffff-2017-02,8
8466b45ffffffff-2017-03,24
8466b45ffffffff-2017-04,5
8466b45ffffffff-2017-05,6
8466b45ffffffff-2017-06,1
8466b45ffffffff-2017-07,1
8466b45ffffffff-2017-08,1
8466b45ffffffff-2017-09,1
8466b45ffffffff-2017-11,2
8466b45ffffffff-2018-01,6
8466b45ffffffff-2018-02,31
8466b45ffffffff-2018-03,24
8466b45ffffffff-2018-04,14
8466b45ffffffff-2018-05,10
8466b45ffffffff-2018-06,4
8466b45ffffffff-2018-07,6
8466b45ffffffff-2018-08,1
8466b45ffffffff-2018-09,8
8466b45ffffffff-2018-10,7
8466b45ffffffff-2018-11,11
8466b45ffffffff-2018-12,5
8466b45ffffffff-2019-01,43
8466b45ffffffff-2019-02,15
8466b45ffffffff-2019-03,21
8466b45ffffffff-2019-04,13
8466b45ffffffff-2019-05,8
8466b45ffffffff-2019-06,7
8466b45ffffffff-2019-07,8
8466b45ffffffff-2019-08,3
8466b45ffffffff-2019-09,5
8466b45ffffffff-2019-10,8
8466b45ffffffff-2019-11,5
8466b45ffffffff-2019-12,11
8466b45ffffffff-2020-01,13
8466b45ffffffff-2020-02,10
8466b45ffffffff-2020-03,26
8466b45ffffffff-2020-05,3
8466b45ffffffff-2020-06,5
8466b45ffffffff-2020-07,3
8466b45ffffffff-2020-09,5
8466b45ffffffff-2020-10,4
8466b45ffffffff-2020-11,1
8466b45ffffffff-2020-12,6
8466b45ffffffff-2021-01,17
8466b45ffffffff-2021-02,3
8466b45ffffffff-2021-03,16
8466b45ffffffff-2021-04,1
8466b45ffffffff-2021-05,18
8466b45ffffffff-2021-06,3
8466b45ffffffff-2021-07,21
8466b45ffffffff-2021-09,4
8466b45ffffffff-2021-10,10
8466b45ffffffff-2021-11,24
8466b45ffffffff-2021-12,11
8466b45ffffffff-2022-01,28
8466b45ffffffff-2022-02,31
8466b45ffffffff-2022-03,57
8466b45ffffffff-2022-04,16
8466b45ffffffff-2022-05,6
8466b45ffffffff-2022-07,13
8466b45ffffffff-2022-09,1
8466b45ffffffff-2022-10,8
8466b45ffffffff-2022-11,5
8466b45ffffffff-2022-12,4
8466b45ffffffff-2023-01,27
8466b45ffffffff-2023-02,23
8466b45ffffffff-2023-03,23
8466b45ffffffff-2023-04,27
8466b45ffffffff-2023-05,5
8466b45ffffffff-2023-06,10
8466b45ffffffff-2023-07,14
8466b45ffffffff-2023-08,12
8466b45ffffffff-2023-09,18
8466b45ffffffff-2023-10,9
8466b45ffffffff-2023-11,17
8466b4dffffffff-2012-02,1
8466b4dffffffff-2012-04,1
8466b4dffffffff-2012-11,1
8466b4dffffffff-2012-12,3
8466b4dffffffff-2013-01,1
8466b4dffffffff-2013-02,2
8466b4dffffffff-2013-03,1
8466b4dffffffff-2013-04,2
8466b4dffffffff-2013-06,1
8466b4dffffffff-2013-08,2
8466b4dffffffff-2013-10,1
8466b4dffffffff-2014-02,4
8466b4dffffffff-2014-03,4
8466b4dffffffff-2014-07,2
8466b4dffffffff-2014-11,1
