index,n
849c051ffffffff-2023-07,2
849c055ffffffff-2012-02,1
849c055ffffffff-2012-09,1
849c055ffffffff-2017-12,3
849c055ffffffff-2022-11,1
849c059ffffffff-2014-11,2
849c059ffffffff-2017-01,1
849c059ffffffff-2019-11,1
849c059ffffffff-2021-01,2
849c059ffffffff-2021-11,1
849c059ffffffff-2022-09,1
849c059ffffffff-2023-10,1
849c05dffffffff-2017-08,1
849c05dffffffff-2017-10,2
849c05dffffffff-2023-11,2
849c203ffffffff-2015-10,1
849c203ffffffff-2020-12,1
849c203ffffffff-2021-10,1
849c215ffffffff-2012-03,1
849c215ffffffff-2012-09,5
849c215ffffffff-2013-01,2
849c215ffffffff-2013-02,3
849c215ffffffff-2013-08,2
849c215ffffffff-2013-10,1
849c215ffffffff-2014-03,1
849c215ffffffff-2014-06,1
849c215ffffffff-2014-07,2
849c215ffffffff-2014-08,3
849c215ffffffff-2014-09,2
849c215ffffffff-2014-10,1
849c215ffffffff-2014-11,1
849c215ffffffff-2014-12,2
849c215ffffffff-2015-01,2
849c215ffffffff-2015-02,1
849c215ffffffff-2015-03,4
849c215ffffffff-2015-04,2
849c215ffffffff-2015-05,2
849c215ffffffff-2015-06,1
849c215ffffffff-2015-07,2
849c215ffffffff-2015-09,6
849c215ffffffff-2015-10,4
849c215ffffffff-2015-11,6
849c215ffffffff-2015-12,6
849c215ffffffff-2016-01,7
849c215ffffffff-2016-02,2
849c215ffffffff-2016-03,1
849c215ffffffff-2016-04,3
849c215ffffffff-2016-05,1
849c215ffffffff-2016-08,1
849c215ffffffff-2016-09,6
849c215ffffffff-2016-10,5
849c215ffffffff-2016-11,1
849c215ffffffff-2016-12,5
849c215ffffffff-2017-01,4
849c215ffffffff-2017-02,3
849c215ffffffff-2017-04,2
849c215ffffffff-2017-06,1
849c215ffffffff-2017-07,7
849c215ffffffff-2017-08,7
849c215ffffffff-2017-09,3
849c215ffffffff-2017-10,12
849c215ffffffff-2017-11,5
849c215ffffffff-2017-12,2
849c215ffffffff-2018-02,1
849c215ffffffff-2018-03,2
849c215ffffffff-2018-06,5
849c215ffffffff-2018-07,4
849c215ffffffff-2018-08,2
849c215ffffffff-2018-09,2
