index,n
84121adffffffff-2016-09,1
8412987ffffffff-2015-10,6
8412987ffffffff-2015-11,2
8412997ffffffff-2022-10,1
84129b9ffffffff-2015-11,1
84129bbffffffff-2012-11,1
8412b01ffffffff-2018-11,1
8412b01ffffffff-2022-10,2
8412b03ffffffff-2018-11,4
8412b03ffffffff-2022-10,7
8412b03ffffffff-2023-10,3
8412b33ffffffff-2015-11,1
84139e1ffffffff-2018-10,2
841d243ffffffff-2016-10,1
841d243ffffffff-2022-10,1
84262cdffffffff-2015-06,24
84262cdffffffff-2015-07,47
84265b7ffffffff-2019-12,41
84265b7ffffffff-2020-01,13
84265b7ffffffff-2020-02,11
84265b7ffffffff-2020-03,3
84265b7ffffffff-2020-12,17
84265b7ffffffff-2021-01,19
84265b7ffffffff-2021-02,1
8426889ffffffff-2017-09,3
84268cdffffffff-2018-10,133
8426963ffffffff-2012-09,7
8426963ffffffff-2016-05,1
8426963ffffffff-2021-04,1
8426969ffffffff-2013-11,23
8426989ffffffff-2017-10,4
8427541ffffffff-2016-05,1
8427541ffffffff-2017-06,1
8427541ffffffff-2023-10,31
8427631ffffffff-2017-09,4
8427633ffffffff-2016-10,51
84276e9ffffffff-2020-11,4
842775dffffffff-2022-10,9
8428005ffffffff-2014-11,1
8428005ffffffff-2019-10,2
8428007ffffffff-2016-09,16
8428007ffffffff-2016-10,10
8428023ffffffff-2012-10,6
8428023ffffffff-2012-11,1
8428023ffffffff-2013-10,8
8428023ffffffff-2013-11,6
8428023ffffffff-2013-12,3
8428023ffffffff-2014-11,5
8428023ffffffff-2015-10,2
8428023ffffffff-2015-11,1
8428023ffffffff-2016-10,11
8428023ffffffff-2016-11,29
8428023ffffffff-2017-11,3
8428023ffffffff-2018-10,4
8428023ffffffff-2019-10,6
8428023ffffffff-2020-09,4
8428023ffffffff-2020-12,8
8428023ffffffff-2021-01,8
8428023ffffffff-2021-10,1
8428023ffffffff-2021-11,3
8428023ffffffff-2022-09,6
8428023ffffffff-2022-10,11
8428023ffffffff-2022-11,5
8428023ffffffff-2022-12,2
8428023ffffffff-2023-01,2
8428023ffffffff-2023-09,1
8428023ffffffff-2023-10,2
8428023ffffffff-2023-11,3
842802bffffffff-2012-01,13
842802bffffffff-2012-10,9
842802bffffffff-2012-11,23
842802bffffffff-2012-12,2
842802bffffffff-2013-10,18
842802bffffffff-2013-11,12
842802bffffffff-2014-02,14
842802bffffffff-2014-03,8
842802bffffffff-2014-10,3
842802bffffffff-2014-11,12
842802bffffffff-2014-12,4
842802bffffffff-2015-01,11
842802bffffffff-2015-02,47
842802bffffffff-2015-03,12
842802bffffffff-2015-04,5
842802bffffffff-2015-09,1
842802bffffffff-2015-10,15
842802bffffffff-2015-12,2
842802bffffffff-2016-01,6
842802bffffffff-2016-03,1
842802bffffffff-2016-09,4
842802bffffffff-2016-10,7
842802bffffffff-2016-11,3
842802bffffffff-2016-12,3
842802bffffffff-2017-09,1
842802bffffffff-2017-10,5
842802bffffffff-2017-11,5
842802bffffffff-2018-03,2
842802bffffffff-2018-10,2
842802bffffffff-2018-12,3
842802bffffffff-2019-10,13
842802bffffffff-2019-11,15
842802bffffffff-2020-11,2
842802bffffffff-2020-12,1
842802bffffffff-2021-01,3
842802bffffffff-2021-08,1
842802bffffffff-2021-10,3
842802bffffffff-2021-12,1
842802bffffffff-2022-01,5
842802bffffffff-2022-09,2
842802bffffffff-2022-10,28
842802bffffffff-2022-11,5
842802bffffffff-2023-10,5
842802bffffffff-2023-11,38
8428035ffffffff-2016-10,2
8428035ffffffff-2017-11,1
8428035ffffffff-2019-09,3
8428035ffffffff-2022-10,2
8428037ffffffff-2022-10,1
8428063ffffffff-2020-12,2
8428063ffffffff-2022-09,2
8428069ffffffff-2013-10,3
8428069ffffffff-2018-10,1
8428069ffffffff-2018-11,6
8428069ffffffff-2020-10,3
8428069ffffffff-2021-10,3
8428069ffffffff-2021-11,1
8428069ffffffff-2022-10,5
8428069ffffffff-2022-11,1
8428069ffffffff-2022-12,1
842806bffffffff-2013-11,2
842806bffffffff-2015-10,1
842806bffffffff-2020-10,1
842806bffffffff-2021-10,2
8428183ffffffff-2017-11,2
8428183ffffffff-2020-10,1
842818bffffffff-2019-11,1
842818bffffffff-2021-10,1
842818bffffffff-2022-10,8
842818bffffffff-2022-11,4
8428195ffffffff-2014-10,2
8428195ffffffff-2014-12,1
8428195ffffffff-2019-11,5
8428195ffffffff-2022-10,2
8428195ffffffff-2022-11,1
8428195ffffffff-2023-10,1
8428199ffffffff-2018-10,1
842819dffffffff-2012-11,2
842819dffffffff-2014-11,1
842819dffffffff-2015-10,4
842819dffffffff-2017-11,1
842819dffffffff-2020-10,1
842819dffffffff-2021-10,1
842819dffffffff-2021-12,1
842819dffffffff-2022-10,4
84281b1ffffffff-2016-10,4
84281b1ffffffff-2018-11,4
84281b1ffffffff-2020-10,1
84281b1ffffffff-2020-11,2
84281b1ffffffff-2020-12,3
84281b1ffffffff-2022-11,7
84281b1ffffffff-2022-12,17
84281b3ffffffff-2012-10,3
84281b3ffffffff-2012-11,1
84281b3ffffffff-2014-11,1
84281b3ffffffff-2015-10,1
84281b3ffffffff-2016-10,9
84281b3ffffffff-2016-11,12
84281b3ffffffff-2019-11,6
84281b3ffffffff-2020-10,3
84281b3ffffffff-2020-11,15
84281b3ffffffff-2020-12,6
84281b3ffffffff-2021-11,1
84281b3ffffffff-2022-10,7
84281b3ffffffff-2022-11,4
84281b3ffffffff-2022-12,2
84281b3ffffffff-2023-10,1
84281b9ffffffff-2012-11,1
84281bbffffffff-2015-10,2
84281bbffffffff-2018-10,1
84281c3ffffffff-2018-10,2
84281c3ffffffff-2020-11,3
84281c9ffffffff-2018-12,1
84281cbffffffff-2014-11,2
84281cbffffffff-2014-12,1
84281cbffffffff-2015-10,1
84281cbffffffff-2016-09,5
84281cbffffffff-2016-10,5
84281cbffffffff-2016-11,1
84281cbffffffff-2016-12,4
84281cbffffffff-2017-10,1
84281cbffffffff-2017-11,1
84281cbffffffff-2018-11,1
84281cbffffffff-2018-12,1
84281cbffffffff-2019-01,1
84281cbffffffff-2019-10,2
84281cbffffffff-2019-11,2
84281cbffffffff-2020-01,1
84281cbffffffff-2020-09,2
84281cbffffffff-2020-10,2
84281cbffffffff-2020-11,1
84281cbffffffff-2020-12,1
84281cbffffffff-2021-10,1
84281cbffffffff-2022-10,2
84281cbffffffff-2022-11,1
84281cbffffffff-2022-12,3
84281cbffffffff-2023-10,1
84281cbffffffff-2023-11,6
84281d5ffffffff-2015-09,4
84281d5ffffffff-2020-10,2
84281ddffffffff-2012-10,1
84281ddffffffff-2022-10,1
84281ebffffffff-2022-11,8
8428301ffffffff-2020-10,3
8428301ffffffff-2020-11,24
8428301ffffffff-2020-12,3
8428301ffffffff-2021-01,7
8428301ffffffff-2021-03,5
8428301ffffffff-2021-04,1
8428301ffffffff-2022-01,16
8428301ffffffff-2022-02,2
8428301ffffffff-2023-11,2
8428303ffffffff-2019-11,1
8428305ffffffff-2017-02,1
8428305ffffffff-2022-12,3
8428309ffffffff-2012-01,2
8428309ffffffff-2012-02,7
8428309ffffffff-2012-03,2
8428309ffffffff-2012-10,13
8428309ffffffff-2012-11,38
8428309ffffffff-2012-12,3
8428309ffffffff-2013-02,1
8428309ffffffff-2013-03,23
8428309ffffffff-2013-04,3
8428309ffffffff-2013-09,7
8428309ffffffff-2013-10,19
8428309ffffffff-2013-11,12
8428309ffffffff-2013-12,4
8428309ffffffff-2014-01,48
8428309ffffffff-2014-02,7
8428309ffffffff-2014-03,13
8428309ffffffff-2014-04,4
8428309ffffffff-2014-05,5
8428309ffffffff-2014-08,1
8428309ffffffff-2014-09,3
8428309ffffffff-2014-10,14
8428309ffffffff-2014-11,6
8428309ffffffff-2014-12,7
8428309ffffffff-2015-01,13
8428309ffffffff-2015-02,20
8428309ffffffff-2015-03,14
8428309ffffffff-2015-04,15
8428309ffffffff-2015-05,6
8428309ffffffff-2015-09,8
8428309ffffffff-2015-10,14
8428309ffffffff-2015-11,57
8428309ffffffff-2015-12,23
8428309ffffffff-2016-01,21
8428309ffffffff-2016-02,20
8428309ffffffff-2016-03,10
8428309ffffffff-2016-04,49
8428309ffffffff-2016-05,4
8428309ffffffff-2016-10,4
8428309ffffffff-2017-04,4
8428309ffffffff-2017-09,22
8428309ffffffff-2017-10,12
8428309ffffffff-2017-11,3
8428309ffffffff-2017-12,1
8428309ffffffff-2018-02,1
8428309ffffffff-2018-03,12
8428309ffffffff-2018-09,1
8428309ffffffff-2018-10,15
8428309ffffffff-2018-11,4
8428309ffffffff-2019-10,24
8428309ffffffff-2019-12,34
8428309ffffffff-2020-01,14
8428309ffffffff-2020-02,14
8428309ffffffff-2020-03,4
8428309ffffffff-2020-04,1
8428309ffffffff-2020-06,1
8428309ffffffff-2020-09,1
8428309ffffffff-2020-10,28
8428309ffffffff-2020-11,6
8428309ffffffff-2021-01,18
8428309ffffffff-2021-02,31
8428309ffffffff-2021-03,1
8428309ffffffff-2021-04,2
8428309ffffffff-2021-05,3
8428309ffffffff-2021-10,26
8428309ffffffff-2021-11,11
8428309ffffffff-2021-12,34
8428309ffffffff-2022-01,56
8428309ffffffff-2022-02,29
8428309ffffffff-2022-03,1
8428309ffffffff-2022-09,28
8428309ffffffff-2022-10,145
8428309ffffffff-2022-11,58
8428309ffffffff-2022-12,11
8428309ffffffff-2023-01,25
8428309ffffffff-2023-02,4
8428309ffffffff-2023-03,2
8428309ffffffff-2023-04,11
8428309ffffffff-2023-05,4
8428309ffffffff-2023-09,2
8428309ffffffff-2023-10,28
8428309ffffffff-2023-11,31
842830bffffffff-2012-09,3
842830bffffffff-2012-10,2
842830bffffffff-2013-10,3
842830bffffffff-2013-11,1
842830bffffffff-2014-10,9
842830bffffffff-2014-11,8
842830bffffffff-2014-12,5
842830bffffffff-2015-09,1
842830bffffffff-2015-10,9
842830bffffffff-2016-10,9
842830bffffffff-2017-11,3
842830bffffffff-2018-10,4
842830bffffffff-2018-11,47
842830bffffffff-2019-09,1
842830bffffffff-2019-10,4
842830bffffffff-2019-11,27
842830bffffffff-2019-12,2
842830bffffffff-2020-01,3
842830bffffffff-2020-09,7
842830bffffffff-2020-10,19
842830bffffffff-2020-12,1
842830bffffffff-2022-01,9
842830bffffffff-2022-03,1
842830bffffffff-2022-04,1
842830bffffffff-2022-09,7
842830bffffffff-2022-10,26
842830bffffffff-2023-09,57
842830bffffffff-2023-10,31
842830dffffffff-2014-02,20
842830dffffffff-2014-03,4
842830dffffffff-2014-04,2
842830dffffffff-2014-09,6
842830dffffffff-2014-10,16
